日付,場所,Ｒ,枠番,馬番,馬名,確定着順,レースID(新),単勝配当,複勝配当,枠連,馬連,馬単,３連複,３連単
260627,函館,12,2,2,テイエムゴッホ,1,202606270201051202,180,130,1100,1080,1540,12420,30600
260627,函館,12,5,5,グレイスフルマーチ,2,202606270201051205,(9.3),220,1100,1080,1540,12420,30600
260627,函館,12,6,6,アイファーシャドー,3,202606270201051206,(105.4),1070,,,,12420,30600
260627,函館,12,4,4,ストロングボーイ,4,202606270201051204,(4.5),,,,,,
260627,函館,12,7,7,パシーヴ,5,202606270201051207,(22.9),,,,,,
260627,函館,12,1,1,マーベリックシチー,6,202606270201051201,(17.8),,,,,,
260627,函館,12,3,3,ビナハイバン,7,202606270201051203,(44.5),,,,,,
260627,函館,12,7,8,ベイビールビオ,8,202606270201051208,(66.5),,,,,,
260627,函館,12,8,10,メイショウソラリス,9,202606270201051210,(5.6),,,,,,
260627,函館,12,8,9,フロウアンドライム,10,202606270201051209,(20.1),,,,,,
260627,函館,11,2,2,ブラックチャリス,1,202606270201051102,380,160,650,1610,2950,2940,13200
260627,函館,11,7,11,ナムラクララ,2,202606270201051111,(5.3),230,650,1610,2950,2940,13200
260627,函館,11,7,12,アメリカンステージ,3,202606270201051112,(5.1),190,,,,2940,13200
260627,函館,11,6,10,ナムラローズマリー,4,202606270201051110,(26.3),,,,,,
260627,函館,11,4,5,ティニア,5,202606270201051105,(10.1),,,,,,
260627,函館,11,3,3,ジョーメッドヴィン,6,202606270201051103,(13.8),,,,,,
260627,函館,11,5,8,サウザンサニー,7,202606270201051108,(25.1),,,,,,
260627,函館,11,8,13,ロードフォアエース,8,202606270201051113,(9.1),,,,,,
260627,函館,11,4,6,クファシル,9,202606270201051106,(47.2),,,,,,
260627,函館,11,1,1,ダンツエラン,10,202606270201051101,(82.9),,,,,,
260627,函館,11,3,4,ステークホルダー,11,202606270201051104,(134.9),,,,,,
260627,函館,11,8,14,ルージュラナキラ,12,202606270201051114,(7.4),,,,,,
260627,函館,11,5,7,マイネルレノン,13,202606270201051107,(47.5),,,,,,
260627,函館,11,6,9,モリノドリーム,14,202606270201051109,(18.2),,,,,,
260627,函館,10,3,3,ヨヒーン,1,202606270201051003,600,210,5630,5410,8650,12530,75020
260627,函館,10,2,2,ラブリーリディア,2,202606270201051002,(14.8),450,5630,5410,8650,12530,75020
260627,函館,10,7,8,バルティカ,3,202606270201051008,(8.2),270,,,,12530,75020
260627,函館,10,4,4,ウィルサヴァイブ,4,202606270201051004,(4.1),,,,,,
260627,函館,10,6,6,ロードマンハイム,5,202606270201051006,(9.7),,,,,,
260627,函館,10,8,10,アメジストブラック,6,202606270201051010,(20.1),,,,,,
260627,函館,10,6,7,レイヤードレッド,7,202606270201051007,(12.5),,,,,,
260627,函館,10,1,1,ハートメテオ,8,202606270201051001,(3.1),,,,,,
260627,函館,10,8,11,ドッビアーコ,9,202606270201051011,(37.6),,,,,,
260627,函館,10,7,9,ウインアクトゥール,10,202606270201051009,(13.8),,,,,,
260627,函館,10,5,5,リッチブラック,11,202606270201051005,(134.9),,,,,,
260627,函館,9,7,7,ドリーミングアップ,1,202606270201050907,340,120,470,400,900,1030,4190
260627,函館,9,4,4,ララバニュルス,2,202606270201050904,(2.5),120,470,400,900,1030,4190
260627,函館,9,3,3,ナオミライトニング,3,202606270201050903,(9.4),150,,,,1030,4190
260627,函館,9,8,8,シュークリーム,4,202606270201050908,(4.3),,,,,,
260627,函館,9,1,1,クワイエットアイ,5,202606270201050901,(18.1),,,,,,
260627,函館,9,2,2,ブライアーヒル,6,202606270201050902,(76.0),,,,,,
260627,函館,9,5,5,トップオンザヒル,7,202606270201050905,(111.1),,,,,,
260627,函館,9,6,6,ファニーバニー,8,202606270201050906,(7.5),,,,,,
260627,函館,9,8,9,ナンナンプー,9,202606270201050909,(59.2),,,,,,
260627,函館,8,1,1,マメタンク,1,202606270201050801,240,140,1740,1420,1920,2360,8880
260627,函館,8,4,4,ミサビスケッツ,2,202606270201050804,(13.3),270,1740,1420,1920,2360,8880
260627,函館,8,2,2,フレンズプラス,3,202606270201050802,(11.2),220,,,,2360,8880
260627,函館,8,6,6,スパークルジョイ,4,202606270201050806,(14.2),,,,,,
260627,函館,8,6,7,カッタッパ,5,202606270201050807,(3.3),,,,,,
260627,函館,8,8,10,マジェステラ,6,202606270201050810,(10.0),,,,,,
260627,函館,8,3,3,サツキレジーナ,7,202606270201050803,(26.2),,,,,,
260627,函館,8,8,11,テーオーナタリー,8,202606270201050811,(7.6),,,,,,
260627,函館,8,7,9,ジュウオウ,9,202606270201050809,(34.5),,,,,,
260627,函館,8,7,8,セイルロケット,10,202606270201050808,(85.2),,,,,,
260627,函館,8,5,5,ブラックトルネード,11,202606270201050805,(253.1),,,,,,
260627,函館,7,8,11,ドウアドバンテージ,1,202606270201050711,270,130,1330,2030,2590,14310,46620
260627,函館,7,7,8,アイドクレース,2,202606270201050708,(17.4),320,1330,2030,2590,14310,46620
260627,函館,7,5,5,ディーリライズ,3,202606270201050705,(18.9),350,,,,14310,46620
260627,函館,7,6,7,サウンドサンライズ,4,202606270201050707,(19.4),,,,,,
260627,函館,7,4,4,メイショウテンク,5,202606270201050704,(2.3),,,,,,
260627,函館,7,3,3,グランアルト,6,202606270201050703,(41.9),,,,,,
260627,函館,7,1,1,ブランヴァンダイク,7,202606270201050701,(25.7),,,,,,
260627,函館,7,8,10,ゴガツノアマノガワ,8,202606270201050710,(190.3),,,,,,
260627,函館,7,6,6,マカナアネラ,9,202606270201050706,(6.6),,,,,,
260627,函館,7,7,9,エオアリイ,10,202606270201050709,(50.5),,,,,,
