日付,場所,Ｒ,枠番,馬番,馬名,確定着順,レースID(新),単勝配当,複勝配当,枠連,馬連,馬単,３連複,３連単
260816,札幌,12,2,2,ダノンヒストリー,1,202608160101081202,120,110,340,360,390,1490,2610
260816,札幌,12,7,12,ジュンツバメガエシ,2,202608160101081212,(9.3),140,340,360,390,1490,2610
260816,札幌,12,8,13,ラーシャローム,3,202608160101081213,(25.0),270,,,,1490,2610
260816,札幌,12,5,7,ブリヤディアマンテ,4,202608160101081207,(156.4),,,,,,
260816,札幌,12,3,3,ゲンジ,5,202608160101081203,(19.3),,,,,,
260816,札幌,12,6,9,サラトガチップス,6,202608160101081209,(14.1),,,,,,
260816,札幌,12,4,6,アスクデッドヒート,7,202608160101081206,(15.9),,,,,,
260816,札幌,12,6,10,ドッビアーコ,8,202608160101081210,(221.2),,,,,,
260816,札幌,12,1,1,レイデラティエラ,9,202608160101081201,(20.1),,,,,,
260816,札幌,12,7,11,ライフセービング,10,202608160101081211,(54.7),,,,,,
260816,札幌,12,5,8,レイデラルース,11,202608160101081208,(99.9),,,,,,
260816,札幌,12,3,4,マイネルゼウス,12,202608160101081204,(45.9),,,,,,
260816,札幌,12,8,14,リアルファインド,13,202608160101081214,(47.3),,,,,,
260816,札幌,12,4,5,パープルクラウド,14,202608160101081205,(313.9),,,,,,
260816,札幌,11,8,15,シェイクユアハート,1,202608160101081115,680,260,690,3020,5920,43170,197490
260816,札幌,11,4,8,サクラファレル,2,202608160101081108,(9.2),320,690,3020,5920,43170,197490
260816,札幌,11,7,14,レディネス,3,202608160101081114,(36.3),970,,,,43170,197490
260816,札幌,11,3,6,ローシャムパーク,4,202608160101081106,(20.8),,,,,,
260816,札幌,11,7,13,グランディア,5,202608160101081113,(10.2),,,,,,
260816,札幌,11,2,4,マジックサンズ,6,202608160101081104,(7.2),,,,,,
260816,札幌,11,4,7,ショウヘイ,7,202608160101081107,(4.1),,,,,,
260816,札幌,11,5,9,マイネルモーント,8,202608160101081109,(76.5),,,,,,
260816,札幌,11,5,10,アドマイヤテラ,9,202608160101081110,(4.4),,,,,,
260816,札幌,11,8,16,ホウオウビスケッツ,10,202608160101081116,(13.1),,,,,,
260816,札幌,11,6,12,ゼンダンハヤブサ,11,202608160101081112,(77.0),,,,,,
260816,札幌,11,6,11,アラタ,12,202608160101081111,(151.8),,,,,,
260816,札幌,11,2,3,ピンクジン,13,202608160101081103,(267.2),,,,,,
260816,札幌,11,1,2,イガッチ,14,202608160101081102,(73.9),,,,,,
260816,札幌,11,1,1,オニャンコポン,15,202608160101081101,(81.7),,,,,,
260816,札幌,11,3,5,エコロヴァルツ,16,202608160101081105,(12.5),,,,,,
260816,札幌,10,8,12,キーガッツ,1,202608160101081012,2370,490,2790,4480,11510,10210,104850
260816,札幌,10,7,10,パールフロント,2,202608160101081010,(3.3),160,2790,4480,11510,10210,104850
260816,札幌,10,2,2,ビーマックス,3,202608160101081002,(14.3),290,,,,10210,104850
260816,札幌,10,6,8,クインズシフォン,4,202608160101081008,(19.1),,,,,,
260816,札幌,10,7,9,ウーマンズパワー,5,202608160101081009,(5.4),,,,,,
260816,札幌,10,4,4,オセアエクスプレス,6,202608160101081004,(75.9),,,,,,
