日付,場所,Ｒ,枠番,馬番,馬名,確定着順,レースID(新),単勝配当,複勝配当,枠連,馬連,馬単,３連複,３連単
260718,函館,12,1,1,ラミアメンテ,1,202607180201111201,690,250,1210,1040,2010,7180,18250
260718,函館,12,3,3,ハーモニーソング,2,202607180201111203,(6.1),190,1210,1040,2010,7180,18250
260718,函館,12,6,7,ルージュベルベット,2,202607180201111207,(10.9),300,1670,1820,3520,7180,18250
260718,函館,12,5,6,バレンタインビスタ,4,202607180201111206,(3.5),,,,,,
260718,函館,12,7,9,エコロハート,5,202607180201111209,(18.4),,,,,,
260718,函館,12,8,11,メラヴィリオーザ,6,202607180201111211,(124.1),,,,,,
260718,函館,12,7,10,ランプローグ,7,202607180201111210,(6.5),,,,,,
260718,函館,12,2,2,オンザヴィーナス,8,202607180201111202,(12.7),,,,,,
260718,函館,12,4,4,ルージュナリッシュ,9,202607180201111204,(9.7),,,,,,
260718,函館,12,5,5,メイショウハッケイ,10,202607180201111205,(7.3),,,,,,
260718,函館,12,6,8,アルバニー,11,202607180201111208,(69.2),,,,,,
260718,函館,12,8,12,アルマロクザン,12,202607180201111212,(43.9),,,,,,
260718,函館,11,7,10,ウェイワードアクト,1,202607180201111110,370,150,590,1610,2700,2190,8840
260718,函館,11,8,12,レヴォントゥレット,2,202607180201111112,(6.5),200,590,1610,2700,2190,8840
260718,函館,11,7,11,ヒルノハンブルク,3,202607180201111111,(7.1),180,,,,2190,8840
260718,函館,11,3,3,オウギノカナメ,4,202607180201111103,(19.3),,,,,,
260718,函館,11,4,4,ホールシバン,5,202607180201111104,(55.9),,,,,,
260718,函館,11,5,6,テーオードレフォン,6,202607180201111106,(50.0),,,,,,
260718,函館,11,6,8,ハグ,7,202607180201111108,(10.3),,,,,,
260718,函館,11,5,7,ラタフォレスト,8,202607180201111107,(7.8),,,,,,
260718,函館,11,1,1,チュウワクリスエス,9,202607180201111101,(10.8),,,,,,
260718,函館,11,4,5,イガッチ,10,202607180201111105,(8.4),,,,,,
260718,函館,11,6,9,アスクデビューモア,11,202607180201111109,(74.1),,,,,,
260718,函館,11,8,13,マーブルロック,12,202607180201111113,(12.7),,,,,,
260718,函館,11,2,2,コトホドサヨウニ,13,202607180201111102,(14.3),,,,,,
260718,函館,10,8,10,アパッシメント,1,202607180201111010,510,160,420,560,1610,1020,6950
260718,函館,10,4,4,マナボニート,2,202607180201111004,(1.6),110,420,560,1610,1020,6950
260718,函館,10,5,5,フードマン,3,202607180201111005,(6.8),140,,,,1020,6950
260718,函館,10,6,6,バシレウスシチー,4,202607180201111006,(32.7),,,,,,
260718,函館,10,7,8,マジカルフェアリー,5,202607180201111008,(7.5),,,,,,
260718,函館,10,7,7,サンドロナイト,6,202607180201111007,(26.8),,,,,,
260718,函館,10,8,9,エクストラバック,7,202607180201111009,(28.8),,,,,,
260718,函館,10,3,3,ムチャスグラシアス,8,202607180201111003,(64.8),,,,,,
260718,函館,10,1,1,フミサウンド,9,202607180201111001,(18.4),,,,,,
260718,函館,10,2,2,ストリンジェンド,10,202607180201111002,(124.0),,,,,,
260718,函館,9,4,5,ドッグウッド,1,202607180201110905,220,120,600,720,1100,2420,8150
260718,函館,9,5,7,マイネルシンベリン,2,202607180201110907,(4.3),200,600,720,1100,2420,8150
260718,函館,9,4,4,グランセゾン,3,202607180201110904,(14.9),230,,,,2420,8150
260718,函館,9,2,2,アドミラルシップ,4,202607180201110902,(9.9),,,,,,
260718,函館,9,7,10,ディーリライズ,5,202607180201110910,(8.7),,,,,,
260718,函館,9,8,12,コウギョク,6,202607180201110912,(20.6),,,,,,
260718,函館,9,7,11,マイバラード,7,202607180201110911,(123.5),,,,,,
260718,函館,9,1,1,マカナアネラ,8,202607180201110901,(13.4),,,,,,
260718,函館,9,8,13,ゴーゴータカシ,9,202607180201110913,(11.1),,,,,,
260718,函館,9,3,3,ホウオウペトリュス,10,202607180201110903,(94.3),,,,,,
260718,函館,9,5,6,ビービーバザーク,11,202607180201110906,(66.3),,,,,,
260718,函館,9,6,9,ウインポセイドン,12,202607180201110909,(44.7),,,,,,
260718,函館,9,6,8,ハミルトン,13,202607180201110908,(56.9),,,,,,
260718,函館,8,5,6,マイネルゼウス,1,202607180201110806,2460,820,550,9910,25940,39440,361180
260718,函館,8,1,1,ワンダフルデイズ,2,202607180201110801,(11.8),630,550,9910,25940,39440,361180
260718,函館,8,3,3,バルドル,3,202607180201110803,(25.6),1510,,,,39440,361180
260718,函館,8,5,5,アーレムアレス,4,202607180201110805,(1.4),,,,,,
260718,函館,8,8,12,マテンロウオリジン,5,202607180201110812,(6.0),,,,,,
260718,函館,8,4,4,テイクザクラウン,6,202607180201110804,(17.1),,,,,,
260718,函館,8,6,7,アスクファイアモア,7,202607180201110807,(37.4),,,,,,
260718,函館,8,7,9,ペリプルス,8,202607180201110809,(88.0),,,,,,
260718,函館,8,2,2,シャインバオバブ,9,202607180201110802,(71.8),,,,,,
260718,函館,8,7,10,メイショウテンク,10,202607180201110810,(7.4),,,,,,
260718,函館,8,6,8,ジーティートシオー,11,202607180201110808,(222.5),,,,,,
260718,函館,8,8,11,エリナ,12,202607180201110811,(433.4),,,,,,
260718,函館,7,5,8,パラダイスフェイス,1,202607180201110708,310,140,400,530,960,17700,54560
260718,函館,7,7,11,ストロングボーイ,2,202607180201110711,(3.5),170,400,530,960,17700,54560
260718,函館,7,2,2,タイセイデクスター,3,202607180201110702,(90.2),1940,,,,17700,54560
260718,函館,7,5,7,グランセレスト,4,202607180201110707,(7.2),,,,,,
260718,函館,7,3,4,ディアスポラ,5,202607180201110704,(30.8),,,,,,
260718,函館,7,1,1,エンダードラゴン,6,202607180201110701,(8.2),,,,,,
260718,函館,7,6,10,タイセツナヒ,7,202607180201110710,(31.4),,,,,,
260718,函館,7,8,14,ホウオウバローロ,8,202607180201110714,(8.2),,,,,,
260718,函館,7,3,3,イサギ,9,202607180201110703,(38.6),,,,,,
260718,函館,7,4,6,ノリノドラゴン,10,202607180201110706,(31.8),,,,,,
260718,函館,7,7,12,カーマンライン,11,202607180201110712,(55.0),,,,,,
260718,函館,7,4,5,ウィズマスタング,12,202607180201110705,(9.6),,,,,,
260718,函館,7,6,9,シェーンルスカ,13,202607180201110709,(212.2),,,,,,
260718,函館,7,8,13,ガラスノブルース,14,202607180201110713,(143.0),,,,,,
260718,函館,6,8,12,ショウナンマルチ,1,202607180201110612,360,130,240,330,750,2460,9840
260718,函館,6,2,2,トリニタリオ,2,202607180201110602,(2.0),110,240,330,750,2460,9840
260718,函館,6,5,6,コスモクラシック,3,202607180201110606,(36.2),430,,,,2460,9840
260718,函館,6,6,7,カリドーラ,4,202607180201110607,(27.2),,,,,,
260718,函館,6,7,10,グローリーバローズ,5,202607180201110610,(41.9),,,,,,
260718,函館,6,8,11,ジュラトリー,6,202607180201110611,(8.8),,,,,,
260718,函館,6,4,4,エイシンリーガル,7,202607180201110604,(24.2),,,,,,
260718,函館,6,6,8,ホテルストリート,8,202607180201110608,(15.5),,,,,,
260718,函館,6,5,5,テンユウ,9,202607180201110605,(9.4),,,,,,
260718,函館,6,1,1,ファインブライト,10,202607180201110601,(75.1),,,,,,
260718,函館,6,7,9,イーサンミラー,11,202607180201110609,(21.0),,,,,,
260718,函館,6,3,3,ホウショウリュウ,12,202607180201110603,(184.3),,,,,,
260718,函館,5,5,8,ホウオウライセンス,1,202607180201110508,2450,830,21370,26010,47030,74210,490410
260718,函館,5,2,2,バンダムソレール,2,202607180201110502,(24.4),580,21370,26010,47030,74210,490410
260718,函館,5,4,6,イトシサ,3,202607180201110506,(6.2),260,,,,74210,490410
260718,函館,5,6,9,ペガサスウィンド,4,202607180201110509,(6.3),,,,,,
260718,函館,5,5,7,フロムザムーン,5,202607180201110507,(277.1),,,,,,
260718,函館,5,7,12,モンロワイヤル,6,202607180201110512,(4.4),,,,,,
260718,函館,5,8,14,メイショウセンドウ,7,202607180201110514,(4.8),,,,,,
260718,函館,5,1,1,サンオブザサン,8,202607180201110501,(13.4),,,,,,
260718,函館,5,8,13,レースクイーン,9,202607180201110513,(20.8),,,,,,
260718,函館,5,3,4,コウソクユノ,10,202607180201110504,(10.7),,,,,,
260718,函館,5,3,3,チャーチルデュース,11,202607180201110503,(10.2),,,,,,
260718,函館,5,4,5,ディープマウンテン,12,202607180201110505,(95.5),,,,,,
260718,函館,5,7,11,ルージュプルーヴ,13,202607180201110511,(60.4),,,,,,
260718,函館,5,6,10,ダノンアクション,14,202607180201110510,(13.3),,,,,,
260718,函館,4,4,8,ホウオウザロイヤル,1,202607180201110408,220,130,1290,2920,4150,4860,22380
260718,函館,4,3,5,レッドアイスピア,2,202607180201110405,(18.9),380,1290,2920,4150,4860,22380
260718,函館,4,2,3,スッサンエア,3,202607180201110403,(8.8),200,,,,4860,22380
260718,函館,4,8,15,ココソラーレ,4,202607180201110415,(15.1),,,,,,
260718,函館,4,3,6,ガルフコースト,5,202607180201110406,(19.1),,,,,,
260718,函館,4,1,2,イズントイット,6,202607180201110402,(17.2),,,,,,
260718,函館,4,1,1,ニシノオールワン,7,202607180201110401,(3.7),,,,,,
260718,函館,4,2,4,シバノパージャン,8,202607180201110404,(551.3),,,,,,
260718,函館,4,5,10,メカニックバレエ,9,202607180201110410,(40.9),,,,,,
260718,函館,4,4,7,オリヒメボシ,10,202607180201110407,(61.4),,,,,,
260718,函館,4,6,12,エルファリス,11,202607180201110412,(386.7),,,,,,
260718,函館,4,7,14,スノーガーネット,12,202607180201110414,(11.0),,,,,,
260718,函館,4,6,11,シュヴェスター,13,202607180201110411,(209.2),,,,,,
260718,函館,4,5,9,エコロデュラン,14,202607180201110409,(46.4),,,,,,
