日付,場所,Ｒ,枠番,馬番,馬名,確定着順,レースID(新),単勝配当,複勝配当,枠連,馬連,馬単,３連複,３連単
260308,中山,12,8,16,ポッドロワール,1,202603080602041216,710,260,920,3380,7030,23940,119030
260308,中山,12,2,4,ロードトレゾール,2,202603080602041204,(7.2),340,920,3380,7030,23940,119030
260308,中山,12,3,5,ビービーエフォート,3,202603080602041205,(26.9),640,,,,23940,119030
260308,中山,12,2,3,レザンノワール,4,202603080602041203,(11.3),,,,,,
260308,中山,12,6,12,メイショウミリオレ,5,202603080602041212,(98.3),,,,,,
260308,中山,12,3,6,アオイレーギーナ,6,202603080602041206,(4.1),,,,,,
260308,中山,12,1,2,トーセントラム,7,202603080602041202,(35.3),,,,,,
260308,中山,12,5,10,スムースベルベット,8,202603080602041210,(18.2),,,,,,
260308,中山,12,7,13,カリーシ,9,202603080602041213,(30.7),,,,,,
260308,中山,12,1,1,エクセルゴールド,10,202603080602041201,(104.0),,,,,,
260308,中山,12,4,8,ホウオウシェリー,11,202603080602041208,(8.9),,,,,,
260308,中山,12,5,9,ピースフルナイト,12,202603080602041209,(37.4),,,,,,
260308,中山,12,4,7,レイククレセント,13,202603080602041207,(5.6),,,,,,
260308,中山,12,7,14,ダイヤモンドフジ,14,202603080602041214,(326.1),,,,,,
260308,中山,12,6,11,ジャガード,15,202603080602041211,(221.6),,,,,,
260308,中山,12,8,15,ピコアーガイル,16,202603080602041215,(6.7),,,,,,
260308,中山,11,7,8,バステール,1,202603080602041108,630,140,1090,1060,2500,470,4820
260308,中山,11,4,4,ライヒスアドラー,2,202603080602041104,(2.7),110,1090,1060,2500,470,4820
260308,中山,11,6,6,アドマイヤクワッズ,3,202603080602041106,(2.2),110,,,,470,4820
260308,中山,11,5,5,タイダルロック,4,202603080602041105,(8.5),,,,,,
260308,中山,11,7,7,モウエエデショー,5,202603080602041107,(150.0),,,,,,
260308,中山,11,3,3,コスモギガンティア,6,202603080602041103,(104.6),,,,,,
260308,中山,11,1,1,ステラスペース,7,202603080602041101,(17.9),,,,,,
260308,中山,11,8,10,バリオス,8,202603080602041110,(18.2),,,,,,
260308,中山,11,8,9,アメテュストス,9,202603080602041109,(37.5),,,,,,
260308,中山,11,2,2,メイショウソラリス,10,202603080602041102,(61.5),,,,,,
260308,中山,10,5,9,ブレイクフォース,1,202603080602041009,1400,350,1130,3330,8870,12630,84490
260308,中山,10,8,14,アクションプラン,2,202603080602041014,(7.7),220,1130,3330,8870,12630,84490
260308,中山,10,7,13,ミッキーヌチバナ,3,202603080602041013,(20.6),500,,,,12630,84490
260308,中山,10,6,11,クラウンシエンタ,4,202603080602041011,(15.3),,,,,,
260308,中山,10,5,8,レヴォントゥレット,5,202603080602041008,(4.0),,,,,,
260308,中山,10,3,5,ルヴァンユニベール,6,202603080602041005,(15.6),,,,,,
260308,中山,10,7,12,アマンテビアンコ,7,202603080602041012,(5.5),,,,,,
260308,中山,10,3,4,リチュアル,8,202603080602041004,(12.1),,,,,,
260308,中山,10,4,6,ショウナンライシン,9,202603080602041006,(69.5),,,,,,
260308,中山,10,6,10,ハグ,10,202603080602041010,(15.3),,,,,,
260308,中山,10,1,1,イムホテプ,11,202603080602041001,(4.9),,,,,,
260308,中山,10,8,15,マンマリアーレ,12,202603080602041015,(98.7),,,,,,
260308,中山,10,4,7,アスクデビューモア,13,202603080602041007,(35.9),,,,,,
260308,中山,10,2,2,シェットランド,14,202603080602041002,(262.1),,,,,,
260308,中山,10,2,3,ミアネーロ,15,202603080602041003,(23.1),,,,,,
260308,中山,9,1,1,マイユニバース,1,202603080602040901,220,120,340,360,620,780,2430
260308,中山,9,8,16,トリプルコーク,2,202603080602040916,(2.7),110,340,360,620,780,2430
260308,中山,9,6,11,バレンタインガール,3,202603080602040911,(8.3),160,,,,780,2430
260308,中山,9,3,5,ショウナンサムデイ,4,202603080602040905,(33.2),,,,,,
260308,中山,9,8,15,エコロレイズ,5,202603080602040915,(54.6),,,,,,
260308,中山,9,2,4,アスターブジエ,6,202603080602040904,(29.1),,,,,,
260308,中山,9,4,7,ルカランフィースト,7,202603080602040907,(42.8),,,,,,
260308,中山,9,2,3,ガジュノリ,8,202603080602040903,(40.4),,,,,,
260308,中山,9,7,14,ウインルーティン,9,202603080602040914,(98.4),,,,,,
260308,中山,9,4,8,マイネルブリックス,10,202603080602040908,(223.3),,,,,,
260308,中山,9,5,10,ヤマニンエンディマ,11,202603080602040910,(112.9),,,,,,
260308,中山,9,3,6,レッドテリオス,12,202603080602040906,(8.0),,,,,,
260308,中山,9,1,2,リンフレスカンテ,13,202603080602040902,(141.1),,,,,,
260308,中山,9,6,12,ロードオールライト,14,202603080602040912,(88.8),,,,,,
260308,中山,9,5,9,コスモフロイデ,15,202603080602040909,(380.4),,,,,,
260308,中山,9,7,13,ノーランサンライズ,16,202603080602040913,(64.8),,,,,,
260308,中山,8,4,5,ラオラシオン,1,202603080602040805,13220,6550,3960,30240,105140,93170,1431380
260308,中山,8,7,10,ミダース,2,202603080602040810,(4.4),380,3960,30240,105140,93170,1431380
260308,中山,8,2,2,リラゲイル,3,202603080602040802,(16.5),920,,,,93170,1431380
260308,中山,8,5,6,マンダリンボレロ,4,202603080602040806,(57.2),,,,,,
260308,中山,8,6,9,ライジンマル,5,202603080602040809,(32.2),,,,,,
260308,中山,8,1,1,セザンワールド,6,202603080602040801,(52.4),,,,,,
260308,中山,8,5,7,マーゴットゲイン,7,202603080602040807,(30.8),,,,,,
260308,中山,8,7,11,トルショー,8,202603080602040811,(162.7),,,,,,
260308,中山,8,4,4,ニューファウンド,9,202603080602040804,(21.2),,,,,,
260308,中山,8,3,3,ヴォルスター,10,202603080602040803,(99.6),,,,,,
260308,中山,8,8,13,ニシノブレイゼスト,11,202603080602040813,(20.2),,,,,,
260308,中山,8,8,12,リザードアイランド,12,202603080602040812,(1.4),,,,,,
260308,中山,8,6,8,ウインアクトゥール,13,202603080602040808,(31.3),,,,,,
260308,中山,7,4,4,ディールメーカー,1,202603080602040704,280,130,2350,5810,8450,5700,35230
260308,中山,7,8,10,サーディンラン,2,202603080602040710,(48.1),530,2350,5810,8450,5700,35230
260308,中山,7,3,3,ランズダウンロード,3,202603080602040703,(3.7),150,,,,5700,35230
260308,中山,7,2,2,ショーリバース,4,202603080602040702,(23.7),,,,,,
260308,中山,7,7,8,ベレーバスク,5,202603080602040708,(27.6),,,,,,
260308,中山,7,5,5,コルテオソレイユ,6,202603080602040705,(4.2),,,,,,
260308,中山,7,1,1,マルガ,7,202603080602040701,(4.8),,,,,,
260308,中山,7,8,11,ポペット,8,202603080602040711,(18.2),,,,,,
260308,中山,7,6,6,ニシノセイドウ,9,202603080602040706,(39.8),,,,,,
260308,中山,7,6,7,アグネスクレスト,10,202603080602040707,(194.1),,,,,,
260308,中山,7,7,9,トリスティ,11,202603080602040709,(325.9),,,,,,
260308,中山,6,5,10,マクミランテソーロ,1,202603080602040610,200,110,780,920,1380,1380,5750
260308,中山,6,4,7,ルイステソーロ,2,202603080602040607,(9.2),190,780,920,1380,1380,5750
260308,中山,6,2,3,カーヌスティ,3,202603080602040603,(4.4),140,,,,1380,5750
260308,中山,6,6,11,ブリックンクリック,4,202603080602040611,(41.7),,,,,,
260308,中山,6,6,12,サヨノジャンボリー,5,202603080602040612,(14.9),,,,,,
260308,中山,6,8,15,アースミューズ,6,202603080602040615,(113.9),,,,,,
260308,中山,6,7,13,アイアンソリッド,7,202603080602040613,(23.8),,,,,,
260308,中山,6,7,14,アルマーレシチー,8,202603080602040614,(60.5),,,,,,
260308,中山,6,1,2,ショウナンラリー,9,202603080602040602,(11.2),,,,,,
260308,中山,6,3,5,ルクスマーベリック,10,202603080602040605,(63.7),,,,,,
260308,中山,6,4,8,セイゲン,11,202603080602040608,(128.5),,,,,,
260308,中山,6,8,16,イェルマーク,12,202603080602040616,(47.3),,,,,,
260308,中山,6,3,6,エンジェルブリーズ,13,202603080602040606,(21.1),,,,,,
260308,中山,6,5,9,グルーヴィーオン,14,202603080602040609,(13.1),,,,,,
260308,中山,6,2,4,カーリングホリデー,15,202603080602040604,(360.7),,,,,,
260308,中山,6,1,1,ピクラリーダ,16,202603080602040601,(214.9),,,,,,
260308,中山,5,5,9,ラベルセーヌ,1,202603080602040509,1990,700,2540,90690,186830,426050,3075040
260308,中山,5,2,3,トーセンブリラーレ,2,202603080602040503,(137.0),2340,2540,90690,186830,426050,3075040
260308,中山,5,1,2,ランウェイミューズ,3,202603080602040502,(11.8),370,,,,426050,3075040
260308,中山,5,6,11,ベルランコントル,4,202603080602040511,(15.8),,,,,,
260308,中山,5,7,13,ショウナンサイオウ,5,202603080602040513,(4.0),,,,,,
260308,中山,5,5,10,コールリッジ,6,202603080602040510,(239.7),,,,,,
260308,中山,5,7,14,ポイズンオーク,7,202603080602040514,(43.7),,,,,,
260308,中山,5,4,7,カンティーナ,8,202603080602040507,(9.8),,,,,,
260308,中山,5,2,4,ハニージョー,9,202603080602040504,(2.0),,,,,,
260308,中山,5,8,15,ギリーカラム,10,202603080602040515,(14.7),,,,,,
260308,中山,5,1,1,ニシノマルガリート,11,202603080602040501,(33.1),,,,,,
260308,中山,5,8,16,アルペンローゼ,12,202603080602040516,(16.0),,,,,,
260308,中山,5,6,12,アレステリオス,13,202603080602040512,(107.6),,,,,,
260308,中山,5,4,8,フクスケ,14,202603080602040508,(487.5),,,,,,
260308,中山,5,3,6,フックセンチョウ,15,202603080602040506,(487.1),,,,,,
260308,中山,5,3,5,サンサブリミナル,16,202603080602040505,(345.3),,,,,,
260308,中山,4,3,4,バルサムノート,1,202603080602040404,300,140,360,370,750,7540,25720
260308,中山,4,1,1,シャンデルナゴル,2,202603080602040401,(2.3),110,360,370,750,7540,25720
260308,中山,4,4,6,モンツァフレイバー,3,202603080602040406,(103.0),920,,,,7540,25720
260308,中山,4,6,9,ロードヴァレンチ,4,202603080602040409,(4.1),,,,,,
260308,中山,4,6,10,ライラスター,5,202603080602040410,(17.4),,,,,,
260308,中山,4,2,2,ダスク,6,202603080602040402,(39.6),,,,,,
260308,中山,4,3,3,グラヴィテ,7,202603080602040403,(41.3),,,,,,
260308,中山,4,5,8,ニシノルアノーヴァ,8,202603080602040408,(61.5),,,,,,
260308,中山,4,7,12,ノーブルクライ,9,202603080602040412,(22.0),,,,,,
260308,中山,4,8,14,プレミアブルー,10,202603080602040414,(88.2),,,,,,
260308,中山,4,8,13,テイエムタワードン,11,202603080602040413,(249.8),,,,,,
260308,中山,4,5,7,ホウオウスターツ,12,202603080602040407,(271.8),,,,,,
260308,中山,4,4,5,グランナヴィール,13,202603080602040405,(19.9),,,,,,
260308,中山,4,7,11,ルーチェロッサ,14,202603080602040411,(183.8),,,,,,
260308,中山,3,8,13,ホノボノ,1,202603080602040313,1520,200,330,2970,6520,700,14350
260308,中山,3,2,2,マイネルゼーロス,2,202603080602040302,(4.9),140,330,2970,6520,700,14350
260308,中山,3,8,14,アラビアンドリーム,3,202603080602040314,(1.7),110,,,,700,14350
260308,中山,3,3,3,ラッキースウィッチ,4,202603080602040303,(6.5),,,,,,
260308,中山,3,1,1,アイムスティルミー,5,202603080602040301,(7.2),,,,,,
260308,中山,3,4,5,グランフィエスタ,6,202603080602040305,(80.8),,,,,,
260308,中山,3,3,4,カスターニエ,7,202603080602040304,(111.9),,,,,,
260308,中山,3,5,8,ウインエンブレム,8,202603080602040308,(39.6),,,,,,
260308,中山,3,4,6,ゲンパチミスティ,9,202603080602040306,(174.0),,,,,,
260308,中山,3,6,9,ロット,10,202603080602040309,(134.8),,,,,,
260308,中山,3,7,11,ロードキャリバー,11,202603080602040311,(492.7),,,,,,
260308,中山,3,5,7,アルファマリブ,12,202603080602040307,(17.4),,,,,,
260308,中山,3,7,12,ウルヴァリン,13,202603080602040312,(524.3),,,,,,
260308,中山,3,6,10,サンドッグ,14,202603080602040310,(89.0),,,,,,
260308,中山,2,4,7,デアプリームス,1,202603080602040207,480,160,360,610,1390,2140,10000
260308,中山,2,6,12,ツクバヴァンガード,2,202603080602040212,(2.4),110,360,610,1390,2140,10000
260308,中山,2,8,15,ベルオーシャン,3,202603080602040215,(11.2),220,,,,2140,10000
260308,中山,2,2,3,ライカ,4,202603080602040203,(12.1),,,,,,
260308,中山,2,4,8,マメーアップル,5,202603080602040208,(10.3),,,,,,
260308,中山,2,6,11,サリーアン,6,202603080602040211,(13.0),,,,,,
260308,中山,2,1,1,クアラトレンガヌ,7,202603080602040201,(293.0),,,,,,
260308,中山,2,3,5,セキテイロックス,8,202603080602040205,(252.9),,,,,,
260308,中山,2,2,4,アミナス,9,202603080602040204,(13.3),,,,,,
260308,中山,2,5,9,アイビーキラリ,10,202603080602040209,(287.2),,,,,,
260308,中山,2,1,2,ベアフォースワン,11,202603080602040202,(347.6),,,,,,
260308,中山,2,3,6,ヘリオドール,12,202603080602040206,(144.8),,,,,,
260308,中山,2,8,16,アイアンクラッド,13,202603080602040216,(6.5),,,,,,
260308,中山,2,5,10,スナップジジ,14,202603080602040210,(142.9),,,,,,
260308,中山,2,7,14,ジェイエルサーベイ,15,202603080602040214,(74.1),,,,,,
260308,中山,2,7,13,ハクサンスオーノ,16,202603080602040213,(66.4),,,,,,
260308,中山,1,8,16,ステイグローリアス,1,202603080602040116,1750,580,2340,3740,7730,26870,134500
260308,中山,1,7,14,キタノエピックアン,2,202603080602040114,(4.6),170,2340,3740,7730,26870,134500
260308,中山,1,8,15,セニング,3,202603080602040115,(33.0),720,,,,26870,134500
260308,中山,1,2,4,サーロー,4,202603080602040104,(43.7),,,,,,
260308,中山,1,6,12,ペタルズダンス,5,202603080602040112,(25.8),,,,,,
260308,中山,1,6,11,ルミテュット,6,202603080602040111,(3.5),,,,,,
260308,中山,1,4,8,スターキャンディ,7,202603080602040108,(231.4),,,,,,
260308,中山,1,7,13,トランセンコ,8,202603080602040113,(327.4),,,,,,
260308,中山,1,4,7,アンジュレーヌ,9,202603080602040107,(8.9),,,,,,
260308,中山,1,3,6,ペカリーナ,10,202603080602040106,(19.3),,,,,,
260308,中山,1,1,2,クイーンアン,11,202603080602040102,(4.7),,,,,,
260308,中山,1,3,5,マコトアタキギリ,12,202603080602040105,(138.4),,,,,,
260308,中山,1,1,1,カリドーラ,13,202603080602040101,(9.5),,,,,,
260308,中山,1,5,10,リベルタアーラ,14,202603080602040110,(142.5),,,,,,
260308,中山,1,5,9,パルミエ,15,202603080602040109,(10.3),,,,,,
260308,中山,1,2,3,スタートオブシー,16,202603080602040103,(313.8),,,,,,
260308,阪神,12,7,12,ニューオーリンズ,1,202603080901061212,200,140,370,540,750,1430,3870
260308,阪神,12,8,13,チュウワチーフ,2,202603080901061213,(4.8),170,370,540,750,1430,3870
260308,阪神,12,3,4,モズタチアガレ,3,202603080901061204,(14.0),250,,,,1430,3870
260308,阪神,12,5,7,カルパ,4,202603080901061207,(18.9),,,,,,
260308,阪神,12,4,6,フィリップ,5,202603080901061206,(38.6),,,,,,
260308,阪神,12,1,1,ストーンズ,6,202603080901061201,(8.6),,,,,,
260308,阪神,12,5,8,スナークシュンソウ,7,202603080901061208,(201.1),,,,,,
260308,阪神,12,6,10,リメンバーヒム,8,202603080901061210,(10.8),,,,,,
260308,阪神,12,3,3,ストラテージュ,9,202603080901061203,(44.4),,,,,,
260308,阪神,12,7,11,ペイドラロワール,10,202603080901061211,(7.1),,,,,,
260308,阪神,12,8,14,ダミエ,11,202603080901061214,(53.9),,,,,,
260308,阪神,12,6,9,サンライズプルート,12,202603080901061209,(86.3),,,,,,
260308,阪神,12,2,2,グラティアスミノル,13,202603080901061202,(274.4),,,,,,
260308,阪神,12,4,5,ワーズワース,0,202603080901061205,,,,,,,
260308,阪神,11,2,2,ドラゴンブースト,1,202603080901061102,880,310,2190,2500,4760,7490,34370
260308,阪神,11,6,8,サブマリーナ,2,202603080901061108,(4.6),170,2190,2500,4760,7490,34370
260308,阪神,11,5,6,グランディア,3,202603080901061106,(5.3),180,,,,7490,34370
260308,阪神,11,5,7,ヤマニンサンパ,4,202603080901061107,(49.2),,,,,,
260308,阪神,11,6,9,リラエンブレム,5,202603080901061109,(8.5),,,,,,
260308,阪神,11,7,11,ブルーミンデザイン,6,202603080901061111,(12.7),,,,,,
260308,阪神,11,1,1,トーセンリョウ,7,202603080901061101,(7.1),,,,,,
260308,阪神,11,4,4,ナムラエイハブ,8,202603080901061104,(7.3),,,,,,
260308,阪神,11,7,10,ブラックシールド,9,202603080901061110,(112.9),,,,,,
260308,阪神,11,4,5,テリオスララ,10,202603080901061105,(8.6),,,,,,
260308,阪神,11,8,12,トゥデイイズザデイ,11,202603080901061112,(53.6),,,,,,
260308,阪神,11,3,3,ショウナンマグマ,12,202603080901061103,(66.8),,,,,,
260308,阪神,11,8,13,ニホンピロキーフ,0,202603080901061113,(11.6),,,,,,
260308,阪神,10,1,1,ファインライン,1,202603080901061001,2390,700,7870,22670,32460,200190,1236180
260308,阪神,10,4,6,ネーヴェフレスカ,2,202603080901061006,(38.8),1080,7870,22670,32460,200190,1236180
260308,阪神,10,7,11,スイープアワーズ,2,202603080901061011,(21.4),520,8770,16010,32610,200190,1236180
260308,阪神,10,5,7,タイセイカレント,4,202603080901061007,(4.5),,,,,,
260308,阪神,10,5,8,ミナデオロ,5,202603080901061008,(8.0),,,,,,
260308,阪神,10,8,13,ウォーターガーベラ,6,202603080901061013,(10.5),,,,,,
260308,阪神,10,3,3,プッシュオン,7,202603080901061003,(18.0),,,,,,
260308,阪神,10,4,5,ケーブパール,8,202603080901061005,(16.0),,,,,,
260308,阪神,10,7,12,エイムフォーエース,9,202603080901061012,(125.8),,,,,,
260308,阪神,10,6,9,スマートワイス,10,202603080901061009,(7.8),,,,,,
260308,阪神,10,3,4,ユハンヌス,11,202603080901061004,(28.8),,,,,,
260308,阪神,10,2,2,フライングブレード,12,202603080901061002,(62.1),,,,,,
260308,阪神,10,6,10,ミストレス,13,202603080901061010,(96.3),,,,,,
260308,阪神,10,8,14,ミッキージュエリー,14,202603080901061014,(2.6),,,,,,
260308,阪神,9,3,3,カフジエメンタール,1,202603080901060903,390,230,,1150,2190,2090,8090
260308,阪神,9,6,6,ダノンセフィーロ,2,202603080901060906,(4.0),210,,1150,2190,2090,8090
260308,阪神,9,1,1,カレントゥルーシー,3,202603080901060901,(11.5),,,,,2090,8090
260308,阪神,9,2,2,サントルドパリ,4,202603080901060902,(6.4),,,,,,
260308,阪神,9,4,4,テーオーアルアイン,5,202603080901060904,(2.0),,,,,,
260308,阪神,9,5,5,キーンセンス,6,202603080901060905,(51.8),,,,,,
260308,阪神,8,5,5,ルクスフレンジー,1,202603080901060805,180,110,4600,3930,4680,6560,27690
260308,阪神,8,3,3,バトンインディ,2,202603080901060803,(70.5),810,4600,3930,4680,6560,27690
260308,阪神,8,6,6,ノボリクレバー,3,202603080901060806,(5.9),210,,,,6560,27690
260308,阪神,8,7,7,ショーダンサー,4,202603080901060807,(3.3),,,,,,
260308,阪神,8,8,9,タイガースパーク,5,202603080901060809,(9.6),,,,,,
260308,阪神,8,2,2,キングロコマイカイ,6,202603080901060802,(250.8),,,,,,
260308,阪神,8,8,8,マッスルバック,7,202603080901060808,(27.8),,,,,,
260308,阪神,8,4,4,メイショウソウセキ,8,202603080901060804,(44.7),,,,,,
260308,阪神,8,1,1,ハッピーダンチャン,9,202603080901060801,(22.8),,,,,,
260308,阪神,7,5,5,アスクコモンタレヴ,1,202603080901060705,140,110,470,440,570,6530,14870
260308,阪神,7,6,6,ジェルブロア,2,202603080901060706,(10.5),180,470,440,570,6530,14870
260308,阪神,7,2,2,イリスレーン,3,202603080901060702,(48.3),580,,,,6530,14870
260308,阪神,7,1,1,エレガンシア,4,202603080901060701,(5.6),,,,,,
260308,阪神,7,4,4,ハルフロンティア,5,202603080901060704,(181.8),,,,,,
260308,阪神,7,8,9,マイネルビスマルク,6,202603080901060709,(39.7),,,,,,
260308,阪神,7,7,7,ウインポセイドン,7,202603080901060707,(39.0),,,,,,
260308,阪神,7,8,8,ビゾー,8,202603080901060708,(6.0),,,,,,
260308,阪神,7,3,3,ワイドモヒート,9,202603080901060703,(27.7),,,,,,
260308,阪神,6,1,1,タイセイカイザー,1,202603080901060601,460,140,590,520,1170,730,3530
260308,阪神,6,5,5,ニヒトツーゼーア,2,202603080901060605,(2.2),110,590,520,1170,730,3530
260308,阪神,6,8,8,テンエースワン,3,202603080901060608,(4.4),120,,,,730,3530
260308,阪神,6,6,6,シーリュウシー,4,202603080901060606,(38.2),,,,,,
260308,阪神,6,8,9,ブルーストレイル,5,202603080901060609,(46.8),,,,,,
260308,阪神,6,3,3,オメガドライヴ,6,202603080901060603,(220.2),,,,,,
260308,阪神,6,7,7,メイショウピリカ,7,202603080901060607,(18.3),,,,,,
260308,阪神,6,4,4,シドニーホバート,8,202603080901060604,(4.9),,,,,,
260308,阪神,6,2,2,ワールドキッス,9,202603080901060602,(15.3),,,,,,
260308,阪神,5,4,8,ペンダント,1,202603080901060508,1560,330,1700,3260,7290,9560,81250
260308,阪神,5,6,11,シュネルアンジュ,2,202603080901060511,(3.3),170,1700,3260,7290,9560,81250
260308,阪神,5,7,13,グラシアムヘール,3,202603080901060513,(10.2),290,,,,9560,81250
260308,阪神,5,1,1,リーチグローリー,4,202603080901060501,(70.1),,,,,,
260308,阪神,5,8,16,クイーンズドリーム,5,202603080901060516,(11.1),,,,,,
260308,阪神,5,4,7,デールエルバハリ,6,202603080901060507,(146.1),,,,,,
260308,阪神,5,2,4,ジュワネング,7,202603080901060504,(14.7),,,,,,
260308,阪神,5,8,15,エイコーンドリーム,8,202603080901060515,(22.9),,,,,,
260308,阪神,5,6,12,メイショウコマチ,9,202603080901060512,(3.4),,,,,,
260308,阪神,5,3,5,マヴィ,10,202603080901060505,(57.2),,,,,,
260308,阪神,5,2,3,ルージュビバーチェ,11,202603080901060503,(8.2),,,,,,
260308,阪神,5,1,2,シャフメラン,12,202603080901060502,(38.2),,,,,,
260308,阪神,5,3,6,アーネストアイズ,13,202603080901060506,(11.1),,,,,,
260308,阪神,5,5,9,キタノファーンヒル,14,202603080901060509,(92.9),,,,,,
260308,阪神,5,7,14,ノーブルクラウド,15,202603080901060514,(159.3),,,,,,
260308,阪神,5,5,10,エスティヴァリス,16,202603080901060510,(116.1),,,,,,
260308,阪神,4,8,16,モンスエ,1,202603080901060416,410,130,800,590,1110,480,3200
260308,阪神,4,1,2,アニマレイ,2,202603080901060402,(3.6),110,800,590,1110,480,3200
260308,阪神,4,4,7,ルーポ,3,202603080901060407,(2.3),110,,,,480,3200
260308,阪神,4,3,5,サンライズジョー,4,202603080901060405,(55.4),,,,,,
260308,阪神,4,7,13,トモジャカトゥーラ,5,202603080901060413,(267.9),,,,,,
260308,阪神,4,5,10,ワイドシャッフエン,6,202603080901060410,(73.4),,,,,,
260308,阪神,4,7,14,ハギノギフテッド,7,202603080901060414,(15.7),,,,,,
260308,阪神,4,5,9,ソロンゴ,8,202603080901060409,(324.8),,,,,,
260308,阪神,4,1,1,コパノルーカス,9,202603080901060401,(404.6),,,,,,
260308,阪神,4,2,3,タイムレスラブ,10,202603080901060403,(740.4),,,,,,
260308,阪神,4,3,6,リヴァイ,11,202603080901060406,(6.0),,,,,,
260308,阪神,4,6,11,エボニードール,12,202603080901060411,(138.2),,,,,,
260308,阪神,4,4,8,マリノムーンリーフ,13,202603080901060408,(89.1),,,,,,
260308,阪神,4,8,15,ドナカサミエント,14,202603080901060415,(716.2),,,,,,
260308,阪神,4,2,4,テイエムテンジン,15,202603080901060404,(103.3),,,,,,
260308,阪神,4,6,12,タイキフォルティス,16,202603080901060412,(510.4),,,,,,
260308,阪神,3,8,14,ワザオギ,1,202603080901060314,200,110,250,280,550,1810,4580
260308,阪神,3,4,6,アメリカンイズム,2,202603080901060306,(3.0),130,250,280,550,1810,4580
260308,阪神,3,6,10,タイセイサーブル,3,202603080901060310,(28.9),320,,,,1810,4580
260308,阪神,3,5,7,ピエナオルカ,4,202603080901060307,(7.9),,,,,,
260308,阪神,3,7,11,ストロングボーイ,5,202603080901060311,(9.5),,,,,,
260308,阪神,3,4,5,ブクブクー,6,202603080901060305,(24.9),,,,,,
260308,阪神,3,1,1,サンライズジャッジ,7,202603080901060301,(107.4),,,,,,
260308,阪神,3,8,13,マイカラー,8,202603080901060313,(20.3),,,,,,
260308,阪神,3,3,3,レグラヴィエール,9,202603080901060303,(171.1),,,,,,
260308,阪神,3,2,2,サンセットロード,10,202603080901060302,(314.8),,,,,,
260308,阪神,3,3,4,トーレス,11,202603080901060304,(175.5),,,,,,
260308,阪神,3,6,9,ショーンバローズ,12,202603080901060309,(24.6),,,,,,
260308,阪神,3,5,8,ジャッキーバローズ,13,202603080901060308,(126.1),,,,,,
260308,阪神,3,7,12,イロゴルシ,14,202603080901060312,(234.1),,,,,,
260308,阪神,2,5,9,アームズレジェンド,1,202603080901060209,200,110,1030,1150,1470,810,3750
260308,阪神,2,4,7,アクアマイスター,2,202603080901060207,(14.3),180,1030,1150,1470,810,3750
260308,阪神,2,6,12,プレデンシア,3,202603080901060212,(2.6),110,,,,810,3750
260308,阪神,2,8,15,ルヴレアール,4,202603080901060215,(84.4),,,,,,
260308,阪神,2,3,6,マユナイト,5,202603080901060206,(46.6),,,,,,
260308,阪神,2,2,4,キャスケード,6,202603080901060204,(147.2),,,,,,
260308,阪神,2,7,13,イズジョーアザヤカ,7,202603080901060213,(266.2),,,,,,
260308,阪神,2,4,8,メッチャエエヤン,8,202603080901060208,(60.7),,,,,,
260308,阪神,2,1,2,アリディプラチノ,9,202603080901060202,(22.6),,,,,,
260308,阪神,2,5,10,チアフルラン,10,202603080901060210,(67.1),,,,,,
260308,阪神,2,2,3,タナスーペルノーバ,11,202603080901060203,(6.3),,,,,,
260308,阪神,2,7,14,ジャズホリック,12,202603080901060214,(207.5),,,,,,
