日付,場所,Ｒ,枠番,馬番,馬名,確定着順,レースID(新),単勝配当,複勝配当,枠連,馬連,馬単,３連複,３連単
260315,中山,12,8,16,クインズポラリス,1,202603150602061216,570,240,1970,6730,12600,19490,122650
260315,中山,12,6,11,ヒットミー,2,202603150602061211,(26.8),780,1970,6730,12600,19490,122650
260315,中山,12,3,5,シャンハイナイト,3,202603150602061205,(10.4),400,,,,19490,122650
260315,中山,12,2,4,ブエナディオサ,4,202603150602061204,(127.9),,,,,,
260315,中山,12,5,9,ガラク,5,202603150602061209,(4.1),,,,,,
260315,中山,12,2,3,シルフレイ,6,202603150602061203,(4.2),,,,,,
260315,中山,12,5,10,トキメキジニア,7,202603150602061210,(104.6),,,,,,
260315,中山,12,3,6,フォンメイリー,8,202603150602061206,(11.2),,,,,,
260315,中山,12,4,7,ルージュベルベット,9,202603150602061207,(31.3),,,,,,
260315,中山,12,1,2,チェルシー,10,202603150602061202,(8.8),,,,,,
260315,中山,12,1,1,ハヌル,11,202603150602061201,(92.6),,,,,,
260315,中山,12,6,12,イラーナ,12,202603150602061212,(23.9),,,,,,
260315,中山,12,8,15,ホウオウショコラ,13,202603150602061215,(6.6),,,,,,
260315,中山,12,7,14,スノークルーズ,14,202603150602061214,(263.7),,,,,,
260315,中山,12,7,13,フェリスチカ,15,202603150602061213,(229.0),,,,,,
260315,中山,12,4,8,ウインアリス,16,202603150602061208,(188.6),,,,,,
260315,中山,11,8,15,アウダーシア,1,202603150602061115,1940,460,1590,4410,12120,24850,170870
260315,中山,11,1,2,アスクエジンバラ,2,202603150602061102,(4.9),180,1590,4410,12120,24850,170870
260315,中山,11,7,14,アクロフェイズ,3,202603150602061114,(17.0),420,,,,24850,170870
260315,中山,11,8,16,サウンドムーブ,4,202603150602061116,(15.0),,,,,,
260315,中山,11,5,10,サノノグレーター,5,202603150602061110,(11.2),,,,,,
260315,中山,11,2,4,ラストスマイル,6,202603150602061104,(14.2),,,,,,
260315,中山,11,6,12,クレパスキュラー,7,202603150602061112,(2.0),,,,,,
260315,中山,11,4,8,マイネルシンベリン,8,202603150602061108,(85.3),,,,,,
260315,中山,11,7,13,ミスターライト,9,202603150602061113,(7.9),,,,,,
260315,中山,11,3,6,ガリレア,10,202603150602061106,(55.6),,,,,,
260315,中山,11,2,3,タイキルッジェーロ,11,202603150602061103,(71.0),,,,,,
260315,中山,11,4,7,ジーネキング,12,202603150602061107,(73.5),,,,,,
260315,中山,11,5,9,マカナアネラ,13,202603150602061109,(385.8),,,,,,
260315,中山,11,6,11,テルヒコウ,14,202603150602061111,(24.4),,,,,,
260315,中山,11,1,1,ロードレイジング,15,202603150602061101,(426.0),,,,,,
260315,中山,11,3,5,フレイムスター,16,202603150602061105,(312.1),,,,,,
260315,中山,10,3,5,ヴァルキリーバース,1,202603150602061005,780,230,1050,1230,2450,11270,59340
260315,中山,10,3,6,ジョイフルニュース,2,202603150602061006,(2.2),140,1050,1230,2450,11270,59340
260315,中山,10,8,16,レガーロデルシエロ,3,202603150602061016,(35.6),560,,,,11270,59340
260315,中山,10,8,15,ダノンエアズロック,4,202603150602061015,(6.7),,,,,,
260315,中山,10,4,7,ゾンニッヒ,5,202603150602061007,(91.4),,,,,,
260315,中山,10,1,2,ランフォーヴァウ,6,202603150602061002,(36.7),,,,,,
260315,中山,10,7,13,エンペラーズソード,7,202603150602061013,(11.8),,,,,,
260315,中山,10,2,3,アルビージャ,8,202603150602061003,(139.6),,,,,,
260315,中山,10,5,9,ダイシンヤマト,9,202603150602061009,(32.2),,,,,,
260315,中山,10,7,14,メイショウシンタケ,10,202603150602061014,(257.2),,,,,,
260315,中山,10,6,11,ランスオブカオス,11,202603150602061011,(3.7),,,,,,
260315,中山,10,5,10,タシット,12,202603150602061010,(134.5),,,,,,
260315,中山,10,1,1,アサヒ,13,202603150602061001,(204.4),,,,,,
260315,中山,10,4,8,フロムダスク,14,202603150602061008,(50.2),,,,,,
260315,中山,10,6,12,エエヤン,15,202603150602061012,(247.6),,,,,,
260315,中山,10,2,4,ニシノスーベニア,16,202603150602061004,(32.8),,,,,,
260315,中山,9,8,11,ロングウェイホーム,1,202603150602060911,1160,370,1170,3420,7320,5710,43220
260315,中山,9,5,5,オオタチ,2,202603150602060905,(5.1),170,1170,3420,7320,5710,43220
260315,中山,9,7,8,ソウルアンドジャズ,3,202603150602060908,(4.7),200,,,,5710,43220
260315,中山,9,8,10,オーシンハーフ,4,202603150602060910,(5.1),,,,,,
260315,中山,9,1,1,キャストロププ,5,202603150602060901,(7.8),,,,,,
260315,中山,9,6,6,ムジェロ,6,202603150602060906,(2.9),,,,,,
260315,中山,9,6,7,サトノシュトラーセ,7,202603150602060907,(15.9),,,,,,
260315,中山,9,7,9,インジケーター,8,202603150602060909,(48.6),,,,,,
260315,中山,9,3,3,スプレーフォール,9,202603150602060903,(274.1),,,,,,
260315,中山,9,4,4,イデアユウシン,10,202603150602060904,(269.0),,,,,,
260315,中山,9,2,2,アメリカンエール,11,202603150602060902,(192.1),,,,,,
260315,中山,8,1,1,インパクトシー,1,202603150602060801,270,100,200,860,1390,230,2000
260315,中山,8,7,7,ダノンミッション,2,202603150602060807,(4.6),100,200,860,1390,230,2000
260315,中山,8,7,8,クライスレリアーナ,3,202603150602060808,(1.9),100,,,,230,2000
260315,中山,8,4,4,ツルマウカタチ,4,202603150602060804,(17.4),,,,,,
260315,中山,8,6,6,シャンパンマーク,5,202603150602060806,(44.4),,,,,,
260315,中山,8,5,5,ネーブルオレンジ,6,202603150602060805,(69.7),,,,,,
260315,中山,8,8,10,ロゼル,7,202603150602060810,(48.3),,,,,,
260315,中山,8,3,3,コスモオピニオン,8,202603150602060803,(41.2),,,,,,
260315,中山,8,2,2,ヴェナートル,9,202603150602060802,(197.0),,,,,,
260315,中山,8,8,9,オリエンタルナイト,10,202603150602060809,(241.2),,,,,,
260315,中山,7,3,4,ハイヤーマーク,1,202603150602060704,410,140,1800,7060,10990,5150,45870
260315,中山,7,8,15,ニルマーネル,2,202603150602060715,(27.0),480,1800,7060,10990,5150,45870
260315,中山,7,4,7,ロジケープ,3,202603150602060707,(2.3),140,,,,5150,45870
260315,中山,7,2,2,ハッピーラッキー,4,202603150602060702,(18.8),,,,,,
260315,中山,7,1,1,グッドピース,5,202603150602060701,(5.0),,,,,,
260315,中山,7,8,14,マーゴットミスト,6,202603150602060714,(16.4),,,,,,
260315,中山,7,4,6,フォトンゲイザー,7,202603150602060706,(168.4),,,,,,
260315,中山,7,5,8,コパノトーマス,8,202603150602060708,(22.3),,,,,,
260315,中山,7,2,3,ホウオウヘッセン,9,202603150602060703,(11.7),,,,,,
260315,中山,7,6,10,フェーダーローター,10,202603150602060710,(78.7),,,,,,
260315,中山,7,6,11,ロンドンオービタル,11,202603150602060711,(15.4),,,,,,
260315,中山,7,5,9,セイウンアインス,12,202603150602060709,(307.0),,,,,,
260315,中山,7,7,13,ジャスパールビー,13,202603150602060713,(91.9),,,,,,
260315,中山,7,7,12,エムティリオ,14,202603150602060712,(293.8),,,,,,
260315,中山,7,3,5,シノン,15,202603150602060705,(395.5),,,,,,
260315,中山,6,3,5,ブレードサクセス,1,202603150602060605,490,220,1910,1980,3890,9990,50880
260315,中山,6,2,4,ニシノケンタマン,2,202603150602060604,(8.9),270,1910,1980,3890,9990,50880
260315,中山,6,4,7,ロードソルスティス,3,202603150602060607,(17.1),550,,,,9990,50880
260315,中山,6,6,12,ファルコンミノル,4,202603150602060612,(3.3),,,,,,
260315,中山,6,2,3,メトロポリターナ,5,202603150602060603,(57.5),,,,,,
260315,中山,6,5,9,ナムラジミー,6,202603150602060609,(16.4),,,,,,
260315,中山,6,5,10,スターエンブレム,7,202603150602060610,(10.0),,,,,,
260315,中山,6,4,8,ブリスキー,8,202603150602060608,(12.3),,,,,,
260315,中山,6,1,1,ジェシーテソーロ,9,202603150602060601,(71.1),,,,,,
260315,中山,6,1,2,タイキインドラ,10,202603150602060602,(5.8),,,,,,
260315,中山,6,8,16,ノアチュロス,11,202603150602060616,(93.7),,,,,,
260315,中山,6,8,15,テンミラージュ,12,202603150602060615,(397.2),,,,,,
260315,中山,6,3,6,アルプスオジョー,13,202603150602060606,(165.9),,,,,,
260315,中山,6,6,11,ブルーユンチェリー,14,202603150602060611,(165.0),,,,,,
260315,中山,6,7,14,イスタンテ,15,202603150602060614,(19.8),,,,,,
260315,中山,6,7,13,リュウジンマル,0,202603150602060613,(17.3),,,,,,
260315,中山,5,8,18,ダノンファンスター,1,202603150602060518,280,140,510,710,1220,6440,16240
260315,中山,5,7,14,ベアドッキューン,2,202603150602060514,(3.6),150,510,710,1220,6440,16240
260315,中山,5,5,10,ヴァルカンテソーロ,3,202603150602060510,(32.1),410,,,,6440,16240
260315,中山,5,7,15,マイネルリーヒム,4,202603150602060515,(19.8),,,,,,
260315,中山,5,2,3,グリーンガーネット,5,202603150602060503,(211.3),,,,,,
260315,中山,5,6,12,ランブルスコ,6,202603150602060512,(2.4),,,,,,
260315,中山,5,8,17,ナディア,7,202603150602060517,(92.3),,,,,,
260315,中山,5,2,4,ヴォンサクレ,8,202603150602060504,(224.4),,,,,,
260315,中山,5,6,11,ヘヴンリーサイン,9,202603150602060511,(388.2),,,,,,
260315,中山,5,7,13,ウインルナロッサ,10,202603150602060513,(202.9),,,,,,
260315,中山,5,4,7,ゴコウコイコイ,11,202603150602060507,(20.9),,,,,,
260315,中山,5,8,16,ナムラハンナ,12,202603150602060516,(450.7),,,,,,
260315,中山,5,1,2,ラブトゥエニイワン,13,202603150602060502,(126.1),,,,,,
260315,中山,5,4,8,ルサフィール,14,202603150602060508,(218.6),,,,,,
260315,中山,5,5,9,アデルバローズ,15,202603150602060509,(64.4),,,,,,
260315,中山,5,3,5,カムバックトゥミー,16,202603150602060505,(55.1),,,,,,
260315,中山,5,1,1,エイシンジザイテン,17,202603150602060501,(63.0),,,,,,
260315,中山,5,3,6,ソルテソーロ,18,202603150602060506,(304.1),,,,,,
260315,中山,4,1,2,スターサンサルー,1,202603150602060402,830,300,3770,6240,11330,23040,126150
260315,中山,4,7,13,ラショナルポイント,2,202603150602060413,(11.3),390,3770,6240,11330,23040,126150
260315,中山,4,2,4,ギンケイ,3,202603150602060404,(8.1),300,,,,23040,126150
260315,中山,4,3,6,ブルーサーマル,4,202603150602060406,(2.5),,,,,,
260315,中山,4,2,3,アーティラリー,5,202603150602060403,(13.3),,,,,,
260315,中山,4,1,1,オウケンハニー,6,202603150602060401,(19.3),,,,,,
