レースID(新),馬番,前走補9,前走補正
202607250101010302,2,50.0,68.0
202607250101010305,5,59.0,74.0
202607250101010406,6,80.0,98.0
202607250101010408,8,77.0,94.0
202607250101010409,9,59.0,78.0
202607250101010411,11,78.0,95.0
202607250101010412,12,63.0,75.0
202607250101010414,14,55.0,72.0
202607250101010603,3,54.0,72.0
202607250101010706,6,90.0,99.0
202607250101010708,8,83.0,99.0
202607250101010710,10,83.0,98.0
202607250101010712,12,90.0,99.0
202607250101010804,4,80.0,89.0
202607250101010806,6,70.0,80.0
202607250101010809,9,82.0,88.0
202607250101010902,2,52.0,61.0
202607250101010903,3,91.0,85.0
202607250101010905,5,84.0,102.0
202607250101010906,6,88.0,82.0
202607250101010907,7,79.0,85.0
202607250101011004,4,83.0,83.0
202607250101011201,1,89.0,89.0
202607250101011211,11,84.0,84.0
202607250402010403,3,83.0,99.0
202607250402010404,4,69.0,84.0
202607250402010405,5,57.0,74.0
202607250402010406,6,68.0,84.0
202607250402010408,8,66.0,81.0
202607250402010409,9,73.0,89.0
202607250402010412,12,53.0,68.0
202607250402010413,13,51.0,67.0
202607250402010414,14,86.0,102.0
202607250402010503,3,83.0,91.0
202607250402010504,4,86.0,95.0
202607250402010505,5,89.0,97.0
202607250402010508,8,82.0,90.0
202607250402010510,10,92.0,98.0
202607250402010511,11,91.0,97.0
202607250402010602,2,91.0,91.0
202607250402010604,4,87.0,87.0
202607250402010605,5,73.0,73.0
202607250402010606,6,91.0,91.0
202607250402010608,8,96.0,104.0
202607250402010613,13,94.0,94.0
202607250402010614,14,98.0,98.0
202607250402010615,15,91.0,99.0
202607250402010701,1,94.0,89.0
202607250402010702,2,103.0,97.0
202607250402010703,3,102.0,96.0
202607250402010705,5,98.0,92.0
202607250402010706,6,99.0,93.0
202607250402010707,7,96.0,90.0
202607250402010708,8,98.0,98.0
202607250402010709,9,98.0,92.0
202607250402010710,10,95.0,89.0
202607250402010712,12,96.0,88.0
202607250402010714,14,96.0,90.0
202607250402010716,16,105.0,99.0
202607250402010717,17,101.0,95.0
202607250402010802,2,71.0,79.0
202607250402010805,5,86.0,94.0
202607250402010808,8,89.0,99.0
202607250402011006,6,63.0,81.0
202607250402011008,8,26.0,44.0
202607250402011015,15,58.0,76.0
202607250402011101,1,77.0,92.0
202607250402011102,2,81.0,93.0
202607250402011103,3,73.0,90.0
202607250402011104,4,78.0,94.0
202607250402011105,5,67.0,83.0
202607250402011106,6,62.0,78.0
202607250402011107,7,69.0,83.0
202607250402011108,8,61.0,78.0
202607250402011109,9,62.0,78.0
202607250402011111,11,52.0,67.0
202607250402011113,13,55.0,71.0
202607250402011115,15,72.0,88.0
202607250402011117,17,67.0,85.0
202607250402011118,18,81.0,93.0
202607250402011201,1,88.0,93.0
202607250402011202,2,92.0,97.0
202607250402011203,3,90.0,99.0
202607250402011204,4,88.0,85.0
202607250402011205,5,92.0,97.0
202607250402011206,6,86.0,94.0
202607250402011207,7,67.0,75.0
202607250402011209,9,82.0,87.0
202607250402011211,11,89.0,97.0
202607250402011212,12,84.0,100.0
202607250402011213,13,82.0,91.0
202607250402011216,16,67.0,76.0
202607250402011217,17,80.0,88.0
202607250702010305,5,71.0,89.0
202607250702010306,6,80.0,99.0
202607250702010309,9,59.0,78.0
202607250702010310,10,77.0,96.0
202607250702010312,12,73.0,91.0
202607250702010401,1,15.0,32.0
202607250702010403,3,74.0,92.0
202607250702010408,8,79.0,97.0
202607250702010409,9,41.0,59.0
202607250702010413,13,75.0,93.0
202607250702010415,15,63.0,81.0
202607250702010503,3,71.0,88.0
202607250702010505,5,78.0,95.0
202607250702010507,7,68.0,83.0
202607250702010508,8,83.0,99.0
202607250702010510,10,67.0,85.0
202607250702010512,12,78.0,97.0
202607250702010513,13,67.0,82.0
202607250702010514,14,69.0,84.0
202607250702010601,1,88.0,88.0
202607250702010602,2,92.0,102.0
202607250702010603,3,92.0,92.0
202607250702010604,4,83.0,83.0
202607250702010605,5,93.0,93.0
202607250702010606,6,95.0,100.0
202607250702010608,8,87.0,87.0
202607250702010609,9,101.0,101.0
202607250702010610,10,93.0,93.0
202607250702010611,11,95.0,95.0
202607250702010613,13,96.0,101.0
202607250702010614,14,95.0,95.0
202607250702010616,16,84.0,84.0
202607250702010701,1,97.0,89.0
202607250702010702,2,80.0,72.0
202607250702010703,3,99.0,91.0
202607250702010707,7,112.0,90.0
202607250702010801,1,86.0,105.0
202607250702010802,2,89.0,97.0
202607250702010806,6,86.0,105.0
202607250702010808,8,100.0,78.0
202607250702010901,1,90.0,95.0
202607250702010902,2,92.0,108.0
202607250702010904,4,82.0,87.0
202607250702010905,5,80.0,85.0
202607250702010906,6,80.0,90.0
202607250702010908,8,42.0,52.0
202607250702010909,9,64.0,74.0
202607250702010911,11,82.0,87.0
202607250702010912,12,92.0,97.0
202607250702010913,13,78.0,88.0
202607250702010914,14,85.0,95.0
202607250702010916,16,85.0,90.0
202607250702011004,4,73.0,79.0
202607250702011006,6,80.0,89.0
202607250702011010,10,71.0,80.0
202607250702011102,2,52.0,62.0
202607250702011104,4,82.0,90.0
202607250702011106,6,88.0,93.0
202607250702011107,7,89.0,88.0
202607250702011207,7,71.0,89.0
202607250702011209,9,67.0,85.0
202607250702011212,12,71.0,90.0
202607250702011213,13,85.0,100.0
