レースID(新),馬番,前走補9,前走補正
202604180301030101,1,84.0,99.0
202604180301030102,2,74.0,89.0
202604180301030103,3,45.0,60.0
202604180301030104,4,68.0,84.0
202604180301030105,5,50.0,66.0
202604180301030106,6,76.0,91.0
202604180301030107,7,71.0,86.0
202604180301030108,8,73.0,88.0
202604180301030109,9,84.0,99.0
202604180301030110,10,73.0,88.0
202604180301030111,11,76.0,88.0
202604180301030112,12,63.0,78.0
202604180301030113,13,83.0,95.0
202604180301030114,14,81.0,96.0
202604180301030115,15,79.0,94.0
202604180301030116,16,78.0,93.0
202604180301030202,2,75.0,94.0
202604180301030203,3,76.0,95.0
202604180301030204,4,79.0,98.0
202604180301030205,5,76.0,95.0
202604180301030206,6,78.0,97.0
202604180301030207,7,69.0,86.0
202604180301030208,8,59.0,76.0
202604180301030209,9,73.0,90.0
202604180301030210,10,76.0,95.0
202604180301030211,11,68.0,86.0
202604180301030213,13,73.0,92.0
202604180301030216,16,72.0,89.0
202604180301030303,3,66.0,82.0
202604180301030304,4,63.0,78.0
202604180301030305,5,62.0,80.0
202604180301030306,6,82.0,98.0
202604180301030307,7,53.0,68.0
202604180301030308,8,73.0,88.0
202604180301030309,9,77.0,92.0
202604180301030310,10,76.0,90.0
202604180301030312,12,68.0,83.0
202604180301030313,13,75.0,90.0
202604180301030314,14,73.0,88.0
202604180301030315,15,74.0,89.0
202604180301030316,16,60.0,75.0
202604180301030401,1,56.0,74.0
202604180301030402,2,33.0,50.0
202604180301030403,3,64.0,80.0
202604180301030405,5,66.0,84.0
202604180301030406,6,71.0,87.0
202604180301030407,7,77.0,93.0
202604180301030410,10,80.0,97.0
202604180301030412,12,80.0,98.0
202604180301030413,13,68.0,86.0
202604180301030414,14,53.0,71.0
202604180301030415,15,72.0,90.0
202604180301030501,1,81.0,99.0
202604180301030502,2,74.0,89.0
202604180301030503,3,80.0,97.0
202604180301030504,4,73.0,92.0
202604180301030505,5,60.0,76.0
202604180301030506,6,49.0,66.0
202604180301030507,7,74.0,93.0
202604180301030508,8,85.0,102.0
202604180301030510,10,72.0,91.0
202604180301030512,12,64.0,83.0
202604180301030513,13,66.0,84.0
202604180301030514,14,83.0,101.0
202604180301030515,15,73.0,90.0
202604180301030516,16,57.0,74.0
202604180301030601,1,74.0,92.0
202604180301030602,2,74.0,93.0
202604180301030603,3,59.0,78.0
202604180301030604,4,63.0,80.0
202604180301030605,5,56.0,75.0
202604180301030606,6,70.0,88.0
202604180301030607,7,53.0,71.0
202604180301030608,8,70.0,88.0
202604180301030609,9,77.0,96.0
202604180301030610,10,76.0,95.0
202604180301030611,11,77.0,96.0
202604180301030612,12,71.0,90.0
202604180301030613,13,61.0,79.0
202604180301030614,14,51.0,69.0
202604180301030701,1,85.0,94.0
202604180301030702,2,82.0,91.0
202604180301030703,3,82.0,91.0
202604180301030704,4,78.0,87.0
202604180301030705,5,76.0,85.0
202604180301030706,6,78.0,87.0
202604180301030707,7,76.0,86.0
202604180301030708,8,87.0,96.0
202604180301030709,9,71.0,80.0
202604180301030710,10,86.0,95.0
202604180301030711,11,78.0,87.0
202604180301030712,12,63.0,72.0
202604180301030713,13,83.0,92.0
202604180301030714,14,85.0,94.0
202604180301030715,15,77.0,86.0
202604180301030801,1,75.0,84.0
202604180301030802,2,86.0,95.0
202604180301030803,3,88.0,97.0
202604180301030805,5,85.0,95.0
202604180301030806,6,73.0,82.0
202604180301030808,8,88.0,97.0
202604180301030809,9,48.0,58.0
202604180301030810,10,79.0,98.0
202604180301030811,11,90.0,100.0
202604180301030812,12,86.0,95.0
202604180301030813,13,82.0,91.0
202604180301030814,14,84.0,94.0
202604180301030815,15,65.0,75.0
202604180301030901,1,83.0,102.0
202604180301030902,2,87.0,71.0
202604180301030903,3,89.0,95.0
202604180301030904,4,81.0,100.0
202604180301030905,5,83.0,102.0
202604180301030906,6,97.0,81.0
202604180301030907,7,83.0,88.0
202604180301030908,8,89.0,95.0
202604180301030909,9,81.0,86.0
202604180301031001,1,91.0,99.0
202604180301031002,2,89.0,97.0
202604180301031003,3,89.0,97.0
202604180301031004,4,87.0,96.0
202604180301031005,5,83.0,91.0
202604180301031006,6,91.0,99.0
202604180301031007,7,90.0,98.0
202604180301031008,8,86.0,94.0
202604180301031101,1,84.0,84.0
202604180301031102,2,97.0,107.0
202604180301031103,3,94.0,94.0
202604180301031104,4,86.0,86.0
202604180301031105,5,93.0,93.0
202604180301031106,6,87.0,87.0
202604180301031107,7,92.0,92.0
202604180301031108,8,96.0,96.0
202604180301031110,10,93.0,93.0
202604180301031111,11,93.0,93.0
202604180301031112,12,92.0,92.0
202604180301031113,13,98.0,108.0
202604180301031114,14,85.0,85.0
202604180301031115,15,93.0,93.0
202604180301031201,1,82.0,91.0
202604180301031202,2,85.0,94.0
202604180301031203,3,71.0,80.0
202604180301031204,4,75.0,84.0
202604180301031205,5,87.0,96.0
202604180301031206,6,82.0,91.0
202604180301031207,7,84.0,93.0
202604180301031208,8,85.0,94.0
202604180301031209,9,87.0,96.0
202604180301031210,10,85.0,94.0
202604180301031212,12,86.0,95.0
202604180301031213,13,86.0,95.0
202604180301031214,14,86.0,95.0
202604180301031215,15,86.0,95.0
202604180301031216,16,82.0,91.0
202604180603070101,1,67.0,82.0
202604180603070102,2,82.0,97.0
202604180603070103,3,45.0,63.0
202604180603070104,4,82.0,97.0
202604180603070106,6,74.0,89.0
202604180603070107,7,64.0,79.0
202604180603070108,8,59.0,74.0
202604180603070109,9,74.0,89.0
202604180603070110,10,68.0,83.0
202604180603070111,11,73.0,88.0
202604180603070112,12,82.0,97.0
202604180603070113,13,61.0,76.0
202604180603070114,14,70.0,88.0
202604180603070115,15,86.0,102.0
202604180603070201,1,78.0,96.0
202604180603070202,2,52.0,71.0
202604180603070203,3,53.0,69.0
202604180603070204,4,79.0,94.0
202604180603070205,5,77.0,95.0
202604180603070206,6,81.0,99.0
202604180603070207,7,66.0,84.0
202604180603070208,8,77.0,95.0
202604180603070209,9,56.0,74.0
202604180603070210,10,74.0,92.0
202604180603070211,11,80.0,96.0
202604180603070301,1,67.0,83.0
202604180603070302,2,61.0,76.0
202604180603070303,3,60.0,75.0
202604180603070304,4,78.0,93.0
202604180603070305,5,67.0,83.0
202604180603070306,6,42.0,60.0
202604180603070307,7,82.0,97.0
202604180603070309,9,84.0,99.0
202604180603070310,10,80.0,95.0
202604180603070311,11,88.0,103.0
202604180603070312,12,59.0,74.0
202604180603070313,13,70.0,85.0
202604180603070314,14,65.0,79.0
202604180603070402,2,60.0,79.0
202604180603070403,3,80.0,98.0
202604180603070405,5,79.0,96.0
202604180603070406,6,45.0,63.0
202604180603070407,7,80.0,98.0
202604180603070408,8,88.0,106.0
202604180603070409,9,66.0,82.0
202604180603070410,10,80.0,97.0
202604180603070411,11,75.0,93.0
202604180603070412,12,49.0,67.0
202604180603070413,13,63.0,81.0
202604180603070501,1,66.0,82.0
202604180603070502,2,57.0,76.0
202604180603070503,3,75.0,92.0
202604180603070504,4,66.0,83.0
202604180603070505,5,71.0,87.0
202604180603070506,6,72.0,89.0
202604180603070507,7,74.0,91.0
202604180603070508,8,82.0,99.0
202604180603070509,9,40.0,58.0
202604180603070510,10,40.0,59.0
202604180603070511,11,79.0,96.0
202604180603070512,12,64.0,83.0
202604180603070513,13,76.0,93.0
202604180603070514,14,68.0,87.0
202604180603070515,15,68.0,87.0
202604180603070516,16,79.0,96.0
202604180603070601,1,90.0,84.0
202604180603070602,2,92.0,97.0
202604180603070603,3,81.0,98.0
202604180603070604,4,46.0,64.0
202604180603070605,5,83.0,100.0
202604180603070606,6,85.0,102.0
202604180603070701,1,68.0,77.0
202604180603070703,3,87.0,95.0
202604180603070704,4,69.0,77.0
202604180603070705,5,65.0,73.0
202604180603070706,6,78.0,86.0
202604180603070707,7,81.0,100.0
202604180603070708,8,88.0,96.0
202604180603070709,9,90.0,98.0
202604180603070710,10,88.0,96.0
202604180603070801,1,80.0,89.0
202604180603070802,2,53.0,62.0
202604180603070803,3,90.0,99.0
202604180603070804,4,77.0,86.0
202604180603070805,5,82.0,91.0
202604180603070806,6,83.0,92.0
202604180603070810,10,58.0,67.0
202604180603070811,11,83.0,92.0
202604180603070812,12,81.0,90.0
202604180603070815,15,88.0,97.0
202604180603070816,16,91.0,100.0
202604180603070901,1,90.0,90.0
202604180603070902,2,95.0,95.0
202604180603070903,3,88.0,88.0
202604180603070904,4,95.0,95.0
202604180603070905,5,81.0,81.0
202604180603070906,6,94.0,94.0
202604180603070907,7,88.0,88.0
202604180603070908,8,89.0,89.0
202604180603070909,9,96.0,96.0
202604180603070910,10,92.0,92.0
202604180603070911,11,93.0,93.0
202604180603070912,12,96.0,96.0
202604180603071001,1,89.0,82.0
202604180603071002,2,99.0,92.0
202604180603071003,3,95.0,88.0
202604180603071004,4,101.0,95.0
202604180603071005,5,106.0,99.0
202604180603071006,6,91.0,84.0
202604180603071007,7,95.0,88.0
202604180603071008,8,105.0,98.0
202604180603071009,9,104.0,97.0
202604180603071010,10,101.0,94.0
202604180603071011,11,103.0,97.0
202604180603071012,12,99.0,99.0
202604180603071013,13,94.0,87.0
202604180603071201,1,84.0,84.0
202604180603071202,2,90.0,90.0
202604180603071203,3,88.0,88.0
202604180603071204,4,91.0,91.0
202604180603071205,5,100.0,100.0
202604180603071206,6,66.0,66.0
202604180603071207,7,98.0,107.0
202604180603071208,8,94.0,94.0
202604180603071209,9,90.0,90.0
202604180603071210,10,96.0,96.0
202604180603071212,12,95.0,95.0
202604180603071213,13,94.0,103.0
202604180902070101,1,62.0,78.0
202604180902070102,2,72.0,90.0
202604180902070103,3,76.0,94.0
202604180902070104,4,63.0,80.0
202604180902070105,5,60.0,78.0
202604180902070106,6,76.0,94.0
202604180902070107,7,70.0,88.0
202604180902070108,8,68.0,85.0
202604180902070109,9,78.0,96.0
202604180902070110,10,70.0,88.0
202604180902070111,11,74.0,90.0
202604180902070112,12,80.0,98.0
202604180902070113,13,51.0,68.0
202604180902070114,14,73.0,91.0
202604180902070115,15,71.0,89.0
202604180902070201,1,36.0,51.0
202604180902070204,4,89.0,104.0
202604180902070205,5,68.0,83.0
202604180902070206,6,87.0,102.0
202604180902070207,7,72.0,87.0
202604180902070208,8,77.0,92.0
202604180902070209,9,72.0,87.0
202604180902070211,11,72.0,87.0
202604180902070212,12,57.0,72.0
202604180902070213,13,74.0,89.0
202604180902070214,14,74.0,89.0
202604180902070215,15,65.0,80.0
202604180902070216,16,84.0,99.0
202604180902070301,1,66.0,84.0
202604180902070302,2,73.0,91.0
202604180902070303,3,71.0,89.0
202604180902070304,4,77.0,96.0
202604180902070305,5,71.0,89.0
202604180902070306,6,81.0,99.0
202604180902070307,7,71.0,90.0
202604180902070308,8,73.0,91.0
202604180902070309,9,80.0,99.0
202604180902070310,10,79.0,98.0
202604180902070311,11,80.0,98.0
202604180902070313,13,67.0,86.0
202604180902070314,14,77.0,96.0
202604180902070315,15,66.0,85.0
202604180902070401,1,70.0,87.0
202604180902070402,2,80.0,97.0
202604180902070403,3,79.0,97.0
202604180902070404,4,55.0,72.0
202604180902070405,5,83.0,101.0
202604180902070406,6,84.0,101.0
202604180902070407,7,56.0,75.0
202604180902070408,8,74.0,93.0
202604180902070409,9,76.0,93.0
202604180902070410,10,74.0,91.0
202604180902070411,11,76.0,93.0
202604180902070412,12,75.0,92.0
202604180902070413,13,77.0,94.0
202604180902070414,14,70.0,88.0
202604180902070417,17,75.0,92.0
202604180902070501,1,85.0,104.0
202604180902070503,3,92.0,97.0
202604180902070504,4,91.0,85.0
202604180902070505,5,84.0,103.0
202604180902070506,6,93.0,90.0
202604180902070601,1,81.0,99.0
202604180902070602,2,83.0,89.0
202604180902070603,3,94.0,100.0
202604180902070604,4,88.0,94.0
202604180902070605,5,66.0,71.0
202604180902070606,6,90.0,96.0
202604180902070607,7,94.0,100.0
202604180902070608,8,77.0,95.0
202604180902070609,9,80.0,98.0
202604180902070610,10,80.0,98.0
202604180902070611,11,85.0,91.0
202604180902070612,12,85.0,103.0
202604180902070613,13,81.0,86.0
202604180902070614,14,90.0,108.0
202604180902070615,15,87.0,93.0
202604180902070701,1,91.0,100.0
202604180902070702,2,91.0,99.0
202604180902070703,3,86.0,95.0
202604180902070704,4,81.0,89.0
202604180902070705,5,90.0,98.0
202604180902070706,6,80.0,89.0
202604180902070707,7,83.0,91.0
202604180902070708,8,76.0,85.0
202604180902070709,9,81.0,90.0
202604180902070710,10,81.0,90.0
202604180902070711,11,90.0,98.0
202604180902070712,12,89.0,97.0
202604180902070713,13,90.0,99.0
202604180902070714,14,87.0,95.0
202604180902070801,1,89.0,97.0
202604180902070802,2,83.0,91.0
202604180902070804,4,88.0,96.0
202604180902070806,6,79.0,87.0
202604180902070807,7,91.0,99.0
202604180902070808,8,88.0,96.0
202604180902070809,9,87.0,95.0
202604180902070901,1,95.0,104.0
202604180902070902,2,95.0,95.0
202604180902070903,3,98.0,98.0
202604180902070904,4,94.0,94.0
202604180902070905,5,84.0,84.0
202604180902070906,6,97.0,97.0
202604180902070907,7,90.0,90.0
202604180902070908,8,86.0,86.0
202604180902070909,9,94.0,94.0
202604180902070910,10,97.0,97.0
202604180902070911,11,92.0,92.0
202604180902070912,12,93.0,103.0
202604180902070913,13,96.0,96.0
202604180902071001,1,98.0,98.0
202604180902071002,2,92.0,92.0
202604180902071003,3,77.0,77.0
202604180902071004,4,96.0,105.0
202604180902071005,5,86.0,86.0
202604180902071006,6,99.0,99.0
202604180902071007,7,97.0,97.0
202604180902071008,8,93.0,93.0
202604180902071009,9,91.0,91.0
202604180902071101,1,118.0,98.0
202604180902071102,2,111.0,99.0
202604180902071103,3,111.0,99.0
202604180902071104,4,114.0,101.0
202604180902071105,5,103.0,91.0
202604180902071106,6,93.0,81.0
202604180902071107,7,108.0,92.0
202604180902071108,8,120.0,104.0
202604180902071109,9,98.0,86.0
202604180902071110,10,113.0,92.0
202604180902071112,12,97.0,77.0
202604180902071113,13,108.0,96.0
202604180902071114,14,105.0,93.0
202604180902071115,15,105.0,93.0
202604180902071116,16,115.0,102.0
202604180902071201,1,76.0,86.0
202604180902071202,2,78.0,87.0
202604180902071203,3,83.0,93.0
202604180902071204,4,78.0,87.0
202604180902071205,5,67.0,77.0
202604180902071206,6,88.0,98.0
202604180902071207,7,87.0,95.0
202604180902071208,8,87.0,96.0
202604180902071209,9,83.0,92.0
202604180902071210,10,88.0,98.0
202604180902071211,11,82.0,92.0
202604180902071212,12,87.0,96.0
202604180902071213,13,87.0,96.0
202604180902071214,14,83.0,92.0
202604180902071215,15,84.0,93.0
