レースID(新),馬番,前走補9,前走補正
202609130604040409,9,60.0,77.0
202609130604040804,4,83.0,93.0
202609130604040810,10,82.0,91.0
202609130604040811,11,83.0,88.0
202609130604040814,14,80.0,89.0
202609130604040901,1,93.0,98.0
202609130604040902,2,101.0,101.0
202609130604040903,3,96.0,96.0
202609130604041001,1,99.0,93.0
202609130604041003,3,105.0,105.0
202609130604041009,9,101.0,97.0
202609130604041102,2,109.0,85.0
202609130604041105,5,110.0,86.0
202609130604041108,8,114.0,90.0
202609130604041110,10,114.0,90.0
202609130604041112,12,109.0,87.0
202609130604041116,16,104.0,86.0
202609130904040702,2,92.0,97.0
202609130904040703,3,75.0,83.0
202609130904040711,11,84.0,89.0
202609130904040902,2,94.0,99.0
202609130904040903,3,91.0,99.0
202609130904040907,7,91.0,88.0
202609130904041001,1,91.0,83.0
202609130904041011,11,101.0,95.0
202609130904041013,13,92.0,86.0
202609130904041101,1,109.0,85.0
202609130904041102,2,110.0,86.0
202609130904041103,3,99.0,75.0
202609130904041106,6,94.0,100.0
202609130904041110,10,112.0,88.0
202609130904041112,12,108.0,91.0
202609130904041208,8,94.0,94.0
202609130904041209,9,91.0,91.0
202609130904041214,14,92.0,92.0
