レースID(新),馬番,前走補9,前走補正
202608090101060202,2,78.0,93.0
202608090101060204,4,59.0,77.0
202608090101060206,6,83.0,95.0
202608090101060207,7,68.0,83.0
202608090101060208,8,80.0,95.0
202608090101060209,9,87.0,99.0
202608090101060211,11,67.0,83.0
202608090101060212,12,81.0,95.0
202608090101060301,1,81.0,89.0
202608090101060302,2,85.0,94.0
202608090101060303,3,78.0,75.0
202608090101060304,4,90.0,98.0
202608090101060305,5,83.0,91.0
202608090101060309,9,47.0,65.0
202608090101060401,1,65.0,80.0
202608090101060402,2,82.0,99.0
202608090101060403,3,22.0,39.0
202608090101060404,4,69.0,84.0
202608090101060405,5,69.0,88.0
202608090101060409,9,66.0,84.0
202608090101060413,13,77.0,92.0
202608090101060602,2,76.0,95.0
202608090101060604,4,51.0,69.0
202608090101060605,5,80.0,99.0
202608090101060606,6,64.0,82.0
202608090101060609,9,80.0,99.0
202608090101060610,10,71.0,90.0
202608090101060611,11,80.0,98.0
202608090101060612,12,67.0,85.0
202608090101060614,14,76.0,94.0
202608090101060701,1,72.0,87.0
202608090101060703,3,74.0,93.0
202608090101060704,4,80.0,99.0
202608090101060706,6,62.0,78.0
202608090101060709,9,77.0,96.0
202608090101060710,10,70.0,87.0
202608090101060711,11,73.0,91.0
202608090101060713,13,73.0,90.0
202608090101060714,14,78.0,97.0
202608090101060715,15,62.0,81.0
202608090101060804,4,78.0,95.0
202608090101060805,5,80.0,98.0
202608090101060806,6,85.0,95.0
202608090101060807,7,76.0,94.0
202608090101060808,8,91.0,96.0
202608090101060810,10,74.0,79.0
202608090101060811,11,79.0,88.0
202608090101060812,12,89.0,98.0
202608090101060813,13,87.0,97.0
202608090101060814,14,95.0,104.0
202608090101060901,1,83.0,98.0
202608090101060902,2,88.0,105.0
202608090101060904,4,79.0,89.0
202608090101060905,5,86.0,95.0
202608090101060907,7,84.0,93.0
202608090101060909,9,86.0,101.0
202608090101060910,10,89.0,98.0
202608090101060911,11,90.0,95.0
202608090101060913,13,87.0,96.0
202608090101060914,14,88.0,96.0
202608090101060915,15,90.0,95.0
202608090101060916,16,80.0,97.0
202608090101061002,2,103.0,108.0
202608090101061003,3,96.0,96.0
202608090101061004,4,90.0,99.0
202608090101061006,6,67.0,82.0
202608090101061007,7,88.0,98.0
202608090101061008,8,92.0,102.0
202608090101061009,9,89.0,98.0
202608090101061010,10,87.0,87.0
202608090101061014,14,58.0,58.0
202608090101061101,1,103.0,95.0
202608090101061103,3,95.0,94.0
