レースID(新),馬番,前走補9,前走補正
202604260301060103,3,73.0,87.0
202604260301060105,5,83.0,95.0
202604260301060107,7,78.0,93.0
202604260301060108,8,54.0,69.0
202604260301060112,12,84.0,100.0
202604260301060116,16,58.0,73.0
202604260301060201,1,66.0,80.0
202604260301060204,4,90.0,105.0
202604260301060205,5,45.0,63.0
202604260301060206,6,66.0,81.0
202604260301060207,7,68.0,83.0
202604260301060208,8,41.0,56.0
202604260301060209,9,83.0,98.0
202604260301060210,10,80.0,95.0
202604260301060211,11,81.0,96.0
202604260301060212,12,74.0,90.0
202604260301060213,13,59.0,73.0
202604260301060216,16,72.0,87.0
202604260301060302,2,82.0,99.0
202604260301060305,5,72.0,87.0
202604260301060306,6,77.0,92.0
202604260301060307,7,72.0,90.0
202604260301060310,10,88.0,104.0
202604260301060313,13,51.0,70.0
202604260301060314,14,80.0,94.0
202604260301060403,3,71.0,86.0
202604260301060406,6,80.0,95.0
202604260301060408,8,75.0,89.0
202604260301060412,12,73.0,88.0
202604260301060414,14,85.0,99.0
202604260301060502,2,75.0,90.0
202604260301060506,6,60.0,76.0
202604260301060507,7,69.0,84.0
202604260301060509,9,68.0,85.0
202604260301060511,11,77.0,95.0
202604260301060513,13,57.0,76.0
202604260301060514,14,79.0,97.0
202604260301060602,2,71.0,79.0
202604260301060603,3,85.0,93.0
202604260301060604,4,87.0,95.0
202604260301060605,5,80.0,88.0
202604260301060606,6,61.0,80.0
202604260301060608,8,87.0,95.0
202604260301060610,10,89.0,97.0
202604260301060611,11,71.0,79.0
202604260301060613,13,85.0,93.0
202604260301060702,2,83.0,93.0
202604260301060703,3,85.0,93.0
202604260301060705,5,85.0,95.0
202604260301060706,6,87.0,97.0
202604260301060709,9,77.0,86.0
202604260301060711,11,82.0,91.0
202604260301060712,12,81.0,90.0
202604260301060713,13,80.0,97.0
202604260301060715,15,79.0,88.0
202604260301060801,1,90.0,99.0
202604260301060802,2,88.0,97.0
202604260301060803,3,79.0,88.0
202604260301060804,4,88.0,97.0
202604260301060805,5,82.0,91.0
202604260301060806,6,82.0,91.0
202604260301060807,7,78.0,87.0
202604260301060809,9,81.0,90.0
202604260301060810,10,82.0,90.0
202604260301060812,12,85.0,94.0
202604260301060813,13,79.0,89.0
202604260301060814,14,73.0,81.0
202604260301060815,15,88.0,97.0
202604260301060901,1,89.0,97.0
202604260301060902,2,87.0,95.0
202604260301060904,4,85.0,93.0
202604260301060905,5,80.0,89.0
202604260301060906,6,87.0,95.0
202604260301060907,7,88.0,96.0
202604260301060908,8,28.0,37.0
202604260301060910,10,86.0,94.0
202604260301060911,11,87.0,95.0
202604260301060912,12,86.0,104.0
202604260301060913,13,90.0,98.0
202604260301061001,1,99.0,99.0
202604260301061002,2,84.0,84.0
202604260301061003,3,90.0,100.0
202604260301061005,5,97.0,97.0
202604260301061006,6,82.0,82.0
202604260301061007,7,84.0,84.0
202604260301061008,8,88.0,98.0
202604260301061009,9,93.0,93.0
202604260301061011,11,80.0,80.0
202604260301061012,12,98.0,98.0
202604260301061013,13,65.0,74.0
202604260301061015,15,94.0,94.0
202604260301061101,1,93.0,85.0
202604260301061102,2,104.0,88.0
202604260301061103,3,99.0,93.0
202604260301061104,4,93.0,85.0
202604260301061105,5,106.0,98.0
202604260301061107,7,99.0,91.0
202604260301061109,9,103.0,95.0
202604260301061110,10,98.0,90.0
202604260301061111,11,100.0,90.0
202604260301061112,12,103.0,98.0
202604260301061113,13,106.0,98.0
202604260301061114,14,99.0,94.0
202604260301061115,15,99.0,91.0
202604260301061116,16,84.0,78.0
202604260301061202,2,90.0,100.0
202604260301061203,3,83.0,92.0
202604260301061204,4,75.0,84.0
202604260301061211,11,79.0,88.0
202604260301061212,12,82.0,92.0
202604260301061215,15,69.0,78.0
202604260502020102,2,80.0,95.0
202604260502020103,3,77.0,92.0
202604260502020105,5,82.0,96.0
202604260502020107,7,81.0,95.0
202604260502020108,8,82.0,96.0
202604260502020111,11,66.0,81.0
202604260502020112,12,81.0,96.0
202604260502020114,14,75.0,92.0
202604260502020116,16,70.0,85.0
202604260502020202,2,77.0,91.0
202604260502020204,4,80.0,98.0
202604260502020205,5,79.0,97.0
202604260502020209,9,74.0,92.0
202604260502020210,10,42.0,60.0
202604260502020301,1,76.0,91.0
202604260502020304,4,66.0,83.0
202604260502020307,7,78.0,95.0
202604260502020308,8,80.0,96.0
202604260502020309,9,81.0,97.0
202604260502020310,10,78.0,94.0
202604260502020312,12,66.0,80.0
202604260502020314,14,68.0,83.0
202604260502020316,16,86.0,102.0
202604260502020401,1,65.0,84.0
202604260502020403,3,75.0,94.0
202604260502020404,4,62.0,81.0
202604260502020406,6,74.0,93.0
202604260502020501,1,57.0,74.0
202604260502020502,2,70.0,85.0
202604260502020505,5,77.0,94.0
202604260502020506,6,68.0,83.0
202604260502020507,7,74.0,89.0
202604260502020509,9,,15.0
202604260502020511,11,76.0,93.0
202604260502020512,12,55.0,73.0
202604260502020513,13,79.0,96.0
202604260502020515,15,72.0,87.0
202604260502020516,16,76.0,93.0
202604260502020518,18,78.0,96.0
202604260502020601,1,93.0,88.0
202604260502020602,2,93.0,99.0
202604260502020603,3,79.0,84.0
202604260502020605,5,81.0,99.0
202604260502020606,6,81.0,99.0
202604260502020607,7,88.0,93.0
202604260502020701,1,82.0,92.0
202604260502020702,2,83.0,93.0
202604260502020704,4,71.0,79.0
202604260502020708,8,87.0,97.0
202604260502020712,12,87.0,96.0
202604260502020713,13,36.0,45.0
202604260502020714,14,91.0,101.0
202604260502020715,15,86.0,96.0
202604260502020716,16,83.0,92.0
202604260502020801,1,85.0,85.0
202604260502020802,2,97.0,97.0
202604260502020803,3,92.0,92.0
202604260502020804,4,91.0,101.0
202604260502020806,6,78.0,78.0
202604260502020808,8,75.0,85.0
202604260502020809,9,92.0,92.0
202604260502020811,11,96.0,96.0
202604260502020901,1,108.0,100.0
202604260502020902,2,97.0,91.0
202604260502020903,3,97.0,92.0
202604260502020904,4,93.0,89.0
202604260502020905,5,93.0,93.0
202604260502020906,6,102.0,96.0
202604260502020907,7,97.0,97.0
202604260502020908,8,105.0,99.0
202604260502020910,10,103.0,98.0
202604260502020911,11,104.0,96.0
202604260502020912,12,92.0,86.0
202604260502020913,13,97.0,90.0
202604260502020914,14,73.0,67.0
202604260502020915,15,98.0,98.0
202604260502020916,16,98.0,98.0
202604260502021001,1,105.0,99.0
202604260502021002,2,103.0,93.0
202604260502021003,3,109.0,99.0
202604260502021004,4,102.0,90.0
202604260502021005,5,107.0,100.0
202604260502021007,7,83.0,72.0
202604260502021008,8,82.0,72.0
202604260502021011,11,107.0,97.0
202604260502021012,12,109.0,86.0
202604260502021013,13,103.0,93.0
202604260502021015,15,100.0,92.0
202604260502021016,16,104.0,92.0
202604260502021101,1,85.0,102.0
202604260502021103,3,79.0,97.0
202604260502021104,4,83.0,98.0
202604260502021105,5,91.0,96.0
202604260502021106,6,82.0,99.0
202604260502021107,7,81.0,98.0
202604260502021108,8,87.0,102.0
202604260502021109,9,83.0,100.0
202604260502021110,10,73.0,92.0
202604260502021111,11,87.0,105.0
202604260502021112,12,93.0,83.0
202604260502021201,1,92.0,92.0
202604260502021204,4,73.0,73.0
202604260502021207,7,90.0,90.0
202604260502021208,8,92.0,92.0
202604260502021209,9,97.0,97.0
202604260502021210,10,89.0,99.0
202604260502021211,11,92.0,102.0
202604260502021212,12,94.0,94.0
202604260502021213,13,84.0,94.0
202604260502021214,14,93.0,103.0
202604260502021215,15,97.0,103.0
202604260502021216,16,96.0,96.0
202604260803020101,1,63.0,77.0
202604260803020103,3,72.0,88.0
202604260803020104,4,80.0,95.0
202604260803020107,7,64.0,81.0
202604260803020111,11,75.0,92.0
202604260803020113,13,82.0,97.0
202604260803020116,16,72.0,87.0
202604260803020202,2,53.0,70.0
202604260803020206,6,75.0,92.0
202604260803020211,11,41.0,59.0
202604260803020212,12,78.0,97.0
202604260803020213,13,53.0,68.0
202604260803020301,1,83.0,98.0
202604260803020305,5,75.0,92.0
202604260803020306,6,79.0,94.0
202604260803020307,7,80.0,92.0
202604260803020309,9,60.0,78.0
202604260803020310,10,82.0,97.0
202604260803020311,11,79.0,94.0
202604260803020312,12,36.0,54.0
202604260803020313,13,83.0,98.0
202604260803020314,14,73.0,87.0
202604260803020315,15,80.0,95.0
202604260803020316,16,73.0,88.0
202604260803020318,18,70.0,85.0
202604260803020502,2,63.0,81.0
202604260803020503,3,62.0,78.0
202604260803020508,8,80.0,98.0
202604260803020509,9,74.0,92.0
202604260803020511,11,78.0,93.0
202604260803020512,12,75.0,94.0
202604260803020602,2,89.0,105.0
202604260803020605,5,89.0,104.0
202604260803020607,7,82.0,99.0
202604260803020608,8,83.0,88.0
202604260803020609,9,90.0,95.0
202604260803020701,1,77.0,94.0
202604260803020702,2,80.0,90.0
202604260803020703,3,88.0,96.0
202604260803020704,4,80.0,88.0
202604260803020705,5,64.0,72.0
202604260803020706,6,79.0,87.0
202604260803020707,7,71.0,80.0
202604260803020708,8,81.0,91.0
202604260803020709,9,81.0,90.0
202604260803020714,14,83.0,91.0
202604260803020803,3,96.0,105.0
202604260803020804,4,84.0,94.0
202604260803020805,5,85.0,94.0
202604260803020808,8,80.0,90.0
202604260803020809,9,74.0,82.0
202604260803020810,10,87.0,97.0
202604260803020813,13,84.0,94.0
202604260803020814,14,63.0,72.0
202604260803020901,1,91.0,99.0
202604260803020902,2,100.0,100.0
202604260803020903,3,94.0,94.0
202604260803020904,4,94.0,94.0
202604260803020905,5,87.0,95.0
202604260803020906,6,94.0,94.0
202604260803020907,7,92.0,92.0
202604260803020908,8,91.0,99.0
202604260803020909,9,92.0,92.0
202604260803020910,10,93.0,93.0
202604260803020911,11,87.0,96.0
202604260803021001,1,105.0,97.0
202604260803021003,3,103.0,95.0
202604260803021004,4,99.0,99.0
202604260803021005,5,99.0,99.0
202604260803021007,7,106.0,98.0
202604260803021008,8,99.0,99.0
202604260803021009,9,93.0,85.0
202604260803021010,10,91.0,91.0
202604260803021011,11,101.0,101.0
202604260803021013,13,100.0,100.0
202604260803021015,15,100.0,92.0
202604260803021016,16,101.0,93.0
202604260803021017,17,101.0,101.0
202604260803021018,18,105.0,97.0
202604260803021101,1,40.0,28.0
202604260803021102,2,117.0,94.0
202604260803021103,3,101.0,93.0
202604260803021104,4,109.0,94.0
202604260803021105,5,112.0,97.0
202604260803021106,6,112.0,97.0
202604260803021107,7,101.0,93.0
202604260803021108,8,113.0,98.0
202604260803021110,10,118.0,95.0
202604260803021111,11,107.0,92.0
202604260803021112,12,113.0,95.0
202604260803021113,13,93.0,83.0
202604260803021114,14,107.0,84.0
202604260803021116,16,108.0,85.0
202604260803021117,17,112.0,86.0
202604260803021118,18,110.0,95.0
202604260803021201,1,92.0,92.0
202604260803021202,2,86.0,96.0
202604260803021203,3,90.0,99.0
202604260803021204,4,91.0,91.0
202604260803021206,6,98.0,98.0
202604260803021207,7,85.0,85.0
202604260803021208,8,96.0,105.0
202604260803021209,9,88.0,98.0
202604260803021210,10,96.0,96.0
202604260803021211,11,96.0,96.0
