レースID(新),馬番,前走補9,前走補正
202607040201070202,2,68.0,86.0
202607040201070203,3,80.0,99.0
202607040201070204,4,65.0,82.0
202607040201070205,5,72.0,91.0
202607040201070206,6,78.0,93.0
202607040201070207,7,72.0,87.0
202607040201070208,8,67.0,82.0
202607040201070209,9,65.0,80.0
202607040201070210,10,74.0,93.0
202607040201070211,11,77.0,95.0
202607040201070214,14,68.0,83.0
202607040201070215,15,70.0,87.0
202607040201070216,16,72.0,87.0
202607040201070301,1,74.0,91.0
202607040201070302,2,74.0,92.0
202607040201070303,3,57.0,73.0
202607040201070305,5,75.0,90.0
202607040201070306,6,80.0,95.0
202607040201070312,12,78.0,95.0
202607040201070403,3,78.0,93.0
202607040201070404,4,61.0,78.0
202607040201070405,5,77.0,92.0
202607040201070407,7,72.0,89.0
202607040201070408,8,73.0,87.0
202607040201070410,10,71.0,86.0
202607040201070411,11,84.0,99.0
202607040201070412,12,69.0,84.0
202607040201070414,14,73.0,88.0
202607040201070415,15,79.0,95.0
202607040201070416,16,55.0,70.0
202607040201070602,2,79.0,97.0
202607040201070605,5,75.0,92.0
202607040201070606,6,67.0,84.0
202607040201070608,8,80.0,96.0
202607040201070613,13,75.0,93.0
202607040201070614,14,80.0,97.0
202607040201070702,2,71.0,86.0
202607040201070703,3,88.0,103.0
202607040201070704,4,68.0,80.0
202607040201070705,5,63.0,78.0
202607040201070706,6,88.0,97.0
202607040201070707,7,89.0,94.0
202607040201070708,8,86.0,91.0
202607040201070802,2,75.0,83.0
202607040201070803,3,87.0,104.0
202607040201070804,4,72.0,91.0
202607040201070806,6,79.0,87.0
202607040201070807,7,76.0,84.0
202607040201070902,2,88.0,97.0
202607040201070904,4,79.0,85.0
202607040201070905,5,87.0,95.0
202607040201070906,6,83.0,92.0
202607040201070907,7,82.0,79.0
202607040201070909,9,80.0,99.0
202607040201071001,1,90.0,100.0
202607040201071005,5,95.0,95.0
202607040201071006,6,78.0,78.0
202607040201071008,8,98.0,107.0
202607040201071009,9,61.0,70.0
202607040201071010,10,67.0,82.0
202607040201071011,11,92.0,92.0
202607040201071012,12,73.0,73.0
202607040201071013,13,99.0,99.0
202607040201071014,14,97.0,97.0
202607040201071103,3,102.0,94.0
202607040201071106,6,101.0,96.0
202607040201071107,7,90.0,95.0
202607040201071108,8,83.0,82.0
202607040201071110,10,100.0,94.0
202607040201071112,12,100.0,92.0
202607040201071113,13,101.0,96.0
202607040201071114,14,96.0,91.0
202607040201071202,2,89.0,106.0
202607040201071203,3,88.0,105.0
202607040201071204,4,73.0,91.0
202607040201071206,6,85.0,91.0
202607040201071207,7,84.0,93.0
202607040302030201,1,73.0,90.0
202607040302030203,3,81.0,100.0
202607040302030205,5,57.0,74.0
202607040302030207,7,75.0,93.0
202607040302030208,8,58.0,75.0
202607040302030211,11,73.0,92.0
202607040302030212,12,70.0,88.0
202607040302030214,14,70.0,89.0
202607040302030215,15,62.0,81.0
202607040302030216,16,69.0,88.0
202607040302030302,2,67.0,84.0
202607040302030303,3,53.0,68.0
202607040302030306,6,18.0,36.0
202607040302030308,8,79.0,97.0
202607040302030309,9,70.0,85.0
202607040302030313,13,60.0,78.0
202607040302030314,14,75.0,90.0
202607040302030315,15,77.0,93.0
202607040302030403,3,75.0,89.0
202607040302030405,5,54.0,69.0
202607040302030406,6,73.0,88.0
202607040302030409,9,83.0,98.0
202607040302030411,11,70.0,85.0
202607040302030412,12,78.0,93.0
202607040302030414,14,41.0,56.0
202607040302030416,16,73.0,88.0
202607040302030701,1,70.0,85.0
202607040302030704,4,78.0,93.0
202607040302030705,5,61.0,78.0
202607040302030706,6,80.0,95.0
202607040302030707,7,72.0,90.0
202607040302030708,8,76.0,94.0
202607040302030712,12,63.0,80.0
202607040302030713,13,75.0,92.0
202607040302030801,1,86.0,98.0
202607040302030802,2,67.0,76.0
202607040302030804,4,79.0,96.0
202607040302030807,7,80.0,97.0
202607040302030809,9,70.0,67.0
202607040302030812,12,82.0,91.0
202607040302030813,13,89.0,99.0
202607040302030814,14,86.0,96.0
202607040302030815,15,85.0,91.0
202607040302030902,2,87.0,95.0
202607040302030904,4,85.0,93.0
202607040302030905,5,76.0,84.0
202607040302030906,6,87.0,95.0
202607040302030907,7,87.0,87.0
202607040302030908,8,88.0,96.0
202607040302030909,9,82.0,100.0
202607040302030910,10,71.0,77.0
202607040302031001,1,97.0,97.0
202607040302031002,2,88.0,88.0
202607040302031004,4,93.0,93.0
202607040302031005,5,96.0,96.0
202607040302031007,7,88.0,88.0
202607040302031008,8,95.0,95.0
202607040302031009,9,80.0,80.0
202607040302031104,4,94.0,90.0
202607040302031106,6,100.0,96.0
202607040302031107,7,98.0,98.0
202607040302031108,8,95.0,95.0
202607040302031109,9,104.0,98.0
202607040302031201,1,69.0,78.0
202607040302031203,3,87.0,96.0
202607040302031204,4,56.0,65.0
202607040302031206,6,91.0,96.0
202607040302031207,7,87.0,96.0
202607040302031208,8,82.0,91.0
202607040302031209,9,86.0,95.0
202607040302031210,10,86.0,95.0
202607040302031212,12,83.0,88.0
202607040302031214,14,91.0,96.0
202607040302031215,15,81.0,93.0
202607041002030201,1,74.0,91.0
202607041002030205,5,54.0,69.0
202607041002030206,6,81.0,98.0
202607041002030209,9,79.0,95.0
202607041002030210,10,35.0,52.0
202607041002030213,13,84.0,98.0
202607041002030216,16,65.0,78.0
202607041002030217,17,74.0,86.0
202607041002030218,18,68.0,83.0
202607041002030302,2,63.0,81.0
202607041002030304,4,62.0,77.0
202607041002030305,5,65.0,83.0
202607041002030307,7,72.0,91.0
202607041002030308,8,75.0,93.0
202607041002030309,9,69.0,88.0
202607041002030310,10,74.0,92.0
202607041002030311,11,71.0,90.0
202607041002030314,14,71.0,89.0
202607041002030315,15,79.0,98.0
202607041002030316,16,49.0,66.0
202607041002030403,3,79.0,97.0
202607041002030405,5,66.0,84.0
202607041002030406,6,87.0,103.0
202607041002030409,9,56.0,74.0
202607041002030412,12,75.0,91.0
202607041002030414,14,71.0,89.0
202607041002030601,1,76.0,94.0
202607041002030602,2,60.0,79.0
202607041002030604,4,68.0,86.0
202607041002030606,6,83.0,101.0
202607041002030607,7,47.0,64.0
202607041002030608,8,58.0,75.0
202607041002030609,9,76.0,94.0
202607041002030610,10,59.0,77.0
202607041002030612,12,66.0,84.0
202607041002030613,13,75.0,94.0
202607041002030614,14,78.0,94.0
202607041002030615,15,79.0,97.0
202607041002030616,16,62.0,78.0
202607041002030702,2,37.0,54.0
202607041002030708,8,52.0,66.0
202607041002030709,9,79.0,98.0
202607041002030710,10,82.0,97.0
202607041002030711,11,75.0,93.0
202607041002030712,12,77.0,96.0
202607041002030713,13,86.0,101.0
202607041002030714,14,74.0,92.0
202607041002030716,16,80.0,97.0
202607041002030801,1,84.0,94.0
202607041002030802,2,84.0,93.0
202607041002030807,7,75.0,84.0
202607041002030809,9,85.0,97.0
202607041002030810,10,72.0,81.0
202607041002030811,11,79.0,88.0
202607041002030812,12,67.0,76.0
202607041002030905,5,83.0,92.0
202607041002030907,7,89.0,88.0
202607041002030909,9,83.0,100.0
202607041002030912,12,83.0,92.0
202607041002031002,2,78.0,78.0
202607041002031003,3,90.0,90.0
202607041002031004,4,99.0,99.0
202607041002031005,5,91.0,91.0
202607041002031006,6,91.0,81.0
202607041002031007,7,99.0,99.0
202607041002031008,8,95.0,95.0
202607041002031009,9,91.0,91.0
202607041002031010,10,91.0,91.0
202607041002031101,1,106.0,98.0
202607041002031103,3,101.0,101.0
202607041002031105,5,95.0,95.0
202607041002031106,6,103.0,95.0
202607041002031107,7,102.0,102.0
202607041002031108,8,98.0,90.0
202607041002031109,9,100.0,92.0
202607041002031110,10,96.0,90.0
202607041002031111,11,99.0,99.0
202607041002031112,12,100.0,92.0
202607041002031113,13,98.0,98.0
202607041002031114,14,91.0,91.0
202607041002031202,2,64.0,74.0
202607041002031205,5,82.0,91.0
202607041002031206,6,87.0,96.0
202607041002031207,7,64.0,78.0
202607041002031209,9,84.0,99.0
202607041002031210,10,88.0,97.0
202607041002031211,11,78.0,88.0
202607041002031212,12,86.0,101.0
