レースID(新),馬番,前走補9,前走補正
202608290102030101,1,61.0,79.0
202608290102030102,2,65.0,83.0
202608290102030103,3,77.0,95.0
202608290102030104,4,75.0,90.0
202608290102030105,5,65.0,82.0
202608290102030106,6,79.0,94.0
202608290102030108,8,72.0,91.0
202608290102030109,9,71.0,90.0
202608290102030110,10,79.0,97.0
202608290102030111,11,79.0,96.0
202608290102030112,12,72.0,89.0
202608290102030113,13,60.0,79.0
202608290102030114,14,79.0,94.0
202608290102030404,4,66.0,80.0
202608290102030405,5,86.0,102.0
202608290102030407,7,90.0,105.0
202608290102030408,8,74.0,89.0
202608290102030409,9,68.0,87.0
202608290102030411,11,75.0,89.0
202608290102030412,12,84.0,102.0
202608290102030602,2,73.0,90.0
202608290102030605,5,12.0,28.0
202608290102030606,6,63.0,80.0
202608290102030607,7,80.0,95.0
202608290102030608,8,80.0,97.0
202608290102030609,9,45.0,62.0
202608290102030611,11,81.0,99.0
202608290102030702,2,86.0,95.0
202608290102030703,3,87.0,96.0
202608290102030704,4,86.0,100.0
202608290102030705,5,90.0,95.0
202608290102030707,7,81.0,96.0
202608290102030709,9,86.0,101.0
202608290102030710,10,88.0,103.0
202608290102030712,12,77.0,86.0
202608290102030713,13,83.0,92.0
202608290102030714,14,85.0,94.0
202608290102030716,16,84.0,93.0
202608290102030802,2,66.0,83.0
202608290102030803,3,85.0,94.0
202608290102030804,4,81.0,98.0
202608290102030805,5,73.0,91.0
202608290102030806,6,75.0,92.0
202608290102030808,8,76.0,94.0
202608290102030809,9,87.0,92.0
202608290102030810,10,77.0,95.0
202608290102030902,2,88.0,97.0
202608290102030905,5,86.0,95.0
202608290102030906,6,72.0,89.0
202608290102030910,10,81.0,89.0
202608290102030911,11,80.0,90.0
202608290102030912,12,92.0,101.0
202608290102031101,1,61.0,69.0
202608290102031102,2,96.0,96.0
202608290102031104,4,99.0,99.0
202608290102031106,6,86.0,94.0
202608290102031107,7,75.0,83.0
202608290102031108,8,90.0,98.0
202608290102031109,9,84.0,84.0
202608290102031110,10,86.0,86.0
202608290102031111,11,90.0,99.0
202608290102031112,12,97.0,97.0
202608290102031114,14,86.0,94.0
202608290102031201,1,73.0,73.0
202608290102031203,3,97.0,97.0
202608290102031204,4,99.0,99.0
202608290102031205,5,96.0,96.0
202608290102031206,6,89.0,98.0
202608290102031207,7,87.0,87.0
202608290102031210,10,78.0,93.0
202608290102031212,12,69.0,78.0
202608290403030202,2,68.0,85.0
202608290403030203,3,67.0,86.0
202608290403030205,5,67.0,85.0
202608290403030206,6,65.0,84.0
202608290403030208,8,80.0,97.0
202608290403030209,9,69.0,88.0
202608290403030210,10,77.0,94.0
202608290403030211,11,82.0,99.0
202608290403030213,13,68.0,85.0
202608290403030215,15,81.0,98.0
202608290403030501,1,72.0,89.0
202608290403030502,2,79.0,97.0
202608290403030503,3,74.0,92.0
202608290403030504,4,51.0,69.0
202608290403030507,7,79.0,98.0
202608290403030508,8,71.0,86.0
202608290403030509,9,73.0,88.0
202608290403030511,11,78.0,97.0
202608290403030513,13,67.0,86.0
202608290403030514,14,57.0,75.0
202608290403030515,15,75.0,92.0
202608290403030518,18,75.0,92.0
202608290403030601,1,74.0,92.0
202608290403030602,2,82.0,91.0
202608290403030603,3,103.0,109.0
202608290403030605,5,87.0,95.0
202608290403030607,7,87.0,96.0
202608290403030608,8,74.0,92.0
202608290403030610,10,76.0,86.0
202608290403030611,11,83.0,92.0
202608290403030612,12,61.0,78.0
202608290403030615,15,88.0,97.0
202608290403030701,1,88.0,97.0
202608290403030703,3,92.0,92.0
202608290403030704,4,91.0,91.0
202608290403030705,5,87.0,95.0
202608290403030706,6,92.0,92.0
202608290403030707,7,88.0,88.0
202608290403030708,8,92.0,100.0
202608290403030709,9,94.0,94.0
202608290403030710,10,92.0,92.0
202608290403030711,11,93.0,93.0
202608290403030712,12,86.0,104.0
202608290403030714,14,78.0,78.0
202608290403030715,15,91.0,100.0
202608290403030717,17,90.0,99.0
202608290403030805,5,105.0,93.0
202608290403030808,8,103.0,92.0
202608290403030809,9,100.0,90.0
202608290403030810,10,109.0,97.0
202608290403030811,11,91.0,91.0
202608290403030902,2,79.0,98.0
202608290403030903,3,87.0,95.0
202608290403030904,4,87.0,95.0
202608290403030905,5,72.0,80.0
202608290403030906,6,82.0,90.0
202608290403030907,7,87.0,87.0
202608290403030908,8,79.0,98.0
202608290403030909,9,59.0,78.0
202608290403030910,10,85.0,93.0
202608290403030911,11,79.0,97.0
202608290403030912,12,77.0,85.0
202608290403031002,2,77.0,86.0
202608290403031003,3,70.0,78.0
202608290403031004,4,70.0,85.0
202608290403031005,5,82.0,90.0
202608290403031006,6,89.0,94.0
202608290403031007,7,90.0,95.0
202608290403031009,9,90.0,106.0
202608290403031011,11,81.0,97.0
202608290403031012,12,83.0,88.0
202608290403031013,13,76.0,93.0
202608290403031014,14,89.0,88.0
202608290403031018,18,87.0,96.0
202608290403031101,1,77.0,92.0
202608290403031102,2,68.0,83.0
202608290403031103,3,80.0,99.0
202608290403031105,5,72.0,87.0
202608290403031108,8,59.0,76.0
202608290403031110,10,80.0,94.0
202608290403031112,12,60.0,75.0
202608290403031115,15,80.0,99.0
202608290403031116,16,73.0,89.0
202608290403031203,3,73.0,85.0
202608290403031205,5,28.0,43.0
202608290403031207,7,80.0,95.0
202608290403031208,8,70.0,85.0
202608290403031210,10,55.0,70.0
202608290403031211,11,70.0,85.0
202608290403031213,13,73.0,88.0
202608290403031214,14,76.0,91.0
202608290703030401,1,80.0,98.0
202608290703030402,2,53.0,71.0
202608290703030403,3,74.0,92.0
202608290703030406,6,71.0,89.0
202608290703030407,7,82.0,97.0
202608290703030409,9,72.0,91.0
202608290703030412,12,65.0,84.0
202608290703030415,15,61.0,79.0
202608290703030416,16,76.0,95.0
