レースID(新),馬番,前走補9,前走補正
202605170401060101,1,51.0,60.0
202605170401060102,2,87.0,87.0
202605170401060103,3,80.0,88.0
202605170401060108,8,89.0,89.0
202605170401060205,5,62.0,76.0
202605170401060302,2,81.0,95.0
202605170401060310,10,78.0,94.0
202605170401060313,13,47.0,65.0
202605170401060315,15,65.0,80.0
202605170401060507,7,79.0,96.0
202605170401060508,8,80.0,99.0
202605170401060509,9,57.0,76.0
202605170401060511,11,57.0,75.0
202605170401060515,15,65.0,80.0
202605170401060602,2,79.0,97.0
202605170401060606,6,77.0,95.0
202605170401060611,11,63.0,80.0
202605170401060703,3,81.0,90.0
202605170401060704,4,85.0,93.0
202605170401060705,5,62.0,80.0
202605170401060706,6,61.0,71.0
202605170401060710,10,87.0,95.0
202605170401060711,11,80.0,89.0
202605170401060712,12,87.0,95.0
202605170401060803,3,83.0,93.0
202605170401060810,10,77.0,86.0
202605170401060905,5,82.0,91.0
202605170401060906,6,68.0,77.0
202605170401060910,10,85.0,94.0
202605170401060911,11,70.0,79.0
202605170401060915,15,90.0,99.0
202605170401061002,2,98.0,98.0
202605170401061005,5,95.0,95.0
202605170401061006,6,92.0,92.0
202605170401061007,7,90.0,90.0
202605170401061010,10,94.0,94.0
202605170401061013,13,94.0,94.0
202605170401061014,14,93.0,102.0
202605170401061015,15,88.0,88.0
202605170401061101,1,92.0,85.0
202605170401061108,8,102.0,94.0
202605170401061109,9,99.0,91.0
202605170401061110,10,97.0,83.0
202605170401061113,13,99.0,91.0
202605170401061114,14,105.0,97.0
202605170401061116,16,101.0,93.0
202605170401061207,7,84.0,93.0
202605170502080111,11,61.0,75.0
202605170502080114,14,54.0,72.0
202605170502080201,1,76.0,92.0
202605170502080203,3,58.0,75.0
202605170502080205,5,74.0,92.0
202605170502080206,6,58.0,74.0
202605170502080210,10,79.0,97.0
202605170502080214,14,79.0,95.0
202605170502080404,4,72.0,87.0
202605170502080406,6,71.0,89.0
202605170502080407,7,63.0,81.0
202605170502080417,17,72.0,87.0
202605170502080502,2,68.0,86.0
202605170502080506,6,65.0,84.0
202605170502080507,7,49.0,67.0
202605170502080508,8,75.0,94.0
202605170502080510,10,70.0,89.0
202605170502080602,2,86.0,91.0
202605170502080604,4,90.0,87.0
202605170502080605,5,90.0,105.0
202605170502080606,6,89.0,106.0
202605170502080607,7,90.0,95.0
202605170502080701,1,78.0,95.0
202605170502080702,2,88.0,82.0
202605170502080704,4,88.0,93.0
202605170502080706,6,89.0,94.0
202605170502080707,7,87.0,104.0
202605170502080803,3,86.0,94.0
202605170502080808,8,87.0,95.0
202605170502080809,9,89.0,98.0
202605170502080810,10,79.0,87.0
202605170502080811,11,69.0,77.0
202605170502080902,2,93.0,93.0
202605170502080903,3,87.0,87.0
202605170502080904,4,92.0,101.0
202605170502080905,5,81.0,81.0
202605170502080906,6,78.0,78.0
202605170502080912,12,87.0,95.0
202605170502081001,1,93.0,99.0
202605170502081004,4,94.0,94.0
202605170502081006,6,87.0,97.0
202605170502081008,8,80.0,80.0
202605170502081009,9,93.0,103.0
202605170502081013,13,92.0,92.0
202605170502081101,1,109.0,94.0
202605170502081103,3,105.0,93.0
202605170502081104,4,112.0,86.0
202605170502081106,6,106.0,83.0
202605170502081107,7,119.0,93.0
202605170502081109,9,118.0,92.0
202605170502081110,10,113.0,98.0
202605170502081111,11,113.0,96.0
202605170502081114,14,112.0,90.0
202605170502081115,15,100.0,94.0
202605170502081116,16,117.0,100.0
202605170502081118,18,112.0,89.0
202605170502081201,1,80.0,76.0
202605170502081202,2,98.0,98.0
202605170502081203,3,89.0,98.0
202605170502081204,4,100.0,96.0
202605170502081207,7,96.0,92.0
202605170502081208,8,100.0,94.0
202605170502081210,10,100.0,100.0
202605170502081215,15,100.0,94.0
202605170803080106,6,70.0,85.0
202605170803080114,14,58.0,73.0
202605170803080205,5,66.0,82.0
202605170803080206,6,72.0,90.0
202605170803080207,7,37.0,54.0
202605170803080302,2,49.0,67.0
202605170803080401,1,74.0,89.0
202605170803080405,5,69.0,84.0
202605170803080407,7,65.0,84.0
202605170803080408,8,82.0,97.0
202605170803080409,9,78.0,92.0
202605170803080410,10,77.0,95.0
202605170803080411,11,81.0,98.0
202605170803080413,13,76.0,94.0
202605170803080415,15,68.0,83.0
202605170803080417,17,83.0,100.0
202605170803080501,1,66.0,84.0
202605170803080503,3,72.0,91.0
202605170803080505,5,78.0,93.0
202605170803080506,6,62.0,78.0
202605170803080604,4,86.0,104.0
202605170803080605,5,80.0,98.0
202605170803080606,6,84.0,101.0
202605170803080609,9,82.0,97.0
202605170803080610,10,75.0,92.0
202605170803080612,12,81.0,99.0
202605170803080616,16,96.0,113.0
202605170803080706,6,82.0,91.0
202605170803080709,9,88.0,96.0
202605170803080710,10,80.0,88.0
202605170803080712,12,88.0,96.0
202605170803080802,2,91.0,91.0
202605170803080803,3,99.0,99.0
202605170803080804,4,98.0,98.0
202605170803080806,6,82.0,91.0
202605170803080808,8,95.0,95.0
202605170803080904,4,92.0,92.0
202605170803080905,5,92.0,100.0
202605170803080906,6,89.0,97.0
202605170803080907,7,92.0,92.0
202605170803080908,8,75.0,83.0
202605170803080909,9,94.0,94.0
202605170803081001,1,107.0,99.0
202605170803081002,2,99.0,99.0
202605170803081003,3,103.0,103.0
202605170803081005,5,97.0,89.0
202605170803081006,6,100.0,92.0
202605170803081007,7,103.0,95.0
202605170803081008,8,100.0,100.0
202605170803081011,11,101.0,93.0
202605170803081012,12,84.0,84.0
202605170803081103,3,97.0,85.0
202605170803081104,4,100.0,88.0
202605170803081106,6,96.0,96.0
202605170803081111,11,101.0,101.0
202605170803081113,13,106.0,96.0
202605170803081116,16,101.0,91.0
202605170803081209,9,90.0,90.0
202605170803081211,11,96.0,96.0
202605170803081213,13,90.0,90.0
