レースID(新),馬番,前走補9,前走補正
202606270201050101,1,82.0,97.0
202606270201050103,3,74.0,89.0
202606270201050104,4,59.0,74.0
202606270201050105,5,52.0,67.0
202606270201050106,6,80.0,95.0
202606270201050108,8,76.0,91.0
202606270201050111,11,75.0,90.0
202606270201050112,12,78.0,93.0
202606270201050113,13,78.0,93.0
202606270201050114,14,79.0,95.0
202606270201050115,15,81.0,96.0
202606270201050116,16,79.0,95.0
202606270201050201,1,70.0,85.0
202606270201050203,3,63.0,78.0
202606270201050204,4,74.0,89.0
202606270201050205,5,84.0,99.0
202606270201050207,7,80.0,95.0
202606270201050208,8,80.0,92.0
202606270201050210,10,81.0,96.0
202606270201050211,11,80.0,95.0
202606270201050303,3,69.0,87.0
202606270201050312,12,76.0,93.0
202606270201050401,1,75.0,93.0
202606270201050402,2,78.0,96.0
202606270201050403,3,67.0,85.0
202606270201050407,7,73.0,91.0
202606270201050409,9,78.0,95.0
202606270201050411,11,79.0,96.0
202606270201050412,12,76.0,95.0
202606270201050413,13,73.0,92.0
202606270201050602,2,73.0,92.0
202606270201050603,3,81.0,98.0
202606270201050605,5,86.0,102.0
202606270201050609,9,75.0,93.0
202606270201050610,10,77.0,93.0
202606270201050703,3,75.0,80.0
202606270201050704,4,102.0,84.0
202606270201050708,8,79.0,84.0
202606270201050709,9,69.0,77.0
202606270201050801,1,95.0,100.0
202606270201050803,3,78.0,87.0
202606270201050807,7,82.0,87.0
202606270201050809,9,81.0,90.0
202606270201050904,4,90.0,99.0
202606270201051003,3,92.0,92.0
202606270201051004,4,95.0,95.0
202606270201051008,8,58.0,58.0
202606270201051009,9,41.0,41.0
202606270201051010,10,97.0,97.0
202606270201051011,11,51.0,51.0
202606270201051101,1,78.0,67.0
202606270201051102,2,93.0,75.0
202606270201051104,4,101.0,93.0
202606270201051105,5,103.0,95.0
202606270201051106,6,101.0,93.0
202606270201051107,7,104.0,96.0
202606270201051108,8,98.0,90.0
202606270201051109,9,102.0,94.0
202606270201051110,10,99.0,91.0
202606270201051111,11,95.0,85.0
202606270201051112,12,103.0,97.0
202606270201051113,13,100.0,92.0
202606270201051114,14,105.0,95.0
202606270201051202,2,64.0,70.0
202606270201051206,6,77.0,87.0
202606270302010201,1,61.0,78.0
202606270302010202,2,30.0,48.0
202606270302010204,4,81.0,97.0
202606270302010207,7,60.0,79.0
202606270302010208,8,77.0,94.0
202606270302010209,9,70.0,87.0
202606270302010210,10,55.0,72.0
202606270302010212,12,46.0,64.0
202606270302010213,13,64.0,79.0
