レースID(新),馬番,前走補9,前走補正
202606140201020102,2,83.0,98.0
202606140201020103,3,77.0,92.0
202606140201020104,4,45.0,62.0
202606140201020105,5,83.0,95.0
202606140201020106,6,76.0,91.0
202606140201020108,8,69.0,85.0
202606140201020109,9,75.0,90.0
202606140201020110,10,79.0,93.0
202606140201020112,12,59.0,73.0
202606140201020113,13,81.0,93.0
202606140201020114,14,81.0,96.0
202606140201020115,15,76.0,91.0
202606140201020202,2,61.0,80.0
202606140201020204,4,74.0,89.0
202606140201020205,5,80.0,96.0
202606140201020206,6,57.0,73.0
202606140201020207,7,58.0,76.0
202606140201020210,10,81.0,98.0
202606140201020302,2,56.0,71.0
202606140201020303,3,73.0,88.0
202606140201020304,4,54.0,70.0
202606140201020305,5,63.0,78.0
202606140201020306,6,85.0,97.0
202606140201020307,7,70.0,85.0
202606140201020308,8,72.0,90.0
202606140201020309,9,87.0,102.0
202606140201020310,10,61.0,77.0
202606140201020311,11,55.0,72.0
202606140201020312,12,74.0,89.0
202606140201020401,1,80.0,98.0
202606140201020402,2,76.0,94.0
202606140201020404,4,65.0,82.0
202606140201020405,5,77.0,95.0
202606140201020406,6,82.0,99.0
202606140201020407,7,72.0,90.0
202606140201020408,8,80.0,98.0
202606140201020410,10,62.0,78.0
202606140201020412,12,80.0,99.0
202606140201020413,13,77.0,95.0
202606140201020414,14,75.0,92.0
202606140201020415,15,68.0,80.0
202606140201020416,16,77.0,95.0
202606140201020601,1,74.0,93.0
202606140201020602,2,82.0,101.0
202606140201020603,3,47.0,65.0
202606140201020604,4,78.0,97.0
202606140201020605,5,55.0,73.0
202606140201020606,6,75.0,92.0
202606140201020610,10,73.0,90.0
202606140201020611,11,76.0,94.0
202606140201020612,12,65.0,80.0
202606140201020614,14,77.0,96.0
202606140201020702,2,91.0,106.0
202606140201020705,5,57.0,67.0
202606140201020706,6,82.0,91.0
202606140201020707,7,74.0,83.0
202606140201020708,8,76.0,91.0
202606140201020709,9,88.0,93.0
202606140201020710,10,56.0,65.0
202606140201020711,11,87.0,96.0
202606140201020712,12,77.0,86.0
202606140201020802,2,86.0,101.0
202606140201020803,3,75.0,91.0
202606140201020804,4,84.0,93.0
202606140201020805,5,84.0,93.0
202606140201020806,6,86.0,95.0
202606140201020807,7,87.0,96.0
202606140201020810,10,91.0,91.0
202606140201020811,11,72.0,80.0
202606140201020813,13,94.0,99.0
202606140201020904,4,78.0,96.0
202606140201020906,6,87.0,92.0
202606140201020907,7,86.0,95.0
202606140201020908,8,87.0,96.0
202606140201020910,10,89.0,94.0
202606140201021003,3,86.0,96.0
202606140201021004,4,97.0,97.0
202606140201021005,5,61.0,70.0
202606140201021006,6,61.0,61.0
202606140201021008,8,92.0,92.0
202606140201021009,9,77.0,87.0
202606140201021011,11,88.0,98.0
202606140201021012,12,95.0,95.0
202606140201021101,1,96.0,96.0
202606140201021102,2,83.0,82.0
202606140201021103,3,87.0,87.0
202606140201021104,4,95.0,95.0
202606140201021105,5,90.0,90.0
202606140201021106,6,75.0,85.0
202606140201021109,9,92.0,92.0
202606140201021110,10,84.0,84.0
202606140201021114,14,92.0,92.0
202606140201021115,15,81.0,81.0
202606140201021116,16,91.0,91.0
202606140201021201,1,79.0,88.0
202606140201021202,2,,16.0
202606140201021203,3,78.0,88.0
202606140201021204,4,88.0,98.0
202606140201021205,5,79.0,96.0
202606140201021206,6,73.0,91.0
202606140201021208,8,67.0,82.0
202606140201021209,9,73.0,83.0
202606140201021210,10,87.0,96.0
202606140503040101,1,71.0,87.0
202606140503040103,3,71.0,86.0
202606140503040104,4,51.0,67.0
202606140503040105,5,81.0,97.0
202606140503040107,7,77.0,92.0
202606140503040108,8,67.0,82.0
202606140503040110,10,58.0,72.0
202606140503040111,11,82.0,99.0
202606140503040112,12,46.0,61.0
202606140503040113,13,63.0,78.0
202606140503040115,15,80.0,96.0
202606140503040202,2,75.0,94.0
202606140503040203,3,27.0,45.0
202606140503040204,4,73.0,91.0
202606140503040205,5,67.0,85.0
202606140503040206,6,76.0,93.0
202606140503040208,8,80.0,99.0
202606140503040209,9,78.0,96.0
202606140503040210,10,38.0,55.0
202606140503040211,11,65.0,84.0
202606140503040213,13,70.0,87.0
202606140503040214,14,67.0,86.0
202606140503040215,15,80.0,95.0
202606140503040216,16,66.0,83.0
202606140503040301,1,74.0,89.0
202606140503040302,2,71.0,90.0
202606140503040303,3,82.0,99.0
202606140503040304,4,69.0,87.0
202606140503040306,6,65.0,80.0
202606140503040307,7,77.0,92.0
202606140503040308,8,78.0,95.0
202606140503040309,9,77.0,93.0
202606140503040310,10,77.0,93.0
202606140503040311,11,78.0,94.0
202606140503040312,12,80.0,95.0
202606140503040313,13,76.0,93.0
202606140503040314,14,78.0,93.0
202606140503040315,15,73.0,88.0
202606140503040316,16,78.0,95.0
202606140503040317,17,70.0,87.0
202606140503040318,18,81.0,96.0
202606140503040602,2,72.0,81.0
202606140503040605,5,77.0,86.0
202606140503040606,6,72.0,81.0
202606140503040607,7,79.0,88.0
202606140503040611,11,89.0,98.0
202606140503040612,12,82.0,91.0
202606140503040615,15,83.0,102.0
202606140503040701,1,83.0,91.0
202606140503040702,2,85.0,93.0
202606140503040703,3,80.0,98.0
202606140503040705,5,88.0,96.0
202606140503040706,6,86.0,94.0
202606140503040707,7,88.0,96.0
202606140503040801,1,81.0,99.0
202606140503040802,2,83.0,88.0
202606140503040803,3,83.0,93.0
202606140503040804,4,86.0,96.0
202606140503040805,5,73.0,83.0
202606140503040806,6,84.0,94.0
202606140503040807,7,89.0,98.0
202606140503040808,8,83.0,91.0
202606140503040809,9,75.0,84.0
202606140503040811,11,80.0,98.0
202606140503040812,12,83.0,91.0
202606140503040815,15,84.0,101.0
202606140503040816,16,81.0,91.0
202606140503040901,1,94.0,87.0
202606140503040902,2,78.0,78.0
202606140503040903,3,92.0,92.0
202606140503040904,4,93.0,99.0
202606140503040905,5,88.0,88.0
202606140503040906,6,89.0,89.0
202606140503040910,10,95.0,95.0
202606140503040911,11,93.0,98.0
202606140503041002,2,103.0,95.0
202606140503041003,3,99.0,99.0
202606140503041004,4,99.0,99.0
202606140503041005,5,102.0,94.0
202606140503041006,6,104.0,96.0
202606140503041008,8,108.0,87.0
202606140503041009,9,101.0,93.0
202606140503041010,10,101.0,101.0
202606140503041012,12,99.0,99.0
