レースID(新),馬番,前走補9,前走補正,複勝オッズ下限,複勝オッズ上限
202605160401050509,9, 77, 96,2.2,3.3
202605160401050511,11, 78, 96,4.5,7.0
202605160401050502,2, 77, 96,1.5,1.9
202605160401050505,5, 80, 98,3.0,4.6
202605160401050514,14, 75, 94,4.5,7.2
202605160401050506,6,,,3.4,5.3
202605160401050510,10, 73, 92,21.5,35.3
202605160401050508,8, 71, 88,6.0,9.6
202605160401050504,4, 78, 97,3.9,6.1
202605160401050503,3, 78, 97,2.4,3.6
202605160401050513,13, 63, 80,17.8,29.1
202605160401050516,16, 66, 85,25.4,41.7
202605160401050512,12, 78, 94,7.8,12.5
202605160401050515,15, 80, 97,2.1,3.2
202605160401050507,7, 55, 72,60.7,99.5
202605160401050411,11, 74, 92,1.2,2.4
202605160401050408,8, 58, 76,2.2,5.6
202605160401050410,10, 79, 97,1.1,1.1
202605160401050407,7, 79, 96,1.3,2.9
202605160401050406,6, 70, 88,3.7,10.0
202605160401050403,3, 67, 84,7.9,22.5
202605160401050405,5, 75, 90,14.6,42.3
202605160401050402,2, 65, 82,5.4,15.2
202605160401050404,4, 74, 92,1.4,3.2
202605160401050409,9, 69, 87,19.1,55.5
202605160401050401,1, 60, 78,22.4,65.4
202605160401050314,14, 80, 97,1.5,2.1
202605160401050309,9, 77, 95,1.3,1.7
202605160401050311,11, 78, 95,1.8,2.7
202605160401050305,5, 52, 70,16.3,26.4
202605160401050303,3, 79, 96,2.8,4.2
202605160401050315,15, 50, 67,7.4,11.8
202605160401050310,10, 69, 83,39.9,64.7
202605160401050316,16, 78, 96,3.7,5.8
202605160401050301,1, 80, 98,2.8,4.3
202605160401050313,13, 68, 83,22.0,35.6
202605160401050307,7,,,8.9,14.1
202605160401050312,12, 77, 95,3.0,4.6
202605160401050308,8, 73, 88,1.5,2.2
202605160401050302,2, 66, 85,84.8,137.7
202605160401050304,4, 78, 93,13.9,22.3
202605160401050306,6, 58, 75,75.1,121.9
202605160401050214,14, 88,103,1.1,1.1
202605160401050212,12, 79, 95,1.1,2.0
202605160401050203,3, 83, 95,1.6,4.1
202605160401050213,13, 79, 96,1.4,3.5
202605160401050209,9, 69, 85,8.1,25.0
202605160401050204,4, 75, 90,3.4,9.8
202605160401050208,8, 67, 84,5.2,15.7
202605160401050206,6, 78, 93,5.3,16.1
202605160401050207,7,,,14.3,45.1
202605160401050201,1, 68, 83,34.9,111.9
202605160401050211,11,,,18.3,58.1
202605160401050202,2, 64, 79,32.7,104.9
202605160401050215,15, 68, 86,2.9,8.2
202605160401050210,10, 28, 44,42.1,135.0
202605160401050205,5, 68, 83,4.2,12.5
202605160401050104,4, 65, 83,2.1,3.4
202605160401050107,7, 74, 92,1.3,1.8
202605160401050108,8, 81, 98,1.1,1.5
202605160401050103,3, 70, 89,1.5,2.4
202605160401050101,1, 55, 74,27.6,50.9
202605160401050112,12, 63, 81,7.4,13.3
202605160401050113,13, 58, 76,4.8,8.5
202605160401050102,2, 58, 77,28.8,53.1
202605160401050105,5, 69, 87,4.6,8.2
202605160401050106,6, 51, 69,23.2,42.8
202605160401050110,10, 66, 84,14.9,27.3
202605160401050109,9, 53, 70,28.2,51.9
202605160401050115,15, 55, 73,1.9,3.2
202605160401050111,11, 72, 90,5.6,10.1
202605160401050114,14, 64, 79,2.9,4.9
202605160502071204,4, 86, 96,1.4,1.8
202605160502071209,9, 87, 97,1.3,1.6
202605160502071211,11, 73, 83,3.8,6.1
202605160502071202,2, 68, 77,6.2,10.2
202605160502071210,10, 84, 94,1.9,2.9
202605160502071203,3, 86, 96,1.8,2.8
202605160502071201,1, 58, 67,2.9,4.6
202605160502071206,6, 80, 90,7.9,13.1
202605160502071213,13, 62, 72,10.5,17.4
202605160502071205,5, 72, 81,2.1,3.3
202605160502071208,8, 67, 76,12.0,19.9
202605160502071212,12, 76, 86,3.6,5.8
202605160502071214,14, 56, 65,9.4,15.5
202605160502071207,7, 58, 68,18.3,30.3
202605160502071107,7,100, 92,3.0,8.1
202605160502071108,8,107, 99,4.2,11.8
202605160502071104,4,,,1.8,4.4
202605160502071114,14,103, 95,4.5,12.7
202605160502071105,5,102, 94,4.4,12.2
202605160502071102,2,104, 96,1.3,2.5
202605160502071109,9, 97, 89,3.2,8.7
202605160502071110,10,106, 98,2.2,5.7
202605160502071103,3,103, 95,17.5,51.6
202605160502071101,1,102, 94,9.8,28.5
202605160502071112,12,101, 93,6.3,18.1
202605160502071115,15,100, 92,6.3,17.9
202605160502071111,11,102, 94,3.9,10.9
202605160502071106,6,104, 96,1.1,1.1
202605160502071113,13,102, 94,15.0,44.2
202605160502071008,8,103,113,1.4,1.9
202605160502071006,6, 98, 98,1.4,2.1
202605160502071012,12, 99, 99,1.3,1.8
202605160502071011,11, 99, 99,1.5,2.2
202605160502071002,2, 72, 72,3.7,5.7
202605160502071005,5, 91, 91,7.0,11.2
202605160502071007,7, 93, 93,3.5,5.5
202605160502071010,10, 91, 91,19.4,31.3
202605160502071003,3, 77, 77,12.1,19.5
202605160502071009,9, 84, 84,2.3,3.5
202605160502071001,1, 97, 97,4.9,7.6
202605160502071004,4, 71, 71,37.6,60.6
202605160502070907,7, 95, 95,9.2,43.3
202605160502070903,3, 92,101,1.1,1.1
202605160502070905,5, 95, 95,1.3,4.4
202605160502070908,8, 91, 91,2.5,10.6
202605160502070901,1, 91, 91,1.5,5.6
202605160502070906,6, 90, 90,1.2,4.2
202605160502070902,2, 90, 99,2.7,11.5
202605160502070904,4, 92, 92,10.6,50.2
202605160502070909,9, 96, 96,3.4,14.9
202605160502070801,1, 90,100,1.4,2.2
202605160502070814,14, 69, 79,9.5,17.0
202605160502070815,15, 89, 99,1.1,1.4
202605160502070807,7, 84, 94,5.4,9.4
202605160502070802,2, 85, 95,1.6,2.5
202605160502070803,3, 87, 97,3.9,6.8
202605160502070811,11, 78, 87,2.5,4.3
202605160502070812,12, 84, 94,1.5,2.4
202605160502070808,8, 83, 93,13.0,23.5
202605160502070810,10, 71, 80,30.6,55.6
202605160502070806,6, 79, 89,5.3,9.3
202605160502070813,13, 80, 90,7.5,13.3
202605160502070805,5, 77, 87,23.2,42.1
202605160502070804,4, 80, 90,4.7,8.2
202605160502070816,16, 67, 76,48.8,88.9
202605160502070809,9, 58, 68,116.7,212.8
202605160502070709,9, 91, 96,2.2,3.1
202605160502070713,13, 92, 97,1.8,2.5
202605160502070704,4, 95,100,1.4,1.7
202605160502070708,8, 58, 55,1.7,2.4
202605160502070703,3, 76, 81,3.9,5.8
202605160502070701,1, 89,104,5.3,8.0
202605160502070706,6, 89,105,2.1,3.0
202605160502070702,2, 87, 92,2.4,3.5
202605160502070705,5, 84, 89,11.3,17.3
202605160502070707,7, 80, 85,36.6,56.4
202605160502070712,12, 84, 99,4.8,7.1
202605160502070711,11, 63, 69,8.8,13.4
202605160502070710,10, 80, 85,12.0,18.3
202605160502070716,16, 79, 84,43.4,67.0
202605160502070714,14, 83, 88,47.9,73.9
202605160502070715,15, 83, 88,8.0,12.1
202605160502070603,3, 82,101,1.1,2.5
202605160502070604,4, 83,102,1.1,1.1
202605160502070608,8, 91, 96,1.3,3.1
202605160502070602,2, 81,100,2.6,7.6
202605160502070601,1, 79, 85,5.6,17.3
202605160502070607,7, 89, 94,1.1,1.7
202605160502070605,5, 68, 73,6.0,18.5
202605160502070606,6, 63, 80,21.9,69.8
202605160502070510,10, 74, 93,1.4,2.0
202605160502070512,12, 82, 99,1.2,1.6
202605160502070502,2, 64, 82,1.3,1.9
202605160502070504,4, 75, 92,3.2,5.3
202605160502070515,15, 67, 82,36.8,64.1
202605160502070505,5, 72, 87,6.9,11.8
202605160502070514,14, 55, 70,26.4,45.9
202605160502070506,6, 54, 72,54.5,95.0
202605160502070516,16, 73, 88,18.5,32.0
202605160502070501,1, 68, 83,2.9,4.8
202605160502070513,13, 54, 72,5.1,8.5
202605160502070517,17, 79, 96,3.4,5.5
202605160502070509,9, 79, 94,4.9,8.2
202605160502070518,18, 86, 91,22.3,38.8
202605160502070511,11, 48, 64,2.2,3.6
202605160502070508,8, 61, 76,17.3,30.1
202605160502070507,7, 73, 88,13.7,23.7
202605160502070503,3, 34, 49,77.1,134.5
202605160502070408,8, 84,102,1.1,1.5
202605160502070404,4,,,1.3,2.0
202605160502070412,12, 77, 96,1.2,1.9
202605160502070410,10, 76, 91,3.6,6.3
202605160502070407,7, 74, 93,3.9,6.7
202605160502070406,6, 76, 95,4.0,7.0
202605160502070413,13, 71, 90,1.9,3.1
202605160502070402,2, 76, 95,23.3,41.9
202605160502070401,1, 76, 95,4.6,8.1
202605160502070403,3, 73, 91,7.8,13.9
202605160502070409,9, 56, 73,49.2,88.7
202605160502070405,5, 73, 91,3.6,6.3
202605160502070411,11, 71, 90,7.4,13.2
202605160502070310,10, 84, 99,1.1,1.5
202605160502070312,12, 65, 80,3.0,5.6
202605160502070316,16, 76, 92,2.1,3.8
202605160502070311,11, 80, 96,1.3,2.1
202605160502070307,7, 68, 83,11.3,22.6
202605160502070306,6, 58, 76,4.2,8.1
202605160502070303,3, 76, 91,8.3,16.4
202605160502070308,8, 83, 99,1.1,1.5
202605160502070305,5, 55, 70,24.0,48.5
202605160502070313,13,,,20.0,40.3
202605160502070301,1, 70, 85,5.1,9.9
202605160502070302,2, 68, 80,55.5,112.3
202605160502070309,9, 80, 95,2.3,4.1
202605160502070315,15, 61, 76,62.9,127.3
202605160502070314,14,,,22.6,45.6
202605160502070304,4, 60, 75,24.8,50.0
202605160502070213,13, 60, 78,16.5,33.6
202605160502070205,5, 75, 93,1.2,1.5
202605160502070214,14, 80, 97,1.1,1.5
202605160502070203,3, 30, 48,5.1,10.0
202605160502070211,11, 52, 70,3.1,6.0
202605160502070204,4,,,1.9,3.4
202605160502070210,10, 77, 93,1.8,3.1
202605160502070202,2, 63, 81,2.7,5.0
202605160502070216,16, 59, 77,10.4,20.9
202605160502070207,7, 71, 89,20.5,41.8
202605160502070209,9, 70, 87,4.8,9.3
202605160502070206,6, 65, 83,3.9,7.5
202605160502070201,1, 59, 77,49.9,102.3
202605160502070208,8, 60, 75,64.9,133.1
202605160502070212,12, 32, 49,82.0,168.4
202605160502070215,15,,,2.8,5.3
202605160502070101,1, 81, 96,1.3,1.7
202605160502070110,10, 80, 96,2.1,3.1
202605160502070103,3, 70, 87,2.6,3.9
202605160502070115,15, 75, 92,1.6,2.4
202605160502070109,9, 73, 89,7.3,11.9
202605160502070107,7, 75, 92,1.5,2.0
202605160502070114,14, 77, 92,4.1,6.4
202605160502070111,11,,,6.2,9.9
202605160502070105,5, 77, 92,5.5,8.7
202605160502070106,6,,,6.7,10.8
202605160502070116,16, 78, 93,16.3,26.8
202605160502070102,2, 48, 67,20.2,33.1
202605160502070113,13, 58, 73,2.5,3.9
202605160502070104,4,,,6.5,10.5
202605160502070108,8, 31, 49,73.0,120.0
202605160502070112,12, 28, 46,68.5,112.6
202605160803071210,10, 99, 99,1.1,1.4
202605160803071213,13, 93, 93,1.5,2.3
202605160803071215,15, 93, 93,3.9,6.6
202605160803071214,14, 93,102,1.7,2.6
202605160803071202,2, 97, 97,1.5,2.2
202605160803071209,9, 94, 94,2.1,3.4
202605160803071211,11, 83, 83,9.3,16.0
202605160803071207,7, 91, 91,5.6,9.6
202605160803071203,3, 90, 90,7.9,13.6
202605160803071208,8, 79, 79,9.4,16.3
202605160803071205,5, 89, 89,42.6,74.3
202605160803071201,1, 91, 91,5.2,8.8
202605160803071204,4, 90, 90,15.4,26.8
202605160803071212,12, 85, 85,40.7,71.0
202605160803071206,6, 91, 91,6.5,11.1
202605160803071112,12,106, 96,1.1,1.2
202605160803071106,6,106, 98,1.7,3.0
202605160803071103,3,106, 94,1.4,2.1
202605160803071105,5,101, 93,14.1,27.3
202605160803071108,8,102, 90,6.5,12.3
202605160803071107,7,102, 92,16.1,31.3
202605160803071109,9, 99, 91,6.6,12.6
202605160803071102,2,102, 90,9.0,17.4
202605160803071116,16,103, 95,2.5,4.5
202605160803071101,1, 91, 83,10.6,20.6
202605160803071104,4,104, 96,4.1,7.6
202605160803071114,14,104, 92,2.0,3.5
202605160803071111,11, 99, 91,7.3,14.0
202605160803071115,15, 96, 88,11.0,21.2
202605160803071110,10,100, 92,14.3,27.7
202605160803071113,13,105, 93,2.3,4.2
202605160803071013,13, 84, 77,2.4,3.8
202605160803071001,1,106, 99,1.7,2.5
202605160803071014,14, 97, 90,5.2,8.4
202605160803071003,3,104,104,1.7,2.5
202605160803071010,10,109,102,1.2,1.4
202605160803071004,4,102, 95,2.3,3.6
202605160803071008,8,101, 94,5.7,9.3
202605160803071012,12,100, 93,3.9,6.3
202605160803071002,2, 95, 88,6.4,10.6
202605160803071009,9,105, 98,3.9,6.4
202605160803071006,6, 92, 85,12.3,20.5
202605160803071011,11,100, 93,28.5,47.5
202605160803071015,15, 96, 89,8.9,14.8
202605160803071007,7, 99, 92,3.5,5.6
202605160803071005,5, 99, 92,8.1,13.4
202605160803070902,2, 88, 85,1.6,2.2
202605160803070901,1, 88, 85,2.4,3.4
202605160803070908,8, 82, 88,4.7,6.9
202605160803070905,5, 79, 58,5.5,8.0
202605160803070906,6, 91, 96,1.5,2.0
202605160803070903,3, 88, 93,1.8,2.5
202605160803070910,10, 78, 75,11.0,16.0
202605160803070909,9, 90, 87,1.7,2.4
202605160803070904,4, 92, 97,1.4,1.7
202605160803070907,7, 91, 97,4.2,6.1
202605160803070805,5,,,1.3,1.8
202605160803070806,6,,,4.2,6.1
202605160803070803,3,,,2.4,3.5
202605160803070804,4,,,1.2,1.5
202605160803070802,2,,,11.6,16.6
202605160803070801,1,,,1.9,2.7
202605160803070706,6, 88, 97,1.1,1.4
202605160803070705,5, 91, 99,1.2,2.0
202605160803070703,3,,,2.2,4.2
202605160803070701,1, 90, 98,1.1,1.5
202605160803070709,9, 76, 86,10.8,22.0
202605160803070704,4, 86, 94,9.1,18.4
202605160803070708,8, 85, 94,1.9,3.5
202605160803070702,2, 57, 65,2.5,4.7
202605160803070710,10, 85, 94,13.4,27.5
202605160803070707,7,,,5.5,10.9
202605160803070711,11, 81, 90,11.3,23.0
202605160803070605,5, 80, 90,1.1,1.4
202605160803070607,7, 80, 89,1.6,2.5
202605160803070614,14, 72, 81,10.3,18.5
202605160803070608,8, 80, 89,5.9,10.3
202605160803070611,11, 84, 93,1.4,2.0
202605160803070603,3, 81, 90,3.1,5.2
202605160803070604,4, 67, 76,8.8,15.7
202605160803070615,15, 72, 81,17.7,31.9
202605160803070601,1, 78, 88,4.2,7.3
202605160803070613,13, 79, 88,1.9,3.1
202605160803070602,2, 81, 90,3.2,5.4
202605160803070606,6, 84, 93,3.6,6.2
202605160803070609,9, 75, 84,23.2,41.9
202605160803070612,12, 64, 74,32.0,57.9
202605160803070610,10, 80, 89,4.6,7.9
202605160803070505,5, 76, 95,1.1,3.1
202605160803070514,14, 80, 98,2.4,10.1
202605160803070502,2, 81, 99,1.1,1.1
202605160803070512,12, 77, 95,2.2,8.8
202605160803070510,10, 69, 85,39.2,190.5
202605160803070503,3,,,12.0,56.8
202605160803070511,11, 70, 87,47.3,230.2
202605160803070513,13, 66, 84,26.6,128.4
202605160803070501,1, 78, 95,2.0,8.1
202605160803070507,7, 71, 89,2.5,10.2
202605160803070504,4,,,1.4,5.1
202605160803070508,8, 70, 89,6.4,29.7
202605160803070509,9, 62, 80,12.5,59.6
202605160803070506,6,,,46.5,226.1
202605160803070409,9, 69, 86,18.8,29.6
202605160803070402,2, 71, 90,1.6,2.3
202605160803070406,6, 70, 88,1.3,1.6
202605160803070401,1, 78, 97,1.5,2.2
202605160803070407,7, 79, 98,1.5,2.1
202605160803070404,4, 70, 89,3.7,5.7
202605160803070410,10, 76, 95,1.8,2.6
202605160803070408,8,,,7.8,12.3
202605160803070405,5, 71, 90,11.9,18.7
202605160803070403,3, 77, 96,2.3,3.3
202605160803070313,13, 75, 92,2.5,5.6
202605160803070318,18, 84,100,1.3,2.4
202605160803070302,2,,,4.2,9.5
202605160803070304,4, 83, 99,1.1,1.1
202605160803070301,1, 81, 97,1.4,2.7
202605160803070303,3, 78, 94,4.6,10.5
202605160803070316,16, 77, 94,2.6,5.8
202605160803070312,12, 64, 79,10.2,24.4
202605160803070307,7, 51, 68,36.8,89.7
202605160803070305,5, 61, 80,18.2,44.1
202605160803070306,6, 77, 89,25.4,61.8
202605160803070317,17,,,7.8,18.3
202605160803070310,10, 59, 78,18.6,44.9
202605160803070309,9, 46, 63,50.0,122.0
202605160803070311,11, 74, 89,5.0,11.5
202605160803070315,15, 47, 65,3.2,7.3
202605160803070308,8, 70, 89,7.1,16.7
202605160803070314,14, 53, 70,79.8,195.2
202605160803070201,1, 76, 94,2.8,12.7
202605160803070209,9, 80, 98,1.1,1.1
202605160803070206,6, 77, 95,1.3,4.4
202605160803070208,8, 57, 75,1.5,6.0
202605160803070203,3, 69, 87,3.9,18.7
202605160803070205,5, 64, 82,17.9,93.0
202605160803070204,4, 61, 80,20.5,106.9
202605160803070210,10, 75, 93,2.3,10.5
202605160803070202,2, 76, 92,2.1,9.4
202605160803070207,7, 65, 82,5.9,29.2
202605160803070211,11,,,2.1,9.1
202605160803070105,5, 82, 98,1.6,3.7
202605160803070108,8, 85,101,1.1,1.1
202605160803070104,4, 74, 91,2.7,7.0
202605160803070113,13, 78, 95,5.2,13.9
202605160803070112,12, 81, 97,1.4,3.1
202605160803070114,14,,,1.7,3.9
202605160803070107,7, 76, 92,2.8,7.0
202605160803070115,15,,,23.2,65.8
202605160803070102,2, 35, 50,10.1,28.1
202605160803070111,11,,,30.4,86.6
202605160803070103,3, 70, 88,3.2,8.4
202605160803070106,6, 59, 77,4.5,12.1
202605160803070116,16,,,52.4,149.5
202605160803070109,9, 71, 87,17.6,49.8
202605160803070110,10, 50, 65,77.7,222.1
202605160803070101,1, 27, 45,27.7,78.8
202605100401041207,7, 88, 97,1.7,2.2
202605100401041212,12, 87, 96,1.8,2.5
202605100401041210,10, 88, 97,1.4,1.7
202605100401041209,9, 87, 96,4.0,5.9
202605100401041213,13, 83, 92,3.2,4.6
202605100401041208,8, 85, 94,1.8,2.4
202605100401041201,1, 88, 96,2.2,3.0
202605100401041206,6, 85, 94,3.2,4.7
202605100401041203,3, 76, 84,13.1,19.8
202605100401041204,4, 75, 84,3.8,5.5
202605100401041211,11, 78, 87,9.0,13.4
202605100401041202,2, 84, 93,21.8,32.8
202605100401041205,5, 73, 82,14.6,21.9
202605100401041107,7,107, 95,2.9,4.4
202605100401041108,8,103, 95,4.7,7.3
202605100401041103,3, 98, 86,5.9,9.3
202605100401041106,6,101, 89,2.5,3.8
202605100401041114,14,104, 92,2.9,4.5
202605100401041110,10, 99, 91,4.5,6.9
202605100401041104,4,103, 87,24.2,38.2
202605100401041105,5,104, 92,2.2,3.3
202605100401041101,1,107, 95,3.7,5.7
202605100401041109,9,105, 93,1.8,2.5
202605100401041111,11,114, 96,1.2,1.4
202605100401041112,12, 99, 87,2.3,3.4
202605100401041113,13,,,6.9,10.8
202605100401041102,2,104, 84,8.5,13.3
202605100401041011,11, 93,103,1.8,2.5
202605100401041003,3, 90, 90,1.8,2.5
202605100401041006,6, 82, 82,4.0,5.9
202605100401041009,9, 89, 99,2.6,3.8
202605100401041004,4, 87, 87,7.4,11.1
202605100401041014,14, 90, 90,4.8,7.0
202605100401041002,2, 91, 91,2.2,3.1
202605100401041010,10, 86, 86,4.8,7.1
202605100401041001,1, 81, 81,11.3,17.0
202605100401041005,5,100,100,1.3,1.6
202605100401041013,13, 63, 63,13.0,19.7
202605100401041012,12, 81, 81,7.4,11.1
202605100401041007,7, 92, 92,1.9,2.7
202605100401041008,8, 80, 80,22.8,34.4
202605100401040912,12, 89, 97,1.8,2.4
202605100401040914,14, 85, 93,3.0,4.0
202605100401040905,5, 86, 94,3.5,4.8
202605100401040913,13, 84, 92,5.6,7.7
202605100401040903,3, 91, 99,1.7,2.1
202605100401040904,4, 85, 94,1.9,2.5
202605100401040908,8, 85, 93,2.7,3.6
202605100401040910,10, 91, 99,2.0,2.6
202605100401040911,11, 83, 91,6.9,9.6
202605100401040909,9, 85, 93,3.2,4.4
202605100401040906,6, 79, 87,4.9,6.7
202605100401040902,2, 71, 79,24.2,33.2
202605100401040907,7, 88, 96,5.2,7.1
202605100401040901,1, 73, 81,51.1,70.0
202605100401040814,14, 88, 97,2.2,3.2
202605100401040809,9, 71, 81,2.2,3.2
202605100401040812,12, 90, 99,1.5,1.9
202605100401040813,13, 86, 95,5.2,7.8
202605100401040807,7, 67, 77,30.5,46.2
202605100401040802,2, 89, 98,2.1,3.0
202605100401040806,6, 85, 94,2.0,2.8
202605100401040804,4, 81, 90,11.3,17.1
202605100401040805,5, 90, 99,1.5,1.9
202605100401040811,11, 54, 64,12.0,18.3
202605100401040801,1, 87, 96,4.4,6.5
202605100401040803,3, 90, 99,3.6,5.3
202605100401040810,10, 75, 90,6.9,10.3
202605100401040808,8, 80, 89,11.1,16.8
202605100401040815,15, 77, 86,16.4,24.9
202605100401040710,10, 87, 96,5.0,7.2
202605100401040714,14, 86, 95,1.9,2.6
202605100401040701,1, 83, 93,6.5,9.4
202605100401040715,15, 91,101,1.6,2.1
202605100401040702,2, 84, 93,4.3,6.1
202605100401040709,9, 83, 93,2.5,3.5
202605100401040708,8, 81, 90,10.0,14.7
202605100401040706,6, 82, 91,12.2,18.0
202605100401040707,7, 77, 86,2.1,2.9
202605100401040711,11, 72, 81,9.9,14.6
202605100401040713,13, 79, 88,3.6,5.1
202605100401040703,3, 86, 95,1.6,2.0
202605100401040712,12, 80, 89,19.6,28.9
202605100401040705,5, 84, 93,2.1,3.0
202605100401040704,4, 71, 80,65.9,97.0
202605100401040610,10, 82, 97,2.4,3.4
202605100401040607,7, 84, 99,1.5,1.9
202605100401040616,16, 73, 88,1.7,2.3
202605100401040612,12, 75, 87,3.4,5.0
202605100401040609,9, 69, 84,19.4,29.3
202605100401040611,11, 83, 95,1.6,2.2
202605100401040606,6, 53, 70,61.3,92.7
202605100401040615,15, 67, 82,1.6,2.2
202605100401040614,14, 79, 94,3.6,5.3
202605100401040608,8, 78, 93,9.4,14.1
202605100401040605,5, 77, 92,4.6,6.7
202605100401040613,13,,,6.1,9.0
202605100401040601,1, 70, 85,8.4,12.6
202605100401040602,2, 52, 67,32.0,48.4
202605100401040603,3, 69, 84,13.6,20.4
202605100401040604,4, 44, 60,58.7,88.7
202605100401040512,12, 79, 97,1.4,1.8
202605100401040507,7, 73, 90,1.5,2.1
202605100401040516,16,,,3.3,4.8
202605100401040513,13, 28, 44,7.5,11.4
202605100401040514,14, 75, 94,2.4,3.4
202605100401040505,5, 66, 84,46.5,71.4
202605100401040501,1,,,5.4,8.1
202605100401040504,4, 77, 96,3.6,5.3
202605100401040511,11, 78, 97,1.6,2.2
202605100401040508,8, 69, 88,4.6,6.8
202605100401040510,10, 52, 69,42.9,65.9
202605100401040503,3, 61, 76,20.5,31.5
202605100401040506,6, 75, 93,20.5,31.5
202605100401040502,2, 78, 96,1.9,2.7
202605100401040509,9,,,24.1,37.0
202605100401040515,15, 38, 56,6.7,10.1
202605100401040405,5,,,1.5,2.3
202605100401040412,12,,,1.3,1.8
202605100401040408,8,,,1.1,1.5
202605100401040403,3,,,2.0,3.3
202605100401040407,7,,,6.4,11.4
202605100401040410,10, 72, 82,1.9,3.1
202605100401040406,6, 58, 76,5.8,10.2
202605100401040409,9, 66, 75,14.1,25.6
202605100401040404,4,,,4.3,7.5
202605100401040402,2, 74, 83,13.5,24.4
202605100401040411,11, 61, 69,32.0,58.2
202605100401040401,1, 90, 90,2.2,3.7
202605100401040305,5, 75, 93,1.3,3.0
202605100401040301,1, 85,102,1.1,1.1
202605100401040302,2, 81, 98,1.4,3.5
202605100401040312,12, 72, 90,1.7,4.5
202605100401040310,10, 74, 92,2.2,6.4
202605100401040308,8, 73, 91,4.0,12.5
202605100401040307,7,,,21.6,72.5
202605100401040306,6, 65, 83,7.2,23.4
202605100401040304,4, 63, 78,10.2,33.7
202605100401040311,11, 66, 83,9.6,31.6
202605100401040313,13, 57, 74,36.5,122.8
202605100401040315,15, 63, 82,9.2,30.0
202605100401040309,9, 65, 83,33.5,112.6
202605100401040303,3, 33, 51,4.0,12.5
202605100401040314,14, 72, 87,18.6,62.3
202605100401040210,10, 82, 97,1.5,2.1
202605100401040209,9, 70, 87,6.9,10.5
202605100401040212,12, 71, 86,4.6,6.9
202605100401040214,14, 82, 94,2.7,4.0
202605100401040211,11, 52, 69,8.2,12.4
202605100401040205,5, 93,105,1.4,1.9
202605100401040206,6, 81, 96,3.7,5.5
202605100401040208,8, 61, 77,11.0,16.9
202605100401040204,4, 87, 99,1.5,2.0
202605100401040215,15, 73, 88,4.6,6.9
202605100401040203,3, 79, 94,2.8,4.0
202605100401040202,2, 54, 71,2.1,3.0
202605100401040207,7,,,37.7,58.4
202605100401040201,1, 55, 71,38.9,60.2
202605100401040213,13,,,31.7,49.0
202605100401040113,13, 75, 93,1.1,1.2
202605100401040108,8, 70, 87,1.4,2.4
202605100401040103,3, 76, 93,1.4,2.3
202605100401040106,6, 73, 90,1.6,2.9
202605100401040104,4, 52, 69,31.0,63.5
202605100401040101,1, 68, 86,2.7,5.1
202605100401040109,9, 42, 60,36.9,75.7
202605100401040102,2, 48, 65,19.6,40.1
202605100401040105,5, 67, 85,3.2,6.2
202605100401040112,12, 59, 77,4.7,9.2
202605100401040114,14, 45, 62,14.7,30.0
202605100401040111,11, 60, 76,26.0,53.2
202605100401040107,7, 68, 85,3.0,5.6
202605100401040110,10, 59, 77,14.3,29.1
202605100401040115,15, 60, 76,13.1,26.5
202605100502061212,12, 99, 93,1.7,2.4
202605100502061203,3,101, 95,1.3,1.6
202605100502061209,9,103, 96,3.2,4.8
202605100502061204,4,103, 96,3.1,4.7
202605100502061215,15, 95, 88,2.4,3.5
202605100502061202,2, 98, 98,4.5,6.9
202605100502061213,13, 99, 92,2.2,3.1
202605100502061210,10, 71, 64,9.3,14.6
202605100502061206,6, 88, 81,1.6,2.3
202605100502061214,14, 87, 80,24.5,38.4
202605100502061207,7, 91, 84,12.8,20.0
202605100502061208,8,108,108,4.7,7.2
202605100502061201,1,104, 97,8.0,12.4
202605100502061205,5, 95, 89,27.5,43.1
202605100502061211,11, 90, 83,6.1,9.4
202605100502061117,17,107, 90,2.0,2.6
202605100502061116,16,101, 95,2.7,3.6
202605100502061111,11,101, 79,2.8,3.7
202605100502061108,8,100, 94,6.2,8.4
202605100502061107,7,101, 99,1.9,2.4
202605100502061115,15,107, 90,7.8,10.7
202605100502061109,9, 84, 78,4.1,5.6
202605100502061112,12, 88, 82,4.6,6.3
202605100502061110,10,102, 92,1.8,2.2
202605100502061114,14, 98, 92,4.1,5.6
202605100502061105,5,101, 97,8.5,11.6
202605100502061104,4,104, 82,2.9,3.8
202605100502061106,6,104, 87,8.4,11.6
202605100502061103,3, 96, 95,10.3,14.1
202605100502061118,18, 99, 97,5.6,7.5
202605100502061101,1, 88, 82,25.2,34.7
202605100502061102,2,100, 94,18.0,24.9
202605100502061113,13, 92, 90,22.7,31.3
202605100502061012,12,116,102,1.5,2.5
202605100502061010,10,112, 90,1.1,1.3
202605100502061002,2,111, 97,1.2,1.9
202605100502061008,8,112, 90,1.9,3.3
202605100502061006,6,109, 95,3.4,6.5
202605100502061005,5,,,2.6,4.7
202605100502061003,3,109, 87,3.1,5.8
202605100502061009,9,101, 87,7.0,13.9
202605100502061007,7,105, 91,15.4,30.9
202605100502061011,11,108, 94,5.4,10.5
202605100502061004,4,112, 90,4.3,8.2
202605100502061001,1, 94, 72,10.7,21.3
202605100502060904,4, 91, 91,2.0,3.1
202605100502060908,8, 98, 98,1.3,2.0
