レースID(新),馬番,前走補9,前走補正,複勝オッズ下限,複勝オッズ上限
202606070503020309,9,,,24.3,104.7
202606070503020303,3, 77, 94,8.2,34.4
202606070503020306,6, 72, 90,2.3,8.6
202606070503020312,12, 71, 87,27.1,116.9
202606070503020304,4, 51, 70,24.5,105.8
202606070503020301,1, 76, 94,3.6,14.0
202606070503020315,15, 70, 88,20.8,89.6
202606070503020302,2, 66, 84,35.6,154.0
202606070503020305,5, 37, 55,34.3,148.3
202606070503020208,8, 79, 94,2.8,4.5
202606070503020211,11, 77, 95,1.2,1.7
202606070503020201,1, 81, 99,1.4,2.0
202606070503020214,14, 47, 64,27.9,47.8
202606070503020207,7, 75, 94,2.2,3.5
202606070503020205,5, 68, 85,19.1,32.7
202606070503020209,9, 79, 98,1.3,1.8
202606070503020216,16, 71, 90,2.7,4.3
202606070503020204,4, 61, 80,6.0,10.1
202606070503020203,3, 59, 78,36.4,62.6
202606070503020206,6, 74, 92,4.4,7.2
202606070503020215,15, 74, 93,3.5,5.6
202606070503020212,12, 76, 94,8.0,13.4
202606070503020202,2, 59, 78,26.0,44.6
202606070503020213,13, 46, 64,35.8,61.5
202606070503020210,10,,,17.5,30.0
202606070503020111,11, 76, 91,1.8,2.5
202606070503020104,4, 76, 91,6.6,10.4
202606070503020107,7, 82, 98,1.5,2.2
202606070503020112,12, 80, 95,1.6,2.2
202606070503020102,2, 77, 93,6.5,10.2
202606070503020105,5, 81, 97,1.3,1.6
202606070503020103,3, 81, 97,2.4,3.7
202606070503020114,14, 65, 82,2.5,3.8
202606070503020110,10, 66, 81,34.2,55.4
202606070503020109,9,,,5.4,8.5
202606070503020115,15, 70, 86,19.3,31.1
202606070503020106,6, 67, 83,43.6,70.5
202606070503020108,8, 58, 75,5.3,8.3
202606070503020116,16, 73, 89,12.9,20.6
202606070503020113,13,,,14.6,23.4
202606070503020101,1, 63, 78,35.2,56.9
202606070903021203,3, 96,102,1.1,1.4
202606070903021208,8, 87,104,1.4,2.0
202606070903021202,2, 86,104,2.3,3.9
202606070903021211,11, 90, 96,1.6,2.6
202606070903021210,10, 94, 88,1.6,2.6
202606070903021212,12, 88, 97,2.2,3.7
202606070903021209,9, 83, 92,13.8,25.2
202606070903021201,1, 78, 87,10.2,18.6
202606070903021205,5, 71, 79,15.5,28.3
202606070903021207,7, 78, 87,2.8,4.9
202606070903021204,4, 54, 60,5.8,10.4
202606070903021206,6, 73, 82,26.3,48.1
202606070903021106,6,105,101,1.4,1.7
202606070903021105,5,107, 99,2.5,4.0
202606070903021107,7, 98, 90,6.8,11.3
202606070903021115,15,108,100,1.3,1.6
202606070903021112,12, 91, 83,3.5,5.7
202606070903021108,8,104, 94,3.3,5.3
202606070903021114,14,104, 92,2.7,4.3
202606070903021101,1,105, 97,3.2,5.1
202606070903021110,10,107, 97,5.4,8.9
202606070903021103,3,104,101,2.1,3.3
202606070903021113,13,104, 96,7.1,11.8
202606070903021109,9,102, 94,6.9,11.4
202606070903021104,4,104, 88,6.5,10.8
202606070903021111,11, 95, 87,10.0,16.7
202606070903021116,16,106, 98,12.4,20.7
202606070903021102,2,105, 95,7.7,12.9
202606070903021001,1, 84, 93,1.5,7.5
202606070903021005,5, 99, 99,1.1,1.1
202606070903021003,3, 87, 87,1.8,9.1
202606070903021008,8, 97, 97,1.5,7.1
202606070903021006,6, 95, 95,1.1,3.8
