レースID(新),馬番,前走補9,前走補正,複勝オッズ下限,複勝オッズ上限,指数,指数順位
202609130604040201,1,,,7.6,17.3,,
202609130604040210,10,,,5.4,12.0,,
202609130604040209,9,,,13.8,31.7,,
202609130604040207,7,,,1.3,2.4,,
202609130604040104,4,,,1.6,2.2,,
202609130604040105,5,,,1.9,2.7,,
202609130604040108,8,,,1.6,2.2,,
202609130604040110,10,,,1.3,1.7,,
202609130604040102,2,,,1.8,2.5,,
202609130604040101,1,,,10.6,15.4,,
202609130604040109,9,,,2.9,4.3,,
202609130604040107,7,,,2.9,4.2,,
202609130604040103,3,,,30.1,43.7,,
202609130604040106,6,,,2.8,4.0,,
202609130904041214,14, 92, 92,1.5,2.4,,
202609130904041207,7,,,1.2,1.6,,
202609130904041201,1,,,3.1,5.1,,
202609130904041205,5,,,5.4,9.3,,
202609130904041212,12,,,8.5,14.8,,
202609130904041211,11,,,23.2,40.8,,
202609130904041208,8, 94, 94,2.7,4.4,,
202609130904041209,9, 91, 91,2.1,3.3,,
202609130904041202,2,,,5.2,8.9,,
202609130904041210,10,,,8.9,15.6,,
202609130904041213,13,,,46.7,82.2,,
202609130904041204,4,,,1.3,1.8,,
202609130904041206,6,,,2.7,4.5,,
202609130904041203,3,,,7.3,12.7,,
202609130904041107,7,,,1.1,1.3,,
202609130904041102,2,110, 86,1.5,2.4,,
202609130904041106,6, 94,100,1.4,2.2,,
202609130904041105,5,,,6.2,11.4,,
202609130904041108,8,,,6.4,11.7,,
202609130904041103,3, 99, 75,4.6,8.3,,
202609130904041110,10,112, 88,3.2,5.7,,
202609130904041104,4,,,15.8,29.2,,
202609130904041101,1,109, 85,2.6,4.6,,
202609130904041111,11,,,2.9,5.1,,
202609130904041109,9,,,5.7,10.5,,
202609130904041112,12,108, 91,1.9,3.3,,
202609130904041008,8,,,1.4,1.8,,
202609130904041005,5,,,3.0,5.0,,
202609130904041002,2,,,1.3,1.5,,
202609130904041004,4,,,2.2,3.5,,
202609130904041001,1, 91, 83,3.0,5.0,,
202609130904041009,9,,,3.2,5.2,,
202609130904041006,6,,,2.9,4.8,,
202609130904041013,13, 92, 86,5.9,10.1,,
202609130904041003,3,,,6.1,10.3,,
202609130904041007,7,,,8.8,15.1,,
202609130904041014,14,,,10.0,17.4,,
202609130904041010,10,,,11.0,19.1,,
202609130904041015,15,,,2.8,4.6,,
202609130904041011,11,101, 95,2.7,4.5,,
202609130904041012,12,,,30.8,53.6,,
202609130904040902,2, 94, 99,1.4,2.5,,
202609130904040904,4,,,1.8,3.3,,
202609130904040910,10,,,1.1,1.6,,
202609130904040903,3, 91, 99,2.4,4.8,,
202609130904040905,5,,,1.1,1.3,,
202609130904040911,11,,,3.8,7.9,,
202609130904040906,6,,,16.3,35.5,,
202609130904040909,9,,,16.4,35.5,,
202609130904040907,7, 91, 88,1.7,3.2,,
202609130904040901,1,,,28.7,62.6,,
202609130904040908,8,,,13.0,28.0,,
202609130904040811,11,,,1.3,1.7,,
202609130904040802,2,,,1.3,1.8,,
202609130904040806,6,,,8.5,14.2,,
202609130904040805,5,,,1.6,2.3,,
202609130904040808,8,,,2.4,3.8,,
202609130904040804,4,,,3.5,5.6,,
202609130904040803,3,,,1.7,2.5,,
202609130904040810,10,,,18.1,30.6,,
202609130904040809,9,,,3.0,4.8,,
202609130904040801,1,,,2.6,4.1,,
202609130904040812,12,,,44.9,75.8,,
202609130904040807,7,,,14.9,25.2,,
202609130904040706,6,,,1.4,1.8,,
202609130904040710,10,,,2.5,3.6,,
202609130904040702,2, 92, 97,3.1,4.6,,
202609130904040713,13,,,1.5,2.0,,
202609130904040707,7,,,4.1,6.2,,
202609130904040716,16,,,1.7,2.4,,
202609130904040701,1,,,16.8,26.2,,
202609130904040712,12,,,39.6,61.6,,
202609130904040708,8,,,25.1,39.0,,
202609130904040704,4,,,28.3,44.1,,
202609130904040714,14,,,19.1,29.6,,
202609130904040709,9,,,6.0,9.1,,
202609130904040711,11, 84, 89,7.6,11.6,,
202609130904040715,15,,,5.3,8.0,,
202609130904040705,5,,,1.5,2.1,,
202609130904040703,3, 75, 83,18.6,28.9,,
202609130904040607,7,,,1.2,1.5,,
202609130904040609,9,,,1.5,2.1,,
202609130904040611,11,,,1.7,2.6,,
202609130904040614,14,,,1.8,2.8,,
202609130904040602,2,,,2.2,3.4,,
202609130904040606,6,,,8.8,14.6,,
202609130904040610,10,,,10.2,17.0,,
202609130904040613,13,,,3.4,5.4,,
202609130904040615,15,,,9.5,15.8,,
202609130904040603,3,,,9.3,15.5,,
202609130904040601,1,,,10.1,16.9,,
202609130904040604,4,,,5.9,9.7,,
202609130904040605,5,,,2.4,3.8,,
202609130904040612,12,,,46.0,76.9,,
202609130904040608,8,,,86.7,145.2,,
202609130904040506,6,,,1.9,3.7,,
202609130904040505,5,,,3.4,7.0,,
202609130904040504,4,,,10.3,20.9,,
202609130904040503,3,,,1.1,1.1,,
202609130904040502,2,,,1.8,3.4,,
202609130904040501,1,,,1.7,3.4,,
202609130904040409,9,,,2.0,3.4,,
202609130904040412,12,,,2.6,4.5,,
202609130904040410,10,,,2.9,5.2,,
202609130904040416,16,,,1.2,1.5,,
202609130904040407,7,,,11.2,20.9,,
202609130904040417,17,,,9.5,17.6,,
202609130904040411,11,,,7.3,13.5,,
202609130904040405,5,,,4.6,8.3,,
202609130904040403,3,,,15.9,29.9,,
202609130904040418,18,,,17.2,32.4,,
202609130904040402,2,,,4.1,7.4,,
202609130904040413,13,,,23.9,45.1,,
202609130904040414,14,,,3.7,6.7,,
202609130904040404,4,,,6.5,12.0,,
202609130904040408,8,,,5.4,9.9,,
202609130904040406,6,,,3.7,6.6,,
202609130904040401,1,,,6.1,11.1,,
202609130904040415,15,,,1.2,1.6,,
202609130904040307,7,,,1.4,1.8,,
202609130904040311,11,,,1.6,2.2,,
202609130904040309,9,,,2.2,3.1,,
202609130904040305,5,,,1.5,2.0,,
202609130904040313,13,,,5.2,7.9,,
202609130904040316,16,,,2.5,3.7,,
202609130904040314,14,,,4.7,7.1,,
202609130904040315,15,,,5.9,9.0,,
202609130904040304,4,,,3.0,4.5,,
202609130904040312,12,,,33.5,51.8,,
202609130904040310,10,,,7.3,11.2,,
202609130904040303,3,,,11.6,17.9,,
202609130904040301,1,,,7.4,11.3,,
202609130904040306,6,,,8.5,13.1,,
202609130904040302,2,,,10.0,15.4,,
202609130904040308,8,,,15.2,23.5,,
202609130904040204,4,,,1.1,1.1,,
202609130904040202,2,,,2.4,5.0,,
202609130904040205,5,,,1.8,3.7,,
202609130904040207,7,,,1.7,3.5,,
202609130904040201,1,,,2.4,5.2,,
202609130904040206,6,,,20.1,46.3,,
202609130904040203,3,,,19.6,45.1,,
202609130904040104,4,,,1.1,1.2,,
202609130904040111,11,,,1.3,2.1,,
202609130904040101,1,,,2.7,5.1,,
202609130904040105,5,,,1.2,2.0,,
202609130904040110,10,,,4.0,7.7,,
202609130904040107,7,,,2.1,3.9,,
202609130904040108,8,,,4.7,9.1,,
202609130904040109,9,,,4.1,8.0,,
202609130904040103,3,,,14.3,28.3,,
202609130904040102,2,,,9.3,18.3,,
202609130904040106,6,,,2.6,4.9,,
202609120604031208,8,,,2.2,3.5,,
202609120604031212,12, 90, 96,1.2,1.6,,
202609120604031209,9, 79, 88,4.8,8.3,,
202609120604031202,2,,,8.1,14.1,,
202609120604031215,15,,,11.4,20.2,,
202609120604031211,11,,,7.3,12.8,,
202609120604031206,6,,,10.1,17.8,,
202609120604031207,7,,,6.9,12.0,,
202609120604031205,5,,,18.1,32.2,,
202609120604031214,14,,,1.3,1.7,,
202609120604031201,1,,,5.4,9.3,,
202609120604031213,13,,,1.4,2.2,,
202609120604031216,16,,,20.7,36.9,,
202609120604031204,4, 77, 82,2.6,4.2,,
202609120604031203,3,,,2.7,4.5,,
202609120604031210,10,,,59.3,105.9,,
202609120604031115,15,,,1.6,2.0,,
202609120604031105,5,,,2.1,2.8,,
202609120604031116,16,,,2.5,3.3,,
202609120604031110,10,,,1.7,2.2,,
202609120604031113,13,,,3.8,5.2,,
202609120604031109,9,111,103,1.6,2.1,,
202609120604031114,14,,,3.4,4.7,,
202609120604031112,12,,,9.0,12.7,,
202609120604031108,8,103, 95,8.8,12.4,,
202609120604031103,3,,,19.4,27.3,,
202609120604031106,6,,,4.4,6.2,,
202609120604031111,11,,,8.1,11.5,,
202609120604031107,7,,,5.7,8.0,,
202609120604031101,1, 89, 83,8.2,11.5,,
202609120604031102,2,,,6.8,9.6,,
202609120604031104,4,,,,,,
202609120604031005,5,,,4.7,6.6,,
202609120604031002,2, 99, 91,3.8,5.4,,
202609120604031004,4,,,2.4,3.3,,
