レースID(新),馬番,前走補9,前走補正
202606280201060203,3,80.0,96.0
202606280201060206,6,66.0,81.0
202606280201060214,14,40.0,58.0
202606280201060310,10,70.0,87.0
202606280201060401,1,70.0,89.0
202606280201060404,4,72.0,91.0
202606280201060405,5,51.0,68.0
202606280201060406,6,66.0,85.0
202606280201060407,7,65.0,84.0
202606280201060408,8,77.0,96.0
202606280201060409,9,67.0,86.0
202606280201060411,11,74.0,93.0
202606280201060413,13,78.0,97.0
202606280201060415,15,72.0,91.0
202606280201060416,16,53.0,71.0
202606280201060602,2,76.0,95.0
202606280201060603,3,75.0,94.0
202606280201060609,9,59.0,78.0
202606280201060611,11,77.0,96.0
202606280201060613,13,75.0,94.0
202606280201060701,1,80.0,89.0
202606280201060703,3,69.0,75.0
202606280201060704,4,88.0,97.0
202606280201060705,5,88.0,97.0
202606280201060707,7,83.0,93.0
202606280201060708,8,76.0,86.0
202606280201060710,10,44.0,50.0
202606280201060802,2,80.0,89.0
202606280201060805,5,83.0,92.0
202606280201060809,9,85.0,90.0
202606280201060810,10,79.0,88.0
202606280201060811,11,81.0,86.0
202606280201060812,12,91.0,96.0
202606280201060813,13,92.0,97.0
202606280201060903,3,90.0,99.0
202606280201060907,7,90.0,99.0
202606280201060909,9,77.0,85.0
202606280201060910,10,78.0,87.0
202606280201061001,1,93.0,93.0
202606280201061003,3,81.0,81.0
202606280201061004,4,89.0,89.0
202606280201061005,5,88.0,88.0
202606280201061006,6,90.0,100.0
202606280201061007,7,85.0,85.0
202606280201061009,9,88.0,88.0
202606280201061011,11,91.0,91.0
202606280201061101,1,107.0,93.0
202606280201061102,2,93.0,67.0
202606280201061103,3,93.0,79.0
202606280201061104,4,113.0,97.0
202606280201061105,5,107.0,99.0
202606280201061106,6,106.0,80.0
202606280201061107,7,107.0,85.0
202606280201061108,8,103.0,88.0
202606280201061109,9,105.0,89.0
202606280201061110,10,109.0,86.0
202606280201061111,11,110.0,94.0
202606280201061112,12,15.0,
202606280201061113,13,112.0,90.0
202606280201061114,14,107.0,99.0
202606280201061115,15,116.0,90.0
202606280201061202,2,85.0,85.0
202606280201061203,3,88.0,88.0
202606280201061204,4,94.0,89.0
202606280201061212,12,90.0,85.0
202606280302020201,1,77.0,94.0
202606280302020202,2,67.0,84.0
202606280302020203,3,47.0,66.0
202606280302020204,4,63.0,78.0
202606280302020205,5,77.0,93.0
202606280302020206,6,69.0,87.0
202606280302020207,7,73.0,92.0
202606280302020213,13,71.0,88.0
202606280302020601,1,66.0,81.0
202606280302020602,2,82.0,94.0
202606280302020605,5,70.0,87.0
202606280302020607,7,85.0,100.0
202606280302020610,10,54.0,69.0
202606280302020611,11,79.0,95.0
202606280302020613,13,23.0,41.0
202606280302020614,14,52.0,64.0
202606280302020615,15,65.0,80.0
202606280302020616,16,83.0,95.0
202606280302020701,1,62.0,78.0
202606280302020702,2,48.0,67.0
202606280302020703,3,57.0,72.0
202606280302020704,4,61.0,78.0
202606280302020705,5,73.0,90.0
202606280302020706,6,64.0,80.0
202606280302020707,7,74.0,89.0
202606280302020709,9,62.0,79.0
202606280302020710,10,77.0,92.0
202606280302020711,11,67.0,83.0
202606280302020712,12,48.0,65.0
202606280302020713,13,64.0,76.0
202606280302020715,15,78.0,95.0
202606280302020802,2,85.0,90.0
202606280302020803,3,85.0,90.0
202606280302020805,5,99.0,81.0
202606280302020806,6,82.0,90.0
202606280302020807,7,88.0,96.0
202606280302020808,8,83.0,91.0
202606280302020809,9,84.0,89.0
202606280302020812,12,66.0,74.0
202606280302020901,1,91.0,99.0
202606280302020902,2,93.0,93.0
202606280302020903,3,95.0,95.0
202606280302020904,4,92.0,92.0
202606280302020905,5,85.0,85.0
202606280302020906,6,102.0,102.0
202606280302020907,7,98.0,98.0
202606280302020908,8,87.0,87.0
202606280302020910,10,98.0,98.0
202606280302020912,12,100.0,100.0
202606280302020914,14,82.0,82.0
202606280302021001,1,101.0,94.0
202606280302021003,3,91.0,84.0
202606280302021004,4,106.0,99.0
202606280302021005,5,96.0,89.0
202606280302021006,6,87.0,80.0
202606280302021007,7,100.0,93.0
202606280302021008,8,97.0,90.0
202606280302021009,9,104.0,97.0
202606280302021010,10,100.0,93.0
202606280302021011,11,79.0,72.0
202606280302021101,1,92.0,98.0
202606280302021102,2,82.0,100.0
202606280302021103,3,102.0,84.0
202606280302021104,4,88.0,93.0
202606280302021105,5,101.0,107.0
202606280302021106,6,93.0,98.0
202606280302021107,7,100.0,76.0
202606280302021108,8,104.0,87.0
202606280302021109,9,95.0,77.0
202606280302021110,10,94.0,77.0
202606280302021111,11,93.0,87.0
202606280302021112,12,107.0,89.0
202606280302021113,13,107.0,85.0
202606280302021114,14,93.0,98.0
202606280302021115,15,97.0,79.0
202606280302021116,16,96.0,95.0
202606280302021201,1,85.0,100.0
202606280302021202,2,90.0,95.0
202606280302021203,3,80.0,85.0
202606280302021204,4,84.0,89.0
202606280302021205,5,88.0,103.0
202606280302021206,6,81.0,90.0
202606280302021207,7,92.0,97.0
202606280302021208,8,91.0,100.0
202606280302021209,9,80.0,89.0
202606280302021211,11,80.0,89.0
202606280302021212,12,81.0,90.0
202606280302021213,13,94.0,109.0
202606281002020101,1,75.0,91.0
202606281002020103,3,74.0,92.0
202606281002020105,5,83.0,99.0
202606281002020106,6,72.0,87.0
202606281002020107,7,66.0,82.0
202606281002020108,8,76.0,91.0
202606281002020110,10,74.0,89.0
202606281002020111,11,35.0,53.0
202606281002020112,12,72.0,89.0
202606281002020113,13,81.0,96.0
202606281002020114,14,81.0,96.0
202606281002020115,15,57.0,72.0
202606281002020116,16,71.0,83.0
202606281002020117,17,68.0,83.0
202606281002020118,18,62.0,77.0
202606281002020202,2,49.0,68.0
202606281002020205,5,76.0,94.0
202606281002020206,6,67.0,86.0
202606281002020207,7,72.0,91.0
202606281002020208,8,75.0,93.0
202606281002020209,9,73.0,91.0
202606281002020210,10,74.0,90.0
202606281002020211,11,61.0,79.0
202606281002020214,14,47.0,63.0
202606281002020215,15,75.0,92.0
202606281002020301,1,27.0,45.0
202606281002020302,2,74.0,89.0
202606281002020304,4,84.0,100.0
202606281002020305,5,76.0,92.0
202606281002020306,6,74.0,89.0
202606281002020307,7,76.0,92.0
202606281002020308,8,78.0,94.0
202606281002020309,9,39.0,54.0
202606281002020310,10,50.0,65.0
202606281002020312,12,56.0,73.0
202606281002020313,13,78.0,93.0
202606281002020315,15,88.0,102.0
202606281002020317,17,84.0,89.0
202606281002020403,3,74.0,90.0
202606281002020404,4,61.0,77.0
202606281002020406,6,81.0,99.0
202606281002020407,7,69.0,87.0
202606281002020408,8,74.0,89.0
202606281002020409,9,39.0,57.0
202606281002020410,10,72.0,90.0
202606281002020411,11,77.0,93.0
202606281002020412,12,79.0,94.0
202606281002020414,14,75.0,93.0
202606281002020701,1,78.0,87.0
202606281002020702,2,90.0,95.0
202606281002020703,3,71.0,81.0
202606281002020704,4,85.0,90.0
202606281002020705,5,75.0,80.0
202606281002020707,7,58.0,68.0
202606281002020708,8,78.0,87.0
202606281002020709,9,91.0,100.0
202606281002020802,2,83.0,100.0
202606281002020804,4,82.0,90.0
202606281002020805,5,63.0,72.0
202606281002020806,6,73.0,82.0
202606281002020901,1,89.0,89.0
202606281002020902,2,96.0,96.0
202606281002020904,4,90.0,90.0
202606281002020905,5,99.0,99.0
202606281002020906,6,96.0,96.0
202606281002020908,8,94.0,102.0
202606281002021001,1,94.0,94.0
202606281002021002,2,88.0,88.0
202606281002021003,3,98.0,98.0
202606281002021004,4,94.0,94.0
202606281002021005,5,82.0,82.0
202606281002021006,6,90.0,90.0
202606281002021007,7,91.0,91.0
202606281002021009,9,92.0,92.0
202606281002021010,10,94.0,103.0
202606281002021011,11,89.0,89.0
202606281002021012,12,94.0,94.0
202606281002021014,14,90.0,90.0
202606281002021015,15,87.0,87.0
202606281002021016,16,72.0,72.0
202606281002021101,1,95.0,89.0
202606281002021102,2,94.0,88.0
202606281002021103,3,82.0,78.0
202606281002021104,4,100.0,96.0
202606281002021105,5,98.0,92.0
202606281002021106,6,100.0,100.0
202606281002021107,7,93.0,88.0
202606281002021108,8,101.0,95.0
202606281002021201,1,83.0,101.0
202606281002021202,2,83.0,99.0
202606281002021203,3,85.0,102.0
202606281002021204,4,73.0,83.0
202606281002021205,5,84.0,94.0
202606281002021206,6,86.0,95.0
202606281002021208,8,67.0,73.0
202606281002021209,9,78.0,88.0
202606281002021210,10,84.0,90.0
202606281002021211,11,83.0,88.0
202606281002021212,12,86.0,92.0
202606281002021213,13,84.0,93.0
202606281002021214,14,76.0,86.0
202606281002021215,15,84.0,93.0
202606281002021216,16,74.0,83.0
