レースID(新),馬番,前走補9,前走補正
202606070503020102,2,73.0,89.0
202606070503020103,3,73.0,88.0
202606070503020104,4,69.0,84.0
202606070503020105,5,70.0,85.0
202606070503020107,7,73.0,85.0
202606070503020110,10,76.0,91.0
202606070503020111,11,74.0,89.0
202606070503020115,15,78.0,93.0
202606070503020201,1,71.0,90.0
202606070503020202,2,65.0,83.0
202606070503020203,3,57.0,74.0
202606070503020204,4,72.0,91.0
202606070503020207,7,67.0,86.0
202606070503020209,9,77.0,96.0
202606070503020211,11,79.0,97.0
202606070503020212,12,55.0,73.0
202606070503020213,13,51.0,70.0
202606070503020215,15,64.0,82.0
202606070503020301,1,78.0,96.0
202606070503020302,2,50.0,67.0
202606070503020304,4,41.0,59.0
202606070503020305,5,66.0,81.0
202606070503020306,6,63.0,82.0
202606070503020307,7,83.0,100.0
202606070503020310,10,59.0,78.0
202606070503020311,11,77.0,93.0
202606070503020312,12,73.0,88.0
202606070503020315,15,63.0,80.0
202606070503020316,16,80.0,97.0
202606070503020402,2,66.0,83.0
202606070503020403,3,78.0,96.0
202606070503020407,7,72.0,89.0
202606070503020408,8,73.0,88.0
202606070503020409,9,59.0,74.0
202606070503020410,10,84.0,99.0
202606070503020411,11,64.0,83.0
202606070503020412,12,79.0,97.0
202606070503020415,15,79.0,97.0
202606070503020416,16,82.0,100.0
202606070503020601,1,77.0,92.0
202606070503020602,2,81.0,95.0
202606070503020603,3,69.0,85.0
202606070503020605,5,74.0,89.0
202606070503020606,6,61.0,75.0
202606070503020607,7,68.0,84.0
202606070503020609,9,81.0,97.0
202606070503020610,10,83.0,95.0
202606070503020611,11,75.0,90.0
202606070503020613,13,52.0,67.0
202606070503020701,1,88.0,103.0
202606070503020702,2,85.0,99.0
202606070503020704,4,90.0,107.0
202606070503020707,7,74.0,79.0
202606070503020708,8,83.0,99.0
202606070503020709,9,90.0,100.0
202606070503020711,11,69.0,78.0
202606070503020713,13,87.0,102.0
202606070503020714,14,81.0,96.0
202606070503020802,2,79.0,95.0
202606070503020803,3,86.0,95.0
202606070503020804,4,33.0,42.0
202606070503020806,6,88.0,97.0
202606070503020807,7,81.0,98.0
202606070503020808,8,89.0,94.0
202606070503020809,9,85.0,90.0
202606070503020810,10,76.0,86.0
202606070503020811,11,81.0,90.0
202606070503020812,12,82.0,100.0
202606070503020813,13,89.0,94.0
202606070503020814,14,90.0,106.0
202606070503020815,15,86.0,94.0
202606070503020816,16,88.0,96.0
202606070503020901,1,98.0,98.0
202606070503020902,2,95.0,95.0
202606070503020903,3,96.0,96.0
202606070503020904,4,61.0,69.0
202606070503020905,5,90.0,99.0
202606070503020906,6,84.0,101.0
202606070503020908,8,91.0,99.0
202606070503021001,1,88.0,88.0
202606070503021002,2,78.0,78.0
202606070503021003,3,85.0,95.0
202606070503021004,4,85.0,94.0
202606070503021005,5,88.0,88.0
202606070503021006,6,89.0,99.0
202606070503021007,7,85.0,85.0
202606070503021008,8,88.0,97.0
202606070503021009,9,86.0,86.0
202606070503021010,10,102.0,107.0
202606070503021011,11,91.0,100.0
202606070503021012,12,89.0,89.0
202606070503021013,13,94.0,94.0
202606070503021016,16,91.0,91.0
202606070503021101,1,110.0,87.0
202606070503021102,2,107.0,84.0
202606070503021103,3,117.0,94.0
202606070503021104,4,108.0,85.0
202606070503021105,5,111.0,96.0
202606070503021107,7,104.0,92.0
202606070503021108,8,113.0,98.0
202606070503021109,9,118.0,95.0
202606070503021113,13,102.0,76.0
202606070503021115,15,40.0,28.0
202606070503021201,1,95.0,101.0
202606070503021203,3,91.0,91.0
202606070503021204,4,93.0,103.0
202606070503021205,5,72.0,72.0
202606070503021206,6,92.0,92.0
202606070503021207,7,93.0,93.0
202606070503021208,8,98.0,98.0
202606070503021209,9,86.0,86.0
202606070503021212,12,92.0,92.0
202606070503021213,13,92.0,102.0
202606070503021214,14,91.0,108.0
202606070503021215,15,90.0,99.0
202606070903020203,3,77.0,95.0
202606070903020204,4,69.0,88.0
202606070903020205,5,80.0,85.0
