レースID(新),馬番,前走補9,前走補正
202608300102040103,3,69.0,83.0
202608300102040806,6,83.0,89.0
202608300102040902,2,64.0,73.0
202608300102040903,3,81.0,87.0
202608300102040911,11,76.0,86.0
202608300102041009,9,92.0,74.0
202608300102041101,1,99.0,94.0
202608300102041105,5,92.0,74.0
202608300102041107,7,99.0,93.0
202608300102041108,8,97.0,91.0
202608300102041109,9,100.0,100.0
202608300102041110,10,99.0,99.0
202608300102041112,12,98.0,90.0
202608300403040502,2,61.0,76.0
202608300403040510,10,70.0,84.0
202608300403040514,14,29.0,47.0
202608300403040516,16,74.0,91.0
202608300403040606,6,92.0,92.0
202608300403040612,12,87.0,87.0
202608300403040615,15,81.0,81.0
202608300403040710,10,101.0,101.0
202608300403040803,3,111.0,93.0
202608300403040805,5,105.0,83.0
202608300403040806,6,108.0,85.0
202608300403040808,8,118.0,96.0
202608300403040809,9,108.0,86.0
202608300403040913,13,90.0,90.0
202608300403040914,14,84.0,84.0
202608300403041104,4,37.0,42.0
202608300403041105,5,80.0,99.0
202608300403041111,11,83.0,92.0
202608300403041206,6,93.0,92.0
202608300403041213,13,82.0,100.0
202608300703040501,1,78.0,87.0
202608300703040502,2,73.0,83.0
202608300703040504,4,88.0,93.0
202608300703040510,10,78.0,84.0
202608300703040604,4,96.0,89.0
202608300703040607,7,101.0,101.0
202608300703040609,9,102.0,95.0
202608300703040615,15,102.0,102.0
202608300703040616,16,103.0,103.0
202608300703040805,5,101.0,77.0
202608300703040810,10,92.0,71.0
202608300703040908,8,48.0,66.0
202608300703041002,2,86.0,94.0
202608300703041005,5,89.0,86.0
202608300703041009,9,81.0,99.0
202608300703041208,8,87.0,96.0
202608300703041211,11,94.0,99.0
