レースID(新),馬番,前走補9,前走補正
202603150701021011,11, 93, 98
202603150701021012,12, 90,106
202603150701021005,5, 80, 70
202603150701020916,16, 87, 87
202603150701020907,7, 93, 93
202603150701020915,15, 98, 98
202603150701020906,6, 90, 90
202603150701020904,4, 91, 91
202603150701020903,3, 62, 62
202603150701020909,9, 99, 99
202603150701020902,2, 92, 92
202603150701020905,5, 74, 74
202603150701020910,10, 89, 89
202603150701020913,13,,
202603150701020908,8, 99, 99
202603150701020901,1, 90, 90
202603150701020912,12, 79, 79
202603150701020911,11, 84, 84
202603150701020914,14, 91, 91
202603150701020810,10, 89, 98
202603150701020807,7, 89, 97
202603150701020809,9, 88, 97
202603150701020804,4, 75, 83
202603150701020808,8, 83, 91
202603150701020812,12, 84, 92
202603150701020802,2,,
202603150701020806,6,,
202603150701020803,3, 81, 99
202603150701020801,1, 87, 95
202603150701020805,5, 32, 41
202603150701020811,11, 21, 30
202603150701020701,1, 77, 86
202603150701020715,15, 90, 99
202603150701020706,6, 82, 92
202603150701020713,13, 88, 98
202603150701020707,7,,
202603150701020702,2, 91, 91
202603150701020712,12, 84, 93
202603150701020714,14, 82, 91
202603150701020703,3, 88, 97
202603150701020711,11, 77, 86
202603150701020709,9, 87, 96
202603150701020704,4,,
202603150701020708,8, 77, 86
202603150701020710,10, 62, 71
202603150701020705,5, 69, 78
202603150701020602,2, 85, 95
202603150701020605,5, 84, 94
202603150701020606,6, 85, 95
202603150701020609,9, 85, 95
202603150701020603,3, 87, 97
202603150701020615,15, 89, 99
202603150701020613,13, 83, 93
202603150701020607,7,,
202603150701020604,4, 75, 85
202603150701020614,14, 75, 84
202603150701020616,16, 79, 88
202603150701020611,11, 82, 92
202603150701020612,12, 84, 93
202603150701020608,8, 80, 89
202603150701020601,1, 84, 93
202603150701020610,10,,
202603150701020501,1, 78, 97
202603150701020507,7, 78, 97
202603150701020515,15, 70, 89
202603150701020508,8,,
202603150701020510,10,,
202603150701020513,13,,
202603150701020511,11,,
202603150701020502,2, 60, 79
202603150701020505,5, 71, 89
202603150701020503,3,,
202603150701020512,12,,
202603150701020506,6, 65, 83
202603150701020514,14,,
202603150701020509,9,,
202603150701020504,4,,
202603150701020417,17, 82, 98
202603150701020402,2, 83, 97
202603150701020405,5, 31, 46
202603150701020412,12, 79, 93
202603150701020414,14, 73, 87
202603150701020409,9, 77, 93
202603150701020416,16, 83, 98
202603150701020415,15,,
202603150701020411,11, 83, 97
202603150701020413,13, 77, 91
202603150701020406,6, 80, 95
202603150701020407,7,,
202603150701020401,1, 64, 81
202603150701020408,8,,
202603150701020403,3, 81, 96
202603150701020410,10, 44, 58
202603150701020418,18,,
202603150701020404,4, 67, 82
202603150701020301,1, 79, 96
202603150701020311,11,,
202603150701020312,12, 83,100
202603150701020305,5, 77, 92
202603150701020308,8,,
202603150701020307,7,,
202603150701020315,15,,
202603150701020309,9,,
202603150701020316,16, 78, 93
202603150701020302,2, 76, 91
202603150701020313,13, 73, 88
202603150701020314,14, 78, 95
202603150701020304,4, 77, 95
202603150701020310,10,,
202603150701020303,3,,
202603150701020306,6,,
202603150701020201,1, 96,113
202603150701020213,13, 76, 91
202603150701020211,11,,
202603150701020207,7,,
202603150701020210,10, 62, 80
202603150701020212,12,,
202603150701020205,5,,
202603150701020206,6, 52, 70
202603150701020209,9, 66, 83
202603150701020202,2, 69, 83
202603150701020203,3, 49, 67
202603150701020204,4,,
202603150701020208,8, 45, 63
202603150701020114,14, 82, 98
202603150701020103,3, 83, 98
202603150701020116,16, 78, 93
202603150701020101,1, 64, 81
202603150701020105,5, 80, 96
202603150701020106,6,,
202603150701020115,15, 69, 84
202603150701020113,13,,
202603150701020102,2, 75, 91
202603150701020104,4,,
202603150701020107,7, 58, 75
202603150701020110,10, 66, 84
202603150701020112,12, 67, 81
202603150701020109,9, 75, 91
202603150701020108,8, 66, 82
202603150701020111,11,,
202603150901081205,5, 93, 93
202603150901081208,8, 98, 98
202603150901081207,7, 96, 96
202603150901081206,6, 97, 97
202603150901081212,12, 94, 94
202603150901081213,13, 94, 94
202603150901081211,11, 60, 60
202603150901081209,9, 83, 83
202603150901081201,1,,
202603150901081210,10, 91, 91
202603150901081203,3, 87, 87
202603150901081204,4, 78, 78
202603150901081202,2, 90, 99
202603150901081112,12,100, 92
202603150901081114,14,103, 95
202603150901081108,8,104, 96
202603150901081106,6, 96, 88
202603150901081110,10, 97, 87
202603150901081104,4, 88, 78
202603150901081111,11, 98, 86
202603150901081116,16, 93, 85
202603150901081109,9,106, 98
202603150901081101,1,102, 94
202603150901081103,3,103, 95
202603150901081107,7, 87, 75
202603150901081113,13,104, 96
202603150901081105,5,100, 92
202603150901081115,15,101, 93
202603150901081102,2,102, 94
202603150901081005,5, 59, 52
202603150901081004,4, 98, 91
202603150901081014,14, 99, 92
202603150901081003,3,100, 93
202603150901081012,12, 99, 92
202603150901081011,11, 98, 98
202603150901081013,13, 86, 79
202603150901081009,9, 98, 91
202603150901081007,7,,
202603150901081002,2, 93, 86
202603150901081001,1, 94, 87
202603150901081010,10,101, 94
202603150901081008,8, 93, 85
202603150901081006,6, 97, 90
202603150901080903,3, 89, 94
202603150901080904,4, 85, 82
202603150901080907,7, 83, 88
202603150901080902,2, 84, 99
202603150901080905,5, 86,104
202603150901080906,6, 81,100
202603150901080901,1,,
202603150901080811,11, 93, 93
202603150901080806,6,,
202603150901080809,9,,
202603150901080810,10, 90, 99
202603150901080804,4, 91, 91
202603150901080801,1, 98, 98
202603150901080803,3,,
202603150901080808,8, 93,103
202603150901080805,5, 91, 91
202603150901080807,7, 64, 64
202603150901080802,2,,
202603150901080707,7, 62, 71
202603150901080703,3, 90, 98
202603150901080713,13, 88, 96
202603150901080701,1, 87, 96
202603150901080711,11,,
202603150901080710,10, 91, 99
202603150901080706,6, 87, 95
202603150901080702,2,,
202603150901080709,9, 81, 90
202603150901080708,8, 87, 95
202603150901080712,12, 79, 87
202603150901080705,5, 85, 93
202603150901080704,4, 87, 95
202603150901080607,7, 89, 94
202603150901080606,6, 97, 91
202603150901080605,5, 91, 96
202603150901080603,3, 90,105
202603150901080610,10, 93, 83
202603150901080604,4, 83,100
202603150901080608,8, 85, 90
202603150901080602,2, 73, 91
202603150901080601,1, 63, 78
202603150901080611,11, 55, 73
202603150901080609,9,,
202603150901080510,10, 76, 95
202603150901080504,4,,
202603150901080502,2, 72, 91
202603150901080512,12, 81,100
202603150901080503,3, 81, 99
202603150901080506,6, 78, 93
202603150901080501,1, 71, 90
202603150901080515,15, 70, 89
202603150901080516,16,,
202603150901080511,11, 76, 95
202603150901080514,14, 80, 99
202603150901080507,7, 75, 92
202603150901080513,13, 63, 81
202603150901080505,5, 36, 54
202603150901080508,8, 75, 92
202603150901080509,9, 58, 76
202603150901080414,14,,
202603150901080403,3,,
202603150901080413,13,,
202603150901080409,9,,
202603150901080404,4,,
202603150901080407,7,,
202603150901080408,8,,
202603150901080410,10,,
202603150901080401,1,,
202603150901080402,2,,
202603150901080405,5,,
202603150901080406,6,,
202603150901080412,12, 68, 86
202603150901080411,11,,
202603150901080308,8,,
202603150901080314,14,,
202603150901080309,9, 79, 95
202603150901080303,3, 78, 93
202603150901080312,12, 77, 92
202603150901080305,5, 80, 94
202603150901080315,15, 78, 93
202603150901080304,4, 65, 81
202603150901080307,7, 74, 89
202603150901080311,11,,
202603150901080306,6, 70, 87
202603150901080316,16,,
202603150901080301,1, 74, 89
202603150901080310,10, 75, 90
202603150901080302,2, 72, 87
202603150901080313,13, 69, 84
202603150901080213,13, 73, 91
202603150901080204,4, 79, 97
202603150901080203,3,,
202603150901080212,12,,
202603150901080201,1, 71, 89
202603150901080210,10, 72, 89
202603150901080208,8, 56, 74
202603150901080209,9, 53, 71
202603150901080205,5, 27, 42
202603150901080202,2, 59, 77
202603150901080214,14, 64, 79
202603150901080211,11, 74, 91
202603150901080206,6,,
202603150901080207,7,,
202603150901080111,11, 85,101
202603150901080107,7, 76, 92
202603150901080102,2, 77, 92
202603150901080106,6,,
202603150901080113,13, 83, 99
202603150901080112,12, 83, 99
202603150901080110,10,,
202603150901080101,1,,
202603150901080104,4, 67, 85
202603150901080114,14, 78, 94
202603150901080116,16, 60, 78
202603150901080108,8,,
202603150901080103,3, 72, 88
202603150901080105,5, 74, 91
202603150901080109,9,,
202603150901080115,15,,
202603140602051206,6, 95, 95
202603140602051212,12, 93, 93
202603140602051215,15, 81, 81
202603140602051214,14,,
202603140602051216,16,,
202603140602051207,7, 94, 94
202603140602051208,8, 91, 91
202603140602051203,3, 95, 95
202603140602051204,4, 92, 92
202603140602051211,11, 96, 96
202603140602051202,2, 95, 95
202603140602051210,10, 92, 92
202603140602051209,9, 83, 83
202603140602051213,13, 88, 88
202603140602051201,1, 88, 88
202603140602051205,5, 83, 83
202603140602051104,4, 91, 85
202603140602051116,16, 84, 99
202603140602051102,2, 90,105
202603140602051110,10, 95,100
202603140602051108,8,,
202603140602051115,15, 98, 95
202603140602051112,12, 89, 94
202603140602051105,5, 90, 95
202603140602051109,9, 87,104
202603140602051113,13, 90, 89
202603140602051111,11, 90, 84
202603140602051114,14, 87, 92
202603140602051103,3, 86, 91
202603140602051106,6,,
202603140602051107,7, 84, 99
202603140602051101,1,,
202603140602051016,16, 94, 86
202603140602051007,7,105, 97
202603140602051006,6,100,100
202603140602051013,13, 99, 99
202603140602051010,10,108,100
202603140602051005,5,100,100
202603140602051004,4, 93, 85
202603140602051008,8,103, 95
202603140602051002,2, 99, 99
202603140602051015,15,102, 94
202603140602051011,11, 97, 89
202603140602051014,14,101, 93
202603140602051012,12,102, 94
202603140602051003,3, 92, 86
202603140602051001,1, 98, 91
202603140602051009,9, 94, 86
202603140602050909,9, 92,100
202603140602050907,7, 88, 88
202603140602050906,6, 96, 96
202603140602050903,3, 89, 89
202603140602050908,8, 83, 91
202603140602050902,2, 82, 82
202603140602050911,11, 92, 92
202603140602050910,10, 89, 89
202603140602050901,1, 95, 95
202603140602050905,5,,
202603140602050904,4, 84, 84
202603140602050812,12, 75, 85
202603140602050815,15, 88, 97
202603140602050801,1, 87, 96
202603140602050805,5, 85, 95
202603140602050807,7, 77, 87
202603140602050813,13, 84, 93
202603140602050808,8, 82, 91
202603140602050811,11, 79, 88
202603140602050809,9, 84, 93
202603140602050804,4, 86, 95
202603140602050810,10, 82, 91
202603140602050802,2, 70, 79
202603140602050816,16, 74, 83
202603140602050803,3, 81, 90
202603140602050814,14, 84, 83
202603140602050806,6, 72, 81
202603140602050701,1, 89, 97
202603140602050707,7, 88, 96
202603140602050702,2, 87, 95
202603140602050709,9, 87, 95
202603140602050704,4, 80, 88
202603140602050706,6, 85, 93
202603140602050705,5,,
202603140602050703,3, 57, 66
202603140602050708,8, 67, 76
202603140602050710,10, 83, 91
202603140602050603,3, 88, 93
202603140602050615,15,,
202603140602050612,12, 95,101
202603140602050604,4, 94, 99
202603140602050601,1, 84,101
202603140602050608,8, 84, 90
202603140602050616,16, 81, 99
202603140602050605,5, 81, 99
202603140602050606,6, 86, 91
202603140602050607,7, 83, 89
202603140602050614,14, 87, 93
