レースID(新),馬番,前走補9,前走補正
202604250301050101,1,56.0,74.0
202604250301050102,2,71.0,86.0
202604250301050103,3,69.0,86.0
202604250301050104,4,62.0,80.0
202604250301050105,5,72.0,90.0
202604250301050106,6,82.0,99.0
202604250301050107,7,59.0,77.0
202604250301050109,9,77.0,95.0
202604250301050110,10,71.0,88.0
202604250301050111,11,11.0,29.0
202604250301050112,12,56.0,73.0
202604250301050113,13,65.0,80.0
202604250301050114,14,62.0,80.0
202604250301050115,15,72.0,87.0
202604250301050201,1,73.0,91.0
202604250301050202,2,80.0,95.0
202604250301050203,3,69.0,86.0
202604250301050204,4,82.0,97.0
202604250301050205,5,81.0,96.0
202604250301050206,6,77.0,92.0
202604250301050207,7,69.0,86.0
202604250301050208,8,82.0,99.0
202604250301050209,9,76.0,92.0
202604250301050210,10,71.0,86.0
202604250301050211,11,73.0,91.0
202604250301050212,12,72.0,87.0
202604250301050213,13,77.0,92.0
202604250301050214,14,65.0,77.0
202604250301050215,15,47.0,63.0
202604250301050216,16,82.0,94.0
202604250301050301,1,71.0,90.0
202604250301050302,2,66.0,85.0
202604250301050303,3,70.0,88.0
202604250301050304,4,79.0,98.0
202604250301050305,5,65.0,84.0
202604250301050306,6,73.0,91.0
202604250301050307,7,76.0,94.0
202604250301050309,9,77.0,96.0
202604250301050310,10,76.0,94.0
202604250301050312,12,71.0,89.0
202604250301050313,13,54.0,73.0
202604250301050315,15,80.0,98.0
202604250301050316,16,64.0,81.0
202604250301050401,1,47.0,65.0
202604250301050402,2,82.0,94.0
202604250301050403,3,86.0,101.0
202604250301050404,4,56.0,71.0
202604250301050407,7,78.0,93.0
202604250301050408,8,85.0,100.0
202604250301050409,9,65.0,80.0
202604250301050410,10,69.0,84.0
202604250301050411,11,79.0,94.0
202604250301050412,12,65.0,80.0
202604250301050413,13,,7.0
202604250301050414,14,76.0,91.0
202604250301050415,15,75.0,90.0
202604250301050416,16,75.0,90.0
202604250301050501,1,71.0,90.0
202604250301050502,2,73.0,92.0
202604250301050503,3,71.0,88.0
202604250301050504,4,75.0,92.0
202604250301050505,5,51.0,68.0
202604250301050506,6,62.0,78.0
202604250301050507,7,55.0,72.0
202604250301050508,8,78.0,97.0
202604250301050509,9,69.0,86.0
202604250301050510,10,61.0,80.0
202604250301050511,11,81.0,100.0
202604250301050512,12,75.0,94.0
202604250301050513,13,81.0,100.0
202604250301050514,14,73.0,92.0
202604250301050515,15,44.0,63.0
202604250301050516,16,61.0,79.0
202604250301050602,2,74.0,92.0
202604250301050603,3,61.0,79.0
202604250301050604,4,68.0,84.0
202604250301050605,5,53.0,70.0
202604250301050606,6,81.0,98.0
202604250301050607,7,64.0,83.0
202604250301050608,8,65.0,83.0
202604250301050609,9,82.0,99.0
202604250301050610,10,67.0,85.0
202604250301050611,11,43.0,60.0
202604250301050612,12,79.0,94.0
202604250301050614,14,80.0,97.0
202604250301050615,15,60.0,77.0
202604250301050701,1,89.0,98.0
202604250301050702,2,82.0,91.0
202604250301050703,3,86.0,95.0
202604250301050704,4,86.0,94.0
202604250301050705,5,83.0,92.0
202604250301050706,6,87.0,96.0
202604250301050707,7,85.0,94.0
202604250301050708,8,86.0,95.0
202604250301050709,9,82.0,91.0
202604250301050710,10,83.0,92.0
202604250301050711,11,83.0,92.0
202604250301050712,12,88.0,97.0
202604250301050801,1,72.0,81.0
202604250301050802,2,94.0,103.0
202604250301050803,3,83.0,93.0
202604250301050804,4,88.0,98.0
202604250301050805,5,71.0,81.0
202604250301050806,6,80.0,89.0
202604250301050807,7,75.0,85.0
202604250301050808,8,62.0,71.0
202604250301050809,9,74.0,83.0
202604250301050810,10,89.0,98.0
202604250301050812,12,90.0,100.0
202604250301050813,13,85.0,95.0
202604250301050814,14,86.0,96.0
202604250301050815,15,72.0,80.0
202604250301050901,1,91.0,96.0
202604250301050902,2,91.0,96.0
202604250301050903,3,83.0,98.0
202604250301050904,4,87.0,92.0
202604250301050905,5,86.0,100.0
202604250301050906,6,82.0,87.0
202604250301050907,7,87.0,102.0
202604250301050908,8,63.0,68.0
202604250301050909,9,87.0,92.0
202604250301050910,10,86.0,91.0
202604250301050911,11,85.0,90.0
202604250301050912,12,86.0,85.0
202604250301050913,13,91.0,96.0
202604250301050914,14,93.0,98.0
202604250301050916,16,85.0,100.0
202604250301051001,1,84.0,84.0
202604250301051002,2,94.0,94.0
202604250301051003,3,94.0,94.0
202604250301051004,4,93.0,102.0
202604250301051005,5,87.0,87.0
202604250301051006,6,95.0,95.0
202604250301051007,7,96.0,96.0
202604250301051008,8,93.0,93.0
202604250301051009,9,90.0,90.0
202604250301051010,10,92.0,92.0
202604250301051011,11,99.0,99.0
202604250301051012,12,77.0,77.0
202604250301051013,13,89.0,98.0
202604250301051014,14,97.0,97.0
202604250301051015,15,92.0,92.0
202604250301051016,16,92.0,101.0
