レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026030806020401,2026.3.8,日,中山,2中4,1,,未勝利,ダート,1800,,4,稍,晴,16,10:05,牝,馬齢,３歳
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,替,騎手,斤量,減M, 単勝,馬体重,増減,中央平地全:1着,中央平地全:2着,中央平地全:3着,中央平地全:外,中央平地全:連対率,同騎手:1着,同騎手:2着,同騎手:3着,同騎手:外,同騎手:連対率,全ダート:1着,全ダート:2着,全ダート:3着,全ダート:外,全ダート:連対率,ダート1800m:1着,ダート1800m:2着,ダート1800m:3着,ダート1800m:外,ダート1800m:連対率,中山・ダート:1着,中山・ダート:2着,中山・ダート:3着,中山・ダート:外,中山・ダート:連対率,同コース:1着,同コース:2着,同コース:3着,同コース:外,同コース:連対率,同クラス:1着,同クラス:2着,同クラス:3着,同クラス:外,同クラス:連対率,穴傾向,BESTﾀｲﾑ
2,,4,,,,,アミナス,,牡,3,*,柴田善臣,57,,13.3,526,+ 2,0,0,0,3,0.0,0,0,0,2,0.0,0,0,0,2,0.0,,,,,,0,0,0,1,0.0,,,,,,0,0,0,2,0.0,,(未)
3,,5,,,,,セキテイロックス,,牡,3,*,上里直汰,54,▲,252.9,492,- 4,0,0,0,1,0.0,,,,,,0,0,0,1,0.0,0,0,0,1,0.0,0,0,0,1,0.0,0,0,0,1,0.0,,,,,,,1.15.5
3,,6,,,,,ヘリオドール,,牝,3,*,石神深道,52,▲,144.8,460,- 4,0,0,0,2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0.0,,(未)
4,,7,,,,,デアプリームス,,牝,3,,池添謙一,55,,4.8,438,- 6,0,0,1,1,0.0,0,0,1,0,0.0,0,0,1,0,0.0,,,,,,,,,,,,,,,,0,0,1,0,0.0,,(未)
4,,8,,,,,マメーアップル,,牝,3,*,小林美駒,52,▲,10.3,436,- 2,0,1,0,2,33.3,0,1,0,0,100.0,0,1,0,2,33.3,0,1,0,2,33.3,0,1,0,1,50.0,0,1,0,1,50.0,0,1,0,1,50.0,,1.13.7
5,,9,,,,,アイビーキラリ,,牝,3,,原優介,55,,287.2,422,- 2,0,0,0,2,0.0,0,0,0,1,0.0,0,0,0,1,0.0,0,0,0,1,0.0,0,0,0,1,0.0,0,0,0,1,0.0,0,0,0,1,0.0,,1.14.6
5,,10,,,,,スナップジジ,,牡,3,*,矢野貴之,57,,142.9,510,+ 4,0,0,0,1,0.0,,,,,,0,0,0,1,0.0,0,0,0,1,0.0,0,0,0,1,0.0,0,0,0,1,0.0,,,,,,,1.15.9
6,,11,,,,,サリーアン,,牡,3,,黛弘人,57,,13.0,464,  0,0,0,0,3,0.0,0,0,0,2,0.0,0,0,0,3,0.0,0,0,0,1,0.0,0,0,0,1,0.0,0,0,0,1,0.0,0,0,0,2,0.0,,1.14.9
6,,12,,,,,ツクバヴァンガード,,牡,3,,横山武史,57,,2.4,478,- 2,0,0,2,1,0.0,0,0,1,0,0.0,0,0,2,1,0.0,0,0,1,1,0.0,0,0,1,1,0.0,0,0,1,1,0.0,0,0,1,1,0.0,,1.13.3
7,,13,,,,,ハクサンスオーノ,,牡,3,,荻野極,57,,66.4,488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(未)
7,,14,,,,,ジェイエルサーベイ,,牡,3,,横山和生,57,,74.1,520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(未)
8,,15,,,,,ベルオーシャン,,牝,3,,舟山瑠泉,52,▲,11.2,412,+ 6,0,0,1,1,0.0,0,0,1,1,0.0,0,0,0,1,0.0,0,0,0,1,0.0,0,0,0,1,0.0,0,0,0,1,0.0,0,0,0,1,0.0,,1.13.0
8,,16,,,,,アイアンクラッド,,牡,3,,三浦皇成,57,,6.5,494,- 4,0,0,0,1,0.0,0,0,0,1,0.0,0,0,0,1,0.0,0,0,0,1,0.0,0,0,0,1,0.0,0,0,0,1,0.0,,,,,,,1.13.8
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026030806020403,2026.3.8,日,中山,2中4,3,,未勝利,ダート,1800,,4,稍,晴,16,11:05,,馬齢,３歳
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,替,騎手,斤量,減M, 単勝,馬体重,増減,中央平地全:1着,中央平地全:2着,中央平地全:3着,中央平地全:外,中央平地全:連対率,同騎手:1着,同騎手:2着,同騎手:3着,同騎手:外,同騎手:連対率,全ダート:1着,全ダート:2着,全ダート:3着,全ダート:外,全ダート:連対率,ダート1800m:1着,ダート1800m:2着,ダート1800m:3着,ダート1800m:外,ダート1800m:連対率,中山・ダート:1着,中山・ダート:2着,中山・ダート:3着,中山・ダート:外,中山・ダート:連対率,同コース:1着,同コース:2着,同コース:3着,同コース:外,同コース:連対率,同クラス:1着,同クラス:2着,同クラス:3着,同クラス:外,同クラス:連対率,穴傾向,BESTﾀｲﾑ
1,,1,,,,,アイムスティルミー,,セ,3,,江田照男,57,,7.2,426,- 6,0,1,1,5,14.3,0,1,0,0,100.0,0,1,0,0,100.0,,,,,,,,,,,,,,,,0,1,1,4,16.7,,(未)
2,,2,,,,,マイネルゼーロス,,牡,3,,石神深道,54,▲,4.9,480,- 8,0,1,0,5,16.7,0,1,0,0,100.0,0,1,0,1,50.0,,,,,,,,,,,,,,,,0,1,0,4,20.0,,(未)
3,,3,,,,,ラッキースウィッチ,,牡,3,,横山武史,57,,6.5,482,+ 8,0,1,0,2,33.3,0,0,0,2,0.0,,,,,,,,,,,,,,,,,,,,,0,1,0,1,50.0,,(未)
3,,4,,,,,カスターニエ,,牝,3,,谷原柚希,51,★,111.9,420,- 6,0,0,0,3,0.0,0,0,0,1,0.0,0,0,0,3,0.0,,,,,,0,0,0,1,0.0,,,,,,0,0,0,2,0.0,,(未)
4,,5,,,,,グランフィエスタ,,牡,3,*,矢野貴之,57,,80.8,502,- 4,0,0,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0.0,,(未)
4,,6,,,,,ゲンパチミスティ,,牝,3,*,石川裕紀,55,,174.0,454,-12,0,0,0,3,0.0,,,,,,0,0,0,2,0.0,0,0,0,2,0.0,0,0,0,2,0.0,0,0,0,2,0.0,0,0,0,2,0.0,,2.00.0
5,,7,,,,,アルファマリブ,,牡,3,,舟山瑠泉,54,▲,17.4,484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(未)
5,,8,,,,,ウインエンブレム,,牡,3,,菊沢一樹,57,,39.6,514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(未)
6,,9,,,,,ロット,,牝,3,*,嶋田純次,55,,134.8,426,+10,0,0,1,7,0.0,0,0,0,5,0.0,0,0,0,3,0.0,,,,,,0,0,0,1,0.0,,,,,,0,0,1,6,0.0,,(未)
6,,10,,,,,サンドッグ,,牡,3,*,木幡育也,57,,89.0,520,+ 2,0,0,0,2,0.0,,,,,,0,0,0,1,0.0,0,0,0,1,0.0,0,0,0,1,0.0,0,0,0,1,0.0,0,0,0,1,0.0,,2.03.8
7,B,11,,,,,ロードキャリバー,,牡,3,,大野拓弥,57,,492.7,500,+ 2,0,0,0,3,0.0,0,0,0,1,0.0,0,0,0,2,0.0,0,0,0,2,0.0,0,0,0,1,0.0,0,0,0,1,0.0,0,0,0,2,0.0,,1.58.9
7,,12,,,,,ウルヴァリン,,牡,3,*,遠藤汰月,54,▲,524.3,490,+ 4,0,0,0,10,0.0,0,0,0,2,0.0,0,0,0,10,0.0,0,0,0,1,0.0,0,0,0,2,0.0,0,0,0,1,0.0,0,0,0,9,0.0,,1.58.8
8,,13,,,,,ホノボノ,,牡,3,*,丹内祐次,57,,15.2,460,- 2,0,0,0,5,0.0,,,,,,0,0,0,1,0.0,,,,,,,,,,,,,,,,0,0,0,4,0.0,,(未)
8,,14,,,,,アラビアンドリーム,,牡,3,,横山和生,57,,1.7,498,+ 2,0,1,0,2,33.3,0,0,0,1,0.0,0,1,0,2,33.3,0,1,0,2,33.3,0,1,0,2,33.3,0,1,0,2,33.3,0,0,0,2,0.0,,1.56.5
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026030806020405,2026.3.8,日,中山,2中4,5,,未勝利,芝,1800,A,4,良,晴,16,12:25,,馬齢,３歳
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,替,騎手,斤量,減M, 単勝,馬体重,増減,中央平地全:1着,中央平地全:2着,中央平地全:3着,中央平地全:外,中央平地全:連対率,同騎手:1着,同騎手:2着,同騎手:3着,同騎手:外,同騎手:連対率,全芝:1着,全芝:2着,全芝:3着,全芝:外,全芝:連対率,芝1800m:1着,芝1800m:2着,芝1800m:3着,芝1800m:外,芝1800m:連対率,中山・芝:1着,中山・芝:2着,中山・芝:3着,中山・芝:外,中山・芝:連対率,同コース:1着,同コース:2着,同コース:3着,同コース:外,同コース:連対率,同クラス:1着,同クラス:2着,同クラス:3着,同クラス:外,同クラス:連対率,穴傾向,BESTﾀｲﾑ
1,,1,,,,,ニシノマルガリート,,牡,3,,横山武史,57,,33.1,438,  0,0,0,0,1,0.0,0,0,0,1,0.0,0,0,0,1,0.0,,,,,,0,0,0,1,0.0,,,,,,,,,,,,(未)
1,,2,,,,,ランウェイミューズ,,牝,3,,戸崎圭太,55,,11.8,394,+ 2,0,1,0,0,100.0,0,1,0,0,100.0,0,1,0,0,100.0,,,,,,0,1,0,0,100.0,,,,,,,,,,,,(未)
2,,3,,,,,トーセンブリラーレ,,牡,3,,長浜鴻緒,55,△,137.0,510,+12,0,0,0,2,0.0,0,0,0,2,0.0,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0.0,,(未)
2,,4,,,,,ハニージョー,,牡,3,,ルメール,57,,2.0,508,  0,0,0,1,0,0.0,0,0,1,0,0.0,0,0,1,0,0.0,,,,,,,,,,,,,,,,,,,,,,(未)
3,,5,,,,,サンサブリミナル,,牝,3,,松岡正海,55,,345.3,476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(未)
3,,6,,,,,フックセンチョウ,,牡,3,*,菊沢一樹,57,,487.1,440,+ 2,0,0,0,4,0.0,,,,,,0,0,0,3,0.0,,,,,,0,0,0,2,0.0,,,,,,0,0,0,3,0.0,,(未)
4,,7,,,,,カンティーナ,,牝,3,,大野拓弥,55,,9.8,474,+ 8,0,1,1,2,25.0,0,1,1,1,33.3,0,1,1,2,25.0,0,0,1,1,0.0,0,0,0,1,0.0,,,,,,0,0,1,2,0.0,,1.48.0
4,,8,,,,,フクスケ,,牡,3,*,木幡育也,57,,487.5,452,  0,0,0,0,3,0.0,,,,,,0,0,0,2,0.0,0,0,0,1,0.0,0,0,0,2,0.0,0,0,0,1,0.0,0,0,0,2,0.0,,1.49.8
5,,9,,,,,ラベルセーヌ,,牝,3,,荻野極,55,,19.9,430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(未)
5,,10,,,,,コールリッジ,,牡,3,,津村明秀,57,,239.7,444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(未)
6,,11,,,,,ベルランコントル,,牝,3,,丹内祐次,55,,15.8,446,-12,0,0,1,3,0.0,0,0,1,3,0.0,0,0,1,3,0.0,0,0,1,1,0.0,0,0,1,2,0.0,0,0,1,1,0.0,0,0,1,2,0.0,,1.48.9
6,,12,,,,,アレステリオス,,牡,3,*,石橋脩,57,,107.6,454,+ 2,0,0,0,2,0.0,,,,,,0,0,0,1,0.0,,,,,,,,,,,,,,,,0,0,0,1,0.0,,(未)
7,,13,,,,,ショウナンサイオウ,,牡,3,,池添謙一,57,,4.0,490,  0,0,0,1,3,0.0,0,0,1,3,0.0,0,0,1,1,0.0,0,0,1,0,0.0,,,,,,,,,,,0,0,1,2,0.0,,1.48.1
7,,14,,,,,ポイズンオーク,,牝,3,*,杉原誠人,55,,43.7,532,  0,0,0,0,2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0.0,,(未)
8,,15,,,,,ギリーカラム,,牡,3,,岩田康誠,57,,14.7,514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(未)
8,,16,,,,,アルペンローゼ,,牝,3,*,横山和生,55,,16.0,486,- 4,0,0,0,2,0.0,0,0,0,1,0.0,0,0,0,1,0.0,0,0,0,1,0.0,,,,,,,,,,,0,0,0,1,0.0,,1.48.2
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026030806020406,2026.3.8,日,中山,2中4,6,,1勝,ダート,1200,,2,稍,晴,16,12:55,,定量,４上
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,替,騎手,斤量,減M, 単勝,馬体重,増減,中央平地全:1着,中央平地全:2着,中央平地全:3着,中央平地全:外,中央平地全:連対率,同騎手:1着,同騎手:2着,同騎手:3着,同騎手:外,同騎手:連対率,全ダート:1着,全ダート:2着,全ダート:3着,全ダート:外,全ダート:連対率,ダート1200m:1着,ダート1200m:2着,ダート1200m:3着,ダート1200m:外,ダート1200m:連対率,中山・ダート:1着,中山・ダート:2着,中山・ダート:3着,中山・ダート:外,中山・ダート:連対率,同コース:1着,同コース:2着,同コース:3着,同コース:外,同コース:連対率,同クラス:1着,同クラス:2着,同クラス:3着,同クラス:外,同クラス:連対率,穴傾向,BESTﾀｲﾑ
1,,1,,,,,ピクラリーダ,,牝,5,*,舟山瑠泉,53,▲,214.9,460,+10,1,0,2,11,7.1,,,,,,1,0,1,8,10.0,0,0,0,3,0.0,0,0,0,2,0.0,0,0,0,2,0.0,0,0,1,6,0.0,,1.14.0
1,,2,,,,,ショウナンラリー,,牡,4,,横山和生,58,,11.2,492,+ 8,1,3,3,7,28.6,1,0,1,3,20.0,1,3,3,6,30.8,0,2,1,1,50.0,0,2,1,1,50.0,0,2,1,1,50.0,0,0,0,2,0.0,,1.12.8
2,,3,,,,,カーヌスティ,,牡,4,*,ルメール,58,,4.4,490,+ 2,0,0,0,7,0.0,,,,,,0,0,0,4,0.0,0,1,0,1,50.0,0,0,0,1,0.0,0,0,0,1,0.0,0,0,0,2,0.0,,1.13.0
2,B,4,,,,,カーリングホリデー,,牝,5,*,菊沢一樹,56,,360.7,484,+18,1,0,0,11,8.3,,,,,,1,0,0,10,9.1,0,0,0,1,0.0,0,0,0,3,0.0,0,0,0,1,0.0,0,0,0,7,0.0,,1.14.6
3,,5,,,,,ルクスマーベリック,,セ,5,*,杉原誠人,58,,63.7,452,+ 2,1,2,1,11,20.0,0,0,0,1,0.0,0,1,0,4,20.0,0,0,0,1,0.0,0,0,0,1,0.0,0,0,0,1,0.0,0,0,0,8,0.0,,1.12.1
3,,6,,,,,エンジェルブリーズ,,牝,4,*,大野拓弥,56,,21.1,460,+ 6,1,0,0,3,25.0,,,,,,0,0,0,1,0.0,0,0,0,1,0.0,0,0,0,1,0.0,0,0,0,1,0.0,0,0,0,2,0.0,,1.12.1
4,,7,,,,,ルイステソーロ,,セ,4,,丹内祐次,58,,9.2,480,- 4,1,0,1,6,12.5,0,0,1,2,0.0,1,0,1,6,12.5,1,0,1,2,25.0,0,0,1,1,0.0,0,0,1,1,0.0,0,0,1,5,0.0,,1.11.1
4,,8,,,,,セイゲン,,セ,7,*,佐々木大,58,,128.5,472,+14,1,1,2,23,7.4,0,0,0,3,0.0,1,1,2,23,7.4,0,0,0,7,0.0,1,0,0,8,11.1,0,0,0,5,0.0,0,0,0,23,0.0,,1.11.8
5,B,9,,,,,グルーヴィーオン,,牝,4,,原優介,56,,13.1,480,  0,0,0,0,7,0.0,0,0,0,5,0.0,0,0,0,7,0.0,0,0,0,2,0.0,0,0,0,2,0.0,0,0,0,2,0.0,0,0,0,3,0.0,,1.12.0
5,,10,,,,,マクミランテソーロ,,牡,5,*,木幡巧也,58,,2.0,482,- 4,1,5,2,6,42.9,,,,,,1,5,2,6,42.9,,,,,,,,,,,,,,,,0,4,1,3,50.0,,(未)
6,,11,,,,,ブリックンクリック,,セ,4,*,津村明秀,58,,41.7,466,  0,1,1,0,8,20.0,,,,,,1,1,0,7,22.2,0,0,0,1,0.0,0,0,0,1,0.0,0,0,0,1,0.0,0,0,0,4,0.0,,1.13.2
6,,12,,,,,サヨノジャンボリー,,牡,4,*,矢野貴之,58,,14.9,478,+10,1,0,0,8,11.1,,,,,,1,0,0,8,11.1,1,0,0,4,20.0,1,0,0,4,20.0,1,0,0,4,20.0,0,0,0,8,0.0,,1.11.1
7,,13,,,,,アイアンソリッド,,牝,4,*,長浜鴻緒,54,△,23.8,466,+ 8,1,4,2,6,38.5,,,,,,1,4,2,6,38.5,1,3,1,4,44.4,0,2,1,0,66.7,0,2,1,0,66.7,0,0,0,5,0.0,,1.12.0
7,,14,,,,,アルマーレシチー,,セ,5,*,上里直汰,55,▲,60.5,540,  0,0,0,0,12,0.0,0,0,0,1,0.0,0,0,0,8,0.0,0,0,0,3,0.0,0,0,0,3,0.0,0,0,0,2,0.0,0,0,0,7,0.0,,1.12.8
8,,15,,,,,アースミューズ,,牝,4,*,松岡正海,56,,113.9,458,+ 4,1,0,0,8,11.1,0,0,0,4,0.0,1,0,0,8,11.1,0,0,0,3,0.0,0,0,0,1,0.0,0,0,0,1,0.0,0,0,0,8,0.0,,1.13.0
8,B,16,,,,,イェルマーク,,牡,5,*,水沼元輝,55,▲,47.3,502,- 8,0,0,1,6,0.0,,,,,,0,0,0,2,0.0,1,0,0,1,50.0,0,0,0,1,0.0,0,0,0,1,0.0,0,0,0,3,0.0,,1.14.0
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026030806020407,2026.3.8,日,中山,2中4,7,,1勝,芝,1600,A,3,良,晴,16,13:25,,馬齢,３歳
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,替,騎手,斤量,減M, 単勝,馬体重,増減,中央平地全:1着,中央平地全:2着,中央平地全:3着,中央平地全:外,中央平地全:連対率,同騎手:1着,同騎手:2着,同騎手:3着,同騎手:外,同騎手:連対率,全芝:1着,全芝:2着,全芝:3着,全芝:外,全芝:連対率,芝1600m:1着,芝1600m:2着,芝1600m:3着,芝1600m:外,芝1600m:連対率,中山・芝:1着,中山・芝:2着,中山・芝:3着,中山・芝:外,中山・芝:連対率,同コース:1着,同コース:2着,同コース:3着,同コース:外,同コース:連対率,同クラス:1着,同クラス:2着,同クラス:3着,同クラス:外,同クラス:連対率,穴傾向,BESTﾀｲﾑ
1,,1,,,,,マルガ,,牝,3,*,川田将雅,55,,4.8,472,+ 2,1,0,1,2,25.0,,,,,,1,0,1,2,25.0,0,0,0,2,0.0,,,,,,,,,,,0,0,1,0,0.0,,1.33.7
2,,2,,,,,ショーリバース,,牡,3,,横山典弘,57,,23.7,508,  0,1,1,0,4,33.3,0,0,0,2,0.0,0,0,0,1,0.0,0,0,0,1,0.0,0,0,0,1,0.0,0,0,0,1,0.0,0,1,0,3,25.0,,1.33.7
3,,3,,,,,ランズダウンロード,,牡,3,*,ルメール,57,,3.7,474,  0,1,0,0,1,50.0,,,,,,1,0,0,1,50.0,,,,,,,,,,,,,,,,,,,,,,(未)
4,,4,,,,,ディールメーカー,,牡,3,*,坂井瑠星,57,,2.8,498,+ 4,1,1,0,0,100.0,,,,,,1,1,0,0,100.0,1,1,0,0,100.0,1,0,0,0,100.0,1,0,0,0,100.0,,,,,,,1.34.0
5,,5,,,,,コルテオソレイユ,,牡,3,*,戸崎圭太,57,,4.2,458,  0,1,2,2,1,50.0,,,,,,1,2,2,1,50.0,1,1,0,1,66.7,,,,,,,,,,,0,1,0,0,100.0,,1.33.1
6,,6,,,,,ニシノセイドウ,,牡,3,,池添謙一,57,,39.8,448,- 4,1,0,0,2,33.3,0,0,0,1,0.0,1,0,0,2,33.3,,,,,,1,0,0,1,50.0,,,,,,0,0,0,1,0.0,,(未)
6,,7,,,,,アグネスクレスト,,牡,3,*,柴田善臣,57,,194.1,496,  0,1,0,0,4,20.0,1,0,0,3,25.0,1,0,0,4,20.0,,,,,,,,,,,,,,,,0,0,0,1,0.0,,(未)
7,,8,,,,,ベレーバスク,,牝,3,*,丹内祐次,55,,27.6,454,  0,1,1,0,3,40.0,0,1,0,2,33.3,1,1,0,3,40.0,0,1,0,0,100.0,0,1,0,0,100.0,0,1,0,0,100.0,0,1,0,2,33.3,,1.34.0
7,,9,,,,,トリスティ,,牝,3,*,佐藤翔馬,52,▲,325.9,476,  0,0,0,1,2,0.0,,,,,,0,0,1,2,0.0,0,0,0,2,0.0,0,0,0,1,0.0,0,0,0,1,0.0,0,0,0,2,0.0,,1.34.9
