レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026030706020301,2026.3.7,土,中山,2中3,1,,未勝利,ダート,1200,,2,重,晴,16,10:05,牝,馬齢,３歳
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,替,騎手,斤量,減M, 単勝,馬体重,増減,中央平地全:1着,中央平地全:2着,中央平地全:3着,中央平地全:外,中央平地全:連対率,同騎手:1着,同騎手:2着,同騎手:3着,同騎手:外,同騎手:連対率,全ダート:1着,全ダート:2着,全ダート:3着,全ダート:外,全ダート:連対率,ダート1200m:1着,ダート1200m:2着,ダート1200m:3着,ダート1200m:外,ダート1200m:連対率,中山・ダート:1着,中山・ダート:2着,中山・ダート:3着,中山・ダート:外,中山・ダート:連対率,同コース:1着,同コース:2着,同コース:3着,同コース:外,同コース:連対率,同クラス:1着,同クラス:2着,同クラス:3着,同クラス:外,同クラス:連対率,穴傾向,BESTﾀｲﾑ
4,,6,,,,,サクセスドラム,,牡,3,,菊沢一樹,57,,97.8,470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(未)
4,,7,,,,,エタンセル,,牡,3,*,丹内祐次,57,,2.4,462,+ 2,0,0,1,0,0.0,,,,,,0,0,1,0,0.0,,,,,,,,,,,,,,,,,,,,,,(未)
5,,8,,,,,ロイヤルヤマト,,牡,3,,佐藤翔馬,54,▲,12.7,452,+ 2,0,0,0,4,0.0,0,0,0,2,0.0,,,,,,,,,,,,,,,,,,,,,0,0,0,3,0.0,,(未)
5,,9,,,,,ミアルーチェ,,牝,3,*,上里直汰,52,▲,26.8,488,-12,0,0,0,1,0.0,,,,,,0,0,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,(未)
6,B,10,,,,,エリーニック,,牝,3,*,大野拓弥,55,,14.5,446,  0,0,0,0,2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0.0,,(未)
6,,11,,,,,ブルースパーダ,,牡,3,*,松岡正海,57,,22.6,478,- 8,0,0,0,4,0.0,,,,,,0,0,0,4,0.0,0,0,0,1,0.0,0,0,0,1,0.0,0,0,0,1,0.0,0,0,0,3,0.0,,1.57.3
7,B,12,,,,,ライヴジントニック,,牡,3,*,舟山瑠泉,54,▲,50.2,536,- 8,0,0,0,1,0.0,,,,,,0,0,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,(未)
7,,13,,,,,ソルテソーロ,,牡,3,,石川裕紀,57,,176.1,450,  0,0,0,0,1,0.0,0,0,0,1,0.0,0,0,0,1,0.0,,,,,,0,0,0,1,0.0,,,,,,,,,,,,(未)
8,,14,,,,,マッキュラシオン,,牡,3,,原優介,57,,9.1,490,- 4,0,0,0,4,0.0,0,0,0,1,0.0,,,,,,,,,,,,,,,,,,,,,0,0,0,3,0.0,,(未)
8,,15,,,,,インスウィング,,セ,3,*,小林脩斗,57,,30.4,500,+ 2,0,0,0,2,0.0,,,,,,0,0,0,2,0.0,0,0,0,2,0.0,0,0,0,2,0.0,0,0,0,2,0.0,0,0,0,1,0.0,,1.58.4
