config,split,n_races,capture_pct,roi_pct,roi_ci_low,roi_ci_high,stake_per_race,n_combos
box_top3,valid,3437,7.3319755600814664,77.9778876927553,66.04924352633111,90.45846668606342,100.0,1
box_top4,valid,3437,18.73727087576375,79.14896712249055,70.78109543206284,87.93062627291242,400.0,4
box_top5,valid,3437,29.997090485888855,71.5845213849287,64.9143220832121,79.23244108233924,1000.0,10
box_top6,valid,3437,42.10066918824557,72.50829211521676,65.50900130928135,80.34860343322666,2000.0,20
box_top7,valid,3437,55.04800698283386,70.54725787631271,65.40672854759526,76.3866377202217,3490.835030549898,35
box_top8,valid,3437,65.43497235961594,67.95845681764536,62.965090833989144,73.0662635798038,5546.843177189409,56
box_top3,test,6853,7.077192470450898,71.7408434262367,62.82496716766381,81.4379468845761,100.0,1
box_top4,test,6853,19.26163723916533,79.17226032394572,73.09449328761127,85.94854443309498,400.0,4
box_top5,test,6853,31.53363490442142,72.70100685831022,68.1165292572596,77.4512987012987,1000.0,10
box_top6,test,6853,44.71034583394134,74.09083613016197,69.57527177878302,78.90778673573617,2000.0,20
box_top7,test,6853,55.84415584415584,70.47502718982682,66.03173783037337,75.22210478316111,3488.39924120823,35
box_top8,test,6853,66.51101707281482,69.10859876647515,65.08063633627701,73.15254268919846,5526.805778491172,56
