レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026062002010301,2026.6.20,土,函館,1函3,1,,未勝利,芝,1200,A,2,良(暫定),曇(暫定),16,09:50,,馬齢,３歳
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,,1,,,,,ナオミニオールイン,,牝,3,11,4,2,笠松,D,1400,稍,7,2,太田宿,----,後方,12,1,12,京都,T,1400,良,9,5,未勝利,35.7,後方,11,10,25,京都,T,1400,良,11,1,未勝利・牝*,37.5,逃げ,2,10,11,京都,T,1400,良,2,3,新馬・牝,34.0,逃げ,初,,,,,,,,,,,,
1,B,2,,,,,チョウブク,,牡,3,13,3,22,中山,D,1200,良,13,7,未勝利,39.1,後方,5,2,14,小倉,T,1200,良,13,4,未勝利,36.4,後方,33,6,28,函館,T,1200,稍,2,2,新馬,35.1,差し,初,,,,,,,,,,,,,,,,,,,,,,,,
2,,3,,,,,ミルトメロディー,,牝,3,連,6,14,函館,T,1200,良,5,6,未勝利,34.8,先行,4,5,16,新潟,T,1000,良,3,5,未勝利,33.5,先行,連,5,10,新潟,T,1000,良,5,14,未勝利,33.6,中団,18,1,4,中山,D,1200,稍,10,10,未勝利・牝,40.6,中団,7,11,16,東京,T,1400,良,12,18,未勝利・牝*,36.3,先行,5
2,,4,,,,,ハッピーローヴァー,,牝,3,8,4,26,福島,T,1200,良,2,3,未勝利,34.5,先行,9,2,21,小倉,T,1200,良,5,3,未勝利・牝,34.8,中団,2,2,8,小倉,T,1200,良,2,7,未勝利・牝,34.5,差し,7,12,21,中京,T,1400,稍,6,5,未勝利*,35.2,中団,2,12,7,中京,T,1600,良,5,6,未勝利*,34.5,中団,10
3,,5,,,,,ブルーハーツ,,牡,3,8,4,25,福島,T,1200,良,7,7,未勝利,34.7,後方,2,4,12,福島,T,1200,良,4,5,未勝利,34.8,差し,9,2,7,小倉,T,1200,良,7,17,未勝利,34.5,後方,4,1,10,中山,T,1600,良,14,14,未勝利,36.5,先行,11,10,26,新潟,T,1600,稍,9,10,新馬,34.4,中団,初
3,B,6,,,,,テイクマイハート,,牝,3,8,4,23,名古,D,1500,不,4,1,名古屋,----,逃げ,6,3,14,阪神,D,1400,良,9,6,未勝利,39.2,先行,4,2,15,小倉,T,1200,稍,12,7,未勝利,35.9,中団,3,1,25,京都,T,1600,良,6,3,新馬,35.2,中団,初,,,,,,,,,,,,
4,,7,,,,,メーテルリンク,,牝,3,9,4,19,福島,T,1200,良,8,11,未勝利,34.0,中団,9,2,14,小倉,T,1200,良,12,16,未勝利,36.3,中団,13,11,16,東京,T,1400,良,10,14,未勝利・牝*,35.9,先行,3,10,25,新潟,T,1200,良,9,11,未勝利*,35.9,中団,12,8,2,新潟,T,1000,良,6,2,未勝利*,34.1,先行,2
4,,8,,,,,ブラックジャック,,牡,3,13,3,22,中京,T,1600,良,9,5,未勝利,35.0,後方,16,11,30,京都,T,1800,良,9,8,未勝利*,38.4,逃げ,2,11,15,福島,T,2000,良,13,6,未勝利*,36.6,後方,12,8,24,札幌,D,1700,良,10,10,未勝利*,40.4,中団,3,8,2,札幌,T,1500,良,9,4,新馬,35.4,中団,初
5,,9,,,,,クリオロゴールド,,牡,3,9,4,18,中山,D,1200,良,6,1,未勝利,37.5,先行,2,4,4,中山,D,1200,稍,2,2,未勝利,37.5,先行,11,1,18,中山,D,1200,良,3,2,未勝利,39.4,差し,3,12,28,中山,T,1200,良,3,3,未勝利*,35.2,差し,4,11,29,東京,T,1600,良,3,6,新馬,34.3,先行,初
5,,10,,,,,カンフージョン,,牡,3,9,4,19,福島,D,1150,良,13,10,未勝利,38.3,中団,8,2,21,小倉,D,1000,良,10,10,未勝利,37.0,中団,6,1,11,京都,D,1400,良,15,10,未勝利,42.4,逃げ,5,12,7,阪神,D,1400,良,15,3,未勝利*,41.2,先行,3,11,16,京都,D,1800,良,7,3,新馬,40.0,逃げ,初
6,,11,,,,,テリオスルミ,,牝,3,連,6,13,函館,T,1200,稍,外,--,未勝利,----,,16,2,21,小倉,T,1200,良,6,10,未勝利・牝,36.0,逃げ,11,12,6,中京,T,1200,良,10,17,未勝利*,35.3,逃げ,3,11,16,東京,T,1400,良,13,9,未勝利・牝*,36.3,先行,14,8,9,札幌,T,1800,稍,11,7,新馬,41.2,逃げ,初
6,,12,,,,,ブレッティレディ,,牝,3,8,4,25,福島,T,1200,良,5,9,未勝利,34.8,中団,8,2,28,小倉,T,1200,稍,7,11,未勝利,35.4,中団,9,12,27,阪神,D,1400,稍,7,13,未勝利*,38.5,中団,6,11,16,京都,D,1200,良,15,10,未勝利*,38.8,後方,10,9,6,札幌,T,1200,良,6,8,未勝利*,35.9,中団,3
7,,13,,,,,グランフィエルテ,,牝,3,8,4,26,京都,D,1200,良,7,4,未勝利・牝,38.3,中団,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,14,,,,,ミスチヴマリアンヌ,,牝,3,9,4,19,福島,T,1200,良,6,13,未勝利,34.6,先行,16,12,28,中山,T,1200,良,10,10,未勝利*,36.1,先行,10,10,18,東京,T,1400,良,10,14,新馬・牝,33.6,後方,初,,,,,,,,,,,,,,,,,,,,,,,,
8,,15,,,,,ウインドトリック,,牡,3,12,3,29,中京,T,1200,良,15,5,未勝利,35.3,中団,4,2,28,小倉,T,1200,稍,5,4,未勝利,34.9,中団,2,2,14,小倉,T,1200,良,2,5,未勝利,35.7,先行,3,1,25,小倉,T,1200,良,5,6,未勝利,34.0,中団,9,11,24,福島,T,1200,良,7,8,未勝利*,34.9,中団,12
8,,16,,,,,ブルーエ,,牝,3,8,4,26,福島,T,1200,良,3,1,未勝利・牝,34.1,先行,2,4,11,福島,T,1200,良,2,6,未勝利,34.3,先行,26,10,11,東京,T,1600,良,7,6,未勝利・牝*,34.8,中団,3,9,20,中山,T,1600,良,9,9,新馬,34.6,先行,初,,,,,,,,,,,,
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026062002010302,2026.6.20,土,函館,1函3,2,,未勝利,ダート,1700,,4,良(暫定),曇(暫定),14,10:20,牝,馬齢,３歳
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,B,1,,,,,ウォータースパウト,,牝,3,7,5,3,東京,D,1600,稍,9,6,未勝利・牝,39.1,先行,2,4,19,中山,D,1800,良,7,5,未勝利・牝,38.9,中団,15,1,5,中山,D,1800,稍,6,7,未勝利・牝,41.3,中団,6,11,22,福島,D,1700,良,6,9,未勝利・牝*,39.7,中団,6,10,12,東京,D,1600,良,9,7,未勝利*,39.1,中団,11
