レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026062002010301,2026.6.20,土,函館,1函3,1,,未勝利,芝,1200,A,2,良(暫定),曇(暫定),16,09:50,,馬齢,３歳
2,,2,,,,,ティナンヴァランタ,,牝,3,9,4,18,福島,D,1700,良,9,4,未勝利,38.7,中団,3,3,28,中京,D,1800,稍,5,2,未勝利・牝,39.1,中団,14,12,20,中山,D,1800,良,10,7,未勝利・牝*,41.3,先行,4,11,22,福島,D,1700,良,3,6,未勝利・牝*,39.4,先行,4,10,26,新潟,D,1800,良,4,5,未勝利・牝*,39.4,差し,18
3,,3,,,,,アンミックス,,牝,3,連,6,13,函館,D,1700,稍,2,10,未勝利・牝,38.8,先行,9,4,12,福島,D,1700,良,9,5,未勝利・牝,39.7,中団,4,3,14,阪神,D,1800,良,5,2,未勝利・牝,40.1,中団,7,1,25,中山,D,1800,良,3,1,新馬,40.8,先行,初,,,,,,,,,,,,
3,,4,,,,,サチノブーケ,,牝,3,連,6,14,函館,D,1000,良,11,11,未勝利,38.0,後方,9,4,12,福島,T,1200,良,15,12,未勝利,36.5,中団,10,2,1,小倉,T,1200,良,8,17,新馬,35.1,中団,初,,,,,,,,,,,,,,,,,,,,,,,,
4,,5,,,,,ダリアフレイバー,,牝,3,9,4,18,阪神,D,1800,良,8,11,未勝利・牝,38.4,中団,14,1,11,京都,D,1800,良,6,6,新馬・牝,39.9,中団,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,6,,,,,エーデルハイ,,牝,3,3,5,30,東京,D,1400,良,9,13,未勝利,37.3,中団,3,5,9,新潟,T,1200,良,13,13,未勝利・若,36.1,後方,10,3,1,中山,D,1200,稍,8,8,未勝利,38.5,中団,6,1,18,中山,T,1600,良,12,14,未勝利・牝,34.9,後方,14,10,12,東京,T,1600,良,6,9,未勝利*,35.1,先行,4
5,,7,,,,,コイタマチャン,,牝,3,7,5,3,京都,D,1800,稍,2,3,未勝利・牝,39.0,逃げ,2,4,18,阪神,D,1800,良,2,3,未勝利・牝,37.9,逃げ,2,4,4,阪神,D,1800,稍,3,6,未勝利・牝,37.9,逃げ,3,3,14,阪神,D,1800,良,2,4,未勝利・牝,39.1,先行,2,3,1,阪神,D,1800,良,7,9,未勝利・牝,40.5,中団,13
5,,8,,,,,ギンケイ,,牝,3,9,4,19,中山,D,1800,良,2,1,未勝利・牝,37.8,先行,2,4,5,中山,D,1800,不,2,1,未勝利・牝,38.9,差し,3,3,15,中山,D,1800,良,3,4,未勝利・牝,39.0,差し,6,1,31,東京,D,1400,良,9,7,未勝利・牝,36.9,後方,初,,,,,,,,,,,,
6,,9,,,,,キトゥンズラスター,,牝,3,9,4,19,福島,T,2000,良,12,10,未勝利,37.5,後方,11,2,1,東京,T,1600,良,8,7,新馬,34.3,中団,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,10,,,,,ストリートクイーン,,牝,3,7,5,3,京都,D,1400,稍,7,4,未勝利・牝,37.3,中団,2,4,19,福島,D,1700,良,5,2,未勝利,39.7,逃げ,4,3,21,阪神,D,1800,稍,5,1,未勝利・牝,38.8,逃げ,8,1,24,京都,D,1800,良,2,6,新馬,37.8,先行,初,,,,,,,,,,,,
7,,11,,,,,マーゴットクリュグ,,牝,3,7,5,3,京都,D,1400,稍,8,6,未勝利・牝,38.2,先行,9,2,28,小倉,D,1700,不,10,11,未勝利・牝,39.8,先行,3,2,7,小倉,D,1700,良,14,5,未勝利・牝,41.3,後方,15,10,26,新潟,D,1800,良,5,1,未勝利・牝*,40.3,先行,3,10,5,京都,D,1400,重,6,5,未勝利*,37.9,中団,9
7,,12,,,,,サラサチャチャチャ,,牝,3,12,3,29,中山,D,1800,稍,2,1,未勝利・牝,38.8,先行,4,3,1,中山,D,1800,稍,2,1,未勝利・牝,40.2,先行,3,2,10,東京,D,1600,稍,2,5,未勝利・牝,37.8,差し,3,1,18,中山,D,1800,良,2,10,未勝利・牝,41.0,差し,3,12,28,中山,D,1800,良,8,8,未勝利*,41.1,先行,4
8,,13,,,,,ソルトバーン,,牝,3,16,2,28,中山,D,1800,重,10,10,未勝利,42.8,中団,2,2,14,東京,T,1800,良,12,13,未勝利・牝,35.0,中団,11,11,30,東京,T,2000,良,13,11,未勝利*,37.7,逃げ,3,11,8,福島,T,1800,良,7,16,未勝利*,36.3,中団,13,8,9,新潟,T,2000,良,7,9,未勝利*,37.9,後方,2
8,,14,,,,,フローレスカラーズ,,牝,3,3,5,31,東京,D,1600,良,3,11,未勝利・牝,38.6,先行,11,3,14,中山,D,1800,良,14,7,未勝利・牝,42.3,後方,3,2,22,東京,D,1400,良,6,2,新馬,39.1,後方,初,,,,,,,,,,,,,,,,,,,,,,,,
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026062002010303,2026.6.20,土,函館,1函3,3,,未勝利,芝,2000,A,4,良(暫定),曇(暫定),16,10:50,,馬齢,３歳
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,,1,,,,,ギオンバヤシ,,牡,3,3,5,30,京都,T,2400,良,3,4,未勝利,34.8,差し,9,3,29,中京,T,2000,良,5,5,未勝利,33.9,後方,4,2,28,小倉,T,2000,稍,3,7,未勝利,36.8,ﾏｸﾘ,3,2,8,小倉,T,1800,良,7,5,未勝利,35.8,中団,4,1,11,京都,T,1800,良,7,10,未勝利,34.5,中団,3
1,,2,,,,,メイショウノヴァス,,牡,3,4,5,24,京都,T,1600,良,7,5,未勝利,35.0,中団,16,1,31,京都,T,1600,良,5,6,未勝利,35.1,後方,2,1,18,京都,T,1600,良,6,11,未勝利,35.9,中団,3,12,28,阪神,T,1800,良,6,4,未勝利*,35.5,中団,3,12,7,阪神,T,1600,良,2,6,新馬,34.1,逃げ,初
2,B,3,,,,,ヒルノボローニャ,,セ,3,21,1,25,京都,T,1600,良,10,6,新馬,34.6,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,4,,,,,アームアンフルール,,牡,3,4,5,24,東京,D,1600,稍,11,10,未勝利,39.7,先行,3,5,3,東京,T,1600,良,8,13,未勝利,34.3,中団,12,2,10,東京,T,1600,良,8,7,新馬,35.0,先行,初,,,,,,,,,,,,,,,,,,,,,,,,
3,,5,,,,,デイズインザサン,,牝,3,5,5,17,東京,T,1800,良,9,14,未勝利,34.4,中団,13,2,15,東京,T,1800,良,11,16,未勝利,35.2,中団,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,6,,,,,ハヤブサブロー,,牝,3,10,4,11,福島,T,1800,良,9,2,未勝利・牝,36.1,中団,4,3,15,中京,T,1600,良,5,7,未勝利・牝,34.3,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,7,,,,,ゴコウコイコイ,,牝,3,4,5,23,新潟,T,2400,稍,8,9,未勝利,35.7,後方,4,4,25,福島,T,2000,良,7,2,未勝利・牝,35.8,中団,2,4,11,中山,T,2000,良,4,8,未勝利・牝,34.8,追込,4,3,15,中山,T,2000,良,11,5,未勝利,35.8,中団,11,12,27,中山,T,2000,良,10,7,未勝利*,36.9,後方,4
4,,8,,,,,インタノン,,牡,3,3,5,30,東京,T,2400,良,6,1,未勝利,34.7,中団,16,2,10,東京,T,2400,良,4,3,未勝利,35.7,先行,4,1,10,中山,T,2000,良,2,2,新馬,34.8,逃げ,初,,,,,,,,,,,,,,,,,,,,,,,,
5,,9,,,,,スチョウプリンセス,,牝,3,5,5,16,東京,T,1400,良,14,14,未勝利,33.6,後方,9,3,15,阪神,T,1600,良,9,11,１勝ｸﾗｽ*,33.8,後方,6,2,1,小倉,T,1200,良,14,18,新馬,34.0,後方,初,,,,,,,,,,,,,,,,,,,,,,,,
5,,10,,,,,ジャケットポケット,,牡,3,4,5,23,東京,T,2000,良,10,3,未勝利,34.4,中団,5,4,18,福島,T,2600,良,6,2,未勝利,34.9,中団,4,3,22,中山,T,2000,良,4,3,未勝利,35.8,差し,14,12,14,中山,T,2000,稍,3,5,未勝利*,36.2,差し,4,11,15,福島,T,2000,良,3,13,未勝利*,36.1,先行,14
6,,11,,,,,ザタイムハズカム,,牝,3,11,4,4,阪神,D,1800,稍,13,3,未勝利・牝,40.7,先行,2,3,21,中京,T,2000,良,12,1,未勝利・牝,35.8,中団,40,6,15,阪神,T,1800,重,7,5,新馬,35.0,先行,初,,,,,,,,,,,,,,,,,,,,,,,,
6,,12,,,,,ヤクジョ,,牡,3,17,2,22,小倉,T,2000,良,4,5,未勝利,35.8,追込,2,2,7,小倉,T,2000,稍,7,9,未勝利・若,35.7,後方,2,1,24,小倉,T,1800,良,7,5,未勝利,35.3,中団,7,12,7,中京,T,1600,良,9,8,未勝利*,34.5,中団,3,11,16,東京,T,1800,良,6,8,未勝利*,35.9,逃げ,2
7,,13,,,,,スリールーディカ,,牝,3,6,5,10,京都,T,2000,良,10,9,未勝利,36.0,後方,7,3,21,阪神,D,1800,稍,8,5,未勝利・牝,39.3,後方,12,12,28,阪神,T,1600,良,8,5,新馬,34.3,後方,初,,,,,,,,,,,,,,,,,,,,,,,,
7,,14,,,,,マコトアディントン,,牡,3,6,5,9,新潟,T,2000,良,5,3,未勝利,35.6,後方,3,4,19,福島,T,2000,良,2,4,未勝利,35.4,差し,3,3,29,中京,T,2000,良,4,7,未勝利,33.7,追込,10,1,18,京都,T,1600,良,16,12,未勝利,36.0,後方,3,12,27,阪神,T,2000,良,11,6,新馬,35.3,中団,初
8,B,15,,,,,ラインクインビー,,牝,3,4,5,23,東京,T,2000,良,14,12,未勝利,34.8,中団,3,5,3,東京,T,1800,良,13,9,未勝利,34.7,後方,4,4,5,中山,T,2000,重,8,6,未勝利,37.0,後方,7,2,14,東京,T,1800,良,6,11,未勝利・牝,33.6,後方,初,,,,,,,,,,,,
8,B,16,,,,,ウインポーシャ,,牝,3,5,5,17,新潟,T,2000,良,16,3,未勝利・若,40.7,先行,4,4,18,福島,T,2000,良,2,4,未勝利・牝,35.9,先行,11,1,31,小倉,T,2000,良,7,10,未勝利・牝,35.2,中団,11,11,15,福島,T,2000,良,7,10,新馬,37.2,先行,初,,,,,,,,,,,,
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026062002010304,2026.6.20,土,函館,1函3,4,,未勝利,ダート,1700,,4,良(暫定),曇(暫定),14,11:20,,馬齢,３歳
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,,1,,,,,クッカユフラ,,牝,3,6,5,10,新潟,D,1800,良,4,4,未勝利・牝,40.8,先行,4,4,12,福島,D,1700,良,4,11,未勝利・牝,39.1,先行,22,11,9,福島,D,1700,良,8,10,新馬,40.7,中団,初,,,,,,,,,,,,,,,,,,,,,,,,
2,B,2,,,,,ニシノモリミチ,,牡,3,7,5,2,東京,D,2100,重,7,1,未勝利,38.8,逃げ,3,4,12,中山,D,1800,稍,4,4,未勝利,40.0,逃げ,3,3,21,中山,D,1800,良,3,3,未勝利,39.7,逃げ,8,1,24,中山,D,1800,良,4,2,未勝利,41.6,先行,3,1,4,中山,D,1800,稍,2,3,未勝利,39.6,先行,2
3,,3,,,,,ミリオンアップ,,牝,3,連,6,13,函館,D,1700,稍,7,6,未勝利・牝,38.8,中団,4,5,17,京都,D,1800,良,4,6,未勝利・牝,38.6,先行,2,5,3,京都,D,1800,稍,4,10,未勝利・牝,38.9,先行,3,4,11,阪神,D,1800,重,7,9,未勝利・牝,39.4,中団,11,1,25,京都,D,1400,良,9,7,未勝利・牝,38.5,中団,連
3,,4,,,,,シバノパージャン,,牡,3,連,6,14,函館,T,1200,良,11,14,未勝利,35.5,先行,9,4,12,阪神,T,1600,良,15,17,未勝利,36.6,中団,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,5,,,,,テリオスリコ,,牝,3,連,6,13,函館,D,1700,稍,8,14,未勝利・牝,38.9,中団,9,4,11,阪神,D,1400,重,11,15,未勝利,38.2,後方,7,2,22,阪神,D,1800,良,7,6,未勝利・牝,40.2,中団,2,2,7,京都,D,1400,良,14,8,未勝利,38.1,後方,2,1,25,京都,D,1400,良,8,3,未勝利・牝,38.5,中団,4
4,B,6,,,,,ブリスフルイヤー,,牝,3,6,5,10,新潟,D,1800,良,3,2,未勝利・牝,41.1,逃げ,3,4,19,福島,D,1700,良,3,12,未勝利・牝,38.9,先行,9,2,14,小倉,D,1700,良,10,10,未勝利・牝,39.3,中団,6,1,5,中山,D,1800,稍,13,6,未勝利・牝,42.5,中団,8,11,8,福島,D,1700,良,6,10,未勝利・牝*,39.5,中団,2
5,,7,,,,,セイカユウヒ,,牡,3,3,5,31,東京,D,1400,良,7,13,未勝利,38.1,中団,3,5,12,川崎,D,1500,良,3,7,エメラ,----,先行,3,4,19,中山,D,1200,良,7,7,未勝利,37.7,中団,3,3,29,中京,T,1200,良,8,7,未勝利,34.1,後方,4,3,1,小倉,T,1200,良,3,9,未勝利,35.0,差し,2
5,,8,,,,,タイセイルビー,,牝,3,2,6,6,東京,D,1600,稍,5,3,未勝利・牝,38.2,中団,3,5,17,新潟,D,1800,良,4,1,未勝利・牝,39.3,追込,6,4,5,中山,D,1800,不,8,3,未勝利・牝,40.4,先行,3,3,14,中山,D,1800,良,4,3,未勝利・牝,39.4,差し,5,2,7,京都,D,1800,良,3,5,未勝利,39.5,差し,連
6,,9,,,,,ゴールデンダガー,,牡,3,5,5,17,東京,T,2400,良,6,4,未勝利,35.6,先行,4,4,18,福島,T,2600,良,10,4,未勝利,36.4,逃げ,10,2,7,小倉,T,2000,稍,5,4,未勝利・若,36.7,先行,連,2,1,小倉,T,2000,良,4,3,未勝利,35.5,差し,7,12,14,中山,T,2000,稍,5,6,未勝利*,37.8,中団,3
6,,10,,,,,マツリダシリウス,,牡,3,11,4,4,中山,D,1800,稍,11,10,未勝利,40.3,後方,11,1,17,中山,D,1800,良,8,8,未勝利,42.5,先行,3,12,28,中山,D,1800,良,9,7,未勝利*,39.9,後方,7,11,8,福島,D,1700,良,10,8,未勝利*,40.2,中団,3,10,18,新潟,D,1800,良,4,9,未勝利*,39.6,差し,4
7,,11,,,,,ブレイズランナー,,牡,3,12,3,28,中京,D,1800,稍,5,7,未勝利・若,39.7,先行,2,3,15,中山,D,1800,良,7,3,未勝利,40.0,中団,9,1,12,中山,D,1800,良,3,4,未勝利,40.5,先行,3,12,21,中京,D,1800,稍,2,11,未勝利*,39.0,先行,2,12,7,中山,T,1800,良,11,7,未勝利*,34.5,後方,10
7,,12,,,,,ガーディアンテイル,,牡,3,9,4,19,中山,D,1800,良,4,5,未勝利,41.1,先行,2,4,4,中山,D,1800,稍,2,3,未勝利,39.4,先行,13,1,4,中山,D,1800,稍,7,7,未勝利,41.8,中団,3,12,13,中山,D,1800,良,4,4,未勝利*,39.3,差し,10,10,5,東京,D,1600,良,5,5,新馬,37.1,中団,初
8,,13,,,,,タガノシルフィー,,牝,3,5,5,16,京都,D,1400,良,6,3,未勝利・牝,37.7,中団,2,5,3,京都,D,1400,稍,消,--,未勝利・牝,----,,11,2,14,小倉,D,1700,良,6,2,未勝利・牝,39.5,逃げ,3,1,24,京都,D,1800,良,5,1,未勝利・牝,38.8,先行,9,11,23,京都,D,1800,良,2,4,新馬・牝,37.5,逃げ,初
8,,14,,,,,リベンジャー,,牡,3,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026062002010305,2026.6.20,土,函館,1函3,5,,新馬,芝,1200,A,2,良(暫定),曇(暫定),16,12:10,牝,馬齢,２歳
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,,1,,,,,ワイプユアアイズ,,牝,2,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,B,2,,,,,イモージェン,,牝,2,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,3,,,,,ファサ,,牝,2,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,4,,,,,ラピッドテソーロ,,牝,2,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,5,,,,,セイウンコハルタ,,牝,2,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,6,,,,,ソニックアイル,,牝,2,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,7,,,,,タイガーストリート,,牝,2,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,8,,,,,ショコラリーヴ,,牝,2,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,9,,,,,スノーウィスパー,,牝,2,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,10,,,,,チカバリエンテ,,牝,2,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
