レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026071202011001,2026.7.12,日,函館,1函A,1,,未勝利,ダート,1000,,2,重(暫定),曇(暫定),12,09:50,,馬齢,３歳
8,B,12,,,,,サンライズロイ,,牡,3,3,6,20,阪神,D,1200,稍,4,6,未勝利,37.3,先行,4,5,23,新潟,D,1200,稍,5,3,未勝利,37.9,中団,3,5,2,京都,D,1200,重,4,5,未勝利,36.2,先行,2,4,18,福島,D,1150,良,2,8,未勝利,36.6,先行,8,2,22,阪神,D,1200,良,7,7,未勝利,37.5,中団,3
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026071202011002,2026.7.12,日,函館,1函A,2,,未勝利,芝,2000,B,4,稍(暫定),曇(暫定),16,10:20,牝,馬齢,３歳
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,,1,,,,,フィエスタ,,牝,3,7,5,24,京都,T,1600,良,12,7,未勝利,35.8,中団,22,12,20,阪神,T,1600,良,9,10,新馬・牝,33.6,中団,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,B,2,,,,,ボーントゥラブユー,,牝,3,連,7,4,函館,T,1800,良,6,7,未勝利,35.1,先行,3,6,14,函館,T,2000,良,5,8,未勝利,36.3,先行,4,5,16,東京,T,2000,良,5,6,未勝利・牝,34.1,先行,4,4,18,福島,T,2000,良,7,7,未勝利・牝,36.2,中団,11,2,1,東京,D,1600,良,15,4,未勝利・牝,40.6,先行,10
3,,3,,,,,ダンツアラーム,,牝,3,2,6,27,函館,T,1800,稍,8,12,未勝利,35.0,後方,2,6,14,函館,D,1700,良,5,8,未勝利,38.4,後方,3,5,23,京都,T,1800,良,9,8,未勝利・牝,37.0,先行,連,5,17,京都,T,1600,良,7,13,未勝利・牝,35.0,中団,5,4,11,中山,T,2000,良,7,6,未勝利・牝,36.9,逃げ,7
4,,4,,,,,スリールーディカ,,牝,3,3,6,20,函館,T,2000,良,11,16,未勝利,35.9,後方,6,5,10,京都,T,2000,良,10,9,未勝利,36.0,後方,7,3,21,阪神,D,1800,稍,8,5,未勝利・牝,39.3,後方,12,12,28,阪神,T,1600,良,8,5,新馬,34.3,後方,初,,,,,,,,,,,,
4,,5,,,,,ビアーレ,,牝,3,2,6,27,函館,T,1200,重,11,9,未勝利,35.5,中団,9,4,26,福島,T,1200,良,5,10,未勝利・牝,34.3,先行,13,1,24,中山,D,1200,良,11,9,未勝利・牝,39.6,先行,9,11,24,東京,T,1600,良,9,7,新馬・牝,35.1,先行,初,,,,,,,,,,,,
5,B,6,,,,,プリュイドール,,牝,3,5,6,7,阪神,T,2000,稍,13,6,未勝利,36.0,後方,2,5,24,京都,D,1800,良,8,5,未勝利・牝,40.3,中団,16,2,1,京都,D,1800,良,8,7,未勝利・牝,40.4,ﾏｸﾘ,2,1,17,京都,D,1400,良,7,6,新馬・牝,37.6,後方,初,,,,,,,,,,,,
5,,7,,,,,ベネディクション,,牝,3,2,6,28,函館,T,2000,良,2,6,未勝利,35.8,差し,連,6,20,函館,T,1800,良,6,8,未勝利・牝,36.0,後方,7,5,2,京都,T,1600,稍,12,7,未勝利・牝,34.8,中団,2,4,18,阪神,T,1800,良,6,12,未勝利,34.5,先行,5,3,14,中京,T,1600,良,8,10,未勝利・若,34.3,中団,14
6,,8,,,,,アルケミラモリス,,牝,3,2,6,27,函館,T,1800,稍,6,11,未勝利,35.7,先行,2,6,14,函館,T,1800,良,5,16,未勝利,35.2,中団,7,4,25,東京,T,1800,良,9,10,未勝利・牝,34.9,中団,8,3,1,小倉,T,1800,良,8,6,未勝利,38.6,逃げ,12,12,7,中山,T,1800,良,7,13,未勝利*,35.1,中団,3
6,,9,,,,,エアヴァイブス,,牝,3,2,6,27,函館,T,1800,稍,7,1,未勝利,35.5,先行,4,5,31,京都,T,1600,良,7,1,未勝利,34.8,中団,2,5,17,京都,T,1600,良,2,5,未勝利・牝,34.6,差し,9,3,14,中京,T,1600,良,4,1,未勝利・若,34.6,先行,10,1,5,京都,T,1600,良,2,6,未勝利,35.3,差し,13
7,,10,,,,,アーミル,,牝,3,3,6,20,函館,T,1800,良,15,11,未勝利・牝,38.4,中団,13,3,21,中京,T,2000,良,8,11,未勝利・牝,35.3,中団,8,1,25,京都,T,1600,良,11,8,新馬,35.3,中団,初,,,,,,,,,,,,,,,,,,,,,,,,
7,,11,,,,,サウンドファミリエ,,牝,3,3,6,20,函館,T,1800,良,7,15,未勝利・牝,36.2,ﾏｸﾘ,7,5,3,新潟,T,2000,稍,6,16,未勝利・牝,35.5,後方,11,2,15,京都,T,2000,良,8,13,未勝利・牝,36.4,中団,8,12,20,中山,T,1800,良,11,15,新馬・牝,35.3,後方,初,,,,,,,,,,,,
8,,12,,,,,ワンダージェム,,牝,3,5,6,6,阪神,D,1800,良,10,10,未勝利・牝,39.6,中団,12,3,14,阪神,D,1800,良,6,11,未勝利・牝,39.5,中団,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,13,,,,,ヴィンテール,,牝,3,3,6,20,函館,T,1800,良,11,14,未勝利・牝,36.3,後方,9,4,18,福島,T,2000,良,11,11,未勝利・牝,35.7,後方,12,1,25,京都,T,1600,良,14,4,新馬,35.4,後方,初,,,,,,,,,,,,,,,,,,,,,,,,
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026071202011003,2026.7.12,日,函館,1函A,3,,未勝利,ダート,1700,,4,重(暫定),曇(暫定),14,10:50,,馬齢,３歳
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,,1,,,,,ファントムグレース,,牝,3,2,6,27,函館,D,1700,重,9,11,未勝利・牝,38.3,後方,3,6,6,阪神,D,1800,良,9,13,未勝利・牝,38.9,後方,3,5,17,京都,D,1800,良,8,10,未勝利・牝,38.8,後方,3,4,26,京都,D,1200,良,12,12,未勝利・牝,36.6,後方,初,,,,,,,,,,,,
2,B,2,,,,,サクセスゴールド,,牡,3,4,6,14,東京,D,2100,稍,11,2,未勝利,41.6,先行,5,5,9,東京,D,2100,良,5,1,未勝利,38.7,中団,4,4,12,中山,D,1800,稍,3,3,未勝利,39.2,差し,11,1,24,中山,D,1800,良,7,2,未勝利,39.6,中団,2,1,11,中山,D,1800,良,4,6,新馬,38.7,先行,初
3,,3,,,,,コーリンクレア,,牝,3,2,6,27,函館,D,1700,重,7,8,未勝利・牝,37.0,後方,3,6,6,東京,D,1600,稍,4,7,未勝利・牝,38.5,先行,3,5,17,東京,D,1600,良,10,1,未勝利・牝,39.9,中団,2,5,2,東京,D,1600,重,4,9,未勝利,37.2,差し,2,4,18,中山,D,1200,良,9,9,未勝利,36.5,後方,初
3,,4,,,,,ジャストアダッシュ,,牡,3,3,6,20,阪神,D,1200,稍,7,8,未勝利,36.8,後方,6,5,7,船橋,D,1600,良,2,2,ナイス,----,先行,24,11,23,京都,D,1400,良,8,6,未勝利*,39.2,中団,4,10,25,京都,D,1400,良,2,6,未勝利*,38.9,差し,4,9,27,阪神,D,1400,良,5,9,未勝利*,38.5,先行,3
4,,5,,,,,セラサイト,,牝,3,2,6,27,函館,D,1000,不,10,7,未勝利・牝,35.5,後方,2,6,14,函館,D,1000,良,4,3,未勝利,35.7,差し,4,5,16,京都,D,1400,良,4,9,未勝利・牝,37.7,先行,3,4,26,福島,D,1700,良,5,5,未勝利・若,39.3,先行,7,3,7,阪神,D,1800,稍,6,3,未勝利・牝,38.7,先行,8
4,,6,,,,,ゴーントゥファー,,セ,3,2,6,28,福島,D,1700,良,外,--,未勝利,----,,12,4,5,中山,T,2000,重,14,13,未勝利,44.1,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,7,,,,,ロスニーニョス,,牡,3,2,6,28,函館,D,1700,稍,8,9,未勝利,38.8,中団,3,6,7,阪神,D,1800,良,5,11,未勝利,38.6,中団,3,5,17,京都,D,1900,良,4,10,未勝利,38.7,差し,2,5,3,京都,T,1800,良,9,10,未勝利,35.8,先行,連,4,25,京都,T,2200,良,10,12,未勝利,35.7,後方,2
5,,8,,,,,ハイテイラオユエ,,牡,3,4,6,14,東京,D,2100,稍,4,7,未勝利,38.9,先行,3,5,23,東京,D,2100,重,5,11,未勝利,38.1,中団,2,5,10,新潟,D,1800,良,9,8,未勝利,39.6,中団,26,11,9,東京,D,1600,稍,10,13,新馬,38.5,後方,初,,,,,,,,,,,,
6,,9,,,,,エクラドット,,牡,3,2,6,28,函館,T,2000,良,15,12,未勝利,41.0,逃げ,10,4,19,福島,T,2000,良,5,8,未勝利,36.5,中団,12,1,24,中山,T,2200,良,15,13,未勝利,37.4,逃げ,22,8,24,新潟,T,2000,良,11,5,新馬,38.6,逃げ,初,,,,,,,,,,,,
6,,10,,,,,ホウオウロレンシア,,牝,3,3,6,20,東京,D,1600,不,6,2,未勝利・牝,37.2,中団,連,6,13,東京,D,1600,重,2,1,未勝利・牝,36.9,先行,3,5,23,東京,D,1600,重,3,7,未勝利・牝,37.3,差し,3,5,2,東京,D,1400,重,5,10,未勝利・牝,37.9,中団,2,4,18,中山,T,1600,良,16,9,未勝利,36.9,中団,4
7,,11,,,,,コサージュ,,牝,3,2,6,27,函館,D,1700,重,8,6,未勝利・牝,38.2,後方,2,6,13,函館,D,1700,稍,5,7,未勝利・牝,39.4,先行,16,2,22,小倉,D,1700,良,4,2,未勝利・牝,39.7,先行,連,2,14,小倉,D,1700,良,2,15,未勝利・牝,38.7,先行,11,11,29,京都,D,1400,良,9,11,未勝利*,38.8,中団,2
7,,12,,,,,ビンバラ,,牡,3,3,6,20,東京,D,1600,不,2,5,未勝利,37.0,逃げ,2,6,7,東京,D,1600,良,5,2,未勝利,38.1,先行,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,13,,,,,アドバンスジェンヌ,,牝,3,2,6,27,函館,D,1000,不,12,8,未勝利・牝,36.2,後方,6,5,17,新潟,D,1200,良,6,13,未勝利・牝,37.6,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,14,,,,,スリーケイ,,牝,3,5,6,7,阪神,D,1800,良,6,7,未勝利,38.8,中団,7,4,19,阪神,D,1800,良,10,8,未勝利,38.9,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026071202011004,2026.7.12,日,函館,1函A,4,,未勝利,芝,2600,B,6,稍(暫定),曇(暫定),16,11:20,,馬齢,３歳
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,,1,,,,,ミカレオス,,牡,3,2,6,28,函館,T,2600,良,15,16,未勝利,36.2,後方,10,4,18,福島,T,2600,良,11,15,未勝利,34.9,後方,4,3,22,中京,D,1800,良,14,14,未勝利,39.7,後方,10,1,10,京都,T,2400,良,14,18,未勝利,37.1,後方,3,12,20,阪神,T,2000,良,15,15,未勝利*,36.4,中団,10
1,,2,,,,,ダイナソーコー,,牡,3,2,6,28,函館,T,2600,良,7,9,未勝利,35.9,中団,9,4,25,京都,D,1800,稍,10,6,未勝利,42.1,中団,3,4,4,阪神,T,1800,良,11,8,未勝利,35.1,中団,10,1,24,京都,T,2200,良,8,6,未勝利,35.8,先行,3,1,4,中山,T,2000,良,4,6,新馬,35.5,先行,初
2,,3,,,,,ラッキーシグネチャ,,牝,3,3,6,21,阪神,T,2400,稍,6,11,未勝利,37.4,先行,2,6,7,阪神,T,2000,稍,8,13,未勝利,35.8,後方,2,5,23,京都,T,1800,良,14,13,未勝利・牝,36.2,後方,初,,,,,,,,,,,,,,,,,,,,,,,,
2,,4,,,,,タケルフォーカス,,牡,3,3,6,20,阪神,T,1800,稍,5,6,未勝利,34.8,先行,7,5,2,新潟,T,2200,稍,2,8,未勝利,35.5,差し,11,2,15,京都,D,1800,良,7,5,未勝利,38.2,後方,2,2,1,京都,D,1900,良,7,3,未勝利,39.2,中団,7,12,14,阪神,D,1800,稍,3,8,未勝利*,38.6,差し,11
3,B,5,,,,,ウインブリザード,,牡,3,2,6,28,函館,T,2600,良,10,8,未勝利,36.0,後方,5,5,24,新潟,T,2000,稍,10,13,未勝利,36.3,中団,27,11,15,福島,T,2000,良,10,4,未勝利*,36.5,中団,7,9,28,中山,T,2000,良,8,7,新馬,34.5,中団,初,,,,,,,,,,,,
3,,6,,,,,マジックファイヤー,,牡,3,2,6,28,函館,T,2000,良,9,7,未勝利,36.4,中団,4,5,30,東京,T,2400,良,7,5,未勝利,36.0,先行,11,3,14,中京,T,2000,良,11,6,未勝利,35.6,中団,3,2,22,小倉,T,2000,良,3,7,未勝利,36.0,ﾏｸﾘ,3,1,31,京都,D,1800,良,5,3,未勝利,39.1,先行,12
4,,7,,,,,ブリックアブラック,,牡,3,2,6,28,函館,T,2600,良,13,12,未勝利,36.1,後方,2,6,13,函館,T,2600,稍,8,13,未勝利,35.2,後方,3,5,23,京都,T,2200,良,9,14,未勝利,36.2,後方,3,5,3,新潟,D,1800,稍,10,12,未勝利,41.7,中団,10,2,22,小倉,T,2000,良,8,12,未勝利,37.4,中団,2
4,,8,,,,,レジーナレガリア,,牝,3,3,6,21,函館,T,1800,良,11,12,未勝利,35.9,中団,18,2,14,小倉,D,1700,良,14,8,未勝利・牝,40.9,後方,7,12,28,阪神,T,1800,良,15,13,未勝利*,36.4,先行,17,8,31,中京,T,1400,良,11,4,未勝利*,36.1,後方,3,8,9,中京,T,1400,良,9,4,新馬,35.0,中団,初
5,B,9,,,,,レフィノス,,牡,3,4,6,13,東京,T,2400,稍,17,16,未勝利,36.1,中団,7,4,26,東京,T,2400,良,7,8,未勝利,34.6,中団,9,2,22,東京,D,2100,良,10,8,未勝利,38.7,後方,2,2,10,東京,T,2400,良,15,13,未勝利,35.3,後方,9,12,6,中山,T,2000,良,17,7,新馬,36.4,後方,初
5,,10,,,,,モヴシエラ,,牡,3,4,6,13,函館,T,2600,稍,10,12,未勝利,35.6,中団,17,2,15,小倉,T,1800,稍,13,10,未勝利,36.0,中団,9,12,14,阪神,T,1400,稍,11,4,新馬,37.2,中団,初,,,,,,,,,,,,,,,,,,,,,,,,
6,,11,,,,,アグアフレスカ,,牝,3,4,6,14,東京,D,2100,稍,13,3,未勝利,40.8,中団,7,4,26,東京,T,2400,良,6,5,未勝利,35.1,逃げ,9,2,21,東京,T,2400,良,6,7,未勝利,35.2,中団,6,1,11,中山,T,2200,良,8,10,未勝利,36.0,中団,4,12,13,中山,T,1800,良,10,7,新馬,34.9,後方,初
6,,12,,,,,デイズインザサン,,牝,3,連,7,4,函館,T,1800,良,13,11,未勝利,34.9,後方,2,6,20,函館,T,2000,良,5,12,未勝利,34.9,中団,5,5,17,東京,T,1800,良,9,14,未勝利,34.4,中団,13,2,15,東京,T,1800,良,11,16,未勝利,35.2,中団,初,,,,,,,,,,,,
7,,13,,,,,ヴィラジョヴィス,,牝,3,2,6,28,函館,T,2600,良,2,6,未勝利,36.8,逃げ,4,5,30,京都,T,2400,良,7,6,未勝利,35.3,中団,4,5,3,京都,T,2400,良,5,5,未勝利,34.6,中団,6,3,22,阪神,T,2400,良,3,2,未勝利,34.7,先行,6,2,10,京都,T,2400,良,3,8,未勝利,36.8,先行,11
7,,14,,,,,ダディーズソード,,牡,3,22,2,10,京都,T,2400,良,7,10,未勝利,36.3,中団,2,1,24,小倉,T,2000,良,8,11,新馬,34.2,中団,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,15,,,,,ハルノアメ,,牡,3,2,6,28,函館,T,2000,良,5,4,未勝利,35.8,中団,2,6,14,函館,T,2000,良,3,12,未勝利,35.1,差し,7,4,26,東京,T,1800,良,8,13,未勝利,34.1,中団,10,2,15,東京,D,2100,良,8,13,未勝利,39.3,中団,3,1,24,中山,D,1800,良,10,6,未勝利,42.7,後方,4
8,,16,,,,,テンバコウクウ,,牡,3,4,6,13,函館,T,2600,稍,9,11,未勝利,35.9,中団,3,5,23,新潟,T,2400,稍,6,15,未勝利,36.0,中団,6,4,11,福島,T,2600,良,6,15,未勝利,36.0,中団,9,2,10,東京,T,2400,良,13,17,未勝利,35.8,後方,3,1,17,中山,D,1800,良,13,15,未勝利,42.2,後方,13
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026071202011005,2026.7.12,日,函館,1函A,5,,新馬,芝,1800,B,4,稍(暫定),曇(暫定),14,12:10,,馬齢,２歳
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,,1,,,,,ジオ,,牡,2,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,2,,,,,トルネードサンダー,,牝,2,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,3,,,,,リラカリス,,牝,2,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,4,,,,,デアグランツ,,牡,2,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,5,,,,,イッペイ,,牡,2,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,6,,,,,アオイノリプー,,牡,2,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,7,,,,,アルデシンザン,,牡,2,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,8,,,,,ニーナラルゴ,,牝,2,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,9,,,,,トムクリオーザ,,牡,2,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,10,,,,,ブラッグス,,牡,2,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026071202011006,2026.7.12,日,函館,1函A,6,,未勝利,芝,1200,B,2,稍(暫定),曇(暫定),16,12:40,,馬齢,３歳
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,,1,,,,,ミルトメロディー,,牝,3,3,6,20,函館,T,1200,良,4,6,未勝利,35.5,先行,連,6,14,函館,T,1200,良,5,6,未勝利,34.8,先行,4,5,16,新潟,T,1000,良,3,5,未勝利,33.5,先行,連,5,10,新潟,T,1000,良,5,14,未勝利,33.6,中団,18,1,4,中山,D,1200,稍,10,10,未勝利・牝,40.6,中団,7
1,,2,,,,,サトノフレイ,,牡,3,4,6,14,函館,D,1700,良,6,2,未勝利,40.2,先行,4,5,17,京都,D,1400,良,3,2,未勝利,37.9,先行,2,5,2,京都,T,1400,稍,5,1,未勝利,34.2,先行,10,2,21,阪神,T,1600,良,6,2,未勝利,35.3,先行,3,2,1,東京,T,1600,良,3,1,新馬,33.5,追込,初
2,,3,,,,,ミレニアルピンク,,牝,3,3,6,21,函館,T,1200,良,6,10,未勝利・牝,35.3,中団,21,1,24,京都,T,1400,良,14,7,未勝利,36.2,中団,4,12,28,阪神,T,1600,良,6,11,新馬,35.0,先行,初,,,,,,,,,,,,,,,,,,,,,,,,
