レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026081501010701,2026.8.15,土,札幌,1札7,1,,未勝利,ダート,1700,,4,良(暫定),晴(暫定),14,10:00,,馬齢,３歳
8,,13,,,,,ランウェイミューズ,,牝,3,4,7,19,福島,T,1800,良,4,4,未勝利,36.0,先行,9,5,16,新潟,T,1600,良,9,6,未勝利,34.8,中団,10,3,8,中山,T,1800,良,3,4,未勝利,36.5,先行,12,12,14,中山,T,1600,稍,2,2,新馬,36.2,先行,初,,,,,,,,,,,,
8,,14,,,,,アップターンデイ,,牡,3,7,6,27,小倉,D,1700,不,15,4,未勝利,42.7,中団,8,5,2,新潟,T,1400,稍,10,5,未勝利,38.3,先行,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026081501010707,2026.8.15,土,札幌,1札7,7,,1勝,芝,2000,A,4,良(暫定),晴(暫定),16,13:20,牝,定量,３上
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,,1,,,,,メリザンド,,牝,4,8,6,21,函館,T,2000,良,4,6,遊楽部特･1勝,36.3,逃げ,9,4,18,福島,T,2000,良,3,6,桑折特別･1勝,34.3,先行,8,2,22,小倉,T,2000,良,1,6,１勝ｸﾗｽ,36.3,逃げ,13,11,24,福島,T,2600,良,10,6,磐梯山特･1勝,36.3,先行,10,9,13,中山,T,2000,稍,3,8,１勝ｸﾗｽ,34.5,逃げ,3
2,,2,,,,,エリナ,,牝,4,4,7,18,函館,T,2600,良,12,12,１勝ｸﾗｽ,40.0,先行,33,11,29,東京,T,2400,良,15,16,１勝ｸﾗｽ,37.1,後方,2,11,15,福島,T,2600,良,13,16,１勝ｸﾗｽ,40.4,後方,15,8,2,新潟,T,2000,良,10,10,未勝利・牝,35.3,中団,3,7,13,福島,T,2000,良,7,13,未勝利・牝,36.8,中団,6
2,,3,,,,,ミッキーテネシー,,牝,3,3,7,26,札幌,T,2000,良,1,2,未勝利,35.0,先行,4,6,27,小倉,T,1800,重,5,3,未勝利・牝,34.4,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,4,,,,,アンディムジーク,,牝,3,2,8,1,札幌,T,1500,稍,5,10,１勝ｸﾗｽ・牝,34.3,中団,13,5,2,京都,T,1400,良,11,9,１勝ｸﾗｽ*,34.4,中団,9,3,1,阪神,T,1600,良,8,14,チューリG2,33.5,中団,5,1,25,京都,T,1600,良,8,7,河津桜賞･1勝,36.7,後方,5,12,20,中京,T,1600,稍,1,1,未勝利・牝*,35.0,差し,10
3,,5,,,,,エイカイコバチ,,牝,3,連,8,9,札幌,T,2000,良,3,7,１勝ｸﾗｽ,35.3,先行,7,6,21,函館,T,2000,良,7,8,遊楽部特･1勝,36.3,後方,連,6,14,函館,T,2000,良,1,9,未勝利,35.3,差し,3,5,23,京都,T,1800,良,3,9,未勝利・牝,36.2,差し,9,3,22,中京,D,1800,良,12,2,未勝利・牝,40.8,後方,連
4,,6,,,,,エトワールブーケ,,牝,3,5,7,11,函館,T,2000,稍,3,6,北斗特別･1勝,35.3,差し,7,5,23,京都,T,1800,良,1,6,未勝利・牝,35.8,先行,4,4,25,京都,T,1800,良,8,13,未勝利・牝,34.6,後方,初,,,,,,,,,,,,,,,,,,,,,,,,
4,,7,,,,,ニシノエピカリ,,牝,4,3,7,25,札幌,T,1800,良,4,7,１勝ｸﾗｽ・牝,35.0,先行,9,5,23,新潟,D,1800,稍,15,14,１勝ｸﾗｽ・牝,41.0,後方,4,4,26,福島,T,2600,良,10,10,１勝ｸﾗｽ,37.5,逃げ,3,4,4,中山,T,2000,良,5,7,１勝ｸﾗｽ,36.2,中団,21,11,8,福島,T,1800,良,15,6,１勝ｸﾗｽ・若,36.5,後方,5
5,,8,,,,,ヴァーナリー,,牝,4,13,5,17,東京,T,1800,良,15,5,１勝ｸﾗｽ,33.6,後方,11,2,26,名古,D,1500,重,1,1,Ｂ６組,----,逃げ,2,2,13,名古,D,1500,稍,1,1,本命チ,----,逃げ,2,1,30,名古,D,1500,良,2,1,梅薫る,----,先行,4,1,5,名古,D,1500,良,1,1,松に鶴,----,逃げ,10
5,,9,,,,,アドマイヤシュラ,,牝,3,18,4,12,阪神,T,2000,良,7,3,忘れな草(L),36.6,中団,9,2,7,京都,T,1600,良,4,2,エルフィ(L),35.1,差し,13,11,8,京都,T,1800,良,1,1,新馬,34.2,先行,初,,,,,,,,,,,,,,,,,,,,,,,,
6,,10,,,,,ドマーネ,,牝,4,8,6,21,函館,T,2000,良,9,9,遊楽部特･1勝,36.1,後方,13,3,22,中京,T,2000,良,9,7,１勝ｸﾗｽ・牝,34.8,中団,3,2,28,小倉,T,2000,稍,4,8,１勝ｸﾗｽ・牝,37.1,差し,4,2,1,小倉,T,2600,良,11,3,足立山特･1勝,37.5,中団,15,10,18,新潟,T,2200,良,2,3,岩船特別･1勝,35.1,差し,3
6,,11,,,,,ディヒターリーベ,,牝,4,3,7,25,札幌,T,1800,良,2,9,１勝ｸﾗｽ・牝,34.2,追込,23,2,12,名古,D,1400,重,5,1,Ｃ１１,----,中団,3,1,28,名古,D,1400,良,1,1,Ｃ１９,----,先行,3,1,1,名古,D,1500,良,1,1,名古屋,----,先行,6,11,20,名古,D,1500,良,1,1,Ｃ２５,----,先行,初
7,,12,,,,,エイトスターズ,,牝,6,2,8,1,札幌,T,1800,稍,8,9,１勝ｸﾗｽ,36.1,後方,10,5,24,京都,T,1400,良,8,11,１勝ｸﾗｽ,34.3,中団,4,4,26,京都,T,1800,良,9,10,１勝ｸﾗｽ,35.2,中団,8,2,28,阪神,D,1400,良,13,16,１勝ｸﾗｽ,38.1,後方,2,2,14,小倉,D,1700,良,6,13,１勝ｸﾗｽ・牝,39.1,中団,23
7,,13,,,,,セットエトワール,,牝,3,20,3,29,中山,T,2000,良,6,4,ミモザ賞･1勝,36.0,先行,4,2,28,中山,T,2000,良,1,1,未勝利,35.5,先行,11,12,13,中山,T,1800,良,5,4,新馬,34.3,後方,初,,,,,,,,,,,,,,,,,,,,,,,,
8,,14,,,,,キタノサリスカ,,牝,3,3,7,25,札幌,T,1800,良,6,10,１勝ｸﾗｽ・牝,34.7,中団,4,6,28,函館,D,1700,稍,6,8,１勝ｸﾗｽ・牝,38.4,先行,10,4,18,阪神,D,1800,良,11,13,１勝ｸﾗｽ・牝*,39.9,後方,3,3,28,中京,D,1800,稍,1,11,未勝利・牝,38.6,先行,4,2,28,阪神,D,1400,良,10,13,未勝利・牝,39.2,後方,11
8,,15,,,,,ルージュスティーズ,,牝,4,5,7,11,函館,T,1800,稍,6,10,１勝ｸﾗｽ・牝,34.3,後方,11,4,26,京都,T,1800,良,11,7,１勝ｸﾗｽ,35.9,中団,11,2,7,小倉,T,2000,稍,16,8,１勝ｸﾗｽ・牝,37.3,後方,3,1,18,京都,T,2400,良,5,5,１勝ｸﾗｽ,36.5,先行,10,11,8,京都,T,2000,良,7,4,１勝ｸﾗｽ,34.9,先行,3
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026081501010708,2026.8.15,土,札幌,1札7,8,,1勝,ダート,1700,,4,良(暫定),晴(暫定),14,13:50,,定量,３上
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,,1,,,,,フェニーチェドーロ,,牝,4,2,8,1,札幌,T,1500,稍,11,13,１勝ｸﾗｽ・牝,35.3,中団,2,7,19,函館,D,1700,不,9,12,１勝ｸﾗｽ・牝,37.7,後方,4,6,21,函館,D,1700,良,9,7,１勝ｸﾗｽ,38.3,先行,14,3,14,阪神,D,1400,良,12,16,１勝ｸﾗｽ,37.4,中団,17,11,16,京都,D,1200,良,12,9,１勝ｸﾗｽ,36.1,後方,13
2,,2,,,,,カリーン,,牝,4,3,7,25,新潟,T,1800,良,5,7,１勝ｸﾗｽ,34.0,中団,3,7,5,福島,T,1800,良,8,4,１勝ｸﾗｽ,34.9,中団,61,5,3,東京,T,1800,良,5,10,スイート(L),33.8,中団,5,3,30,中山,T,2000,良,4,5,ミモザ賞･1勝,36.0,先行,10,1,18,中山,T,1600,良,4,11,菜の花賞･1勝,34.8,差し,13
3,B,3,,,,,ザハント,,セ,4,3,7,25,札幌,D,1700,良,2,7,１勝ｸﾗｽ,39.3,先行,47,8,31,札幌,D,1700,稍,10,2,１勝ｸﾗｽ,38.9,後方,4,8,3,札幌,D,1700,良,1,1,未勝利,39.6,逃げ,2,7,19,函館,D,1700,良,5,1,未勝利,39.4,先行,2,7,5,函館,D,1700,重,2,3,未勝利,38.2,逃げ,2
4,,4,,,,,ファンタイムギフト,,セ,4,3,7,25,札幌,D,1700,良,10,4,１勝ｸﾗｽ,40.6,先行,3,7,5,函館,D,1700,良,3,5,１勝ｸﾗｽ,37.7,差し,4,6,6,東京,D,1600,良,5,4,１勝ｸﾗｽ,37.2,中団,3,5,16,東京,D,1600,良,7,5,１勝ｸﾗｽ,36.8,中団,21,12,21,中山,D,1800,重,13,7,１勝ｸﾗｽ,38.5,先行,7
5,,5,,,,,タイセツナヒ,,牡,3,4,7,18,函館,D,1700,良,7,8,１勝ｸﾗｽ,38.9,中団,3,6,27,福島,D,1700,稍,5,12,１勝ｸﾗｽ,38.1,後方,8,5,2,新潟,D,1800,重,11,14,わらび賞･1勝,39.8,後方,3,4,12,中山,D,1800,良,5,11,１勝ｸﾗｽ*,39.1,中団,11,1,24,中山,D,1800,良,8,11,１勝ｸﾗｽ*,39.0,中団,4
6,,6,,,,,ビービーバザーク,,牡,4,3,7,25,札幌,D,1700,良,4,6,１勝ｸﾗｽ,37.4,追込,連,7,18,函館,T,1800,良,11,11,湯浜特別･1勝,37.1,中団,9,5,16,東京,D,1600,良,8,3,１勝ｸﾗｽ,37.2,先行,2,5,3,東京,D,1600,稍,4,3,１勝ｸﾗｽ,37.2,先行,10,2,22,阪神,D,1800,良,8,4,１勝ｸﾗｽ,40.5,先行,2
6,,7,,,,,ヒロイックヴァース,,牡,3,5,7,12,福島,D,1700,稍,1,3,未勝利,38.7,先行,11,4,25,福島,T,2000,良,13,2,未勝利,37.5,先行,8,2,28,小倉,T,2000,稍,2,5,未勝利,36.7,先行,2,2,14,小倉,T,2000,良,6,10,未勝利,36.5,先行,8,12,20,中山,T,1800,良,11,5,未勝利*,35.6,先行,4
7,,8,,,,,ハイライトニング,,セ,3,3,7,25,札幌,D,1700,良,8,9,１勝ｸﾗｽ,40.0,先行,19,3,14,中山,D,1800,良,10,15,１勝ｸﾗｽ*,40.0,後方,9,1,10,中山,D,1800,良,7,7,黒竹賞･1勝*,40.3,逃げ,4,12,14,中山,D,1800,稍,12,8,１勝ｸﾗｽ*,39.2,後方,11,9,28,中山,D,1800,良,1,4,未勝利*,38.8,先行,3
7,,9,,,,,ロードアマルフィ,,牡,3,2,8,2,札幌,D,1700,良,4,2,１勝ｸﾗｽ,38.0,逃げ,11,5,17,京都,D,1800,良,5,3,１勝ｸﾗｽ*,38.0,中団,3,4,25,京都,D,1800,稍,3,3,１勝ｸﾗｽ*,38.4,逃げ,4,3,28,阪神,D,1800,稍,1,1,未勝利,38.1,逃げ,4,3,1,小倉,D,1700,稍,3,1,未勝利,39.2,先行,2
8,B,10,,,,,ミスティマウンテン,,牡,4,11,5,30,東京,D,1600,良,3,1,１勝ｸﾗｽ,38.0,先行,4,5,3,東京,D,1600,稍,2,8,１勝ｸﾗｽ,36.6,差し,2,4,19,福島,D,1700,良,6,4,１勝ｸﾗｽ,37.7,中団,8,2,21,阪神,D,1400,良,6,4,１勝ｸﾗｽ,37.5,中団,9,12,21,中山,D,1800,重,11,12,１勝ｸﾗｽ,38.6,中団,2
8,,11,,,,,ピースフルワールド,,牝,5,18,4,9,名古,D,1500,稍,8,1,ゆうき,----,中団,5,3,10,名古,D,1400,良,1,2,Ｃ２２,----,先行,2,2,25,名古,D,1500,不,10,2,Ｃ２２,----,後方,31,7,23,名古,D,1500,良,7,3,しんゆ,----,中団,2,7,9,名古,D,1400,良,8,1,Ｃ９組,----,中団,3
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026081501010709,2026.8.15,土,札幌,1札7,9,コスモス賞,ｵｰﾌﾟﾝ,芝,1800,A,4,良(暫定),晴(暫定),14,14:25,,別定,２歳
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,,1,,,,,コスモハナミズキ,,牝,2,6,7,4,福島,T,1800,稍,1,4,未勝利*,35.6,逃げ,3,6,13,東京,T,1600,良,3,5,新馬・牝,33.8,追込,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,2,,,,,アヴナント,,牝,2,6,7,7,門別,D,1700,良,7,7,ターフ,----,先行,3,6,11,門別,D,1100,良,1,2,アタッ,----,先行,4,5,20,門別,D,1100,良,2,1,フレッ,----,逃げ,初,,,,,,,,,,,,,,,,,,,,,,,,
3,,3,,,,,アヴィアトーレ,,牡,2,8,6,21,東京,T,1800,稍,1,7,新馬,34.1,逃げ,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,4,,,,,キャトルブランシュ,,牝,2,6,7,8,門別,D,1100,良,1,2,アタッ,----,逃げ,4,6,9,門別,D,1000,重,1,2,２歳牝,----,逃げ,2,5,26,門別,D,1000,稍,7,5,アタッ,----,先行,3,4,30,門別,D,1000,良,2,6,フレッ,----,先行,初,,,,,,,,,,,,
5,,5,,,,,ミラクルヴェリテ,,牝,2,5,7,15,門別,D,1100,稍,1,2,フレッ,----,先行,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,6,,,,,アゴルディーノ,,牡,2,7,6,27,函館,T,1200,稍,1,2,新馬,34.8,先行,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,7,,,,,ウインワーグナー,,牡,2,7,6,28,福島,T,1800,良,1,4,新馬,35.8,先行,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,8,,,,,デアグランツ,,牡,2,5,7,12,函館,T,1800,重,1,4,新馬,35.0,差し,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026081501010710,2026.8.15,土,札幌,1札7,10,知床特別,2勝,芝,1200,A,2,良(暫定),晴(暫定),16,15:00,牝,定量,３上
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,,1,,,,,ガットネロ,,牝,6,7,6,28,函館,T,1200,良,12,10,湯の川温･2勝,35.1,先行,2,6,14,函館,T,1200,良,4,12,函館日刊･2勝,34.6,先行,8,4,18,中山,T,1200,良,11,11,袖ケ浦特･2勝,33.3,中団,10,2,10,京都,T,1200,良,12,11,２勝ｸﾗｽ,35.9,中団,11,11,22,福島,T,1200,良,1,9,１勝ｸﾗｽ,34.5,先行,2
1,,2,,,,,セイプリーズ,,牝,4,6,7,5,函館,T,1200,良,8,12,立待岬特･2勝,34.1,後方,6,5,24,新潟,T,1200,稍,1,2,１勝ｸﾗｽ,34.5,先行,4,4,25,福島,T,1200,良,4,2,１勝ｸﾗｽ・若,33.9,先行,2,4,11,福島,T,1200,良,3,3,１勝ｸﾗｽ・牝,34.2,先行,7,2,22,小倉,T,1200,良,8,4,１勝ｸﾗｽ・牝,34.7,先行,4
2,,3,,,,,ムチャスグラシアス,,牝,5,4,7,18,函館,T,1200,良,8,9,潮騒特別･2勝,34.7,後方,連,7,11,函館,T,1200,稍,6,14,ＨＴＢ杯･2勝,35.0,先行,4,6,14,函館,T,1200,良,16,13,函館日刊･2勝,34.9,後方,9,4,11,福島,T,1200,良,12,10,花見山特･2勝,34.6,後方,15,12,27,中山,T,1200,良,13,12,ベストウ･2勝,34.9,後方,7
2,B,4,,,,,ブルボンクイーン,,牝,5,5,7,11,小倉,T,1200,良,13,13,耶馬渓特･2勝,35.8,中団,7,5,23,新潟,T,1200,稍,11,9,大日岳特･2勝,35.8,逃げ,3,5,3,京都,T,1200,良,3,10,御池特別･2勝,34.0,逃げ,3,4,12,阪神,T,1600,良,10,5,２勝ｸﾗｽ,35.5,先行,2,3,28,阪神,T,1400,良,6,7,仲春特Ｈ･2勝,35.2,先行,8
3,,5,,,,,スムースベルベット,,牝,6,8,6,20,函館,T,1200,良,8,10,ＳＴＶ杯･2勝,34.3,後方,7,5,3,東京,D,1300,稍,8,11,２勝ｸﾗｽ,37.2,先行,2,4,18,中山,T,1200,良,7,5,袖ケ浦特･2勝,33.7,中団,6,3,8,中山,T,1200,良,8,8,２勝ｸﾗｽ,34.9,先行,3,2,15,小倉,T,1200,稍,7,5,大濠特Ｈ･2勝,34.7,中団,4
3,,6,,,,,ブライティアダイヤ,,牝,5,18,4,11,福島,T,1200,良,11,16,花見山特･2勝,34.0,後方,17,12,14,阪神,T,1600,良,9,9,甲東特別･2勝,35.3,先行,2,11,29,京都,T,1200,良,11,13,２勝ｸﾗｽ,34.1,中団,12,9,6,札幌,T,1200,良,9,8,札幌スポ･2勝,34.8,中団,8,7,13,函館,T,1200,良,1,6,１勝ｸﾗｽ,34.8,差し,11
4,,7,,,,,モズトキキ,,牝,5,12,5,23,東京,T,1400,良,9,12,高尾特別･2勝,33.9,逃げ,4,4,25,福島,T,1200,良,10,8,医王寺特･2勝,33.8,中団,6,3,14,阪神,T,1200,良,12,9,讃岐特別･2勝,33.8,後方,9,1,10,京都,T,1200,良,10,12,鹿ケ谷Ｈ･2勝,34.1,中団,3,12,20,阪神,T,1200,良,4,13,２勝ｸﾗｽ,34.3,差し,29
4,,8,,,,,グランテレーズ,,牝,5,3,7,25,札幌,T,1200,良,1,11,１勝ｸﾗｽ,34.6,先行,5,6,21,函館,T,1200,良,9,4,１勝ｸﾗｽ・牝,35.2,先行,連,6,13,函館,T,1200,稍,4,5,１勝ｸﾗｽ,34.3,先行,7,4,25,福島,T,1200,良,2,3,１勝ｸﾗｽ・若,34.3,先行,2,4,11,福島,T,1200,良,2,6,１勝ｸﾗｽ・牝,34.2,先行,9
5,B,9,,,,,ベニシア,,牝,5,2,8,2,札幌,D,1000,良,7,12,２勝ｸﾗｽ,36.1,中団,10,5,21,大井,D,1200,稍,11,10,メトロ,----,後方,6,4,11,中山,D,1200,稍,14,15,２勝ｸﾗｽ・牝,37.4,後方,7,2,22,小倉,D,1000,良,1,14,１勝ｸﾗｽ,36.5,逃げ,11,12,6,中山,D,1200,良,7,11,１勝ｸﾗｽ,36.8,中団,3
5,,10,,,,,メイショウミリオレ,,牝,5,7,6,27,小倉,T,1200,稍,9,10,宗像特別･2勝,34.1,後方,2,6,14,阪神,T,1200,良,6,4,武庫川特･2勝,33.6,後方,3,5,23,新潟,T,1200,稍,12,7,大日岳特･2勝,34.0,後方,3,5,3,京都,T,1200,良,5,5,御池特別･2勝,32.9,中団,5,3,28,中京,T,1400,良,4,8,フィリピ･2勝,33.2,追込,3
6,,11,,,,,コックオーヴァン,,牝,3,4,7,18,福島,T,1200,良,1,4,１勝ｸﾗｽ,34.9,先行,3,6,27,福島,T,1200,良,4,11,１勝ｸﾗｽ,34.6,差し,24,1,12,中山,T,1200,良,11,11,１勝ｸﾗｽ*,34.6,中団,4,12,13,中山,T,1200,良,7,12,黒松賞･1勝*,34.4,先行,5,11,8,東京,T,1400,良,16,14,京王杯２G2,34.8,後方,3
6,,12,,,,,ハリウッドメモリー,,牝,4,6,7,5,函館,T,1200,良,4,3,立待岬特･2勝,34.2,差し,3,6,14,函館,T,1200,良,10,2,函館日刊･2勝,34.8,中団,17,2,15,小倉,T,1200,稍,5,1,大濠特Ｈ･2勝,34.7,中団,2,2,1,小倉,T,1200,良,2,6,周防灘特･2勝,33.9,差し,9,11,29,京都,T,1200,良,10,3,２勝ｸﾗｽ,33.9,後方,12
7,,13,,,,,ベビーズブレス,,牝,4,2,8,2,札幌,T,1200,良,10,8,苫小牧特･2勝,35.1,中団,4,7,5,函館,T,1200,良,6,5,立待岬特･2勝,34.7,先行,3,6,14,函館,T,1200,良,5,7,函館日刊･2勝,34.9,先行,13,3,14,阪神,T,1200,良,14,11,讃岐特別･2勝,34.5,中団,4,2,15,小倉,T,1200,稍,16,9,大濠特Ｈ･2勝,36.6,先行,11
7,,14,,,,,ストレイトアスク,,牝,5,6,7,4,函館,T,1200,良,1,4,１勝ｸﾗｽ・牝,34.6,先行,連,6,28,函館,T,1200,良,4,7,１勝ｸﾗｽ,34.6,先行,8,5,3,新潟,T,1400,良,14,6,１勝ｸﾗｽ・牝,35.7,中団,20,12,14,中京,T,1600,稍,7,9,１勝ｸﾗｽ,34.6,中団,7,10,25,新潟,T,1400,良,15,5,１勝ｸﾗｽ,36.3,中団,3
8,,15,,,,,ミニョンマルーン,,牝,4,6,7,5,函館,T,1200,良,12,10,立待岬特･2勝,34.7,中団,3,6,14,函館,T,1200,良,6,6,函館日刊･2勝,35.1,逃げ,9,4,12,福島,D,1150,良,10,3,喜多方特･2勝,38.4,逃げ,10,2,1,小倉,T,1200,良,9,7,周防灘特･2勝,34.5,先行,5,12,27,中山,T,1200,良,8,4,ベストウ･2勝,35.6,逃げ,3
8,,16,,,,,エルサトアナ,,牝,4,5,7,11,函館,T,1200,稍,12,11,ＨＴＢ杯･2勝,36.1,先行,2,6,28,函館,T,1200,良,13,3,湯の川温･2勝,35.4,中団,11,4,12,阪神,T,1600,良,9,4,２勝ｸﾗｽ,35.4,先行,4,3,15,阪神,D,1400,良,7,12,２勝ｸﾗｽ・牝,36.4,先行,8,1,18,京都,D,1400,良,16,16,小倉山特･2勝,41.2,先行,4
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026081501010711,2026.8.15,土,札幌,1札7,11,報知杯大雪Ｈ,3勝,ダート,1700,,4,良(暫定),晴(暫定),14,15:35,,ﾊﾝﾃﾞ,３上
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,B,1,,,,,プロミシングスター,,牡,5,4,7,19,小倉,D,1700,良,3,11,宮崎ＳＨ･3勝,37.9,差し,3,6,27,小倉,D,1700,重,10,10,薩摩Ｓ･3勝,38.0,中団,2,6,14,阪神,D,1200,重,13,8,リボンＨ･3勝,37.1,中団,7,4,25,京都,D,1800,稍,9,8,観月橋Ｓ･3勝,37.4,後方,18,12,21,阪神,D,1400,重,11,2,御影Ｓ･3勝,37.7,先行,4
2,,2,,,,,マンオブザマッチ,,牡,4,11,5,30,京都,D,1800,良,8,7,桃山ＳＨ･3勝,36.2,中団,3,5,10,新潟,D,1800,良,1,3,五泉特Ｈ･2勝,38.0,先行,11,2,22,小倉,D,1700,良,1,2,１勝ｸﾗｽ,38.6,先行,9,12,20,阪神,D,1800,良,2,6,１勝ｸﾗｽ,36.8,先行,2,12,7,中京,D,1800,良,6,7,１勝ｸﾗｽ,38.3,先行,2
3,,3,,,,,キャットテイル,,牝,4,2,8,1,札幌,D,1700,稍,1,3,大倉山特･2勝,38.9,逃げ,5,6,28,函館,D,1700,稍,1,4,１勝ｸﾗｽ・牝,37.2,先行,5,5,24,新潟,D,1200,稍,6,6,１勝ｸﾗｽ・若,37.4,先行,4,4,25,東京,D,1400,稍,8,2,１勝ｸﾗｽ・牝,38.3,逃げ,2,4,12,福島,D,1700,良,3,2,１勝ｸﾗｽ・牝,38.3,先行,10
3,,4,,,,,ノーブルスカイ,,牡,5,5,7,11,函館,T,1800,稍,11,13,五稜郭Ｓ･3勝,34.9,後方,9,5,10,東京,D,1600,良,15,10,立夏ＳＨ･3勝,36.5,後方,10,3,1,阪神,D,1800,良,12,4,伊丹Ｓ･3勝,37.6,中団,3,2,7,小倉,D,1700,良,5,6,豊前ＳＨ･3勝,36.7,後方,9,12,7,阪神,T,1800,良,5,12,元町ＳＨ･3勝,33.3,中団,3
