レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026062802010601,2026.6.28,日,函館,1函6,1,,未勝利,芝,1200,A,2,稍(暫定),晴(暫定),16,09:50,,馬齢,２歳
2026062802010602,2026.6.28,日,函館,1函6,2,,未勝利,ダート,1700,,4,重(暫定),晴(暫定),14,10:20,,馬齢,３歳
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,,1,,,,,メイショウタイザン,,牡,3,2,6,13,函館,D,1700,稍,4,4,未勝利,38.9,差し,4,5,16,新潟,D,1800,良,4,3,未勝利,38.9,先行,4,4,18,福島,D,1700,良,4,3,未勝利,37.9,逃げ,9,2,18,笠松,D,1400,良,2,3,加納宿,----,先行,10,12,7,阪神,D,1400,良,7,4,未勝利*,39.0,中団,2
2,,2,,,,,ロジクリスエス,,セ,3,16,3,7,中山,D,1800,重,外,--,未勝利,----,,12,12,13,中山,T,1600,良,15,5,未勝利*,36.1,後方,3,11,23,東京,T,1600,良,9,4,未勝利*,34.4,後方,9,9,20,中山,T,1600,良,2,6,新馬,33.9,差し,初,,,,,,,,,,,,
3,,3,,,,,ライカ,,牡,3,4,5,30,東京,D,1400,良,5,3,未勝利,36.8,中団,4,5,3,東京,D,1400,稍,4,1,未勝利,36.7,追込,連,4,25,東京,D,1400,稍,2,2,未勝利,36.8,差し,3,4,4,中山,D,1200,稍,3,7,未勝利,37.0,差し,4,3,8,中山,D,1200,稍,4,6,未勝利,38.2,差し,3
3,B,4,,,,,テリコス,,牡,3,2,6,14,函館,D,1700,良,10,5,未勝利,40.1,中団,4,5,16,新潟,D,1800,良,2,5,未勝利,38.6,逃げ,2,5,2,京都,D,1800,重,13,5,未勝利,39.6,中団,14,1,24,京都,D,1800,良,6,3,新馬,38.2,中団,初,,,,,,,,,,,,
4,,5,,,,,テンレッドサン,,牝,3,2,6,13,函館,D,1700,稍,3,1,未勝利・牝,38.3,差し,15,2,28,小倉,D,1700,不,2,6,未勝利・牝,37.2,先行,14,11,22,京都,D,1800,良,7,7,未勝利*,39.3,中団,2,11,9,東京,D,1600,稍,6,7,新馬,37.7,中団,初,,,,,,,,,,,,
4,,6,,,,,アドフランマム,,牡,3,4,5,31,京都,D,1200,良,13,5,未勝利,37.1,後方,6,4,19,福島,D,1700,良,9,5,未勝利,40.3,中団,4,3,22,阪神,D,1200,良,5,2,未勝利,36.9,先行,3,3,1,阪神,D,1400,良,5,5,未勝利,38.9,中団,3,2,10,京都,D,1200,良,3,5,未勝利,37.5,差し,2
5,,7,,,,,マルシュボヌール,,牝,3,2,6,14,函館,D,1700,良,7,7,未勝利,39.7,中団,8,4,19,福島,D,1700,良,3,7,未勝利,38.9,差し,3,3,28,阪神,D,1200,稍,4,9,未勝利・牝,37.1,差し,11,1,12,京都,D,1200,良,14,8,未勝利,38.0,後方,2,12,28,阪神,D,1400,良,4,3,新馬,39.7,差し,初
5,,8,,,,,サンオブザサン,,牡,3,2,6,13,函館,D,1700,稍,6,6,未勝利,39.2,中団,13,3,15,阪神,D,1800,良,6,7,未勝利,38.9,中団,3,2,21,小倉,D,1700,良,6,8,未勝利,38.8,後方,6,1,11,京都,D,1400,良,7,13,未勝利,38.0,後方,4,12,13,阪神,D,1400,良,9,7,新馬,39.1,先行,初
6,,9,,,,,スマートイデアル,,牝,3,2,6,14,函館,D,1000,良,9,9,未勝利,37.1,先行,9,4,11,福島,D,1150,良,10,10,未勝利,38.5,中団,8,2,14,小倉,D,1000,良,10,7,未勝利,37.4,中団,3,1,24,小倉,D,1000,良,3,12,未勝利,36.4,差し,15,10,11,京都,D,1200,良,6,8,新馬,37.4,中団,初
6,B,10,,,,,ヒルノボローニャ,,セ,3,連,6,20,函館,T,2000,良,7,8,未勝利,36.5,逃げ,21,1,25,京都,T,1600,良,10,6,新馬,34.6,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,11,,,,,モノノケ,,牝,3,2,6,13,函館,D,1000,稍,8,10,未勝利,35.3,後方,9,4,12,阪神,D,1200,稍,9,10,未勝利,37.2,後方,2,3,28,阪神,D,1200,稍,8,12,未勝利・牝,36.6,後方,18,11,22,京都,D,1200,良,12,7,未勝利・牝*,38.0,中団,3,11,1,京都,D,1200,不,8,4,未勝利*,36.9,中団,3
7,,12,,,,,ロスニーニョス,,牡,3,3,6,7,阪神,D,1800,良,5,11,未勝利,38.6,中団,3,5,17,京都,D,1900,良,4,10,未勝利,38.7,差し,2,5,3,京都,T,1800,良,9,10,未勝利,35.8,先行,連,4,25,京都,T,2200,良,10,12,未勝利,35.7,後方,2,4,11,福島,T,2600,良,7,13,未勝利,37.2,ﾏｸﾘ,3
8,,13,,,,,ルナノーヴァ,,牡,3,2,6,14,函館,T,1200,良,13,11,未勝利,35.1,後方,19,2,1,京都,D,1200,良,6,7,未勝利,37.7,中団,3,1,10,京都,D,1400,良,11,4,新馬,38.1,中団,初,,,,,,,,,,,,,,,,,,,,,,,,
8,,14,,,,,ヤマメイッカ,,牡,3,24,1,11,中山,D,1800,良,14,3,未勝利,44.6,中団,7,11,24,東京,D,1600,良,5,3,未勝利*,37.6,中団,4,10,25,東京,D,1600,稍,5,12,新馬,36.4,中団,初,,,,,,,,,,,,,,,,,,,,,,,,
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026062802010603,2026.6.28,日,函館,1函6,3,,未勝利,ダート,1000,,2,重(暫定),晴(暫定),12,10:50,,馬齢,３歳
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,,1,,,,,エコロセレナ,,牝,3,2,6,14,函館,D,1000,良,7,1,未勝利,36.5,中団,4,5,17,新潟,D,1200,良,3,1,未勝利・牝,38.0,先行,4,4,18,中山,D,1200,良,2,4,未勝利・牝,37.5,逃げ,2,4,4,中山,D,1200,稍,3,2,未勝利・牝,37.4,先行,4,3,7,中山,D,1200,重,5,5,未勝利,37.5,先行,2
2,,2,,,,,アジーザム,,牝,3,3,6,7,東京,D,1400,良,9,15,未勝利・牝,38.2,後方,11,3,21,中山,D,1200,良,8,10,未勝利・牝,39.2,中団,8,1,25,小倉,T,1200,良,15,12,未勝利,34.7,後方,12,11,2,京都,T,1600,良,7,9,新馬,35.3,中団,初,,,,,,,,,,,,
3,,3,,,,,ビップアリス,,牝,3,2,6,14,函館,T,1200,良,16,12,未勝利,36.2,後方,11,3,29,中京,T,1200,良,11,14,未勝利,35.4,先行,21,11,1,京都,D,1200,不,13,11,未勝利*,39.0,中団,3,10,11,京都,T,1400,良,15,4,新馬・牝,35.7,中団,初,,,,,,,,,,,,
4,,4,,,,,ブザービーター,,牡,3,2,6,13,東京,D,1400,重,8,14,未勝利,37.6,中団,13,3,15,中山,D,1800,良,14,9,未勝利,42.2,後方,11,12,28,中山,T,2000,良,12,12,新馬,36.2,後方,初,,,,,,,,,,,,,,,,,,,,,,,,
5,,5,,,,,ホワイトラバーズ,,牝,3,2,6,14,函館,D,1700,良,9,10,未勝利,40.3,先行,4,5,16,京都,D,1800,良,7,10,未勝利,37.6,後方,2,5,2,京都,T,2000,良,12,13,未勝利,35.8,中団,2,4,18,阪神,T,1800,良,13,18,未勝利,35.0,後方,2,4,2,笠松,D,1400,稍,5,4,太田宿,----,先行,9
5,,6,,,,,ハナイロマヒナ,,牝,3,2,6,13,函館,T,1200,稍,7,9,未勝利,35.4,先行,19,1,31,小倉,T,1200,良,13,5,未勝利・若,35.3,中団,7,12,13,阪神,T,1200,良,5,2,未勝利*,34.9,中団,3,11,22,京都,T,1200,良,4,9,未勝利*,34.3,差し,10,9,13,阪神,T,1200,良,4,11,新馬,35.7,先行,初
6,,7,,,,,イングラム,,牡,3,2,6,13,函館,D,1000,稍,2,2,未勝利,35.1,逃げ,8,4,19,福島,D,1150,良,8,9,未勝利,38.8,先行,9,2,14,京都,D,1400,稍,15,7,未勝利,41.6,逃げ,3,1,25,京都,T,1600,良,13,5,新馬,36.7,逃げ,初,,,,,,,,,,,,
6,,8,,,,,ビタミンドロップ,,牡,3,2,6,14,函館,D,1000,良,2,4,未勝利,35.6,先行,8,4,18,中山,D,1200,良,7,3,未勝利,37.8,先行,2,4,4,中山,D,1200,稍,4,12,未勝利,38.1,先行,初,,,,,,,,,,,,,,,,,,,,,,,,
7,,9,,,,,ジャーナーリア,,牡,3,2,6,13,函館,T,1200,稍,5,2,未勝利,35.1,先行,3,5,23,新潟,D,1200,稍,3,1,未勝利,38.4,逃げ,2,5,9,京都,D,1400,良,2,4,未勝利,37.8,先行,5,4,4,阪神,D,1400,稍,3,3,未勝利,37.5,先行,3,3,14,阪神,D,1400,良,4,1,未勝利,38.4,逃げ,3
7,,10,,,,,ウィズアツインクル,,牡,3,5,5,23,東京,T,1600,良,15,5,未勝利,36.2,逃げ,4,4,25,福島,T,1200,良,8,2,未勝利,35.6,中団,2,4,11,中山,T,1600,良,3,10,未勝利,35.4,逃げ,6,3,1,中山,T,1600,良,7,3,未勝利,35.6,中団,3,2,10,東京,T,1600,良,3,4,新馬,34.2,差し,初
8,,11,,,,,コシタンタン,,牝,3,2,6,14,函館,T,1200,良,9,8,未勝利,34.7,中団,19,2,1,小倉,T,1200,良,6,8,新馬,35.1,先行,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,B,12,,,,,ヴェンデボヌール,,牡,3,2,6,14,函館,T,1200,良,6,4,未勝利,34.6,中団,12,3,21,中京,T,1400,良,14,7,未勝利,36.5,先行,17,11,24,東京,T,1400,良,13,3,未勝利*,34.9,中団,5,10,19,東京,T,1400,良,2,1,未勝利*,33.9,差し,4,9,20,中山,T,1200,良,3,2,新馬,34.2,差し,初
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026062802010604,2026.6.28,日,函館,1函6,4,,未勝利,芝,2600,A,6,稍(暫定),晴(暫定),16,11:20,,馬齢,３歳
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,,1,,,,,ミカレオス,,牡,3,10,4,18,福島,T,2600,良,11,15,未勝利,34.9,後方,4,3,22,中京,D,1800,良,14,14,未勝利,39.7,後方,10,1,10,京都,T,2400,良,14,18,未勝利,37.1,後方,3,12,20,阪神,T,2000,良,15,15,未勝利*,36.4,中団,10,10,12,京都,T,2000,良,13,10,新馬,39.1,後方,初
1,,2,,,,,ブリックアブラック,,牡,3,2,6,13,函館,T,2600,稍,8,13,未勝利,35.2,後方,3,5,23,京都,T,2200,良,9,14,未勝利,36.2,後方,3,5,3,新潟,D,1800,稍,10,12,未勝利,41.7,中団,10,2,22,小倉,T,2000,良,8,12,未勝利,37.4,中団,2,2,7,小倉,T,2000,稍,9,13,未勝利・若,36.7,中団,2
2,,3,,,,,フォーチュンローズ,,牝,3,2,6,13,函館,T,2600,稍,5,1,未勝利,35.7,中団,9,4,11,福島,T,2600,良,2,2,未勝利,36.2,先行,11,1,24,中山,T,2200,良,8,4,未勝利,36.6,中団,2,1,11,中山,T,2200,良,3,4,未勝利,36.1,先行,8,11,15,福島,T,2000,良,4,8,新馬,37.0,先行,初
2,,4,,,,,ウインブリザード,,牡,3,5,5,24,新潟,T,2000,稍,10,13,未勝利,36.3,中団,27,11,15,福島,T,2000,良,10,4,未勝利*,36.5,中団,7,9,28,中山,T,2000,良,8,7,新馬,34.5,中団,初,,,,,,,,,,,,,,,,,,,,,,,,
3,,5,,,,,ブッチギレ,,牡,3,4,5,31,東京,D,1600,良,14,10,未勝利,39.5,中団,8,4,5,中山,D,1800,不,8,8,未勝利,41.4,先行,2,3,22,中山,D,1800,良,12,9,未勝利,41.5,後方,17,11,24,東京,D,1600,良,8,7,未勝利*,38.9,先行,2,11,9,東京,D,1600,稍,7,6,未勝利*,38.3,中団,9
3,,6,,,,,アルタティール,,牡,3,8,5,2,新潟,T,2200,稍,11,12,未勝利,37.1,中団,3,4,11,福島,T,2600,良,5,14,未勝利,36.0,中団,6,2,28,中山,T,2000,良,15,16,未勝利,35.2,後方,8,1,4,中山,T,2000,良,15,16,新馬,36.4,後方,初,,,,,,,,,,,,
4,,7,,,,,カノープス,,牝,3,4,5,30,東京,T,2000,良,14,12,未勝利,34.1,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,8,,,,,ソルトハッピー,,牡,3,4,5,30,京都,T,2400,良,5,3,未勝利,35.4,ﾏｸﾘ,2,5,16,京都,T,2400,良,4,3,未勝利,34.5,追込,2,5,2,京都,T,2000,良,3,4,未勝利,33.8,差し,2,4,18,阪神,T,1800,良,8,7,未勝利,34.4,中団,3,3,28,中京,T,1600,良,8,4,未勝利,34.1,後方,24
5,B,9,,,,,ウインアトム,,牡,3,4,5,30,京都,T,2400,良,9,7,未勝利,35.8,後方,3,5,10,京都,T,2000,良,5,11,未勝利,35.4,後方,12,2,14,京都,D,1800,稍,11,7,新馬,43.4,後方,初,,,,,,,,,,,,,,,,,,,,,,,,
5,,10,,,,,ホウオウファミリー,,牡,3,2,6,13,函館,T,2600,稍,2,4,未勝利,36.3,先行,12,3,21,中山,D,1800,良,5,2,未勝利,39.6,中団,7,2,1,東京,D,2100,良,2,1,未勝利,39.3,先行,3,1,11,中山,D,1800,良,3,1,新馬,38.9,先行,初,,,,,,,,,,,,
6,,11,,,,,ヴィラジョヴィス,,牝,3,4,5,30,京都,T,2400,良,7,6,未勝利,35.3,中団,4,5,3,京都,T,2400,良,5,5,未勝利,34.6,中団,6,3,22,阪神,T,2400,良,3,2,未勝利,34.7,先行,6,2,10,京都,T,2400,良,3,8,未勝利,36.8,先行,11,11,22,京都,T,1800,良,7,7,未勝利*,35.8,先行,3
6,,12,,,,,タビニュ,,牡,3,2,6,13,函館,T,2600,稍,4,7,未勝利,35.0,差し,3,5,23,新潟,T,2400,稍,9,7,未勝利,36.5,後方,5,4,18,福島,T,2600,良,4,10,未勝利,34.2,差し,17,12,20,中山,T,2000,良,14,14,新馬,35.9,後方,初,,,,,,,,,,,,
7,,13,,,,,ジングアップ,,牡,3,4,5,30,東京,T,2400,良,4,4,未勝利,35.2,差し,20,1,11,中山,T,2200,良,6,7,未勝利,36.3,中団,11,10,25,東京,T,2000,良,7,8,新馬,34.3,後方,初,,,,,,,,,,,,,,,,,,,,,,,,
7,,14,,,,,ノリマル,,牡,3,2,6,13,函館,T,2600,稍,3,5,未勝利,36.1,先行,3,5,23,新潟,T,2400,稍,4,5,未勝利,36.0,先行,14,2,14,小倉,T,2000,良,7,1,未勝利,36.8,中団,2,2,1,小倉,T,2000,良,2,1,未勝利,35.4,先行,10,11,22,福島,T,1800,良,2,8,未勝利*,35.4,先行,2
8,,15,,,,,ティラユール,,牡,3,14,3,22,阪神,T,2400,良,9,12,未勝利,34.9,中団,2,3,7,阪神,T,1600,良,11,17,未勝利,34.7,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,16,,,,,ダイナソーコー,,牡,3,9,4,25,京都,D,1800,稍,10,6,未勝利,42.1,中団,3,4,4,阪神,T,1800,良,11,8,未勝利,35.1,中団,10,1,24,京都,T,2200,良,8,6,未勝利,35.8,先行,3,1,4,中山,T,2000,良,4,6,新馬,35.5,先行,初,,,,,,,,,,,,
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026062802010605,2026.6.28,日,函館,1函6,5,,新馬,芝,1200,A,2,稍(暫定),晴(暫定),16,12:10,,馬齢,２歳
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,,1,,,,,ショパンコンクール,,牡,2,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,2,,,,,シグレ,,牝,2,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,3,,,,,ウメヒナタ,,牝,2,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,4,,,,,ソウカイファミリア,,牡,2,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,5,,,,,アズライトティアラ,,牝,2,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,6,,,,,ルミナスジェム,,牝,2,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026062802010606,2026.6.28,日,函館,1函6,6,,未勝利,芝,2000,A,4,稍(暫定),晴(暫定),16,12:40,,馬齢,３歳
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,B,1,,,,,アルペングロー,,牡,3,2,6,14,函館,T,2000,良,13,2,未勝利,36.8,後方,12,3,22,阪神,D,1800,良,9,1,未勝利,39.6,中団,3,3,1,阪神,T,2000,良,4,1,未勝利,34.7,先行,8,1,5,京都,T,2000,良,3,2,未勝利,36.1,先行,8,11,9,京都,T,2000,重,2,1,新馬,35.7,先行,初
1,,2,,,,,エクラドット,,牡,3,10,4,19,福島,T,2000,良,5,8,未勝利,36.5,中団,12,1,24,中山,T,2200,良,15,13,未勝利,37.4,逃げ,22,8,24,新潟,T,2000,良,11,5,新馬,38.6,逃げ,初,,,,,,,,,,,,,,,,,,,,,,,,
2,,3,,,,,セイントクーヤ,,牡,3,5,5,23,東京,T,2000,良,7,10,未勝利,33.5,後方,10,3,14,中山,D,1800,良,9,6,未勝利,42.1,中団,3,2,21,東京,T,2400,良,13,10,未勝利,36.1,中団,9,12,20,中京,T,2000,稍,8,12,未勝利*,35.3,中団,2,12,7,中山,T,1800,良,9,10,未勝利*,35.1,中団,7
2,,4,,,,,ショウナンアワード,,牡,3,2,6,14,函館,T,1800,良,14,3,未勝利,35.5,中団,4,5,17,京都,T,2000,良,2,3,未勝利,34.5,差し,3,4,26,京都,T,2000,良,4,6,未勝利,35.7,追込,3,4,5,阪神,D,1800,重,3,9,未勝利,36.2,差し,8,2,10,京都,D,1800,良,8,8,未勝利,41.0,中団,3
3,,5,,,,,ビップジョワ,,牝,3,2,6,14,函館,T,2000,良,11,10,未勝利,38.1,逃げ,5,5,9,新潟,T,2000,良,7,7,未勝利,37.0,逃げ,2,4,25,東京,T,1800,良,4,5,未勝利・牝,34.9,先行,8,3,1,中山,T,1600,良,6,6,未勝利,34.8,中団,3,2,10,東京,T,1600,良,4,11,新馬,34.5,先行,初
3,,6,,,,,ロッサコメータ,,牝,3,2,6,14,函館,T,1800,良,9,7,未勝利,35.1,中団,4,5,16,京都,T,1800,良,4,5,未勝利,34.5,差し,3,4,25,京都,T,1800,良,6,6,未勝利・牝,35.2,中団,9,2,21,阪神,T,1600,良,12,6,未勝利,35.2,中団,3,2,1,東京,T,1600,良,2,10,新馬,34.4,先行,初
4,,7,,,,,フローレンスフーガ,,牡,3,2,6,14,函館,T,2000,良,7,3,未勝利,37.0,ﾏｸﾘ,5,5,9,新潟,T,2000,良,3,5,未勝利,36.2,差し,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,8,,,,,コティノス,,牡,3,2,6,14,函館,T,1800,良,8,9,未勝利,35.0,中団,9,4,11,阪神,T,2000,稍,13,5,未勝利,37.0,ﾏｸﾘ,3,3,22,中京,T,2000,良,2,2,未勝利,35.5,先行,11,1,5,京都,T,2000,良,17,5,未勝利,43.3,中団,3,12,13,中京,T,2000,良,4,1,新馬,34.1,逃げ,初
5,,9,,,,,テンレディーゴー,,牡,3,9,4,25,東京,D,2100,稍,11,8,未勝利,38.9,後方,5,3,21,中山,D,1800,良,9,6,未勝利,41.1,中団,6,2,7,東京,D,1600,良,10,7,未勝利,38.1,後方,9,12,6,中山,D,1800,良,9,7,未勝利*,39.9,中団,3,11,15,東京,D,1600,良,5,5,未勝利*,38.6,先行,3
5,,10,,,,,ベネディクション,,牝,3,連,6,20,函館,T,1800,良,6,8,未勝利・牝,36.0,後方,7,5,2,京都,T,1600,稍,12,7,未勝利・牝,34.8,中団,2,4,18,阪神,T,1800,良,6,12,未勝利,34.5,先行,5,3,14,中京,T,1600,良,8,10,未勝利・若,34.3,中団,14,12,7,中京,T,1600,良,10,11,未勝利*,34.2,後方,2
6,,11,,,,,シーガルワールド,,牝,3,4,5,30,東京,T,2000,良,5,4,未勝利,34.7,逃げ,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,12,,,,,アート,,牡,3,2,6,14,函館,T,1800,良,7,8,未勝利,34.9,中団,4,5,16,新潟,T,1800,良,5,7,未勝利,33.9,後方,3,4,26,福島,T,1800,良,3,12,未勝利,34.9,差し,8,2,28,小倉,T,2000,稍,11,9,未勝利,38.6,中団,初,,,,,,,,,,,,
7,,13,,,,,マジックファイヤー,,牡,3,4,5,30,東京,T,2400,良,7,5,未勝利,36.0,先行,11,3,14,中京,T,2000,良,11,6,未勝利,35.6,中団,3,2,22,小倉,T,2000,良,3,7,未勝利,36.0,ﾏｸﾘ,3,1,31,京都,D,1800,良,5,3,未勝利,39.1,先行,12,11,9,京都,T,2000,稍,6,3,未勝利*,36.2,中団,3
