レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026071102010901,2026.7.11,土,函館,1函9,1,,未勝利,ダート,1000,,2,重(暫定),曇(暫定),12,09:50,,馬齢,２歳
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,,1,,,,,ラピッドテソーロ,,牝,2,3,6,20,函館,T,1200,良,3,1,新馬・牝,34.6,逃げ,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,2,,,,,タイガーストリート,,牝,2,3,6,20,函館,T,1200,良,8,7,新馬・牝,35.8,先行,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,3,,,,,ラストモーメント,,牡,2,3,6,21,函館,T,1200,良,9,8,新馬,36.0,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,4,,,,,ブルドッグミトス,,牝,2,4,6,13,函館,T,1200,稍,12,11,新馬,37.4,中団,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,5,,,,,クラウスーラ,,牝,2,3,6,20,函館,D,1000,良,2,1,新馬,36.0,先行,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,6,,,,,セイウンコハルタ,,牝,2,3,6,20,函館,T,1200,良,9,9,新馬・牝,36.0,先行,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,7,,,,,ウメヒナタ,,牝,2,2,6,28,函館,T,1200,良,3,4,新馬,35.6,先行,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,8,,,,,ベイビーブラザー,,牡,2,3,6,20,函館,D,1000,良,6,8,新馬,37.3,中団,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,9,,,,,ロゼハイスクール,,牝,2,連,7,4,函館,D,1000,良,5,4,新馬,37.8,先行,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,10,,,,,ワイドウィンザー,,牡,2,3,6,20,函館,D,1000,良,3,7,新馬,36.8,先行,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,11,,,,,カクシンゴールド,,牡,2,3,6,20,函館,D,1000,良,9,6,新馬,38.7,中団,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
