レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026041803010301,2026.4.18,土,福島,1福3,1,,未勝利,ダート,1150,,2,良(暫定),晴(暫定),16,09:45,,馬齢,３歳
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,,1,,,,,サンロード,,牝,3,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,2,,,,,アルティマローネ,,牝,3,12,1,25,中山,T,2000,良,5,7,新馬,34.5,中団,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,3,,,,,ソニックブーム,,牝,3,4,3,21,中京,T,2000,良,5,14,未勝利・牝,35.4,中団,3,3,1,小倉,T,1800,良,5,7,未勝利,36.9,後方,6,1,17,京都,D,1200,良,12,6,未勝利,38.8,中団,3,12,28,阪神,T,1400,良,12,10,未勝利*,36.0,中団,連,12,21,中京,D,1400,稍,5,5,新馬,38.1,中団,初
2,,4,,,,,カルダモン,,牝,3,13,1,17,中山,T,2000,良,4,3,未勝利,35.4,差し,10,11,8,東京,T,2000,良,5,2,未勝利*,33.7,中団,11,8,23,新潟,T,1600,良,2,1,新馬,32.9,追込,初,,,,,,,,,,,,,,,,,,,,,,,,
3,,5,,,,,キャリアビジョン,,牝,3,13,1,17,中山,T,2000,良,11,17,未勝利,35.4,中団,8,11,23,東京,T,1800,良,10,13,未勝利・牝*,34.2,後方,6,10,13,東京,T,1600,良,15,8,新馬・牝,34.5,後方,初,,,,,,,,,,,,,,,,,,,,,,,,
3,,6,,,,,ブライトエアリー,,牝,3,4,3,22,中京,T,2000,良,3,3,未勝利,36.1,逃げ,4,2,22,小倉,T,1800,良,8,3,未勝利・牝,36.2,先行,10,12,14,阪神,T,1800,稍,2,2,未勝利*,35.6,先行,3,11,23,東京,T,1800,良,9,5,未勝利・牝*,34.2,後方,2,11,8,福島,T,1800,良,3,1,未勝利*,36.6,先行,4
4,,7,,,,,ヴィンテール,,牝,3,12,1,25,京都,T,1600,良,14,4,新馬,35.4,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,8,,,,,ボーントゥラブユー,,牝,3,11,2,1,東京,D,1600,良,15,4,未勝利・牝,40.6,先行,10,11,23,東京,T,1800,良,12,7,未勝利・牝*,34.8,中団,4,10,25,東京,T,1600,良,4,5,未勝利・牝*,34.8,追込,13,7,26,新潟,T,1600,良,9,4,新馬・牝,34.1,後方,初,,,,,,,,,,,,
5,,9,,,,,ガーデンバイザベイ,,牝,3,10,2,10,東京,T,1600,良,10,8,新馬,35.1,先行,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,B,10,,,,,ウインポーシャ,,牝,3,11,1,31,小倉,T,2000,良,7,10,未勝利・牝,35.2,中団,11,11,15,福島,T,2000,良,7,10,新馬,37.2,先行,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,11,,,,,スカーレットジーン,,牝,3,9,2,14,東京,T,1800,良,9,16,未勝利・牝,34.8,中団,9,12,14,中山,T,2000,稍,17,18,未勝利*,38.3,後方,10,10,4,東京,T,1800,良,14,12,新馬,34.7,後方,初,,,,,,,,,,,,,,,,,,,,,,,,
6,,12,,,,,エコロゼルダ,,牝,3,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,13,,,,,カドドゥディエ,,牝,3,2,4,5,中山,T,2000,重,3,8,未勝利,36.1,差し,10,1,25,中山,T,1600,良,5,4,未勝利,36.0,中団,2,1,10,中山,T,1600,良,4,13,未勝利,33.9,追込,12,10,18,東京,T,1600,良,9,16,新馬,33.9,後方,初,,,,,,,,,,,,
7,,14,,,,,ララオウ,,牝,3,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,15,,,,,ウィッシュリスト,,牝,3,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,16,,,,,ミスティパープル,,牝,3,14,1,10,京都,T,1600,良,11,14,未勝利・牝,36.3,中団,11,10,26,京都,D,1800,重,15,6,新馬,41.8,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026041803010303,2026.4.18,土,福島,1福3,3,,未勝利,芝,1200,A,2,良(暫定),晴(暫定),16,10:45,,馬齢,３歳
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,,1,,,,,ローズバラード,,牝,3,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,2,,,,,キャッチミークライ,,牝,3,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,3,,,,,ダイシンレスター,,牡,3,9,2,14,東京,T,1400,良,14,10,未勝利,36.1,逃げ,16,10,26,東京,T,1600,稍,11,5,未勝利*,43.4,逃げ,3,10,5,東京,T,1400,良,15,3,未勝利*,36.2,先行,4,9,7,中山,T,1800,良,7,8,新馬,35.8,逃げ,初,,,,,,,,,,,,
2,,4,,,,,ミラクルスパート,,牝,3,9,2,14,小倉,T,1200,良,15,12,未勝利,37.8,中団,10,12,6,中山,D,1200,良,10,8,未勝利*,39.6,中団,7,10,19,東京,T,1400,良,11,10,未勝利*,36.8,先行,10,8,9,新潟,T,1200,良,12,12,新馬,36.6,先行,初,,,,,,,,,,,,
3,,5,,,,,タワーオブバベル,,牡,3,11,1,31,京都,D,1800,良,8,7,未勝利,39.8,中団,3,1,10,京都,D,1400,良,10,7,新馬,38.0,中団,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,6,,,,,タイガーロード,,牡,3,2,4,4,阪神,T,1400,良,3,11,未勝利,35.4,先行,15,12,20,阪神,D,1400,良,16,10,未勝利*,42.5,先行,2,12,6,阪神,D,1200,良,7,5,新馬,39.2,先行,初,,,,,,,,,,,,,,,,,,,,,,,,
4,,7,,,,,ニシノキンツバ,,牡,3,11,2,1,小倉,T,1200,良,18,11,新馬,37.5,中団,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,8,,,,,ディサイドオンミー,,牝,3,11,1,31,小倉,T,1200,良,15,1,未勝利・若,35.3,中団,7,12,14,中山,T,1200,良,2,5,未勝利*,35.5,逃げ,10,10,4,東京,T,1400,良,4,10,新馬,34.3,先行,初,,,,,,,,,,,,,,,,,,,,,,,,
5,,9,,,,,ノーブルクロンヌ,,牝,3,10,2,7,小倉,T,1200,良,13,18,未勝利,36.1,中団,2,1,25,小倉,D,1700,良,15,9,未勝利・牝,42.2,中団,9,11,24,東京,D,1600,良,6,8,未勝利*,39.5,先行,2,11,8,東京,T,2000,良,8,12,未勝利*,34.1,先行,2,10,26,新潟,T,1600,稍,10,11,新馬,34.8,中団,初
5,,10,,,,,メイケイシャイン,,牡,3,19,12,6,中京,T,1200,良,16,14,未勝利*,34.9,中団,3,11,16,京都,T,1600,良,15,13,未勝利*,38.9,逃げ,2,11,2,京都,D,1400,稍,15,7,新馬,40.3,先行,初,,,,,,,,,,,,,,,,,,,,,,,,
6,,11,,,,,マテンロウノア,,牡,3,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,12,,,,,トウカイツバキ,,牝,3,13,1,18,京都,D,1200,良,14,13,未勝利・牝,37.7,後方,3,12,28,阪神,D,1400,良,7,14,新馬,39.7,中団,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,13,,,,,ニシノタチアナ,,牝,3,11,2,1,小倉,T,1200,良,6,5,未勝利,34.8,中団,10,11,24,福島,T,1200,良,6,13,未勝利*,34.6,中団,2,11,8,福島,T,1200,良,5,6,新馬,35.3,先行,初,,,,,,,,,,,,,,,,,,,,,,,,
7,,14,,,,,エメラルドテソーロ,,牝,3,18,12,14,中山,T,1600,稍,11,14,新馬,37.2,逃げ,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,15,,,,,マイネルユーゲント,,牡,3,10,2,7,小倉,T,1200,良,16,3,未勝利,36.8,先行,2,1,25,小倉,T,1200,良,2,7,未勝利,34.5,逃げ,11,11,9,福島,T,1200,良,9,6,未勝利*,36.1,逃げ,13,8,10,新潟,T,1400,稍,12,4,未勝利*,35.9,中団,4,7,12,福島,T,1200,良,2,3,新馬,35.5,先行,初
8,,16,,,,,アイアムステキ,,牝,3,13,1,17,中山,D,1200,良,13,5,未勝利,41.2,逃げ,13,10,18,東京,T,1400,良,5,12,新馬・牝,33.6,中団,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026041803010304,2026.4.18,土,福島,1福3,4,,未勝利,ダート,1700,,4,良(暫定),晴(暫定),15,11:15,,馬齢,３歳
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,B,1,,,,,ワルトシュタイン,,牡,3,7,2,28,阪神,D,1800,良,10,8,未勝利,40.9,先行,3,2,7,京都,D,1800,良,4,4,未勝利,40.3,逃げ,2,1,24,小倉,D,1700,良,5,3,未勝利,39.2,中団,9,11,22,京都,D,1800,良,4,5,未勝利*,38.6,差し,2,11,9,京都,D,1400,稍,6,6,新馬,37.3,中団,初
2,B,2,,,,,ラットバラット,,牡,3,8,2,21,小倉,D,1700,良,14,13,未勝利,43.6,中団,14,11,16,東京,D,1400,良,10,13,未勝利*,39.0,中団,3,10,25,東京,D,1600,稍,14,13,新馬,38.7,中団,初,,,,,,,,,,,,,,,,,,,,,,,,
2,,3,,,,,レッドジルベスター,,牡,3,8,2,22,阪神,D,1400,良,8,7,新馬,39.0,中団,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,4,,,,,ドナソラーレ,,牝,3,7,3,4,川崎,D,1400,不,3,7,アクア,----,先行,10,12,21,中山,D,1800,不,9,14,未勝利*,39.1,後方,6,11,9,東京,T,1600,良,13,13,未勝利・牝*,34.5,後方,10,8,30,新潟,T,1400,良,11,8,新馬,35.8,中団,初,,,,,,,,,,,,
3,,5,,,,,ホウオウモチーヴ,,牡,3,7,2,28,阪神,D,1800,良,8,3,未勝利,39.4,中団,2,2,15,東京,D,2100,良,3,1,未勝利,38.7,逃げ,12,11,22,京都,T,1800,良,5,2,未勝利*,34.6,中団,2,11,8,京都,T,1800,良,2,3,新馬,34.6,先行,初,,,,,,,,,,,,
4,,6,,,,,チェイサー,,牡,3,8,2,22,東京,D,1400,良,9,8,未勝利,37.5,中団,2,2,7,東京,D,1600,良,4,11,未勝利,38.3,先行,4,1,11,中山,D,1800,良,11,9,未勝利,43.5,中団,2,12,28,中山,D,1800,良,7,10,未勝利*,41.4,逃げ,4,11,29,東京,T,1400,良,17,12,未勝利*,35.7,中団,12
4,,7,,,,,ブロンザイト,,牡,3,7,3,1,阪神,D,1400,良,7,4,未勝利,38.6,後方,20,10,11,東京,D,1600,稍,7,4,新馬,39.0,中団,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,8,,,,,メイショウタイザン,,牡,3,9,2,18,笠松,D,1400,良,2,3,加納宿,----,先行,10,12,7,阪神,D,1400,良,7,4,未勝利*,39.0,中団,2,11,22,福島,D,1700,良,5,3,未勝利*,41.1,中団,3,11,1,京都,D,1800,重,4,10,新馬,37.6,先行,初,,,,,,,,,,,,
5,,9,,,,,アンティーム,,牡,3,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,B,10,,,,,ボールドタワー,,牡,3,7,3,1,小倉,D,1700,稍,5,4,未勝利,39.0,中団,連,2,21,小倉,D,1700,良,3,1,未勝利,39.4,先行,連,2,15,小倉,D,1700,稍,6,5,未勝利,38.4,中団,12,11,22,福島,D,1700,良,4,4,未勝利*,40.3,先行,連,11,15,福島,D,1700,良,3,9,未勝利*,38.5,逃げ,4
6,,11,,,,,クレバー,,牡,3,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,12,,,,,エタンセル,,牡,3,3,3,29,中山,D,1800,稍,2,2,未勝利,41.1,逃げ,3,3,7,中山,D,1800,重,3,1,未勝利,40.7,逃げ,3,2,15,東京,D,1600,良,3,10,新馬,38.2,先行,初,,,,,,,,,,,,,,,,,,,,,,,,
7,,13,,,,,サイモンエクセラー,,牡,3,14,1,10,京都,D,1900,良,10,9,未勝利,38.7,中団,2,12,27,阪神,D,1800,稍,7,6,未勝利*,41.1,中団,9,10,26,京都,D,1800,重,7,10,新馬,38.8,中団,初,,,,,,,,,,,,,,,,,,,,,,,,
8,,14,,,,,フロムドーン,,牡,3,29,9,28,中山,T,2000,良,11,15,未勝利*,35.2,後方,3,9,7,中山,T,1800,良,11,10,新馬,35.4,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,B,15,,,,,ティナンヴァランタ,,牝,3,3,3,28,中京,D,1800,稍,5,2,未勝利・牝,39.1,中団,14,12,20,中山,D,1800,良,10,7,未勝利・牝*,41.3,先行,4,11,22,福島,D,1700,良,3,6,未勝利・牝*,39.4,先行,4,10,26,新潟,D,1800,良,4,5,未勝利・牝*,39.4,差し,18,6,22,東京,T,1600,良,14,9,新馬,36.7,後方,初
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026041803010305,2026.4.18,土,福島,1福3,5,,未勝利,芝,1800,A,4,良(暫定),晴(暫定),16,12:05,,馬齢,３歳
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,,1,,,,,モンロワイヤル,,牡,3,9,2,15,小倉,T,1800,稍,3,6,未勝利,35.5,先行,10,12,7,中山,T,1200,良,8,5,新馬,34.4,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,2,,,,,テクノピーチ,,牝,3,8,2,21,小倉,T,1200,良,13,15,未勝利・牝,35.1,後方,11,12,7,中京,T,1400,良,13,6,新馬,35.4,中団,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,3,,,,,ミリオングローリー,,牡,3,3,3,28,中山,T,1600,稍,2,3,未勝利,35.3,先行,2,3,14,中山,D,1200,良,5,5,未勝利,38.2,中団,3,2,22,東京,D,1400,良,4,8,新馬,39.3,差し,初,,,,,,,,,,,,,,,,,,,,,,,,
2,,4,,,,,ウインリフレクト,,牡,3,11,2,1,小倉,T,2000,良,10,11,未勝利,36.6,逃げ,3,1,12,中山,T,2000,良,10,16,未勝利,37.9,先行,8,11,15,東京,T,1600,良,16,14,未勝利*,34.3,後方,連,11,9,東京,T,1400,良,9,14,未勝利*,34.5,後方,7,9,20,中山,T,1600,良,15,13,新馬,35.5,後方,初
3,,5,,,,,ファビュラスベガス,,牝,3,11,1,31,京都,D,1400,良,11,8,未勝利,39.0,後方,3,1,12,京都,T,1600,良,16,6,新馬,37.4,先行,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,6,,,,,ホウオウアワード,,牡,3,8,2,21,東京,D,1600,良,12,9,新馬,39.3,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,7,,,,,ウインマニフィーク,,牡,3,7,2,28,小倉,T,2000,稍,7,3,未勝利,37.2,先行,2,2,14,小倉,T,2000,良,2,8,未勝利,35.5,差し,2,1,31,小倉,T,1800,良,6,7,未勝利,36.5,中団,10,11,24,東京,T,2000,良,8,8,未勝利*,35.5,先行,2,11,9,東京,T,1800,良,6,9,未勝利*,35.1,中団,6
4,,8,,,,,イーサンミラー,,牡,3,3,3,28,中京,T,1600,良,2,9,未勝利,34.4,先行,11,1,11,中山,T,2200,良,12,5,未勝利,37.3,先行,3,12,20,中山,T,2000,良,4,16,新馬,35.4,差し,初,,,,,,,,,,,,,,,,,,,,,,,,
5,,9,,,,,アクティングエリア,,牝,3,8,2,25,佐賀,D,1400,不,9,2,たんぽ,----,後方,連,2,15,小倉,T,1800,稍,6,7,未勝利,35.8,先行,2,1,29,佐賀,D,1400,良,2,1,ノカイ,----,先行,7,12,14,阪神,T,1800,稍,9,9,未勝利*,36.6,中団,3,11,22,福島,T,1800,良,10,11,未勝利*,35.9,中団,2
5,,10,,,,,ウィズアバウンス,,牝,3,12,1,25,中山,T,2000,良,7,9,新馬,35.2,先行,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,11,,,,,ブルーリファール,,牡,3,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,12,,,,,キボウホー,,牡,3,12,1,24,京都,T,2200,良,11,16,未勝利,35.8,後方,2,1,11,京都,D,1800,良,14,12,未勝利,41.1,中団,4,12,14,阪神,D,1800,稍,7,6,未勝利*,40.3,中団,3,11,22,京都,T,1600,良,7,6,新馬,35.9,先行,初,,,,,,,,,,,,
7,,13,,,,,ジーティーウブラブ,,牝,3,9,2,14,東京,T,1800,良,13,12,未勝利・牝,34.9,中団,9,12,14,中山,T,1600,稍,9,11,新馬,36.4,中団,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,14,,,,,ブランドブラン,,牡,3,9,2,15,小倉,T,1800,稍,2,2,未勝利,35.4,先行,8,12,21,阪神,D,1800,稍,8,4,未勝利*,39.3,中団,2,12,6,阪神,D,1800,良,4,2,未勝利*,38.2,差し,11,9,21,阪神,D,1800,良,3,1,新馬,37.2,先行,初,,,,,,,,,,,,
8,,15,,,,,レディホークダイヤ,,牝,3,10,2,10,東京,T,1600,良,9,9,新馬,34.6,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,B,16,,,,,ホールドミーワンス,,牝,3,10,2,7,小倉,D,1700,良,12,2,未勝利・牝,41.8,中団,4,1,10,京都,D,1800,良,3,4,未勝利・牝,38.8,先行,4,12,14,中京,D,1800,稍,8,3,未勝利・牝*,41.0,中団,10,10,4,京都,T,2000,稍,4,4,未勝利*,35.0,先行,3,9,14,中山,T,1800,良,7,6,新馬,34.4,先行,初
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026041803010306,2026.4.18,土,福島,1福3,6,,未勝利,芝,2600,A,6,良(暫定),晴(暫定),16,12:35,,馬齢,３歳
