レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026061402010201,2026.6.14,日,函館,1函2,1,,未勝利,芝,1200,A,2,良(暫定),晴(暫定),16,09:50,,馬齢,３歳
7,,14,,,,,フリーダムスタイル,,牝,3,13,3,15,中京,T,1400,良,15,11,未勝利,36.9,先行,21,10,19,京都,T,1400,良,5,12,新馬,34.4,中団,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,15,,,,,マメーアップル,,牝,3,10,4,4,中山,D,1200,稍,7,8,未勝利・牝,39.2,先行,4,3,8,中山,D,1200,稍,5,4,未勝利,39.1,逃げ,9,1,4,中山,D,1200,稍,7,3,未勝利・牝,40.1,先行,3,12,13,中山,D,1200,良,2,6,未勝利・牝*,39.3,先行,8,10,18,新潟,D,1200,良,7,7,新馬,38.5,先行,初
8,,16,,,,,アルマフレイヤ,,牝,3,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026061402010202,2026.6.14,日,函館,1函2,2,,未勝利,ダート,1700,,4,稍(暫定),晴(暫定),14,10:15,,馬齢,３歳
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,B,1,,,,,ライヴマルガリータ,,牝,3,6,5,3,東京,D,1600,稍,11,11,未勝利・牝,39.3,先行,3,4,11,中山,D,1800,重,4,5,未勝利・牝,40.1,差し,3,3,22,中京,D,1800,良,9,7,未勝利・牝,38.8,後方,6,2,7,東京,D,1400,良,13,9,未勝利・牝,41.7,先行,3,1,17,中山,D,1800,良,4,12,未勝利,40.2,差し,連
2,,2,,,,,ホワイトラバーズ,,牝,3,4,5,16,京都,D,1800,良,7,10,未勝利,37.6,後方,2,5,2,京都,T,2000,良,12,13,未勝利,35.8,中団,2,4,18,阪神,T,1800,良,13,18,未勝利,35.0,後方,2,4,2,笠松,D,1400,稍,5,4,太田宿,----,先行,9,2,1,京都,D,1800,良,7,13,未勝利・牝,39.1,後方,連
3,,3,,,,,マルシュボヌール,,牝,3,8,4,19,福島,D,1700,良,3,7,未勝利,38.9,差し,3,3,28,阪神,D,1200,稍,4,9,未勝利・牝,37.1,差し,11,1,12,京都,D,1200,良,14,8,未勝利,38.0,後方,2,12,28,阪神,D,1400,良,4,3,新馬,39.7,差し,初,,,,,,,,,,,,
4,,4,,,,,ダンツアラーム,,牝,3,3,5,23,京都,T,1800,良,9,8,未勝利・牝,37.0,先行,連,5,17,京都,T,1600,良,7,13,未勝利・牝,35.0,中団,5,4,11,中山,T,2000,良,7,6,未勝利・牝,36.9,逃げ,7,2,21,小倉,T,1200,良,7,7,未勝利・牝,34.4,後方,12,11,29,京都,T,1600,良,11,4,未勝利*,35.7,中団,4
5,,5,,,,,サトノフレイ,,牡,3,4,5,17,京都,D,1400,良,3,2,未勝利,37.9,先行,2,5,2,京都,T,1400,稍,5,1,未勝利,34.2,先行,10,2,21,阪神,T,1600,良,6,2,未勝利,35.3,先行,3,2,1,東京,T,1600,良,3,1,新馬,33.5,追込,初,,,,,,,,,,,,
6,,6,,,,,キタノオンザバス,,牝,3,3,5,24,新潟,D,1200,稍,9,14,未勝利・牝,37.5,後方,15,2,7,東京,D,1400,良,12,11,未勝利・牝,40.2,中団,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,B,7,,,,,テリコス,,牡,3,4,5,16,新潟,D,1800,良,2,5,未勝利,38.6,逃げ,2,5,2,京都,D,1800,重,13,5,未勝利,39.6,中団,14,1,24,京都,D,1800,良,6,3,新馬,38.2,中団,初,,,,,,,,,,,,,,,,,,,,,,,,
7,B,8,,,,,ペガサスウィンド,,牝,3,8,4,18,阪神,D,1800,良,5,4,未勝利・牝,38.4,中団,8,2,22,阪神,D,1800,良,3,1,未勝利・牝,38.8,先行,3,2,1,京都,D,1800,良,3,2,未勝利・牝,38.1,先行,3,1,11,京都,D,1800,良,4,10,新馬・牝,39.0,差し,初,,,,,,,,,,,,
7,,9,,,,,ユマハム,,牡,3,6,5,3,東京,T,1800,良,3,4,未勝利,34.8,逃げ,7,3,14,中山,T,1600,良,6,4,未勝利,35.1,中団,39,6,15,東京,T,1600,稍,5,3,新馬,37.1,先行,初,,,,,,,,,,,,,,,,,,,,,,,,
8,,10,,,,,ストロングボーイ,,牡,3,4,5,16,新潟,D,1800,良,3,1,未勝利,38.4,差し,3,4,25,福島,D,1700,良,3,6,未勝利,37.8,差し,4,3,28,阪神,D,1800,稍,2,2,未勝利,39.9,先行,3,3,8,阪神,D,1800,良,5,4,未勝利,38.4,中団,8,1,12,京都,D,1800,良,9,8,新馬,38.0,中団,初
8,,11,,,,,セスティーナ,,セ,3,5,5,10,京都,D,1900,良,8,1,未勝利,39.2,先行,2,4,25,京都,D,1800,稍,2,2,未勝利,40.4,先行,34,8,30,札幌,D,1700,重,3,2,新馬,37.9,先行,初,,,,,,,,,,,,,,,,,,,,,,,,
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026061402010203,2026.6.14,日,函館,1函2,3,,未勝利,ダート,1000,,2,稍(暫定),晴(暫定),12,10:45,,馬齢,３歳
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,,1,,,,,ビタミンドロップ,,牡,3,8,4,18,中山,D,1200,良,7,3,未勝利,37.8,先行,2,4,4,中山,D,1200,稍,4,12,未勝利,38.1,先行,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,2,,,,,ホウオウバトラー,,牡,3,15,3,1,小倉,D,1000,稍,10,12,未勝利,36.5,中団,16,11,9,東京,D,1600,稍,12,11,新馬,39.3,中団,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,3,,,,,タマモキャロル,,牝,3,9,4,12,阪神,D,1200,稍,8,11,未勝利,37.6,中団,3,3,21,中京,D,1200,良,10,14,未勝利・牝,38.3,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,4,,,,,ヒューザー,,牡,3,9,4,11,福島,D,1150,良,8,13,未勝利,36.8,後方,13,1,12,京都,T,1400,良,18,18,未勝利,38.6,中団,18,9,6,阪神,D,1400,稍,13,6,新馬,47.8,後方,初,,,,,,,,,,,,,,,,,,,,,,,,
5,,5,,,,,ライトニングロッド,,牝,3,12,3,21,中京,D,1200,良,9,4,未勝利・牝,39.1,逃げ,4,2,21,阪神,D,1200,良,4,4,未勝利・牝,38.7,先行,13,11,22,京都,D,1400,良,12,7,新馬,39.4,先行,初,,,,,,,,,,,,,,,,,,,,,,,,
5,,6,,,,,スマートイデアル,,牝,3,9,4,11,福島,D,1150,良,10,10,未勝利,38.5,中団,8,2,14,小倉,D,1000,良,10,7,未勝利,37.4,中団,3,1,24,小倉,D,1000,良,3,12,未勝利,36.4,差し,15,10,11,京都,D,1200,良,6,8,新馬,37.4,中団,初,,,,,,,,,,,,
6,,7,,,,,ルクソンライト,,牡,3,3,5,24,東京,D,1300,稍,4,7,未勝利,39.3,逃げ,32,10,11,東京,D,1400,稍,3,3,新馬,39.0,先行,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,8,,,,,セラサイト,,牝,3,4,5,16,京都,D,1400,良,4,9,未勝利・牝,37.7,先行,3,4,26,福島,D,1700,良,5,5,未勝利・若,39.3,先行,7,3,7,阪神,D,1800,稍,6,3,未勝利・牝,38.7,先行,8,1,10,京都,D,1800,良,4,6,未勝利・牝,38.8,差し,2,12,27,阪神,D,1400,稍,11,5,未勝利*,39.3,先行,9
7,,9,,,,,エコロセレナ,,牝,3,4,5,17,新潟,D,1200,良,3,1,未勝利・牝,38.0,先行,4,4,18,中山,D,1200,良,2,4,未勝利・牝,37.5,逃げ,2,4,4,中山,D,1200,稍,3,2,未勝利・牝,37.4,先行,4,3,7,中山,D,1200,重,5,5,未勝利,37.5,先行,2,2,22,東京,D,1400,良,5,7,未勝利,37.6,先行,11
7,,10,,,,,クインズスズラン,,牝,3,9,4,12,中山,D,1200,稍,12,8,未勝利,38.3,後方,2,3,28,中京,D,1400,稍,14,10,未勝利,40.5,先行,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,11,,,,,エトワールフィーユ,,牝,3,11,3,28,中山,D,1200,重,6,10,未勝利,38.4,先行,6,2,15,東京,D,1600,良,13,12,新馬,40.3,先行,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,12,,,,,サチノブーケ,,牝,3,9,4,12,福島,T,1200,良,15,12,未勝利,36.5,中団,10,2,1,小倉,T,1200,良,8,17,新馬,35.1,中団,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026061402010204,2026.6.14,日,函館,1函2,4,,未勝利,芝,1800,A,4,良(暫定),晴(暫定),16,11:15,,馬齢,３歳
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,,1,,,,,アイムイン,,牡,3,9,4,11,中山,T,1600,良,2,2,未勝利,34.9,差し,4,3,14,中山,T,1600,良,5,1,未勝利,35.7,先行,3,2,22,東京,T,1800,良,2,1,未勝利,34.1,先行,12,11,30,東京,T,2000,良,2,1,未勝利*,34.3,先行,3,11,9,東京,T,2000,良,2,1,新馬,33.5,先行,初
1,,2,,,,,レガリーノ,,牝,3,3,5,24,東京,T,1800,良,3,8,未勝利,34.2,差し,6,4,12,福島,T,1800,良,6,15,未勝利,35.6,先行,14,1,5,中山,T,1600,良,10,8,新馬,35.5,後方,初,,,,,,,,,,,,,,,,,,,,,,,,
2,,3,,,,,エグジスタンス,,牡,3,8,4,19,福島,T,2000,良,8,1,未勝利,37.1,先行,8,2,21,小倉,T,1800,良,2,6,未勝利,35.8,先行,12,11,29,京都,D,1800,良,8,6,未勝利*,42.0,先行,2,11,15,福島,T,2000,良,7,14,未勝利*,36.5,逃げ,13,8,17,中京,T,2000,良,5,4,未勝利*,35.7,先行,連
2,,4,,,,,ホウショウリュウ,,牡,3,25,12,21,中京,D,1800,稍,16,14,未勝利*,44.9,後方,2,12,6,中山,D,1800,良,8,13,未勝利*,39.2,中団,3,11,16,東京,T,1600,良,8,8,新馬,35.5,中団,初,,,,,,,,,,,,,,,,,,,,,,,,
3,,5,,,,,マンサニージャ,,牝,3,9,4,11,中山,T,1600,良,6,7,未勝利,34.9,中団,4,3,14,中山,T,1600,良,3,5,未勝利,35.2,先行,4,2,14,東京,T,1800,良,5,7,未勝利・牝,34.2,中団,13,11,15,東京,T,1600,良,11,5,未勝利*,34.4,中団,3,10,25,新潟,T,1800,良,4,3,未勝利*,34.5,先行,2
3,,6,,,,,ブランヴァンダイク,,牡,3,9,4,12,阪神,T,1600,良,12,7,未勝利,36.7,先行,12,1,18,京都,T,1600,良,8,3,未勝利,36.3,中団,4,12,21,阪神,T,1800,重,2,6,新馬,34.3,先行,初,,,,,,,,,,,,,,,,,,,,,,,,
4,,7,,,,,コスモアルペジオ,,牡,3,12,3,22,中京,T,1600,良,6,11,未勝利,35.6,先行,12,12,28,中山,T,2000,良,10,9,新馬,35.8,中団,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,8,,,,,アート,,牡,3,4,5,16,新潟,T,1800,良,5,7,未勝利,33.9,後方,3,4,26,福島,T,1800,良,3,12,未勝利,34.9,差し,8,2,28,小倉,T,2000,稍,11,9,未勝利,38.6,中団,初,,,,,,,,,,,,,,,,,,,,,,,,
5,,9,,,,,キヨタリート,,牡,3,20,1,24,小倉,T,2000,良,7,7,新馬,34.8,中団,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,10,,,,,ショウナンアワード,,牡,3,4,5,17,京都,T,2000,良,2,3,未勝利,34.5,差し,3,4,26,京都,T,2000,良,4,6,未勝利,35.7,追込,3,4,5,阪神,D,1800,重,3,9,未勝利,36.2,差し,8,2,10,京都,D,1800,良,8,8,未勝利,41.0,中団,3,1,18,京都,D,1400,良,13,16,未勝利,39.6,中団,5
6,,11,,,,,アルケミラモリス,,牝,3,7,4,25,東京,T,1800,良,9,10,未勝利・牝,34.9,中団,8,3,1,小倉,T,1800,良,8,6,未勝利,38.6,逃げ,12,12,7,中山,T,1800,良,7,13,未勝利*,35.1,中団,3,11,16,東京,T,1800,良,8,18,未勝利*,35.4,後方,3,10,26,東京,T,1400,稍,13,18,新馬,35.2,中団,初
6,,12,,,,,トリニタリオ,,牡,3,4,5,16,新潟,T,1800,良,2,4,未勝利,33.8,差し,11,2,28,小倉,T,2000,稍,5,6,未勝利,36.1,後方,2,2,14,小倉,T,2000,良,4,9,未勝利,36.2,差し,2,2,1,小倉,T,2000,良,3,8,未勝利,35.2,差し,6,12,20,中京,T,2000,稍,6,15,未勝利*,34.8,後方,3
7,,13,,,,,ロッサコメータ,,牝,3,4,5,16,京都,T,1800,良,4,5,未勝利,34.5,差し,3,4,25,京都,T,1800,良,6,6,未勝利・牝,35.2,中団,9,2,21,阪神,T,1600,良,12,6,未勝利,35.2,中団,3,2,1,東京,T,1600,良,2,10,新馬,34.4,先行,初,,,,,,,,,,,,
7,,14,,,,,リーベンスヴェルト,,牝,3,15,3,1,小倉,T,2000,良,10,10,未勝利・牝,36.2,後方,5,1,25,京都,T,1600,良,8,13,新馬,35.4,中団,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,15,,,,,ココソラーレ,,牝,3,12,3,22,阪神,D,1200,良,9,11,未勝利,37.8,後方,3,3,1,小倉,T,2000,良,9,15,未勝利・牝,36.7,中団,連,2,21,小倉,D,1000,良,12,12,未勝利,37.2,後方,4,1,25,小倉,T,1200,良,7,11,未勝利,34.3,中団,10,11,16,東京,T,1400,良,8,10,未勝利・牝*,34.8,後方,連
8,,16,,,,,コティノス,,牡,3,9,4,11,阪神,T,2000,稍,13,5,未勝利,37.0,ﾏｸﾘ,3,3,22,中京,T,2000,良,2,2,未勝利,35.5,先行,11,1,5,京都,T,2000,良,17,5,未勝利,43.3,中団,3,12,13,中京,T,2000,良,4,1,新馬,34.1,逃げ,初,,,,,,,,,,,,
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026061402010205,2026.6.14,日,函館,1函2,5,,新馬,芝,1000,A,2,良(暫定),晴(暫定),14,12:05,,馬齢,２歳
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,,1,,,,,ガーシュウィン,,牡,2,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,2,,,,,アイシテルヨナオミ,,牝,2,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,3,,,,,セタキト,,牡,2,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,4,,,,,スケルツォテソーロ,,牝,2,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,5,,,,,シークレットタワー,,牡,2,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,6,,,,,タイフーンナイン,,牝,2,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,7,,,,,テイクケア,,牝,2,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,8,,,,,パンジャケリー,,牡,2,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026061402010206,2026.6.14,日,函館,1函2,6,,未勝利,芝,2000,A,4,良(暫定),晴(暫定),16,12:35,,馬齢,３歳
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,,1,,,,,ボーントゥラブユー,,牝,3,4,5,16,東京,T,2000,良,5,6,未勝利・牝,34.1,先行,4,4,18,福島,T,2000,良,7,7,未勝利・牝,36.2,中団,11,2,1,東京,D,1600,良,15,4,未勝利・牝,40.6,先行,10,11,23,東京,T,1800,良,12,7,未勝利・牝*,34.8,中団,4,10,25,東京,T,1600,良,4,5,未勝利・牝*,34.8,追込,13
1,,2,,,,,マテンロウオリジン,,牡,3,16,2,21,阪神,T,2400,良,2,1,未勝利,34.7,先行,4,1,24,京都,T,2200,良,2,1,未勝利,34.3,差し,11,11,8,京都,T,1800,良,2,1,未勝利*,33.8,先行,13,8,10,中京,T,2000,良,3,5,新馬,33.7,差し,初,,,,,,,,,,,,
2,,3,,,,,エイカイコバチ,,牝,3,3,5,23,京都,T,1800,良,3,9,未勝利・牝,36.2,差し,9,3,22,中京,D,1800,良,12,2,未勝利・牝,40.8,後方,連,3,15,阪神,T,2000,良,9,4,未勝利・牝,36.6,先行,2,3,1,阪神,T,2000,良,3,5,未勝利,34.7,先行,8,1,4,京都,T,1800,良,5,8,新馬,35.0,先行,初
2,,4,,,,,アルペングロー,,牡,3,12,3,22,阪神,D,1800,良,9,1,未勝利,39.6,中団,3,3,1,阪神,T,2000,良,4,1,未勝利,34.7,先行,8,1,5,京都,T,2000,良,3,2,未勝利,36.1,先行,8,11,9,京都,T,2000,重,2,1,新馬,35.7,先行,初,,,,,,,,,,,,
3,,5,,,,,ハルノアメ,,牡,3,7,4,26,東京,T,1800,良,8,13,未勝利,34.1,中団,10,2,15,東京,D,2100,良,8,13,未勝利,39.3,中団,3,1,24,中山,D,1800,良,10,6,未勝利,42.7,後方,4,12,27,中山,T,2000,良,6,17,未勝利*,36.3,中団,10,10,18,東京,T,1600,良,12,14,新馬,34.4,中団,初
3,,6,,,,,ウインアベリア,,牝,3,20,1,25,小倉,T,2000,良,15,12,未勝利,36.5,中団,9,11,24,福島,T,1800,良,5,9,新馬,35.2,逃げ,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,7,,,,,ビップジョワ,,牝,3,5,5,9,新潟,T,2000,良,7,7,未勝利,37.0,逃げ,2,4,25,東京,T,1800,良,4,5,未勝利・牝,34.9,先行,8,3,1,中山,T,1600,良,6,6,未勝利,34.8,中団,3,2,10,東京,T,1600,良,4,11,新馬,34.5,先行,初,,,,,,,,,,,,
4,,8,,,,,フローレンスフーガ,,牡,3,5,5,9,新潟,T,2000,良,3,5,未勝利,36.2,差し,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,9,,,,,ヒメヒオウギ,,牝,3,5,5,9,京都,T,2000,良,6,9,未勝利・牝,34.7,先行,3,4,19,阪神,T,2000,良,5,11,未勝利・牝,34.9,先行,4,3,21,阪神,T,1600,良,13,13,未勝利,33.9,後方,8,1,24,小倉,T,1800,良,8,10,未勝利,34.9,後方,6,12,14,阪神,T,1800,稍,10,3,未勝利*,37.1,先行,17
5,,10,,,,,ハートチャン,,牝,3,12,3,22,中山,T,2000,良,13,16,未勝利,36.6,後方,11,1,5,中山,T,1600,良,8,11,新馬,36.2,中団,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
