レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026051604010501,2026.5.16,土,新潟,1新5,1,,未勝利,ダート,1800,,4,良(暫定),晴(暫定),15,10:05,,馬齢,３歳
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,B,1,,,,,ロジキセキ,,牡,3,15,2,1,東京,D,2100,良,11,9,未勝利,41.2,中団,4,1,5,中山,D,1800,稍,8,10,未勝利,40.7,後方,5,11,30,東京,T,1600,良,12,13,未勝利*,35.3,後方,23,6,21,東京,T,1800,良,12,10,新馬,35.9,後方,初,,,,,,,,,,,,
2,,2,,,,,アルファシーナ,,セ,3,15,2,1,東京,D,2100,良,9,10,未勝利,40.9,中団,3,1,11,中山,D,1800,良,6,16,未勝利,40.6,後方,3,12,20,中山,D,1800,良,13,16,未勝利*,39.7,後方,16,8,30,新潟,D,1800,良,8,15,未勝利*,41.0,後方,4,8,3,新潟,D,1800,良,8,14,新馬,40.0,後方,初
2,B,3,,,,,ウェイヴムーン,,牡,3,3,4,25,東京,D,2100,稍,4,6,未勝利,40.1,逃げ,7,3,7,阪神,D,2000,稍,9,10,未勝利,40.3,中団,3,2,14,京都,D,1800,稍,5,3,新馬,39.9,中団,初,,,,,,,,,,,,,,,,,,,,,,,,
3,,4,,,,,ハイロード,,牡,3,8,3,21,中京,D,1800,良,6,2,未勝利,40.2,先行,9,1,18,京都,D,1800,良,4,6,未勝利,38.8,逃げ,2,1,4,京都,D,1800,良,5,2,新馬,40.7,先行,初,,,,,,,,,,,,,,,,,,,,,,,,
3,,5,,,,,クレセントゼファー,,牡,3,14,2,7,京都,D,1800,良,11,7,新馬,39.6,先行,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,6,,,,,ユイアンゴロー,,牡,3,2,5,3,新潟,D,1800,稍,9,14,未勝利,40.8,後方,12,2,10,東京,D,2100,稍,12,9,未勝利,45.6,後方,12,11,15,東京,T,2000,良,13,13,未勝利*,35.4,先行,2,11,2,東京,T,1800,良,5,9,未勝利*,35.3,中団,2,10,19,東京,T,1800,良,14,14,新馬,34.5,中団,初
4,B,7,,,,,クリムゾンリーフ,,牡,3,9,3,14,中京,D,1900,良,6,5,未勝利,38.4,先行,3,2,22,東京,D,2100,良,3,4,未勝利,37.7,先行,4,1,24,中山,D,1800,良,9,7,未勝利,40.6,先行,3,1,5,中山,D,1800,稍,4,5,未勝利,40.2,先行,2,12,20,中山,D,1800,良,4,13,新馬,39.1,先行,初
5,,8,,,,,ストロングボーイ,,牡,3,3,4,25,福島,D,1700,良,3,6,未勝利,37.8,差し,4,3,28,阪神,D,1800,稍,2,2,未勝利,39.9,先行,3,3,8,阪神,D,1800,良,5,4,未勝利,38.4,中団,8,1,12,京都,D,1800,良,9,8,新馬,38.0,中団,初,,,,,,,,,,,,
5,B,9,,,,,タイガーゲイト,,牡,3,2,5,3,東京,D,1600,稍,11,12,未勝利,39.5,後方,2,4,19,福島,D,1700,良,7,11,未勝利,39.8,中団,11,2,1,東京,D,2100,良,12,8,未勝利,41.4,中団,4,1,4,中山,D,1800,稍,6,12,未勝利,40.9,中団,3,12,13,中山,D,1800,良,9,11,未勝利*,41.0,中団,3
