レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026060605030102,2026.6.6,土,東京,3東1,2,,未勝利,ダート,1600,,2,稍,曇,16,10:40,牝,馬齢,３歳
5,,10,,,,,アンニャンクッキー,,牝,3,14,3,1,中山,T,1600,良,12,9,未勝利,36.0,中団,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,11,,,,,アテナガール,,牝,3,2,5,24,東京,T,1800,良,9,10,未勝利,35.1,中団,2,5,10,東京,T,2000,良,12,13,未勝利,34.9,中団,10,3,1,中山,T,1600,良,13,14,未勝利,35.9,後方,初,,,,,,,,,,,,,,,,,,,,,,,,
6,,12,,,,,ソフィアプルーマ,,牝,3,3,5,17,東京,D,1600,良,6,11,未勝利・牝,38.1,後方,3,4,25,東京,D,1600,稍,7,12,未勝利・牝,40.1,中団,9,2,22,東京,D,1400,良,13,14,未勝利,38.1,中団,9,12,20,中山,D,1800,良,12,10,新馬,41.9,中団,初,,,,,,,,,,,,
7,,13,,,,,タイセイルビー,,牝,3,3,5,17,新潟,D,1800,良,4,1,未勝利・牝,39.3,追込,6,4,5,中山,D,1800,不,8,3,未勝利・牝,40.4,先行,3,3,14,中山,D,1800,良,4,3,未勝利・牝,39.4,差し,5,2,7,京都,D,1800,良,3,5,未勝利,39.5,差し,連,2,1,東京,D,1600,良,6,9,未勝利・牝,38.6,後方,8
7,,14,,,,,リナクィーンアスク,,牝,3,5,5,2,東京,D,1400,重,12,13,未勝利・牝,39.1,中団,6,3,21,中山,D,1200,良,9,8,未勝利・牝,39.5,中団,19,11,8,東京,D,1300,良,外,--,新馬,----,,初,,,,,,,,,,,,,,,,,,,,,,,,
8,,15,,,,,ライトハウス,,牝,3,13,3,7,中山,T,2000,稍,13,12,未勝利・牝,36.4,後方,10,12,27,中山,T,1600,良,10,14,新馬,36.0,中団,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,16,,,,,クラックアスマイル,,牝,3,8,4,12,福島,D,1700,良,11,15,未勝利・牝,39.4,後方,10,1,31,東京,D,1400,良,16,11,未勝利・牝,38.4,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026060605030103,2026.6.6,土,東京,3東1,3,,未勝利,ダート,1400,,2,稍(暫定),曇(暫定),16,11:10,,馬齢,３歳
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,,1,,,,,ヴェントベローチェ,,牡,3,4,5,10,東京,D,1400,良,8,7,未勝利,37.5,後方,14,1,31,東京,D,1600,良,11,10,未勝利,37.7,後方,7,12,13,中山,T,1600,良,12,8,未勝利*,35.0,後方,5,11,8,東京,D,1300,良,5,12,新馬,35.8,後方,初,,,,,,,,,,,,
1,,2,,,,,クインズヒマワリ,,牝,3,7,4,19,福島,D,1150,良,14,16,未勝利,38.1,後方,7,2,28,中山,D,1200,重,12,14,未勝利・牝,38.7,中団,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,3,,,,,ベセル,,牡,3,4,5,10,新潟,D,1200,良,11,5,未勝利,38.7,中団,18,1,4,中山,D,1200,稍,2,5,新馬,38.6,先行,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,B,4,,,,,ロジシーザ,,牡,3,4,5,9,東京,D,1300,良,6,14,未勝利,38.5,中団,3,4,18,中山,D,1800,良,10,10,未勝利,41.5,後方,4,3,22,中山,D,1800,良,9,8,未勝利,42.2,中団,4,2,21,東京,D,1600,良,7,5,新馬,39.3,先行,初,,,,,,,,,,,,
3,,5,,,,,カミカクシ,,牝,3,10,3,29,中京,D,1400,良,9,11,未勝利・牝,38.1,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,6,,,,,ヨシウッドテール,,牡,3,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,B,7,,,,,プリンセスダーコ,,牝,3,4,5,10,東京,D,1400,良,13,9,未勝利,39.6,中団,2,4,26,東京,D,1300,稍,7,11,未勝利,37.7,後方,3,4,4,中山,D,1800,稍,10,8,未勝利,41.4,中団,2,3,22,中山,D,1800,良,11,7,未勝利,42.4,中団,10,1,11,中山,D,1800,良,4,6,未勝利・牝,40.0,差し,2
4,,8,,,,,ジューングレイス,,牝,3,15,2,22,東京,D,2100,良,11,9,未勝利,39.4,中団,2,2,10,東京,D,1600,稍,12,8,新馬,40.6,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,9,,,,,レイズレガシー,,牡,3,3,5,16,東京,D,1300,良,3,4,未勝利,36.0,差し,2,5,3,東京,D,1400,稍,7,4,未勝利,37.6,中団,7,3,14,中山,D,1800,良,6,6,未勝利,40.7,先行,3,2,21,東京,D,1600,良,5,2,新馬,38.0,中団,初,,,,,,,,,,,,
5,,10,,,,,キタノシオン,,牝,3,3,5,17,東京,D,1400,良,4,9,未勝利,37.5,差し,6,4,4,中山,D,1200,稍,6,12,未勝利・牝,38.0,中団,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,11,,,,,ファナティカル,,牡,3,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,12,,,,,サトノワーグナー,,牡,3,4,5,9,東京,D,1600,良,6,3,未勝利,37.9,逃げ,3,4,19,福島,D,1700,良,4,1,未勝利,39.0,先行,13,1,17,中山,T,2000,良,8,2,未勝利,35.7,先行,2,1,5,中山,T,2000,良,3,9,未勝利,35.6,差し,26,7,5,福島,T,1800,稍,7,1,未勝利*,37.7,先行,3
7,,13,,,,,クラウンアバンティ,,牡,3,8,4,12,福島,T,1200,良,14,15,未勝利,37.1,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,14,,,,,エルアン,,牡,3,3,5,17,東京,D,1400,良,3,11,未勝利,37.8,差し,2,5,3,東京,T,1600,良,10,9,未勝利,33.9,後方,10,2,21,小倉,D,1700,良,9,6,未勝利,39.9,後方,3,1,31,小倉,T,1800,良,12,10,未勝利,37.6,先行,11,11,16,東京,T,1800,良,10,6,未勝利*,36.1,中団,4
8,,15,,,,,レイズテンペスト,,牡,3,4,5,9,東京,D,1600,良,4,5,未勝利,36.6,差し,3,4,18,中山,D,1800,良,4,3,未勝利,39.6,差し,9,2,14,東京,D,1600,良,4,5,未勝利,37.5,先行,3,1,25,中山,D,1800,良,2,3,新馬,40.4,先行,初,,,,,,,,,,,,
8,,16,,,,,シーズナルワーズ,,牝,3,7,4,19,福島,T,1200,良,9,12,未勝利,34.5,中団,11,2,1,小倉,T,1200,良,14,13,未勝利,34.9,後方,10,11,24,東京,T,1400,良,8,6,新馬,34.1,中団,初,,,,,,,,,,,,,,,,,,,,,,,,
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026060605030104,2026.6.6,土,東京,3東1,4,,新馬,芝,1400,C,2,良(暫定),曇(暫定),18,11:40,,馬齢,２歳
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,,1,,,,,シュアシング,,牝,2,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,2,,,,,ラードンチェイス,,牡,2,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,3,,,,,ドルチェテソーロ,,牝,2,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,4,,,,,リリカルフレア,,牝,2,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,5,,,,,オオセイケイ,,牝,2,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,6,,,,,ニューロファイター,,牡,2,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,7,,,,,ベアアミーチ,,牝,2,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026060605030105,2026.6.6,土,東京,3東1,5,,新馬,芝,1600,C,2,良(暫定),曇(暫定),18,12:30,,馬齢,２歳
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,,1,,,,,ウィンターブリーズ,,牡,2,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,2,,,,,フィリオソラーレ,,牡,2,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,3,,,,,レオリアライズ,,牝,2,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,4,,,,,アテナブレイブ,,牝,2,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,5,,,,,スクリプトール,,牡,2,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,6,,,,,クシェドゥソレイユ,,牝,2,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,7,,,,,コウソクレムリア,,牝,2,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,8,,,,,アミノショコラ,,牡,2,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,9,,,,,エリステソーロ,,牡,2,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026060605030106,2026.6.6,土,東京,3東1,6,,未勝利,ダート,1600,,2,稍(暫定),曇(暫定),16,13:00,,馬齢,３歳
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,,1,,,,,フェンリル,,牡,3,17,2,10,東京,D,1600,稍,6,4,新馬,39.1,中団,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,B,2,,,,,ホウオウファラオ,,牡,3,7,4,18,中山,D,1800,良,8,9,未勝利,38.4,後方,3,3,28,中山,D,1800,重,6,9,未勝利,40.1,中団,6,2,14,東京,D,1600,良,14,10,未勝利,38.0,後方,9,12,13,中山,D,1800,良,10,5,新馬,40.7,後方,初,,,,,,,,,,,,
2,,3,,,,,ファーザーアウェイ,,牡,3,9,4,5,中山,T,2000,重,4,3,未勝利,36.6,差し,11,1,17,中山,T,2000,良,5,10,未勝利,34.7,後方,11,11,2,東京,T,1800,良,3,2,未勝利*,34.8,差し,4,10,4,東京,T,1800,良,5,1,新馬,34.0,中団,初,,,,,,,,,,,,
2,,4,,,,,ポッドジーク,,牡,3,17,2,10,京都,D,1800,良,4,4,未勝利,40.2,逃げ,3,1,18,京都,D,1800,良,3,5,未勝利,38.4,先行,8,11,23,京都,D,1800,良,8,1,未勝利*,40.1,先行,3,11,2,京都,D,1800,稍,4,3,未勝利*,38.1,差し,4,10,5,京都,T,1800,稍,12,9,新馬,35.1,後方,初
3,B,5,,,,,ショービット,,牡,3,9,4,2,船橋,D,1600,不,5,10,ナイス,----,中団,10,1,24,中山,D,1200,良,15,12,新馬,41.3,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,6,,,,,ロングミックス,,牡,3,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,B,7,,,,,パンパネイラ,,セ,3,4,5,9,東京,D,1600,良,9,8,未勝利,38.5,先行,7,3,21,中山,D,1800,良,5,6,未勝利,39.7,中団,3,2,28,中山,D,1800,重,4,8,未勝利,39.7,差し,2,2,14,東京,D,1400,良,10,12,未勝利,37.9,後方,17,10,19,京都,T,1800,良,6,6,未勝利*,40.6,後方,3
4,B,8,,,,,アオイミズホ,,牡,3,3,5,16,東京,D,1600,良,2,2,未勝利,37.3,逃げ,4,4,19,中山,D,1800,良,3,4,未勝利,41.1,先行,4,3,21,中山,D,1800,良,3,2,未勝利,40.1,先行,4,2,21,東京,D,1600,良,9,5,未勝利,38.5,後方,2,2,7,東京,D,1600,良,3,2,未勝利,37.4,差し,8
5,,9,,,,,ドゥーニ,,牡,3,3,5,16,東京,D,1600,良,5,7,未勝利,36.8,中団,9,3,14,中山,D,1800,良,11,10,未勝利,40.6,後方,2,2,28,中山,D,1800,重,3,5,未勝利,39.4,先行,2,2,14,東京,D,1600,良,9,7,未勝利,37.9,中団,16,10,25,東京,D,1600,稍,8,7,未勝利*,37.5,先行,2
5,B,10,,,,,ノリキング,,牡,3,2,5,24,東京,D,1600,稍,4,12,未勝利,39.1,逃げ,2,5,9,東京,D,1300,良,9,8,未勝利,38.7,後方,3,4,18,中山,D,1200,良,5,4,未勝利,37.4,中団,18,12,14,中山,D,1200,稍,9,2,新馬,38.1,後方,初,,,,,,,,,,,,
6,,11,,,,,ラッキースウィッチ,,牡,3,11,3,22,中山,D,1800,良,4,3,未勝利,40.5,先行,2,3,8,中山,D,1800,稍,4,3,未勝利,40.2,先行,10,12,27,中山,T,2000,良,11,8,未勝利*,37.2,先行,2,12,14,中山,T,2000,稍,2,13,未勝利*,36.9,先行,12,9,21,中山,T,2000,良,9,5,新馬,35.8,中団,初
6,B,12,,,,,モウレツ,,牡,3,19,1,24,中山,D,1800,良,15,15,未勝利,44.4,後方,2,1,11,中山,D,1800,良,11,14,新馬,41.4,中団,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,13,,,,,テンオンスゴールド,,牡,3,29,11,15,福島,D,1700,良,4,8,未勝利*,38.5,先行,13,8,16,新潟,T,1800,良,13,10,未勝利*,37.9,先行,2,8,3,新潟,T,1600,良,11,10,新馬,34.7,後方,初,,,,,,,,,,,,,,,,,,,,,,,,
7,B,14,,,,,ウインファイネスト,,牡,3,3,5,16,新潟,T,1800,良,13,15,未勝利,35.2,中団,8,3,22,中京,T,2000,良,11,10,未勝利,36.9,中団,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,B,15,,,,,タマモブレイキン,,牡,3,3,5,16,新潟,D,1800,良,6,8,未勝利,39.1,中団,2,5,3,東京,D,1600,稍,7,9,未勝利,38.1,後方,7,3,14,中山,D,1800,良,10,8,未勝利,41.3,中団,4,2,15,東京,D,1600,良,12,3,新馬,39.4,中団,初,,,,,,,,,,,,
8,,16,,,,,タニセンローマ,,牡,3,5,5,2,東京,D,2100,重,8,7,未勝利,38.3,後方,5,3,28,中山,D,1800,重,12,6,未勝利,41.3,中団,4,2,28,中山,D,1800,重,3,7,未勝利,40.3,逃げ,2,2,14,東京,D,1600,良,11,8,未勝利,38.7,後方,6,1,4,中山,D,1800,稍,9,7,未勝利,41.5,後方,2
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026060605030107,2026.6.6,土,東京,3東1,7,,未勝利,芝,2000,C,3,良(暫定),曇(暫定),16,13:30,,馬齢,３歳
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,,1,,,,,ブライスフェアリー,,牝,3,2,5,24,東京,T,1800,良,5,7,未勝利,35.2,先行,3,5,3,東京,T,1800,良,6,11,未勝利,34.7,中団,11,2,14,小倉,T,2000,良,12,13,未勝利,36.0,後方,2,1,31,小倉,T,2000,良,12,7,未勝利・牝,36.4,中団,22,8,30,新潟,T,1800,良,3,8,未勝利*,34.6,追込,5
1,,2,,,,,アールグレイ,,牝,3,3,5,16,東京,T,2000,良,4,5,未勝利・牝,34.2,逃げ,3,4,26,福島,T,1200,良,10,4,未勝利・牝,34.8,中団,14,1,18,中山,T,1600,良,13,10,未勝利・牝,36.8,中団,4,12,21,中山,T,1600,重,3,8,新馬,36.2,差し,初,,,,,,,,,,,,
2,,3,,,,,シアワセチョウサン,,牝,3,10,3,28,中山,D,1800,重,15,15,未勝利,45.8,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,4,,,,,マイネルシュラハト,,牡,3,14,2,28,中山,T,2000,良,12,8,未勝利,36.2,先行,4,2,1,京都,T,2000,良,5,8,未勝利,36.9,逃げ,4,1,5,京都,T,2000,良,7,15,未勝利,36.0,中団,4,12,6,中京,T,2000,良,12,12,未勝利*,34.6,後方,2,11,22,福島,T,1800,良,16,7,未勝利*,38.2,後方,16
3,,5,,,,,プリヴィマーク,,牡,3,18,1,31,東京,T,1800,良,15,12,新馬,34.6,中団,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,6,,,,,ショウナンマルチ,,牡,3,3,5,17,東京,T,2400,良,3,1,未勝利,35.3,先行,25,11,23,東京,T,2000,良,2,1,新馬,33.8,差し,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,7,,,,,シークレットシティ,,牡,3,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,8,,,,,ヤマメホープ,,牡,3,2,5,23,東京,T,2000,良,2,6,未勝利,33.6,差し,4,4,26,福島,T,1800,良,6,1,未勝利,34.7,後方,4,3,29,中山,T,1800,良,3,5,未勝利,35.2,差し,6,2,15,東京,T,1800,良,6,9,未勝利,34.2,中団,初,,,,,,,,,,,,
5,,9,,,,,イニスフェイル,,牡,3,3,5,17,東京,T,1800,良,3,3,未勝利,33.2,差し,11,2,28,中山,T,2000,良,13,3,未勝利,35.0,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,10,,,,,アッシズオブローズ,,牝,3,7,4,19,中山,T,2000,良,2,5,未勝利,35.1,先行,14,1,11,中山,D,1800,良,12,2,未勝利・牝,41.6,中団,11,10,25,東京,T,1800,良,4,2,未勝利*,33.9,追込,11,8,10,新潟,T,1800,稍,4,3,新馬,33.9,先行,初,,,,,,,,,,,,
6,,11,,,,,ナズドゥラヴィ,,牝,3,21,1,10,中山,D,1800,良,11,9,新馬・牝,41.2,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,12,,,,,モンドシュピーゲル,,牡,3,44,8,3,中京,T,2000,良,3,4,未勝利*,35.2,逃げ,2,7,19,福島,T,1800,良,9,10,新馬,37.9,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,13,,,,,カワイクテゴメン,,牝,3,4,5,10,新潟,T,1800,良,4,11,未勝利・牝,33.5,追込,14,1,31,東京,D,1400,良,16,6,新馬,37.6,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,14,,,,,アルバニクス,,牝,3,10,3,29,中山,D,1800,稍,9,16,未勝利・牝,39.8,後方,16,12,6,中山,D,1200,良,11,15,未勝利*,38.7,後方,13,9,7,中山,D,1200,良,14,9,未勝利*,39.6,中団,6,7,26,新潟,T,1600,良,11,10,新馬・牝,34.2,後方,初,,,,,,,,,,,,
8,,15,,,,,ハスカップジャム,,牝,3,16,2,15,東京,D,1600,良,6,15,新馬,37.4,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,16,,,,,ブルーリファール,,牡,3,2,5,23,東京,T,2000,良,5,9,未勝利,34.2,先行,3,5,2,東京,T,2000,良,5,8,未勝利,34.3,後方,2,4,18,福島,T,1800,良,11,7,未勝利・若,35.1,後方,初,,,,,,,,,,,,,,,,,,,,,,,,
