レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026052404010801,2026.5.24,日,新潟,1新8,1,,未勝利,芝,1200,B,2,稍(暫定),晴(暫定),16,09:45,,馬齢,３歳
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,,1,,,,,ジュディーイメル,,牝,3,3,5,2,新潟,D,1200,不,2,3,未勝利・若,38.1,逃げ,7,3,14,阪神,T,1400,良,7,7,未勝利,34.4,中団,2,2,28,阪神,D,1400,良,4,3,未勝利・牝,38.7,差し,2,2,14,京都,D,1400,稍,3,3,未勝利,38.6,先行,8,12,20,阪神,D,1400,良,2,5,未勝利*,38.7,差し,2
2,,2,,,,,メイワメジェール,,牝,3,10,3,14,阪神,T,1400,良,14,11,未勝利,35.3,中団,8,1,17,京都,T,2000,良,16,9,未勝利・牝,39.2,中団,4,12,20,中京,T,1600,稍,6,8,未勝利・牝*,35.8,中団,9,10,18,京都,T,1600,良,8,3,新馬・牝,36.1,先行,初,,,,,,,,,,,,
2,B,3,,,,,アーガイルショア,,牝,3,2,5,9,京都,D,1400,良,5,2,未勝利,37.4,中団,10,2,28,阪神,D,1400,良,2,1,未勝利・牝,37.8,差し,3,2,10,京都,D,1400,良,3,1,未勝利・牝,38.3,先行,12,11,16,京都,D,1400,良,3,3,未勝利・牝*,37.2,先行,4,10,19,京都,D,1400,稍,2,2,未勝利・牝*,38.4,先行,17
3,,4,,,,,ジョリュウジャンシ,,牝,3,19,1,10,中山,D,1200,良,11,15,未勝利・牝,39.6,中団,3,12,20,中山,D,1200,良,16,13,未勝利*,41.5,中団,9,10,18,新潟,D,1200,良,9,14,新馬,37.4,後方,初,,,,,,,,,,,,,,,,,,,,,,,,
3,,5,,,,,ジュエルサンライズ,,牝,3,3,5,2,新潟,D,1200,不,5,9,未勝利・若,38.3,中団,4,4,5,阪神,D,1200,重,8,11,未勝利,37.5,先行,9,2,1,京都,D,1200,良,10,5,未勝利,37.3,後方,3,1,12,京都,T,1400,良,11,16,未勝利,35.4,後方,12,10,19,新潟,T,1400,稍,8,8,新馬,36.5,中団,初
4,,6,,,,,キタノオンザバス,,牝,3,15,2,7,東京,D,1400,良,12,11,未勝利・牝,40.2,中団,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,7,,,,,ヘヴンズドライブ,,牝,3,3,5,3,新潟,D,1200,稍,3,7,未勝利,38.1,逃げ,9,3,1,中山,D,1200,稍,7,7,未勝利,39.1,逃げ,11,12,13,中山,D,1200,良,6,9,未勝利・牝*,39.8,中団,連,12,7,中山,T,1200,良,11,13,新馬,35.3,中団,初,,,,,,,,,,,,
5,,8,,,,,ミヤカグラ,,牝,3,12,2,26,浦和,D,1400,不,7,5,ツイン,----,中団,12,12,7,中山,T,1200,良,6,14,新馬,35.1,先行,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,9,,,,,オダイ,,牝,3,12,2,28,中山,D,1800,重,8,12,未勝利,42.8,逃げ,4,2,1,東京,D,1400,良,10,16,未勝利,39.6,先行,7,12,14,中山,D,1200,稍,9,9,未勝利*,39.1,中団,3,11,24,東京,T,1600,良,10,12,新馬・牝,36.0,先行,初,,,,,,,,,,,,
6,,10,,,,,プラチナムディスク,,牝,3,2,5,9,新潟,D,1200,稍,3,5,未勝利・牝,40.2,逃げ,4,4,12,中山,D,1200,稍,3,3,未勝利,38.5,逃げ,4,3,15,中山,D,1200,良,7,4,未勝利・牝,38.4,中団,8,1,18,中山,D,1200,良,14,5,未勝利,42.0,先行,2,1,4,中山,D,1200,稍,2,7,未勝利・牝,38.4,差し,3
6,,11,,,,,キャスケード,,牝,3,3,5,2,京都,D,1200,重,5,10,未勝利,36.2,中団,8,3,8,阪神,D,1200,良,6,11,未勝利,37.6,中団,4,2,10,京都,D,1400,良,14,9,未勝利・牝,41.1,後方,8,12,13,阪神,D,1400,良,8,11,未勝利・牝*,38.1,後方,22,7,13,小倉,T,1200,良,6,7,新馬,36.2,中団,初
7,,12,,,,,ナムラカメコ,,牝,3,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,13,,,,,メリオルヴィア,,牝,3,3,5,3,京都,D,1400,稍,3,10,未勝利・牝,37.4,先行,22,11,29,京都,T,1600,良,12,11,未勝利*,36.4,先行,4,11,2,京都,T,1600,良,9,5,新馬,35.4,中団,初,,,,,,,,,,,,,,,,,,,,,,,,
8,,14,,,,,ブールドネージュ,,牝,3,27,11,15,東京,D,1600,良,14,13,未勝利*,41.3,後方,連,11,8,東京,D,1300,良,13,15,未勝利*,38.8,後方,9,9,6,中山,D,1800,重,8,8,未勝利*,43.1,中団,2,8,23,新潟,T,1600,良,12,12,新馬,34.0,後方,初,,,,,,,,,,,,
