レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026042503010501,2026.4.25,土,福島,1福5,1,,未勝利,ダート,1700,,4,良(暫定),晴(暫定),15,09:45,牝,馬齢,３歳
1,,1,,,,,フェブリノ,,牝,3,9,2,21,小倉,T,1800,良,8,10,未勝利,36.1,中団,4,1,24,小倉,T,1200,良,7,11,萌黄賞･1勝*,33.7,後方,4,12,28,阪神,T,1400,良,13,9,未勝利*,35.2,後方,18,8,23,中京,T,1400,良,6,9,未勝利・牝*,34.2,先行,6,7,12,小倉,T,1200,良,3,8,未勝利*,36.0,差し,4
1,,2,,,,,ブルーハーツ,,牡,3,2,4,12,福島,T,1200,良,4,5,未勝利,34.8,差し,9,2,7,小倉,T,1200,良,7,17,未勝利,34.5,後方,4,1,10,中山,T,1600,良,14,14,未勝利,36.5,先行,11,10,26,新潟,T,1600,稍,9,10,新馬,34.4,中団,初,,,,,,,,,,,,
2,,3,,,,,ジョーヌミモザ,,牝,3,13,1,25,中山,T,1600,良,8,11,未勝利,36.7,中団,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,4,,,,,フクオトコ,,牡,3,9,2,22,小倉,T,1200,良,3,1,未勝利,34.9,差し,4,1,25,小倉,T,1200,良,2,6,新馬,33.7,差し,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,5,,,,,ブレッティレディ,,牝,3,8,2,28,小倉,T,1200,稍,7,11,未勝利,35.4,中団,9,12,27,阪神,D,1400,稍,7,13,未勝利*,38.5,中団,6,11,16,京都,D,1200,良,15,10,未勝利*,38.8,後方,10,9,6,札幌,T,1200,良,6,8,未勝利*,35.9,中団,3,8,16,札幌,T,1200,良,7,4,新馬,35.5,中団,初
3,,6,,,,,セイウンプーパ,,牝,3,8,2,28,小倉,T,1200,稍,11,15,未勝利,36.5,先行,11,12,14,中山,T,1200,良,7,11,未勝利*,36.2,先行,5,11,9,東京,T,1400,良,17,8,未勝利*,36.2,先行,8,9,15,中山,T,1600,良,6,9,新馬,34.9,先行,初,,,,,,,,,,,,
4,,7,,,,,ケイツースクード,,牡,3,11,2,7,東京,T,1600,良,14,16,未勝利,35.4,中団,6,12,28,中山,D,1200,良,10,10,未勝利*,39.0,中団,5,11,24,東京,T,1400,良,6,14,新馬,33.7,中団,初,,,,,,,,,,,,,,,,,,,,,,,,
4,,8,,,,,ウィズアツインクル,,牡,3,2,4,11,中山,T,1600,良,3,10,未勝利,35.4,逃げ,6,3,1,中山,T,1600,良,7,3,未勝利,35.6,中団,3,2,10,東京,T,1600,良,3,4,新馬,34.2,差し,初,,,,,,,,,,,,,,,,,,,,,,,,
5,,9,,,,,ジューンスマッシュ,,牡,3,15,1,12,京都,T,1400,良,12,15,未勝利,35.4,後方,3,12,21,阪神,T,1200,重,5,8,新馬,35.0,中団,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,10,,,,,エンチャンテッド,,牝,3,9,2,21,小倉,T,1200,良,17,18,未勝利・牝,36.2,先行,11,12,6,阪神,T,1200,良,6,8,さざんか･1勝,34.9,中団,2,11,23,東京,D,1300,良,15,14,未勝利*,38.7,中団,4,10,26,東京,T,1400,稍,17,13,新馬,36.9,逃げ,初,,,,,,,,,,,,
6,,11,,,,,フィラーエ,,牝,3,9,2,21,小倉,T,1800,良,7,7,未勝利,36.4,先行,8,12,27,阪神,T,1600,良,6,8,未勝利*,35.5,中団,7,11,9,京都,T,1600,稍,7,7,未勝利・牝*,38.1,先行,4,10,13,京都,T,1600,良,5,4,未勝利・牝*,34.5,後方,7,8,24,中京,T,2000,良,3,3,新馬,34.4,先行,初
6,,12,,,,,ナデシコザクラ,,牝,3,9,2,21,阪神,D,1200,良,12,13,未勝利・牝,38.9,中団,2,2,7,京都,T,1600,良,12,12,未勝利・牝,37.2,先行,15,10,26,京都,T,1600,稍,8,5,未勝利*,38.1,先行,4,9,27,阪神,T,1600,良,4,8,新馬・牝,35.0,先行,初,,,,,,,,,,,,
7,,13,,,,,エクスペクタント,,牡,3,2,4,11,福島,T,1200,良,4,9,未勝利,35.0,差し,22,11,8,福島,D,1700,良,13,9,未勝利*,40.4,後方,12,8,16,新潟,T,1600,良,7,6,新馬,36.1,先行,初,,,,,,,,,,,,,,,,,,,,,,,,
7,,14,,,,,アヴァンフライト,,牝,3,12,1,31,小倉,D,1000,良,14,7,未勝利,37.6,後方,6,12,21,中山,D,1200,重,13,4,新馬,40.5,逃げ,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,B,15,,,,,バッカス,,牡,3,15,1,10,京都,D,1400,良,14,12,新馬,39.1,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,16,,,,,シルバーアックス,,牡,3,2,4,11,福島,D,1150,良,5,9,未勝利,38.0,先行,9,2,7,東京,D,1300,良,13,3,未勝利,39.7,先行,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026042503010503,2026.4.25,土,福島,1福5,3,,未勝利,芝,2000,B,4,良(暫定),晴(暫定),16,10:45,牝,馬齢,３歳
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,,1,,,,,オーケーグレイス,,牝,3,15,1,11,中山,T,2200,良,13,16,未勝利,36.0,後方,21,8,17,札幌,T,1800,稍,5,5,新馬,42.0,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,2,,,,,イバラヒメ,,牝,3,7,3,7,中山,T,2000,稍,14,13,未勝利・牝,37.2,中団,13,12,6,中山,T,1600,良,10,14,未勝利*,33.9,後方,5,11,1,東京,T,1600,稍,10,9,新馬,34.2,後方,初,,,,,,,,,,,,,,,,,,,,,,,,
2,,3,,,,,ダイナマイトメロン,,牝,3,12,1,31,東京,T,1800,良,12,15,新馬,33.5,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,4,,,,,ナムラオリガミ,,牝,3,8,3,1,小倉,T,2000,良,3,13,未勝利・牝,36.2,差し,3,2,8,小倉,T,1800,良,11,7,未勝利,35.9,後方,15,10,25,京都,T,1400,良,6,11,未勝利・牝*,35.6,中団,2,10,13,京都,T,1600,良,7,10,未勝利・牝*,34.9,中団,13,7,12,小倉,T,1800,良,6,12,新馬・牝,38.2,先行,初
3,,5,,,,,オウケンサクラコ,,牝,3,9,2,21,東京,T,2400,良,12,14,未勝利,35.5,後方,2,2,7,東京,T,1800,良,12,15,新馬,35.0,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,B,6,,,,,リリーボレア,,牝,3,9,2,22,小倉,T,1800,良,10,8,未勝利・牝,36.2,後方,9,12,20,阪神,T,1600,良,10,17,新馬・牝,33.8,中団,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,7,,,,,ダイヤモンドパレス,,牝,3,12,1,31,東京,T,1800,良,8,4,新馬,34.2,先行,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,8,,,,,サルワールカミーズ,,牝,3,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,9,,,,,ゴコウコイコイ,,牝,3,2,4,11,中山,T,2000,良,4,8,未勝利・牝,34.8,追込,4,3,15,中山,T,2000,良,11,5,未勝利,35.8,中団,11,12,27,中山,T,2000,良,10,7,未勝利*,36.9,後方,4,11,29,東京,T,1800,良,3,3,未勝利*,33.8,追込,3,11,9,東京,T,2000,良,5,2,新馬,34.4,先行,初
5,,10,,,,,ライツェントライゼ,,牝,3,31,9,20,阪神,T,2000,良,3,5,未勝利*,36.5,先行,2,9,6,阪神,T,2000,良,3,5,未勝利*,35.6,先行,連,8,30,中京,T,2000,良,7,8,未勝利*,34.1,中団,3,8,10,中京,T,2000,良,7,7,新馬,34.6,中団,初,,,,,,,,,,,,
6,,11,,,,,エリカアズーラ,,牝,3,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,12,,,,,ストームアイ,,牝,3,20,12,6,中京,T,2000,良,10,13,未勝利*,35.4,中団,3,11,16,福島,D,1700,良,9,13,新馬,39.8,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,13,,,,,グリミスティ,,牝,3,10,2,14,小倉,T,2000,良,17,11,未勝利,39.4,逃げ,3,1,24,小倉,T,2000,良,5,15,新馬,34.8,逃げ,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,14,,,,,クインズロベリア,,牝,3,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,15,,,,,エコロディアン,,牝,3,2,4,11,福島,T,1800,良,3,3,未勝利・牝,35.8,先行,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,16,,,,,アルファリラエ,,牝,3,21,11,30,東京,T,1800,良,7,9,新馬,34.4,中団,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026042503010504,2026.4.25,土,福島,1福5,4,,未勝利,ダート,1150,,2,良(暫定),晴(暫定),16,11:15,,馬齢,３歳
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,,1,,,,,ガクエンテンゴク,,牡,3,8,3,1,中山,D,1800,稍,16,10,未勝利,42.2,後方,2,2,12,名古,D,1500,稍,2,2,名古屋,----,先行,5,1,11,中山,D,1200,良,13,6,未勝利,39.8,先行,3,12,21,中山,D,1200,重,4,15,新馬,37.5,差し,初,,,,,,,,,,,,
1,B,2,,,,,セイウンヤオヨロズ,,牡,3,2,4,11,福島,D,1150,良,4,8,未勝利,37.6,差し,11,1,24,小倉,T,1800,良,13,14,未勝利,36.2,中団,6,12,14,中山,T,2000,稍,12,16,未勝利*,37.8,中団,3,11,22,福島,T,1800,良,9,14,未勝利*,35.5,後方,10,9,14,中山,T,1200,良,9,8,未勝利*,35.0,中団,8
2,B,3,,,,,コウソクルリアン,,牡,3,5,3,21,中山,D,1200,良,2,3,未勝利,38.1,先行,5,2,14,東京,D,1400,良,6,4,未勝利,38.4,中団,3,1,24,中山,D,1800,良,5,9,未勝利,40.0,先行,4,12,27,中山,D,1800,稍,9,3,未勝利*,41.4,逃げ,15,9,14,中山,D,1800,稍,2,4,未勝利*,39.9,逃げ,2
2,,4,,,,,ヴェントディルーナ,,牝,3,5,3,21,中山,D,1200,良,14,8,未勝利,41.5,先行,4,2,22,東京,D,1400,良,12,4,新馬,42.8,逃げ,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,B,5,,,,,ビースタニング,,牝,3,12,2,4,川崎,D,1400,良,8,7,ガーネ,----,先行,17,10,5,東京,D,1400,良,10,14,未勝利*,39.7,中団,14,6,29,福島,T,1200,良,5,4,新馬・牝,37.2,先行,初,,,,,,,,,,,,,,,,,,,,,,,,
3,,6,,,,,カシノユメミヅキ,,牡,3,9,2,25,佐賀,D,1400,不,7,7,たんぽ,----,中団,3,1,29,佐賀,D,1400,良,6,6,ミヤマ,----,先行,14,10,26,東京,T,1600,稍,10,9,未勝利*,36.1,後方,連,10,18,東京,D,1600,良,10,11,未勝利*,39.4,中団,2,10,4,東京,D,1600,良,8,16,未勝利*,40.6,後方,2
4,,7,,,,,ブレイヴソルジャー,,牡,3,10,2,15,小倉,T,1200,稍,7,5,未勝利,36.7,逃げ,6,1,5,中山,T,1600,良,6,3,新馬,36.4,逃げ,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,8,,,,,ニンジャトットリ,,牡,3,2,4,12,中山,D,1200,稍,2,2,未勝利,37.9,先行,2,3,29,中山,D,1200,稍,3,1,未勝利,38.5,先行,2,3,15,中山,D,1200,良,2,2,未勝利,38.2,先行,6,2,1,東京,D,1400,良,6,6,未勝利,38.6,先行,3,1,12,中山,D,1200,良,4,4,未勝利,37.5,差し,3
5,B,9,,,,,マロ,,牡,3,4,3,28,阪神,D,1200,稍,15,5,未勝利,39.0,先行,5,2,22,阪神,D,1400,良,9,3,新馬,40.3,先行,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,10,,,,,ユナダイヤ,,牝,3,4,3,28,阪神,D,1200,稍,11,10,未勝利・牝,37.6,中団,6,2,18,笠松,D,1400,良,4,2,加納宿,----,先行,10,12,6,中京,D,1400,良,8,10,未勝利・牝*,39.1,中団,3,11,15,京都,D,1400,良,5,7,未勝利*,37.9,中団,2,11,1,京都,T,1200,稍,6,9,未勝利*,34.7,中団,3
6,B,11,,,,,ルヴレアール,,牡,3,7,3,8,阪神,D,1200,良,4,9,未勝利,38.4,先行,4,2,5,笠松,D,1400,良,3,4,御嶽宿,----,先行,7,12,20,中京,D,1200,稍,16,10,未勝利*,40.0,後方,7,11,1,京都,D,1800,重,16,9,新馬,42.1,後方,初,,,,,,,,,,,,
6,B,12,,,,,リスペクトライト,,牡,3,7,3,7,中山,D,1200,重,6,13,未勝利,38.4,中団,6,1,22,船橋,D,1600,良,8,6,ベスト,----,後方,5,12,20,中山,D,1200,良,7,16,未勝利*,38.2,後方,7,11,2,東京,D,1400,重,13,14,未勝利*,38.2,後方,8,9,7,中山,D,1200,良,10,12,未勝利*,38.3,後方,8
7,,13,,,,,ブレイシオン,,牝,3,8,2,28,中山,D,1800,重,14,15,未勝利,47.3,後方,2,2,14,東京,T,1400,良,15,12,未勝利,35.3,中団,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,B,14,,,,,クルビデンス,,牡,3,6,3,14,中京,D,1200,良,6,10,未勝利,38.4,先行,11,12,28,中山,D,1200,良,12,11,未勝利*,37.8,後方,9,10,25,東京,D,1400,稍,8,9,新馬,38.5,先行,初,,,,,,,,,,,,,,,,,,,,,,,,
8,,15,,,,,ジーティーニッツァ,,牡,3,10,2,15,東京,D,1300,良,6,9,未勝利,38.1,先行,4,1,17,中山,D,1200,良,4,14,未勝利,38.7,先行,4,12,21,中山,D,1200,不,8,13,未勝利*,38.1,中団,8,10,26,東京,D,1400,不,12,14,未勝利*,39.0,先行,2,10,11,東京,D,1400,稍,11,12,新馬,40.3,先行,初
8,,16,,,,,フィールマイプラン,,牡,3,5,3,21,中山,D,1200,良,6,4,未勝利,39.3,先行,3,3,1,中山,D,1200,稍,3,3,未勝利,37.7,差し,7,1,12,中山,D,1800,良,12,5,未勝利,43.8,先行,3,12,21,中山,T,1600,重,5,7,新馬,36.9,逃げ,初,,,,,,,,,,,,
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026042503010505,2026.4.25,土,福島,1福5,5,,未勝利,芝,2000,B,4,良(暫定),晴(暫定),16,12:05,,馬齢,３歳
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,,1,,,,,ヴォンサクレ,,牡,3,6,3,15,中山,T,2000,良,8,15,未勝利,35.2,後方,4,2,15,東京,T,1800,良,13,7,未勝利,34.5,後方,15,11,2,東京,T,2000,良,5,8,新馬,33.8,中団,初,,,,,,,,,,,,,,,,,,,,,,,,
1,,2,,,,,ナディア,,牝,3,6,3,15,中山,T,2000,良,7,10,未勝利,35.5,中団,8,1,18,中山,T,1600,良,7,12,未勝利・牝,35.2,中団,4,12,20,中山,T,1800,良,5,13,新馬・牝,35.3,先行,初,,,,,,,,,,,,,,,,,,,,,,,,
2,,3,,,,,ルミノヴァンクール,,牡,3,2,4,11,中山,T,1600,良,14,12,未勝利,35.7,中団,36,8,2,新潟,T,1800,良,11,8,新馬,34.3,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,4,,,,,ナムラシンジロー,,牡,3,5,3,21,阪神,T,1600,良,8,16,未勝利,34.8,中団,5,2,15,小倉,T,1800,稍,12,16,未勝利,36.9,逃げ,12,11,23,京都,D,1400,良,9,13,未勝利*,38.7,後方,2,11,9,京都,D,1400,稍,14,15,未勝利*,38.6,後方,13,8,10,札幌,D,1700,稍,14,12,未勝利*,42.9,後方,2
3,,5,,,,,ブルーブロディ,,牡,3,9,2,21,東京,D,1600,良,12,16,未勝利,40.3,中団,16,11,1,東京,D,1400,不,16,13,新馬,38.7,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,6,,,,,イザショウブ,,牡,3,13,1,25,京都,D,1400,良,8,8,未勝利,38.2,後方,13,10,26,新潟,T,1600,稍,15,3,新馬,34.9,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,7,,,,,ピコブロッサム,,牝,3,14,1,18,中山,T,1600,良,14,10,新馬,36.0,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,B,8,,,,,ミエノストロング,,牡,3,8,2,28,小倉,T,2000,稍,4,2,未勝利,36.8,先行,2,2,14,小倉,T,2000,良,3,2,未勝利,35.8,差し,8,12,20,中京,T,2000,稍,9,1,未勝利*,36.0,先行,4,11,24,福島,T,1800,良,2,1,新馬,34.3,先行,初,,,,,,,,,,,,
5,,9,,,,,ウマナミカイドウ,,セ,3,15,1,10,中山,T,1600,良,12,16,未勝利,34.8,後方,11,10,25,東京,T,1800,良,9,9,未勝利*,35.1,後方,連,10,19,東京,T,1800,良,17,17,新馬,34.6,後方,初,,,,,,,,,,,,,,,,,,,,,,,,
5,,10,,,,,タイキアロハ,,牡,3,9,2,22,阪神,T,2000,良,10,6,未勝利,36.3,後方,連,2,15,東京,T,1800,良,7,13,未勝利,34.3,中団,11,11,30,東京,T,1800,良,8,12,新馬,34.4,中団,初,,,,,,,,,,,,,,,,,,,,,,,,
6,,11,,,,,ブランニューホーム,,牡,3,2,4,11,福島,T,2000,良,3,10,未勝利,35.0,差し,10,2,1,京都,T,2000,良,10,9,未勝利,35.9,後方,6,12,20,中京,T,2000,稍,11,8,未勝利*,35.4,後方,3,11,30,東京,T,2000,良,5,9,未勝利*,34.5,後方,2,11,15,福島,T,2000,良,16,11,未勝利*,36.2,後方,7
6,,12,,,,,コンフィグシス,,牝,3,7,3,7,中山,T,2000,稍,7,10,未勝利・牝,36.1,中団,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,13,,,,,ヒロイックヴァース,,牡,3,8,2,28,小倉,T,2000,稍,2,5,未勝利,36.7,先行,2,2,14,小倉,T,2000,良,6,10,未勝利,36.5,先行,8,12,20,中山,T,1800,良,11,5,未勝利*,35.6,先行,4,11,24,東京,T,2000,良,3,3,未勝利*,34.3,追込,4,10,26,東京,T,1800,稍,4,7,新馬,34.1,差し,初
7,,14,,,,,イノセントホープ,,牡,3,8,2,28,中山,T,2000,良,10,11,未勝利,35.9,中団,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,B,15,,,,,トレセデオロ,,牡,3,11,2,10,京都,T,2400,良,14,5,未勝利,40.8,先行,2,1,25,小倉,T,2000,良,9,4,未勝利,35.9,逃げ,4,12,28,中山,T,2000,良,6,7,新馬,36.2,先行,初,,,,,,,,,,,,,,,,,,,,,,,,
8,,16,,,,,レイアン,,牝,3,3,4,4,阪神,T,1800,良,13,16,未勝利,35.0,中団,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
