レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026080201010401,2026.8.2,日,札幌,1札4,1,,未勝利,ダート,1700,,4,稍(暫定),曇(暫定),14,10:00,牝,馬齢,３歳
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,B,1,,,,,タガノシルフィー,,牝,3,3,7,11,函館,D,1700,重,2,2,未勝利・牝,38.8,逃げ,3,6,20,函館,D,1700,良,5,1,未勝利,39.4,先行,5,5,16,京都,D,1400,良,6,3,未勝利・牝,37.7,中団,2,5,3,京都,D,1400,稍,消,--,未勝利・牝,----,,11,2,14,小倉,D,1700,良,6,2,未勝利・牝,39.5,逃げ,3
2,,2,,,,,ヒマラヤミュサ,,牝,3,11,5,16,京都,D,1400,良,10,13,未勝利・牝,37.5,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,3,,,,,ワンダーアスク,,牝,3,3,7,11,函館,D,1700,重,7,5,未勝利・牝,38.3,先行,2,6,27,函館,D,1700,重,3,10,未勝利・牝,37.0,差し,2,6,13,函館,D,1700,稍,9,5,未勝利・牝,40.0,先行,10,4,5,阪神,D,1400,重,6,11,未勝利・牝,36.7,後方,2,3,22,阪神,D,1400,良,4,4,未勝利・牝,38.5,差し,5
3,B,4,,,,,ダノンルミエール,,牝,3,3,7,11,函館,T,1200,稍,7,7,未勝利,35.7,中団,7,5,23,新潟,T,1400,稍,12,6,未勝利,36.5,後方,4,4,26,福島,T,1200,良,5,1,未勝利,35.0,中団,2,4,11,福島,T,1200,良,3,2,未勝利,34.3,差し,28,9,28,中山,T,1200,良,5,1,未勝利*,34.2,中団,3
4,,5,,,,,ローゾフィア,,牝,3,9,5,31,京都,D,1800,良,14,7,未勝利・牝,40.2,後方,3,5,10,京都,D,1800,良,4,5,未勝利・牝,38.0,差し,3,4,18,阪神,D,1800,良,14,8,未勝利・牝,39.8,後方,3,3,29,阪神,D,1800,良,6,5,未勝利・牝,39.1,先行,18,11,22,京都,D,1800,良,10,3,未勝利*,39.2,後方,3
4,,6,,,,,フレンチブラッサム,,牝,3,3,7,11,函館,D,1700,重,3,6,未勝利・牝,37.5,差し,7,5,23,東京,D,1600,重,4,4,未勝利・牝,37.5,差し,3,5,3,東京,D,1600,稍,4,8,未勝利・牝,38.1,差し,4,4,7,川崎,D,1500,重,3,2,エイプ,----,先行,13,1,5,中山,D,1200,稍,10,6,未勝利,38.9,中団,10
5,,7,,,,,ザンシュトーム,,牝,3,4,7,4,福島,D,1700,重,5,5,未勝利,37.6,中団,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,8,,,,,ストリートクイーン,,牝,3,4,7,4,函館,D,1700,良,2,7,未勝利,37.5,先行,2,6,20,函館,D,1700,良,6,5,未勝利・牝,38.3,中団,7,5,3,京都,D,1400,稍,7,4,未勝利・牝,37.3,中団,2,4,19,福島,D,1700,良,5,2,未勝利,39.7,逃げ,4,3,21,阪神,D,1800,稍,5,1,未勝利・牝,38.8,逃げ,8
6,,9,,,,,ドゥブルヴェ,,牝,3,2,7,19,函館,D,1700,不,12,13,未勝利,39.2,後方,5,6,13,函館,D,1700,稍,11,11,未勝利・牝,39.7,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,10,,,,,アインプロージット,,牝,3,3,7,11,福島,D,1700,良,5,8,未勝利・牝,38.8,中団,15,3,28,中山,D,1200,重,12,10,未勝利・牝,38.2,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,11,,,,,クルサール,,牝,3,19,3,21,中京,T,2000,良,11,5,未勝利,35.4,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,12,,,,,ヨドノサファイア,,牝,3,2,7,18,函館,T,1200,良,16,9,未勝利,37.3,中団,5,6,13,函館,T,1200,稍,6,6,未勝利,34.8,中団,24,12,28,中山,T,1200,良,5,7,未勝利*,35.6,先行,7,11,9,東京,T,1600,良,11,5,未勝利・牝*,34.6,中団,4,10,11,東京,T,1600,良,5,10,新馬,33.5,後方,初
8,,13,,,,,レーヌペスカ,,牝,3,8,6,6,阪神,D,1200,良,10,15,未勝利,37.7,後方,8,4,12,阪神,D,1400,稍,10,12,未勝利・牝,37.9,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,14,,,,,テリオスリコ,,牝,3,4,7,4,函館,D,1700,良,4,11,未勝利・牝,38.8,差し,2,6,20,函館,D,1700,良,9,14,未勝利,38.8,中団,連,6,13,函館,D,1700,稍,8,14,未勝利・牝,38.9,中団,9,4,11,阪神,D,1400,重,11,15,未勝利,38.2,後方,7,2,22,阪神,D,1800,良,7,6,未勝利・牝,40.2,中団,2
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026080201010402,2026.8.2,日,札幌,1札4,2,,未勝利,芝,1500,A,3,稍(暫定),曇(暫定),14,10:30,,馬齢,３歳
