レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026080201010401,2026.8.2,日,札幌,1札4,1,,未勝利,ダート,1700,,4,稍(暫定),曇(暫定),14,10:00,牝,馬齢,３歳
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,,1,,,,,スカイピア,,牝,3,11,5,16,京都,T,1400,良,6,8,未勝利,34.6,先行,2,5,2,新潟,T,1400,稍,2,11,未勝利,37.2,差し,13,2,1,京都,D,1200,良,11,14,未勝利,38.1,中団,3,1,11,京都,D,1400,良,9,14,未勝利,38.8,後方,6,11,30,京都,D,1200,良,12,7,未勝利*,37.8,後方,2
2,,2,,,,,ニシノマーレ,,牝,3,7,6,13,函館,T,1200,稍,9,1,未勝利,35.8,先行,3,5,23,新潟,T,1400,稍,4,4,未勝利,35.9,逃げ,4,4,25,東京,T,1400,良,4,6,未勝利,34.6,逃げ,14,1,18,中山,T,1600,良,6,8,未勝利・牝,36.1,逃げ,2,1,4,中山,T,1600,良,4,4,未勝利,35.6,先行,4
3,,3,,,,,ペカリーナ,,牝,3,連,7,25,札幌,T,1500,良,2,2,未勝利・牝,35.2,逃げ,10,5,17,東京,T,1800,良,5,4,未勝利,34.5,逃げ,3,4,25,東京,T,1800,良,3,6,未勝利・牝,34.8,逃げ,4,3,28,阪神,T,1800,良,5,7,君子蘭賞･1勝,35.3,後方,3,3,8,中山,D,1800,稍,10,8,未勝利・牝,42.4,中団,8
3,,4,,,,,シーシェル,,牝,3,7,6,13,函館,T,1200,稍,8,11,未勝利,34.7,中団,13,3,14,中山,D,1200,良,7,8,未勝利,38.9,先行,7,1,24,中山,D,1200,良,4,9,新馬,38.8,先行,初,,,,,,,,,,,,,,,,,,,,,,,,
4,,5,,,,,モンテール,,セ,3,13,5,2,新潟,T,1400,稍,6,12,未勝利,36.9,中団,19,12,21,中山,T,1600,重,11,7,未勝利*,36.5,後方,11,10,4,東京,T,1400,良,12,1,新馬,34.4,後方,初,,,,,,,,,,,,,,,,,,,,,,,,
4,,6,,,,,ロックフラワー,,牝,3,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,B,7,,,,,ポセイドンテソーロ,,牡,3,11,5,16,新潟,T,1600,良,7,14,未勝利,35.5,逃げ,21,12,20,中京,D,1200,稍,14,11,未勝利*,38.5,中団,2,12,6,中山,D,1200,良,9,5,未勝利*,39.2,中団,12,9,15,中山,D,1200,良,7,5,未勝利*,40.3,先行,12,6,21,東京,D,1400,良,11,6,新馬,39.0,中団,初
5,,8,,,,,エグジスタンス,,牡,3,3,7,11,函館,T,1800,稍,2,3,未勝利,35.9,先行,2,6,27,函館,T,1800,稍,5,6,未勝利,35.8,逃げ,2,6,14,函館,T,1800,良,3,5,未勝利,35.3,先行,8,4,19,福島,T,2000,良,8,1,未勝利,37.1,先行,8,2,21,小倉,T,1800,良,2,6,未勝利,35.8,先行,12
6,,9,,,,,ミアエッテ,,牡,3,13,5,3,東京,T,1600,良,16,12,未勝利,35.1,先行,17,1,5,中山,D,1800,稍,12,6,未勝利,44.0,後方,3,12,13,中山,T,1600,良,7,7,未勝利*,35.7,先行,3,11,24,東京,T,1400,良,11,7,未勝利*,34.7,中団,11,9,7,札幌,T,1500,稍,2,3,未勝利*,36.2,先行,2
6,,10,,,,,グローリーバローズ,,セ,3,2,7,18,函館,T,1800,良,5,10,未勝利,36.4,中団,4,6,20,阪神,T,1800,稍,10,11,未勝利,35.8,逃げ,21,1,25,京都,T,1600,良,4,9,新馬,34.9,差し,初,,,,,,,,,,,,,,,,,,,,,,,,
7,,11,,,,,ショウナンバーボン,,牡,3,9,5,30,東京,T,1400,良,6,3,未勝利,34.3,中団,2,5,16,新潟,T,1600,良,5,5,未勝利,35.0,先行,4,4,18,中山,T,1600,良,2,4,未勝利,35.2,逃げ,4,3,22,中京,D,1400,良,9,6,未勝利,40.0,中団,9,1,17,中山,D,1800,良,9,3,未勝利,42.6,先行,4
7,,12,,,,,ブルーエ,,牝,3,4,7,5,函館,T,1200,良,6,4,未勝利・牝,34.8,中団,2,6,20,函館,T,1200,良,3,3,未勝利,35.2,差し,8,4,26,福島,T,1200,良,3,1,未勝利・牝,34.1,先行,2,4,11,福島,T,1200,良,2,6,未勝利,34.3,先行,26,10,11,東京,T,1600,良,7,6,未勝利・牝*,34.8,中団,3
8,B,13,,,,,アトリ,,牝,3,6,6,20,函館,T,1800,良,13,7,未勝利・牝,37.7,逃げ,7,5,2,新潟,D,1800,不,12,4,未勝利・牝,46.3,逃げ,18,12,27,阪神,T,1600,良,13,6,未勝利*,37.0,先行,3,12,6,中京,T,2000,良,4,4,未勝利*,35.4,先行,8,10,12,東京,T,2000,良,6,5,未勝利*,35.0,先行,3
8,B,14,,,,,メイショウタダツグ,,牡,3,8,6,7,阪神,D,1400,良,9,7,未勝利,38.1,後方,11,3,21,阪神,T,1600,良,11,14,未勝利,34.9,中団,7,2,1,小倉,T,2000,良,16,9,未勝利,35.9,後方,3,1,12,京都,T,1600,良,6,5,新馬,35.6,先行,初,,,,,,,,,,,,
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026080201010403,2026.8.2,日,札幌,1札4,3,,未勝利,ダート,1700,,4,稍(暫定),曇(暫定),14,11:00,,馬齢,３歳
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,,1,,,,,モズヴイ,,牡,3,連,7,26,札幌,T,1200,良,9,3,未勝利,34.5,中団,4,6,28,小倉,T,1200,良,5,4,未勝利,35.7,先行,9,4,26,福島,T,1200,良,6,4,未勝利,34.7,中団,8,3,1,小倉,T,1200,良,5,5,未勝利,36.1,先行,2,2,15,小倉,T,1200,稍,5,2,未勝利,36.0,先行,14
2,B,2,,,,,ワンダーゾルダート,,牡,3,連,7,25,札幌,D,1700,良,9,5,未勝利,39.7,後方,6,6,14,阪神,D,1800,良,10,8,未勝利,39.9,先行,3,5,24,京都,D,1900,良,6,4,未勝利,39.5,逃げ,2,5,9,京都,D,1800,良,6,1,未勝利,40.0,中団,6,3,28,中京,D,1800,稍,6,4,未勝利・若,40.0,中団,2
3,B,3,,,,,ワンダーブリッツ,,牡,3,4,7,4,福島,D,1700,重,2,1,未勝利,37.2,差し,4,6,7,東京,D,2100,良,2,1,未勝利,37.9,先行,3,5,16,新潟,D,1800,良,3,1,未勝利,38.2,先行,8,3,21,中山,D,1800,良,2,3,未勝利,39.3,先行,初,,,,,,,,,,,,
4,,4,,,,,エースオブゴールド,,牡,3,2,7,18,函館,D,2400,良,9,11,未勝利,42.5,後方,23,2,10,東京,T,2400,良,18,12,未勝利,38.1,先行,2,1,25,中山,T,2000,良,13,13,新馬,35.1,後方,初,,,,,,,,,,,,,,,,,,,,,,,,
5,,5,,,,,イーサンミラー,,牡,3,2,7,18,函館,T,1800,良,11,6,未勝利,36.9,中団,9,5,16,新潟,T,1600,良,8,7,未勝利,35.6,先行,4,4,18,福島,T,1800,良,4,5,未勝利・若,34.8,差し,3,3,28,中京,T,1600,良,2,9,未勝利,34.4,先行,11,1,11,中山,T,2200,良,12,5,未勝利,37.3,先行,3
6,,6,,,,,ヘリオポリス,,牡,3,9,5,30,京都,D,1400,良,13,14,未勝利,38.1,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,7,,,,,イントゥゴールデン,,牡,3,13,5,3,東京,D,1400,稍,15,16,未勝利,40.6,先行,3,4,11,中山,D,1200,重,14,16,未勝利,37.6,後方,11,1,24,中山,D,1800,良,12,16,未勝利,42.8,後方,4,12,28,中山,D,1800,良,15,15,未勝利*,42.8,後方,3,12,6,中山,D,1800,良,14,15,未勝利*,39.4,後方,13
7,,8,,,,,ゴンフィンガー,,牡,3,4,7,5,函館,D,1700,良,3,1,未勝利,38.7,先行,2,6,21,函館,D,1700,良,3,7,未勝利,39.4,先行,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,B,9,,,,,ハイランダー,,牡,3,2,7,18,函館,D,2400,良,5,5,未勝利,40.8,中団,3,6,27,函館,D,1700,不,4,8,未勝利,37.9,差し,15,3,14,中山,D,1800,良,6,12,未勝利,39.8,中団,7,1,24,中山,D,1800,良,7,12,未勝利,41.0,後方,8,11,30,東京,T,1800,良,12,6,新馬,35.8,後方,初
8,,10,,,,,カンフージョン,,牡,3,4,7,5,函館,D,1700,良,14,14,未勝利,42.2,後方,2,6,20,函館,T,1200,良,15,16,未勝利,35.4,後方,9,4,19,福島,D,1150,良,13,10,未勝利,38.3,中団,8,2,21,小倉,D,1000,良,10,10,未勝利,37.0,中団,6,1,11,京都,D,1400,良,15,10,未勝利,42.4,逃げ,5
8,,11,,,,,ホウオウロレンシア,,牝,3,3,7,12,函館,D,1700,不,12,2,未勝利,40.5,中団,3,6,20,東京,D,1600,不,6,2,未勝利・牝,37.2,中団,連,6,13,東京,D,1600,重,2,1,未勝利・牝,36.9,先行,3,5,23,東京,D,1600,重,3,7,未勝利・牝,37.3,差し,3,5,2,東京,D,1400,重,5,10,未勝利・牝,37.9,中団,2
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026080201010404,2026.8.2,日,札幌,1札4,4,,1勝,芝,2600,A,6,稍(暫定),曇(暫定),14,11:30,,定量,３上
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,,1,,,,,エナジーショット,,牝,4,14,4,25,福島,T,1800,良,13,8,１勝ｸﾗｽ・牝,37.6,先行,2,4,11,福島,T,1800,良,8,12,浄土平特･1勝,36.5,先行,15,12,27,中山,D,1800,稍,15,6,１勝ｸﾗｽ,43.5,後方,2,12,14,中京,T,1600,稍,13,5,１勝ｸﾗｽ,34.3,後方,13,9,14,中山,T,1600,良,8,3,１勝ｸﾗｽ,34.0,中団,9
2,,2,,,,,ワンダフルデイズ,,牡,3,2,7,18,函館,T,2600,良,2,4,１勝ｸﾗｽ,35.7,先行,6,6,6,阪神,T,2200,良,6,2,１勝ｸﾗｽ,33.7,中団,3,5,16,京都,T,2000,良,3,7,あずさ賞･1勝,33.9,追込,5,4,11,阪神,D,1800,重,9,6,１勝ｸﾗｽ*,38.1,中団,3,3,22,阪神,D,1800,良,7,4,１勝ｸﾗｽ*,38.6,中団,6
3,B,3,,,,,ジーティートシオー,,牡,4,2,7,18,函館,T,2600,良,11,11,１勝ｸﾗｽ,37.5,後方,10,5,9,京都,D,1900,良,10,5,１勝ｸﾗｽ,39.9,後方,3,4,18,阪神,T,2400,良,9,7,１勝ｸﾗｽ,34.7,逃げ,4,3,22,阪神,T,2400,良,外,--,１勝ｸﾗｽ,----,,3,2,28,小倉,T,2600,稍,10,10,脊振山特･1勝,37.5,中団,2
4,,4,,,,,グランアルト,,牡,3,4,7,4,函館,T,2600,良,4,4,１勝ｸﾗｽ,37.9,先行,連,6,27,函館,T,2000,稍,6,9,１勝ｸﾗｽ,36.6,後方,11,4,11,中山,T,2000,良,6,5,山藤賞･1勝*,36.2,後方,3,3,22,中山,T,2000,良,4,4,１勝ｸﾗｽ*,35.3,先行,3,2,28,中山,T,2200,良,7,5,水仙賞･1勝*,37.8,中団,7
4,,5,,,,,クオンタムスター,,牡,3,7,6,13,函館,T,2600,稍,1,2,未勝利,34.7,差し,23,1,5,中山,T,2000,良,4,6,未勝利,35.9,追込,8,11,9,東京,T,2000,良,3,4,新馬,34.4,逃げ,初,,,,,,,,,,,,,,,,,,,,,,,,
5,,6,,,,,タケルフォーカス,,牡,3,3,7,12,函館,T,2600,重,1,2,未勝利,36.1,差し,3,6,20,阪神,T,1800,稍,5,6,未勝利,34.8,先行,7,5,2,新潟,T,2200,稍,2,8,未勝利,35.5,差し,11,2,15,京都,D,1800,良,7,5,未勝利,38.2,後方,2,2,1,京都,D,1900,良,7,3,未勝利,39.2,中団,7
5,B,7,,,,,ペリプルス,,牡,6,2,7,18,函館,T,2600,良,8,10,１勝ｸﾗｽ,36.4,後方,2,7,4,函館,T,2600,良,5,3,１勝ｸﾗｽ,38.2,後方,2,6,20,函館,T,2600,良,3,7,駒ケ岳特･1勝,34.4,差し,16,2,28,小倉,T,2600,稍,6,16,脊振山特･1勝,37.1,中団,2,2,15,小倉,T,2600,稍,12,13,１勝ｸﾗｽ,36.5,先行,2
6,,8,,,,,ランブリングマン,,牡,3,10,5,23,東京,D,1600,重,10,14,１勝ｸﾗｽ*,36.2,後方,2,5,10,東京,D,2100,良,12,11,１勝ｸﾗｽ*,39.0,中団,7,3,25,園田,D,1870,重,1,1,諭鶴羽,----,先行,5,2,15,小倉,D,1700,稍,5,9,未勝利,37.6,中団,3,1,25,小倉,D,1700,良,5,11,未勝利,38.6,中団,2
6,,9,,,,,ニヒトツーゼーア,,牡,4,6,6,20,阪神,D,1800,稍,9,13,１勝ｸﾗｽ,38.0,後方,9,4,18,中山,D,2400,良,2,1,１勝ｸﾗｽ,39.4,差し,3,3,28,中京,D,1900,稍,3,3,ロイヤル･1勝,37.9,差し,3,3,8,阪神,D,2000,良,2,1,１勝ｸﾗｽ,38.5,先行,3,2,15,小倉,D,2400,稍,6,1,１勝ｸﾗｽ,39.0,中団,3
7,,10,,,,,レイデラティエラ,,牡,4,4,7,5,小倉,T,2000,重,7,8,１勝ｸﾗｽ,37.3,後方,7,5,17,京都,T,2000,良,6,4,１勝ｸﾗｽ,35.5,先行,2,5,3,京都,T,2000,良,3,4,１勝ｸﾗｽ,34.1,追込,15,1,18,京都,T,2400,良,11,9,１勝ｸﾗｽ,36.9,中団,4,12,21,阪神,T,2200,重,10,13,１勝ｸﾗｽ,36.5,後方,13
7,,11,,,,,サイモンイロハニー,,牝,4,4,7,4,函館,T,2600,良,3,6,１勝ｸﾗｽ,37.4,追込,2,6,20,函館,T,2600,良,7,8,駒ケ岳特･1勝,35.1,先行,19,2,8,小倉,T,1800,良,13,16,１勝ｸﾗｽ・若,36.2,後方,3,1,18,京都,T,2400,良,10,11,１勝ｸﾗｽ,36.4,後方,10,11,8,京都,T,2000,良,12,13,１勝ｸﾗｽ,34.3,後方,3
8,,12,,,,,テイクザクラウン,,牡,5,2,7,18,函館,T,2600,良,6,5,１勝ｸﾗｽ,36.8,中団,4,6,20,阪神,T,2400,稍,5,8,１勝ｸﾗｽ,35.2,中団,10,4,12,福島,T,2600,良,2,5,燧ヶ岳特･1勝,35.9,ﾏｸﾘ,3,3,22,阪神,T,2400,良,5,4,１勝ｸﾗｽ,34.5,先行,3,2,28,小倉,T,2600,稍,3,7,脊振山特･1勝,36.8,追込,14
8,B,13,,,,,シャインバオバブ,,牡,4,2,7,18,函館,T,2600,良,9,9,１勝ｸﾗｽ,36.6,後方,4,6,20,函館,T,2600,良,5,6,駒ケ岳特･1勝,34.6,後方,連,6,13,函館,T,2000,稍,9,6,奥尻特別･1勝,35.6,後方,3,5,24,新潟,T,1800,稍,4,8,二王子特･1勝,34.0,追込,6,4,12,福島,T,2000,良,8,8,１勝ｸﾗｽ・若,35.0,中団,6
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026080201010405,2026.8.2,日,札幌,1札4,5,,新馬,芝,1800,A,4,稍(暫定),曇(暫定),14,12:20,,馬齢,２歳
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,,1,,,,,ジューンガレン,,牡,2,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,2,,,,,ホウオウプレマ,,牝,2,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,3,,,,,オンザボー,,牡,2,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,4,,,,,スワッグウォーク,,牡,2,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,5,,,,,サーギュスターヴ,,牡,2,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,6,,,,,ボンジュールパリ,,牡,2,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,7,,,,,ロゼプレミア,,牡,2,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,8,,,,,チャームジュネーヴ,,牝,2,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,9,,,,,デルマハッコウダ,,牡,2,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,10,,,,,グラブザクラウン,,牡,2,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026080201010406,2026.8.2,日,札幌,1札4,6,,1勝,ダート,1700,,4,稍(暫定),曇(暫定),14,12:50,,定量,３上
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,,1,,,,,ステイアンビシャス,,牡,4,3,7,12,函館,D,2400,不,4,7,１勝ｸﾗｽ,38.2,先行,12,4,18,中山,D,2400,良,10,5,１勝ｸﾗｽ,40.5,後方,3,3,31,船橋,D,1800,重,4,2,フレン,----,追込,12,1,5,中山,D,2400,稍,3,4,１勝ｸﾗｽ,40.4,ﾏｸﾘ,3,12,14,中山,D,2500,稍,4,9,１勝ｸﾗｽ,40.0,差し,7
2,B,2,,,,,アスクガンバーレ,,牡,4,6,6,21,函館,D,1700,良,5,2,１勝ｸﾗｽ,37.2,先行,10,4,12,阪神,D,1800,稍,7,3,１勝ｸﾗｽ,37.1,中団,2,3,28,中京,D,1900,稍,2,1,ロイヤル･1勝,37.4,追込,10,1,18,京都,D,1900,良,3,2,１勝ｸﾗｽ,37.1,追込,2,1,5,京都,D,1800,良,4,2,１勝ｸﾗｽ,37.4,追込,18
