レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026082901020301,2026.8.29,土,札幌,2札3,1,,未勝利,ダート,1700,,4,稍(暫定),曇(暫定),14,10:00,,馬齢,３歳
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026082901020303,2026.8.29,土,札幌,2札3,3,,未勝利,芝,1800,B,4,稍(暫定),曇(暫定),14,11:00,,馬齢,２歳
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,,1,,,,,ダノンキューブ,,牝,2,8,7,5,函館,T,1800,良,2,2,新馬,35.3,逃げ,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,2,,,,,サンゴート,,牝,2,6,7,18,函館,T,1800,良,8,8,未勝利*,36.0,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,3,,,,,エコロナイン,,牡,2,11,6,13,東京,T,1400,良,5,1,新馬,34.6,先行,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,4,,,,,アイアムツヨスギル,,牡,2,2,8,16,札幌,T,1800,良,10,4,新馬,37.1,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,5,,,,,ロマノヴェリテ,,牡,2,3,8,8,札幌,T,1800,稍,3,7,新馬,35.5,先行,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,6,,,,,チェッリーニ,,牝,2,3,8,9,札幌,T,1500,良,8,11,新馬・牝,35.5,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,7,,,,,マシュマロデイズ,,牝,2,連,8,22,札幌,T,1500,良,6,2,新馬,36.0,中団,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,8,,,,,トルネードサンダー,,牝,2,3,8,8,札幌,T,1500,稍,7,5,未勝利*,36.2,中団,4,7,12,函館,T,1800,重,5,8,新馬,36.4,先行,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,9,,,,,イドム,,牡,2,3,8,8,札幌,T,1800,稍,5,8,新馬,35.4,先行,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,10,,,,,マイネルサリーレ,,牡,2,2,8,15,札幌,T,1800,良,10,8,未勝利*,37.5,後方,2,8,1,新潟,T,1800,良,7,7,新馬,34.6,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,11,,,,,シャイニーヒーロー,,牡,2,2,8,16,札幌,T,1800,良,9,12,新馬,36.9,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026082901020304,2026.8.29,土,札幌,2札3,4,,未勝利,ダート,1000,,2,稍(暫定),曇(暫定),12,11:30,,馬齢,３歳
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,,1,,,,,ニシノギャルズ,,牝,3,連,8,23,札幌,D,1000,良,5,6,未勝利・牝,35.5,中団,6,7,12,函館,D,1000,不,6,10,未勝利,35.4,中団,5,6,7,東京,D,1300,良,13,8,未勝利,39.1,中団,10,3,28,中山,D,1200,重,7,4,未勝利・牝,38.1,先行,3,3,7,中山,D,1200,重,4,9,未勝利・牝,38.1,先行,17
2,B,2,,,,,ゲレイロ,,牡,3,6,7,22,門別,D,1200,稍,3,3,リゲル,----,先行,連,7,11,函館,D,1700,重,8,6,未勝利,40.3,逃げ,連,7,4,函館,T,1200,良,6,13,未勝利,34.5,中団,9,5,2,新潟,D,1200,不,7,5,未勝利・若,38.2,後方,2,4,19,福島,D,1150,良,4,7,未勝利,36.7,追込,3
3,B,3,,,,,ハクサンレイホウ,,牡,3,3,8,9,札幌,D,1000,良,5,11,未勝利,37.2,先行,6,6,28,福島,D,1150,良,10,14,未勝利,38.1,中団,34,11,1,東京,D,1400,不,14,12,新馬,37.8,後方,初,,,,,,,,,,,,,,,,,,,,,,,,
4,B,4,,,,,オスロクィーン,,牝,3,7,7,12,福島,D,1150,稍,15,12,未勝利,39.7,先行,11,4,26,福島,T,1200,良,12,11,未勝利,35.6,先行,16,1,5,中山,D,1200,稍,13,7,未勝利,38.5,後方,11,10,19,新潟,D,1200,重,10,5,未勝利*,38.3,後方,14,7,12,福島,D,1150,良,11,1,新馬,40.0,中団,初
5,B,5,,,,,アニマレイ,,牡,3,2,8,15,札幌,D,1000,良,4,2,未勝利,35.4,差し,16,4,26,東京,D,1300,稍,3,1,未勝利,36.9,差し,3,4,4,阪神,D,1400,稍,5,1,未勝利,37.9,中団,4,3,8,阪神,D,1400,良,2,2,未勝利,38.1,先行,4,2,7,京都,D,1400,良,2,1,未勝利,37.2,先行,2
5,,6,,,,,ハイティー,,牝,3,6,7,18,福島,T,1200,良,14,4,未勝利,36.8,逃げ,55,6,29,福島,T,1200,良,2,1,新馬・牝,35.5,先行,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,7,,,,,フェイスリフト,,牡,3,2,8,15,札幌,D,1000,良,3,6,未勝利,35.4,先行,6,7,5,福島,D,1150,良,6,2,未勝利,37.2,中団,4,6,7,東京,D,1300,良,3,1,未勝利,36.8,差し,4,5,9,東京,D,1300,良,2,1,未勝利,37.4,差し,4,4,11,中山,D,1200,重,2,1,未勝利,37.0,差し,3
6,,8,,,,,ジューンマロン,,牝,3,6,7,19,函館,T,1200,重,16,13,未勝利,38.7,中団,6,6,6,阪神,D,1400,良,16,8,未勝利・牝,43.7,中団,44,8,2,中京,T,1400,良,4,2,未勝利*,34.4,先行,8,6,8,阪神,T,1400,良,7,5,新馬,35.1,後方,初,,,,,,,,,,,,
7,B,9,,,,,ディースカウ,,牡,3,20,4,11,福島,D,1150,良,14,5,未勝利,38.2,後方,10,1,31,京都,T,2000,良,8,5,新馬,36.2,逃げ,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,10,,,,,マッシブショット,,セ,3,6,7,22,大井,D,1200,良,3,7,フォー,----,先行,連,7,12,福島,D,1150,稍,10,13,未勝利,38.2,後方,7,5,23,東京,D,1400,重,10,8,未勝利,38.7,中団,3,5,3,東京,D,1400,稍,8,13,未勝利,38.5,逃げ,3,4,12,中山,D,1200,稍,7,8,未勝利,37.9,後方,2
8,,11,,,,,ミスマラッカ,,牝,3,6,7,19,函館,D,1000,不,8,5,未勝利,37.1,先行,2,7,5,函館,D,1000,良,5,10,未勝利,37.1,中団,44,8,30,新潟,D,1800,良,13,11,未勝利*,43.5,中団,3,8,9,新潟,D,1200,良,7,14,未勝利*,37.8,後方,4,7,12,福島,D,1150,良,7,13,新馬,37.9,後方,初
8,B,12,,,,,スマートコーラル,,牝,3,6,7,19,函館,D,1700,不,7,5,未勝利,40.0,逃げ,5,6,13,函館,D,1700,稍,10,2,未勝利・牝,40.6,逃げ,3,5,23,新潟,D,1800,稍,5,1,未勝利・牝,40.3,先行,3,5,2,新潟,D,1800,不,2,9,未勝利・牝,40.7,逃げ,3,4,11,阪神,D,1800,重,6,15,未勝利・牝,40.3,先行,3
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026082901020305,2026.8.29,土,札幌,2札3,5,,新馬,ダート,1700,,4,稍(暫定),曇(暫定),14,12:20,,馬齢,２歳
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,,1,,,,,ユーフォナイト,,牡,2,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,2,,,,,ハイネスプラウド,,牡,2,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,3,,,,,ロンバルディア,,牡,2,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,4,,,,,ウィナーズクロノ,,牡,2,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,5,,,,,フィールザウィル,,牝,2,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,6,,,,,コスモセイント,,牡,2,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,7,,,,,フクノブロッサム,,牝,2,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,8,,,,,テンラッキーロード,,牡,2,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,9,,,,,ハリケンライズ,,牡,2,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,10,,,,,ゴーストミステリー,,牡,2,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,11,,,,,モントリオール,,牡,2,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,12,,,,,リュウノタキノボリ,,牡,2,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,13,,,,,ルクシエル,,牡,2,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,14,,,,,ルボワ,,牡,2,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026082901020306,2026.8.29,土,札幌,2札3,6,,未勝利,芝,1500,B,3,稍(暫定),曇(暫定),14,12:50,,馬齢,３歳
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,B,1,,,,,ヒルノボローニャ,,セ,3,9,6,28,函館,D,1700,稍,7,3,未勝利,39.3,逃げ,連,6,20,函館,T,2000,良,7,8,未勝利,36.5,逃げ,21,1,25,京都,T,1600,良,10,6,新馬,34.6,後方,初,,,,,,,,,,,,,,,,,,,,,,,,
2,,2,,,,,フレンチブラッサム,,牝,3,2,8,15,札幌,D,1700,良,5,2,未勝利,39.0,中団,2,8,2,札幌,D,1700,良,4,3,未勝利・牝,38.5,差し,3,7,11,函館,D,1700,重,3,6,未勝利・牝,37.5,差し,7,5,23,東京,D,1600,重,4,4,未勝利・牝,37.5,差し,3,5,3,東京,D,1600,稍,4,8,未勝利・牝,38.1,差し,4
3,B,3,,,,,イトシサ,,牡,3,3,8,8,札幌,D,1700,稍,4,2,未勝利,38.9,先行,3,7,18,函館,D,1700,良,3,3,未勝利,38.1,先行,3,6,28,福島,D,1700,良,4,2,未勝利,38.0,逃げ,7,5,9,東京,T,1400,良,9,3,未勝利,34.6,中団,13,2,7,小倉,T,1200,良,5,1,未勝利,35.6,中団,4
3,,4,,,,,ヒメヒオウギ,,牝,3,2,8,16,札幌,T,2000,良,4,6,未勝利,35.8,差し,2,8,1,札幌,T,1800,稍,4,2,未勝利,35.7,先行,4,7,4,函館,T,1800,良,4,5,未勝利,34.4,差し,3,6,14,函館,T,2000,良,4,11,未勝利,35.6,差し,5,5,9,京都,T,2000,良,6,9,未勝利・牝,34.7,先行,3
4,,5,,,,,グリニッジローズ,,牝,3,9,6,27,函館,T,1200,重,12,10,未勝利,35.5,中団,15,3,14,中京,D,1200,良,13,12,未勝利,39.6,中団,3,2,22,東京,D,1400,良,16,9,新馬,45.8,先行,初,,,,,,,,,,,,,,,,,,,,,,,,
4,,6,,,,,エイシンキーンラン,,牝,3,2,8,15,札幌,T,1500,良,3,4,未勝利,35.0,逃げ,12,5,23,東京,D,1600,重,11,8,未勝利・牝,39.3,逃げ,4,4,25,福島,D,1700,良,8,3,未勝利・牝,40.4,先行,2,4,12,福島,D,1700,良,3,7,未勝利,40.3,先行,9,2,7,東京,T,1800,良,9,10,新馬,35.0,中団,初
5,,7,,,,,ランウェイミューズ,,牝,3,2,8,15,札幌,T,1500,良,5,6,未勝利,34.3,中団,4,7,19,福島,T,1800,良,4,4,未勝利,36.0,先行,9,5,16,新潟,T,1600,良,9,6,未勝利,34.8,中団,10,3,8,中山,T,1800,良,3,4,未勝利,36.5,先行,12,12,14,中山,T,1600,稍,2,2,新馬,36.2,先行,初
5,,8,,,,,サートゥルチェア,,牝,3,28,2,14,東京,T,1800,良,3,5,未勝利・牝,33.9,差し,4,1,18,中山,T,1600,良,5,7,未勝利・牝,35.8,先行,3,12,28,中山,T,2000,良,5,8,新馬,36.0,先行,初,,,,,,,,,,,,,,,,,,,,,,,,
6,,9,,,,,ハイバーニアン,,牡,3,11,6,14,函館,T,1200,良,8,15,未勝利,34.2,後方,9,4,11,中山,D,1200,重,15,14,未勝利,39.1,中団,8,2,15,東京,D,1600,良,16,9,新馬,40.8,中団,初,,,,,,,,,,,,,,,,,,,,,,,,
6,,10,,,,,ジャーナーリア,,牡,3,連,8,22,札幌,D,1700,良,5,7,未勝利,38.2,逃げ,3,8,1,札幌,D,1000,稍,9,2,未勝利,36.7,中団,2,7,19,函館,D,1000,不,2,1,未勝利,35.8,先行,3,6,28,函館,D,1000,稍,消,--,未勝利,----,,2,6,13,函館,T,1200,稍,5,2,未勝利,35.1,先行,3
7,,11,,,,,ペカリーナ,,牝,3,4,8,2,札幌,T,1500,良,4,1,未勝利,35.7,先行,連,7,25,札幌,T,1500,良,2,2,未勝利・牝,35.2,逃げ,10,5,17,東京,T,1800,良,5,4,未勝利,34.5,逃げ,3,4,25,東京,T,1800,良,3,6,未勝利・牝,34.8,逃げ,4,3,28,阪神,T,1800,良,5,7,君子蘭賞･1勝,35.3,後方,3
7,,12,,,,,サウンドファミリエ,,牝,3,2,8,15,札幌,T,1500,良,2,7,未勝利,34.6,先行,2,8,1,札幌,T,1800,稍,3,7,未勝利,34.8,ﾏｸﾘ,3,7,12,函館,T,2000,重,2,9,未勝利・牝,38.3,先行,3,6,20,函館,T,1800,良,7,15,未勝利・牝,36.2,ﾏｸﾘ,7,5,3,新潟,T,2000,稍,6,16,未勝利・牝,35.5,後方,11
