レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026092706040901,2026.9.27,日,中山,4中9,1,,未勝利,ダート,1200,,2,重(暫定),曇(暫定),16,10:00,牝,馬齢,２歳
8,,15,,,,,シュネルアステリア,,牝,2,2,9,13,中山,D,1200,重,7,16,未勝利*,39.0,先行,13,6,14,東京,D,1400,稍,11,11,新馬,41.9,先行,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,16,,,,,パルセノスミハ,,牝,2,3,9,5,中山,D,1800,重,6,6,未勝利*,41.4,逃げ,3,8,16,新潟,D,1200,良,6,9,未勝利*,37.7,中団,5,7,11,福島,T,1200,良,9,9,新馬,36.1,中団,初,,,,,,,,,,,,,,,,,,,,,,,,
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026092706040902,2026.9.27,日,中山,4中9,2,,未勝利,芝,2000,C,4,重(暫定),曇(暫定),18,10:35,,馬齢,２歳
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,,1,,,,,ゴーゼンチュー,,牝,2,3,9,5,中山,T,1800,稍,10,11,未勝利*,35.9,後方,9,7,5,福島,T,1200,良,13,10,新馬,37.1,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,2,,,,,プリンキパトゥス,,牡,2,12,7,5,福島,T,2000,良,2,10,新馬,36.2,先行,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,3,,,,,エーアイラピド,,牡,2,3,9,5,中山,T,2000,良,10,7,新馬,35.8,中団,2,8,22,新潟,T,1600,良,外,--,新馬,----,,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,4,,,,,ニューロファイター,,牡,2,12,7,4,福島,T,1800,稍,4,3,未勝利*,35.7,先行,4,6,6,東京,T,1400,良,4,4,新馬,35.0,追込,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,5,,,,,カシノデスティニー,,牝,2,2,9,13,中山,T,1800,稍,8,10,新馬,35.5,中団,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,6,,,,,トーセンマスラオ,,牡,2,11,7,11,福島,T,1800,良,3,4,未勝利*,35.4,差し,3,6,21,東京,T,1800,稍,4,11,新馬,33.9,差し,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,7,,,,,コウサイリクリ,,牝,2,3,9,5,中山,T,1800,稍,3,3,未勝利*,35.4,逃げ,3,8,15,新潟,T,1800,良,2,6,新馬,33.9,差し,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,8,,,,,ロワデュモンド,,牡,2,10,7,19,福島,T,2000,良,4,6,新馬,35.3,差し,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,9,,,,,フォクセン,,牡,2,6,8,15,新潟,T,1800,良,12,9,新馬,36.9,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,B,10,,,,,マイネルウルカヌス,,牡,2,2,9,13,中山,T,2000,重,9,9,未勝利*,39.3,後方,2,8,30,新潟,T,1800,良,9,8,新馬,35.7,中団,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,11,,,,,ギガントシュラーク,,牡,2,2,9,13,中山,T,2000,重,4,10,未勝利*,35.8,差し,2,8,30,新潟,D,1800,良,7,13,新馬,41.4,中団,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,12,,,,,レジームチェンジ,,牡,2,6,8,16,札幌,T,1800,良,2,1,新馬,35.9,先行,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026092706040903,2026.9.27,日,中山,4中9,3,,未勝利,ダート,1800,,4,重(暫定),曇(暫定),16,11:05,,馬齢,２歳
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,,1,,,,,レッドマウロア,,牡,2,4,8,30,新潟,D,1800,良,2,2,新馬,39.4,先行,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,2,,,,,ニシノマキロイ,,牡,2,2,9,12,中山,D,1800,不,4,8,未勝利*,39.9,差し,2,8,30,新潟,D,1800,良,8,9,新馬,41.1,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,3,,,,,フレンドミラノ,,牡,2,3,9,5,札幌,D,1700,重,5,9,未勝利*,38.4,中団,3,8,15,札幌,T,1200,良,12,10,新馬,35.3,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,4,,,,,ファブリック,,牡,2,3,9,6,中山,D,1800,不,3,5,新馬,38.9,先行,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,B,5,,,,,グラスクラージュ,,牡,2,2,9,12,中山,D,1800,不,8,7,未勝利*,41.6,逃げ,連,9,5,阪神,D,1400,稍,9,10,未勝利*,39.3,後方,9,7,4,福島,T,1800,良,13,13,新馬,38.4,後方,初,,,,,,,,,,,,,,,,,,,,,,,,
6,,6,,,,,ナムラアラバイ,,牡,2,7,8,8,新潟,D,1200,良,6,6,新馬,38.2,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,7,,,,,メイプルカモーン,,牡,2,3,9,6,中山,D,1800,不,4,8,新馬,37.8,差し,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,8,,,,,ファウナード,,牡,2,10,7,18,福島,T,1800,良,7,7,未勝利*,37.3,中団,2,7,5,福島,T,2000,良,10,9,新馬,36.2,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,9,,,,,イキフン,,牡,2,2,9,12,中山,D,1800,不,2,2,未勝利*,39.8,先行,9,7,12,福島,T,1800,稍,7,13,新馬,36.2,中団,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026092706040904,2026.9.27,日,中山,4中9,4,,新馬,芝,1200,C,2,重(暫定),曇(暫定),16,11:35,,馬齢,２歳
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,,1,,,,,リゼスカーレット,,牝,2,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,2,,,,,アイファーティアラ,,牝,2,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,3,,,,,マルジョレーヌ,,牝,2,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,4,,,,,ジョワリヴレ,,牝,2,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,5,,,,,ミエノヴィヴィッド,,牡,2,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,6,,,,,アッパレヤ,,牡,2,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,7,,,,,ピンクダイアモンド,,牝,2,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,8,,,,,ナムラジョン,,牡,2,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,9,,,,,ダブルスプリング,,牡,2,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,10,,,,,ブランカバローズ,,牡,2,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,11,,,,,コックコート,,牡,2,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,12,,,,,フレンチネイル,,牝,2,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,13,,,,,エコロヴィータ,,牝,2,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,14,,,,,ユーサイコー,,牝,2,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,15,,,,,リオビーチ,,牝,2,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026092706040905,2026.9.27,日,中山,4中9,5,,新馬,芝,2000,C,4,重(暫定),曇(暫定),18,12:25,,馬齢,２歳
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,,1,,,,,タイセイパーシスト,,牡,2,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,2,,,,,ケルンミッチー,,牡,2,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,3,,,,,ダイアナマリア,,牝,2,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,4,,,,,テムグリーン,,牡,2,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,5,,,,,キセキテキニキテル,,牡,2,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,6,,,,,スワーヴバシレウス,,牡,2,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,7,,,,,ライカホウ,,牡,2,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,8,,,,,テイクユアタイム,,牡,2,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,9,,,,,エルエシック,,牝,2,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,10,,,,,リンカーンバローズ,,牡,2,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026092706040906,2026.9.27,日,中山,4中9,6,,1勝,ダート,1800,,4,重(暫定),曇(暫定),16,12:55,,定量,３上
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,,1,,,,,アルデラックス,,牡,4,54,9,13,中山,D,1800,不,1,1,未勝利,38.6,差し,33,1,26,中山,D,1800,良,2,9,未勝利,39.0,先行,4,12,28,中山,T,2000,良,8,6,新馬,35.7,中団,初,,,,,,,,,,,,,,,,,,,,,,,,
1,,2,,,,,ソロモン,,牡,4,80,3,15,中京,D,1800,良,13,6,１勝ｸﾗｽ*,40.2,後方,24,9,28,中京,D,1400,良,6,5,ヤマボウ･1勝,37.4,先行,6,8,18,札幌,T,1500,良,4,3,クローバ,35.8,逃げ,2,8,3,札幌,T,1500,良,1,1,未勝利*,35.3,先行,6,6,22,東京,T,1800,稍,4,1,新馬,34.0,先行,初
2,,3,,,,,タルタロス,,牡,5,15,6,14,東京,D,1600,稍,6,9,１勝ｸﾗｽ,35.4,後方,3,5,24,新潟,D,1800,稍,7,11,１勝ｸﾗｽ,37.5,中団,2,5,9,新潟,D,1800,稍,3,6,１勝ｸﾗｽ,40.0,追込,4,4,12,福島,D,1700,良,5,10,１勝ｸﾗｽ,37.8,中団,18,12,6,中京,D,1900,良,8,9,１勝ｸﾗｽ,38.0,後方,2
2,,4,,,,,ベンメリア,,セ,4,16,6,6,東京,D,1600,良,8,14,１勝ｸﾗｽ,38.1,中団,8,4,12,福島,D,1700,良,8,13,１勝ｸﾗｽ,38.8,中団,16,12,19,金沢,D,1400,重,1,1,熊本ゴ,----,逃げ,2,12,8,金沢,D,1500,重,4,7,金沢競,----,先行,2,11,23,金沢,D,1400,重,1,1,９５旅,----,先行,3
3,B,5,,,,,グランドスウェル,,セ,3,2,9,13,阪神,D,1800,良,3,9,１勝ｸﾗｽ,38.3,先行,4,8,15,新潟,D,1800,良,10,8,三国特別･1勝,40.0,中団,20,3,28,中山,D,1800,重,1,5,未勝利,37.5,先行,3,3,7,中山,D,1800,重,7,11,未勝利,40.3,中団,3,2,15,東京,D,2100,良,11,4,未勝利,40.1,後方,2
3,,6,,,,,スターツトゥデイ,,牡,3,13,6,27,福島,D,1700,稍,1,2,未勝利,38.8,先行,8,5,3,東京,D,1600,稍,5,5,未勝利,37.4,中団,15,1,17,中山,D,1800,良,7,1,新馬,40.2,中団,初,,,,,,,,,,,,,,,,,,,,,,,,
4,,7,,,,,ダンツティアラ,,セ,5,31,2,21,東京,D,1600,良,2,4,１勝ｸﾗｽ,36.2,先行,12,11,29,東京,D,1600,良,6,5,１勝ｸﾗｽ,36.3,中団,3,11,9,東京,D,1600,稍,3,7,１勝ｸﾗｽ,36.7,差し,36,3,2,中山,D,1800,良,10,2,１勝ｸﾗｽ,42.2,逃げ,10,12,22,中山,D,1800,良,7,1,１勝ｸﾗｽ,41.5,先行,12
4,,8,,,,,ホウオウライセンス,,牡,3,10,7,18,函館,D,1700,良,1,11,未勝利,37.5,逃げ,7,5,31,東京,D,1400,良,10,5,未勝利,38.1,中団,9,3,29,中山,D,1800,稍,10,6,未勝利,43.4,中団,初,,,,,,,,,,,,,,,,,,,,,,,,
5,,9,,,,,ユーウェイン,,セ,4,16,6,6,東京,D,1600,良,13,12,１勝ｸﾗｽ,38.3,中団,3,5,17,新潟,D,1200,良,9,9,１勝ｸﾗｽ,38.0,後方,3,4,26,東京,D,1600,稍,11,11,１勝ｸﾗｽ,39.0,先行,2,4,11,中山,D,1800,稍,6,13,１勝ｸﾗｽ,39.0,中団,29,9,23,金沢,D,1500,良,1,1,サラ系,----,先行,2
5,B,10,,,,,ディースプレマシー,,牡,4,11,7,12,函館,D,2400,不,10,10,１勝ｸﾗｽ,41.1,後方,3,6,21,函館,D,1700,良,7,9,１勝ｸﾗｽ,37.1,中団,連,6,13,函館,D,1700,稍,4,11,１勝ｸﾗｽ,38.8,差し,9,4,11,中山,D,1800,稍,10,9,１勝ｸﾗｽ,38.4,後方,2,3,29,中山,D,1800,稍,7,5,１勝ｸﾗｽ,39.5,中団,3
6,,11,,,,,ミスターキャンベラ,,牡,3,20,5,10,東京,D,2100,良,10,3,１勝ｸﾗｽ*,39.5,逃げ,5,4,5,中山,D,1800,不,1,1,未勝利,38.4,逃げ,3,3,14,中山,D,1800,良,2,1,未勝利,39.1,ﾏｸﾘ,6,1,31,東京,D,1600,良,3,1,未勝利,37.5,差し,3,1,11,中山,D,1800,良,2,1,未勝利,40.9,先行,3
6,,12,,,,,ロードインフェルノ,,牡,5,20,5,9,東京,D,2100,良,9,3,１勝ｸﾗｽ,38.9,後方,3,4,18,中山,D,2400,良,5,4,１勝ｸﾗｽ,39.4,後方,4,3,21,中山,D,2400,良,4,5,１勝ｸﾗｽ,38.7,差し,5,2,14,東京,D,2100,良,5,11,１勝ｸﾗｽ,36.7,後方,2,1,31,東京,D,2100,良,5,15,１勝ｸﾗｽ,38.1,後方,2
7,,13,,,,,ガンハンマー,,牡,4,18,5,23,東京,D,1400,稍,9,9,１勝ｸﾗｽ,35.6,後方,8,3,29,中山,D,1200,稍,7,8,１勝ｸﾗｽ,36.6,後方,11,1,10,中山,D,1200,良,8,6,１勝ｸﾗｽ,36.8,後方,13,10,11,東京,D,1400,稍,10,7,１勝ｸﾗｽ,37.9,中団,17,6,15,東京,D,1600,重,7,5,１勝ｸﾗｽ,36.5,中団,7
7,,14,,,,,シーギリヤロック,,牡,3,15,6,14,東京,T,2000,良,4,2,１勝ｸﾗｽ,34.1,先行,12,3,22,中山,T,2000,良,1,1,未勝利,35.4,先行,12,12,27,中山,T,2000,良,4,5,未勝利*,36.1,追込,14,9,21,中山,T,2000,良,2,2,新馬,34.4,先行,初,,,,,,,,,,,,
8,,15,,,,,アトラステソーロ,,牡,3,30,3,1,中山,D,1800,稍,1,1,未勝利,39.3,逃げ,23,9,21,中山,D,1800,稍,5,4,新馬,39.5,先行,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,B,16,,,,,ワンダーブリッツ,,牡,3,8,8,2,札幌,D,1700,良,1,1,未勝利,36.8,先行,4,7,4,福島,D,1700,重,2,1,未勝利,37.2,差し,4,6,7,東京,D,2100,良,2,1,未勝利,37.9,先行,3,5,16,新潟,D,1800,良,3,1,未勝利,38.2,先行,8,3,21,中山,D,1800,良,2,3,未勝利,39.3,先行,初
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026092706040907,2026.9.27,日,中山,4中9,7,,1勝,芝,1600,C,3,重(暫定),曇(暫定),16,13:25,,定量,３上
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,,1,,,,,ウインロゼライト,,牝,4,9,7,25,新潟,T,1400,良,10,15,１勝ｸﾗｽ・牝,34.2,中団,34,12,3,笠松,D,1400,良,1,1,Ｃ８組,----,逃げ,3,11,6,笠松,D,1600,良,9,6,コウテ,----,中団,2,10,23,笠松,D,1400,良,1,1,Ｃ１０,----,逃げ,3,10,8,笠松,D,1400,良,2,2,忍君・,----,先行,連
1,B,2,,,,,サクラパステル,,牝,4,20,5,10,東京,D,1300,良,15,7,１勝ｸﾗｽ,37.0,後方,27,11,1,東京,D,1400,重,15,8,１勝ｸﾗｽ・牝,40.9,後方,19,6,21,東京,D,1400,良,1,4,未勝利,36.0,逃げ,3,6,1,東京,D,1400,重,4,12,未勝利,36.7,先行,12,3,8,中山,D,1200,重,13,9,未勝利・牝,39.3,後方,初
2,,3,,,,,コスモキャバリエ,,牡,4,3,9,6,札幌,T,1500,良,2,8,１勝ｸﾗｽ,35.2,差し,連,8,29,札幌,T,1800,稍,10,7,１勝ｸﾗｽ,36.7,先行,2,8,16,新潟,T,1800,良,7,6,１勝ｸﾗｽ,33.7,中団,17,4,19,福島,T,1800,良,6,1,１勝ｸﾗｽ,35.4,先行,連,4,11,福島,T,1800,良,2,8,浄土平特･1勝,36.0,先行,3
2,,4,,,,,アテンスマイル,,牝,5,12,7,4,福島,T,1200,良,13,14,１勝ｸﾗｽ・牝,35.2,中団,7,5,16,新潟,T,1400,良,10,9,１勝ｸﾗｽ,34.6,中団,14,2,11,姫路,D, 800,稍,1,1,福留孝,----,先行,3,1,15,園田,D,1230,良,4,5,ネコニ,----,先行,4,12,23,園田,D,1230,稍,3,5,峯相記,----,逃げ,3
