レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026062102010401,2026.6.21,日,函館,1函4,1,,未勝利,芝,1200,A,2,良(暫定),曇(暫定),16,09:50,牝,馬齢,３歳
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,,1,,,,,ハイドパーク,,牡,3,6,5,10,京都,D,1900,良,6,2,未勝利,38.7,先行,7,3,21,阪神,D,2000,稍,5,5,未勝利,37.7,中団,2,3,7,阪神,D,2000,稍,3,6,未勝利,38.5,追込,6,1,25,京都,D,1900,良,6,13,未勝利,38.2,後方,2,1,12,京都,D,1800,良,11,13,新馬,37.7,後方,初
2,B,2,,,,,ポップアップ,,セ,3,7,5,3,京都,D,1900,稍,5,7,未勝利,38.1,中団,2,4,18,阪神,D,2000,良,9,8,未勝利,38.3,後方,6,3,7,阪神,D,2000,稍,2,12,未勝利,38.2,追込,8,1,10,京都,D,1900,良,8,11,未勝利,38.5,後方,20,8,24,新潟,T,2000,良,10,10,新馬,37.1,中団,初
3,B,3,,,,,ウインモンクール,,牡,3,4,5,24,京都,D,1900,良,5,7,未勝利,39.2,先行,5,4,18,阪神,D,2000,良,11,9,未勝利,39.2,中団,15,1,4,京都,D,1800,良,3,1,新馬,39.8,先行,初,,,,,,,,,,,,,,,,,,,,,,,,
4,,4,,,,,キヨタリート,,牡,3,連,6,14,函館,T,1800,良,15,4,未勝利,35.0,後方,20,1,24,小倉,T,2000,良,7,7,新馬,34.8,中団,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,5,,,,,ラヴィニアパーク,,牡,3,7,5,3,東京,T,1800,良,11,7,未勝利,34.2,後方,6,3,22,中山,D,1800,良,6,4,未勝利,40.9,中団,8,1,24,中山,T,2200,良,12,11,未勝利,36.7,中団,9,11,23,東京,T,2000,良,11,3,新馬,34.4,後方,初,,,,,,,,,,,,
6,,6,,,,,マーゴットデウス,,セ,3,2,6,7,阪神,D,1800,良,10,9,未勝利,39.7,中団,3,5,17,新潟,D,1800,良,5,6,未勝利,38.4,後方,2,5,2,新潟,T,2200,稍,13,14,未勝利,36.6,後方,23,11,24,福島,T,1800,良,16,13,新馬,38.3,後方,初,,,,,,,,,,,,
6,,7,,,,,テンカフブ,,牡,3,4,5,23,京都,D,1800,稍,11,10,未勝利,40.0,中団,2,5,9,京都,D,1800,良,8,12,未勝利,39.4,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,8,,,,,ロードステラート,,牡,3,4,5,23,京都,D,1800,稍,5,3,未勝利,40.5,先行,2,5,9,新潟,D,1800,稍,3,2,未勝利,41.7,先行,3,4,18,中山,D,1800,良,4,3,未勝利,37.7,差し,5,3,14,阪神,D,1400,良,7,3,未勝利,38.1,先行,9,1,12,京都,D,1800,良,9,4,未勝利,40.6,逃げ,2
7,,9,,,,,ジャストグレース,,牡,3,5,5,17,京都,D,1900,良,5,11,未勝利,38.3,後方,2,5,3,京都,D,1900,稍,10,10,未勝利,39.5,中団,3,4,11,福島,D,1700,良,12,9,未勝利,39.9,後方,初,,,,,,,,,,,,,,,,,,,,,,,,
8,B,10,,,,,トーセンアミューズ,,牡,3,連,6,13,函館,D,1700,稍,9,11,未勝利,40.0,後方,3,5,23,東京,D,2100,重,9,6,未勝利,39.3,後方,7,4,4,中山,D,1800,稍,5,5,未勝利,40.7,先行,10,1,25,中山,D,1800,良,6,15,新馬,41.0,中団,初,,,,,,,,,,,,
8,,11,,,,,フクチャンブラック,,牡,3,9,4,18,中山,D,1800,良,9,8,未勝利,38.7,中団,2,4,5,阪神,T,2400,稍,11,8,未勝利,37.7,後方,8,2,10,京都,T,2400,良,4,11,未勝利,36.4,差し,4,1,10,京都,T,2400,良,9,12,未勝利,35.6,後方,5,12,7,阪神,T,2000,良,7,7,未勝利*,34.7,後方,3
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026062102010403,2026.6.21,日,函館,1函4,3,,未勝利,ダート,1000,,2,良(暫定),曇(暫定),12,10:50,,馬齢,３歳
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
