レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026030806020401,2026.3.8,日,中山,2中4,1,,未勝利,ダート,1800,,4,稍,晴,16,10:05,牝,馬齢,３歳
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,,1,,,,,カリドーラ,,牝,3,2,2,22,東京,T,1800,良,4,10,未勝利,34.5,先行,10,12,14,中山,T,2000,稍,14,8,未勝利*,38.0,中団,11,9,28,中山,T,2000,良,4,6,未勝利*,34.5,先行,7,8,10,新潟,T,1800,稍,7,7,新馬,33.9,中団,初,,,,,,,,,,,,
1,,2,,,,,クイーンアン,,牝,3,7,1,17,中山,T,2000,良,14,6,未勝利,36.6,先行,4,12,20,中山,T,1800,良,3,5,新馬・牝,34.9,先行,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,3,,,,,スタートオブシー,,牝,3,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,4,,,,,サーロー,,牝,3,17,11,8,東京,D,1600,良,5,6,未勝利・牝*,38.2,中団,2,10,25,東京,D,1400,稍,11,12,新馬,37.0,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,5,,,,,マコトアタキギリ,,牝,3,15,11,23,東京,D,1300,良,11,12,未勝利*,36.8,後方,2,11,8,東京,T,1400,良,11,11,新馬,34.2,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,6,,,,,ペカリーナ,,牝,3,8,1,11,中山,D,1800,良,9,10,未勝利・牝,40.4,後方,2,12,27,中山,T,1600,良,14,16,新馬,36.1,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,7,,,,,アンジュレーヌ,,牝,3,8,1,10,中山,D,1800,良,2,8,新馬・牝,41.3,逃げ,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,8,,,,,スターキャンディ,,牝,3,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,B,9,,,,,パルミエ,,牝,3,9,1,5,中山,D,1800,稍,5,5,未勝利・牝,40.6,中団,7,11,15,福島,T,2000,良,13,12,新馬,36.7,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,10,,,,,リベルタアーラ,,牝,3,11,12,20,中山,T,1800,良,8,10,新馬・牝,35.3,中団,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,B,11,,,,,ルミテュット,,牝,3,9,1,5,中山,D,1800,稍,3,1,未勝利・牝,41.4,先行,8,11,8,東京,D,1600,良,3,3,未勝利・牝*,38.0,先行,9,9,7,中山,D,1800,良,12,2,新馬,41.6,後方,初,,,,,,,,,,,,,,,,,,,,,,,,
6,,12,,,,,ペタルズダンス,,牝,3,16,11,16,東京,D,1600,良,11,4,新馬,37.7,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,13,,,,,トランセンコ,,牝,3,17,11,8,東京,D,1600,良,8,10,未勝利・牝*,38.5,後方,2,10,26,東京,T,1800,稍,13,16,新馬,34.7,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,14,,,,,キタノエピックアン,,牝,3,4,2,10,東京,D,1600,稍,3,6,未勝利・牝,37.7,差し,2,1,25,中山,D,1800,良,2,10,未勝利・牝,40.1,先行,4,12,28,中山,D,1800,良,6,15,新馬,41.6,中団,初,,,,,,,,,,,,,,,,,,,,,,,,
8,,15,,,,,セニング,,牝,3,15,11,24,東京,D,1600,良,5,11,未勝利*,37.9,中団,2,11,8,東京,D,1600,良,7,11,未勝利・牝*,38.8,中団,18,7,5,福島,T,1800,稍,8,8,未勝利*,38.7,後方,3,6,14,東京,T,1600,良,11,11,新馬・牝,36.9,先行,初,,,,,,,,,,,,
8,,16,,,,,ステイグローリアス,,牝,3,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026030806020402,2026.3.8,日,中山,2中4,2,,未勝利,ダート,1200,,2,稍,晴,16,10:35,,馬齢,３歳
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,B,1,,,,,クアラトレンガヌ,,牡,3,17,11,8,東京,D,1300,良,14,11,未勝利*,39.5,中団,2,10,26,東京,T,1400,稍,15,16,新馬,34.2,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,2,,,,,ベアフォースワン,,牡,3,10,12,28,中山,D,1200,良,15,16,未勝利*,41.1,中団,3,12,7,中山,D,1200,良,9,13,未勝利*,38.8,中団,4,11,8,東京,D,1300,良,7,10,新馬,37.2,中団,初,,,,,,,,,,,,,,,,,,,,,,,,
2,,3,,,,,ライカ,,牡,3,3,2,14,東京,D,1400,良,4,7,未勝利,37.4,差し,2,1,31,東京,D,1600,良,4,7,未勝利,37.6,差し,5,12,27,中山,D,1800,稍,7,9,未勝利*,40.0,中団,4,11,29,東京,D,1600,良,7,5,未勝利*,38.8,先行,2,11,15,東京,D,1600,良,2,10,未勝利*,37.2,差し,18
2,,4,,,,,アミナス,,牡,3,12,12,13,中山,D,1800,良,8,7,未勝利*,40.4,先行,3,11,24,東京,D,1600,良,9,5,未勝利*,38.3,中団,2,11,8,東京,T,1800,良,11,7,新馬,35.7,逃げ,初,,,,,,,,,,,,,,,,,,,,,,,,
3,,5,,,,,セキテイロックス,,牡,3,12,12,14,中山,D,1200,稍,10,9,新馬,37.3,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,6,,,,,ヘリオドール,,牝,3,12,12,14,中山,T,1200,良,13,10,未勝利*,36.8,中団,9,10,13,東京,T,1600,良,10,14,新馬・牝,36.5,逃げ,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,7,,,,,デアプリームス,,牝,3,3,2,15,京都,D,1400,良,3,7,未勝利,38.9,先行,3,1,24,小倉,T,2000,良,10,9,新馬,35.0,中団,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,8,,,,,マメーアップル,,牝,3,9,1,4,中山,D,1200,稍,7,3,未勝利・牝,40.1,先行,3,12,13,中山,D,1200,良,2,6,未勝利・牝*,39.3,先行,8,10,18,新潟,D,1200,良,7,7,新馬,38.5,先行,初,,,,,,,,,,,,,,,,,,,,,,,,
5,,9,,,,,アイビーキラリ,,牝,3,11,12,20,中山,D,1200,良,14,12,未勝利*,39.5,中団,8,10,26,新潟,T,1600,稍,13,15,新馬,34.5,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,10,,,,,スナップジジ,,牡,3,9,1,4,中山,D,1200,稍,7,11,新馬,40.5,逃げ,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,11,,,,,サリーアン,,牡,3,4,2,7,東京,D,1300,良,4,13,未勝利,37.2,追込,4,1,11,中山,D,1200,良,4,12,未勝利,37.6,追込,11,10,25,東京,D,1400,稍,12,8,新馬,38.2,中団,初,,,,,,,,,,,,,,,,,,,,,,,,
6,,12,,,,,ツクバヴァンガード,,牡,3,3,2,14,東京,D,1400,良,3,6,未勝利,37.4,先行,4,1,18,中山,D,1200,良,4,4,未勝利,40.2,逃げ,16,9,28,中山,D,1200,良,3,7,新馬,38.0,先行,初,,,,,,,,,,,,,,,,,,,,,,,,
7,,13,,,,,ハクサンスオーノ,,牡,3,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,14,,,,,ジェイエルサーベイ,,牡,3,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
