レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026083001020401,2026.8.30,日,札幌,2札4,1,,未勝利,ダート,1700,,4,稍(暫定),晴(暫定),14,10:00,牝,馬齢,３歳
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,B,1,,,,,タガノシルフィー,,牝,3,4,8,2,札幌,D,1700,良,2,1,未勝利・牝,40.3,逃げ,3,7,11,函館,D,1700,重,2,2,未勝利・牝,38.8,逃げ,3,6,20,函館,D,1700,良,5,1,未勝利,39.4,先行,5,5,16,京都,D,1400,良,6,3,未勝利・牝,37.7,中団,2,5,3,京都,D,1400,稍,消,--,未勝利・牝,----,,11
2,,2,,,,,マーゴットクリュグ,,牝,3,3,8,8,札幌,D,1700,良,2,5,未勝利・牝,38.8,先行,4,7,11,函館,D,1700,重,5,8,未勝利・牝,37.7,中団,3,6,20,函館,D,1700,良,2,9,未勝利・牝,38.4,先行,7,5,3,京都,D,1400,稍,8,6,未勝利・牝,38.2,先行,9,2,28,小倉,D,1700,不,10,11,未勝利・牝,39.8,先行,3
3,,3,,,,,ゴーゴーエイミー,,牝,3,41,11,16,京都,D,1200,良,8,9,未勝利*,39.3,先行,3,10,25,新潟,D,1200,良,8,6,未勝利*,39.4,後方,17,6,29,小倉,T,1200,良,8,7,新馬,35.6,中団,初,,,,,,,,,,,,,,,,,,,,,,,,
3,B,4,,,,,テンレッドサン,,牝,3,2,8,16,札幌,D,1700,良,4,3,未勝利・牝,38.9,先行,7,6,28,函館,D,1700,稍,3,1,未勝利,37.9,先行,2,6,13,函館,D,1700,稍,3,1,未勝利・牝,38.3,差し,15,2,28,小倉,D,1700,不,2,6,未勝利・牝,37.2,先行,14,11,22,京都,D,1800,良,7,7,未勝利*,39.3,中団,2
4,,5,,,,,サンセリテ,,牝,3,5,7,25,札幌,T,1500,良,6,6,未勝利・牝,34.8,中団,11,5,10,東京,T,1600,良,10,3,未勝利,34.2,中団,16,1,18,中山,T,1600,良,9,2,未勝利・牝,35.4,中団,12,10,25,東京,T,1600,良,6,1,未勝利・牝*,36.0,先行,6,9,13,中山,T,1600,稍,2,1,新馬・牝,34.0,差し,初
4,B,6,,,,,ビレッジルイーザ,,牝,3,3,8,8,札幌,D,1700,稍,3,6,未勝利,38.6,逃げ,2,7,26,札幌,D,1700,良,5,2,未勝利・牝,38.4,中団,2,7,11,福島,D,1700,良,2,4,未勝利・牝,38.5,逃げ,5,6,6,東京,D,1600,稍,8,5,未勝利・牝,39.1,先行,3,5,17,東京,D,1600,良,2,5,未勝利・牝,39.1,先行,9
5,,7,,,,,エリカビアリッツ,,牝,3,9,6,27,函館,D,1700,重,4,2,未勝利・牝,37.1,先行,4,5,31,東京,D,1600,良,2,1,未勝利・牝,37.8,先行,5,4,25,東京,D,1600,稍,2,1,未勝利・牝,38.5,差し,34,8,30,札幌,T,1500,稍,2,1,未勝利・牝*,36.2,先行,3,8,10,札幌,T,1500,良,3,1,新馬・牝,35.5,先行,初
5,,8,,,,,タガノラヴズワン,,牝,3,7,7,11,小倉,D,1700,良,10,5,未勝利,39.8,中団,4,6,14,阪神,D,1800,良,2,6,未勝利・牝,38.7,先行,13,3,14,中京,D,1800,良,2,10,未勝利・牝,38.4,追込,3,2,22,小倉,T,1800,良,11,11,未勝利・牝,36.0,後方,12,11,29,京都,T,1600,良,8,12,新馬,35.1,中団,初
6,B,9,,,,,セントピュアベース,,牝,3,2,8,16,札幌,D,1700,良,5,6,未勝利・牝,38.8,中団,6,7,4,小倉,D,1700,不,10,7,未勝利・牝,39.7,中団,3,6,14,阪神,D,1800,良,5,8,未勝利・牝,39.2,ﾏｸﾘ,3,5,24,京都,D,1800,良,6,7,未勝利・牝,39.8,中団,3,5,3,京都,D,1800,稍,8,11,未勝利・牝,39.1,中団,4
6,,10,,,,,モンテパステル,,牝,3,8,7,4,小倉,D,1700,不,13,8,未勝利・牝,38.9,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
