レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026041103010101,2026.4.11,土,福島,1福1,1,,未勝利,ダート,1700,,4,良(暫定),曇(暫定),15,09:45,,馬齢,３歳
1,,2,,,,,ダノンルミエール,,牝,3,28,9,28,中山,T,1200,良,5,1,未勝利*,34.2,中団,3,9,6,中山,T,1200,良,2,3,新馬,34.7,逃げ,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,3,,,,,エクスペクタント,,牡,3,22,11,8,福島,D,1700,良,13,9,未勝利*,40.4,後方,12,8,16,新潟,T,1600,良,7,6,新馬,36.1,先行,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,4,,,,,ブルーエ,,牝,3,26,10,11,東京,T,1600,良,7,6,未勝利・牝*,34.8,中団,3,9,20,中山,T,1600,良,9,9,新馬,34.6,先行,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,5,,,,,アイリーノリチャン,,牝,3,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,6,,,,,デンプシー,,牡,3,4,3,15,中京,T,1400,良,3,6,未勝利,35.6,先行,33,7,26,新潟,T,1400,良,18,5,新馬,40.5,先行,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,7,,,,,チェリーブルーム,,牝,3,14,1,4,中山,T,1600,良,13,15,未勝利,35.4,後方,16,9,13,中山,T,1600,稍,10,11,未勝利*,35.5,中団,3,8,24,新潟,T,1600,良,11,13,新馬・牝,34.0,後方,初,,,,,,,,,,,,,,,,,,,,,,,,
4,,8,,,,,ティスマイル,,牝,3,14,1,4,中山,D,1200,稍,14,8,新馬,39.7,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,9,,,,,カゼノオモイデ,,牝,3,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,B,10,,,,,サプーズ,,牝,3,13,1,12,中山,D,1800,良,16,7,未勝利・牝,43.9,中団,3,12,20,中山,T,1800,良,9,2,新馬・牝,36.2,中団,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,11,,,,,サンタクローチェ,,牝,3,18,12,6,中京,D,1400,良,16,9,未勝利・牝*,41.4,逃げ,7,10,19,京都,D,1400,稍,9,3,未勝利・牝*,41.0,中団,連,10,12,京都,D,1400,良,12,5,未勝利・牝*,42.0,先行,4,9,14,阪神,D,1400,良,3,8,未勝利・牝*,39.1,先行,5,8,9,中京,T,1200,良,10,6,未勝利*,36.2,先行,3
6,,12,,,,,スリジェダムール,,牝,3,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,13,,,,,セレブトーチ,,牝,3,14,1,4,京都,D,1400,良,16,12,未勝利,43.0,逃げ,18,8,30,中京,T,1400,良,7,8,新馬・牝,36.0,中団,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,14,,,,,グロリアスニケ,,牝,3,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,15,,,,,チョコブラウニー,,牝,3,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,16,,,,,アーリマックス,,牝,3,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026041103010103,2026.4.11,土,福島,1福1,3,,未勝利,芝,1800,A,4,良(暫定),曇(暫定),16,10:45,牝,馬齢,３歳
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,,1,,,,,レーザーキック,,牝,3,17,12,13,中山,T,1800,良,8,13,新馬,35.2,先行,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,2,,,,,エコロディアン,,牝,3,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,3,,,,,グレープレモネード,,牝,3,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,4,,,,,ゴールドアベニュー,,牝,3,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,5,,,,,サフランルージュ,,牝,3,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,6,,,,,ヴェロシオン,,牝,3,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,7,,,,,ピアス,,牝,3,4,3,14,中京,T,2000,良,5,9,未勝利,35.7,先行,8,1,18,中山,D,1800,良,10,3,未勝利・牝,43.8,逃げ,10,11,9,東京,T,1800,良,5,8,未勝利*,35.6,先行,3,10,19,東京,T,1800,良,3,6,新馬,34.5,逃げ,初,,,,,,,,,,,,
4,,8,,,,,クシマトゥルー,,牝,3,17,12,13,中山,T,1600,良,6,10,未勝利*,35.0,中団,8,10,18,東京,T,1400,良,6,13,新馬・牝,33.9,先行,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,9,,,,,スワトウ,,牝,3,18,12,6,阪神,T,1600,良,11,9,未勝利・牝*,34.5,中団,15,8,23,中京,T,1400,良,5,7,未勝利・牝*,33.6,後方,2,8,9,中京,T,1400,良,7,5,新馬,34.5,中団,初,,,,,,,,,,,,,,,,,,,,,,,,
5,,10,,,,,ファストフォワード,,牝,3,4,3,14,中京,D,1800,良,5,3,未勝利・牝,40.0,先行,6,1,31,小倉,T,2000,良,6,5,未勝利・牝,36.3,先行,11,11,16,東京,T,1800,良,7,9,未勝利*,35.1,中団,3,10,25,東京,T,2000,良,9,9,新馬,35.5,先行,初,,,,,,,,,,,,
6,,11,,,,,ハヤブサブロー,,牝,3,4,3,15,中京,T,1600,良,5,7,未勝利・牝,34.3,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,12,,,,,ヴィーラー,,牝,3,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,13,,,,,ノクスカンパーナ,,牝,3,18,12,7,阪神,T,1400,良,17,13,未勝利*,35.8,後方,4,11,8,京都,T,1400,良,10,3,新馬,37.0,先行,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,14,,,,,ノヴェルピアーチェ,,牝,3,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,15,,,,,ディアデムドール,,牝,3,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,16,,,,,オーマイラッキーン,,牝,3,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026041103010104,2026.4.11,土,福島,1福1,4,,未勝利,ダート,1150,,2,良(暫定),曇(暫定),16,11:15,,馬齢,３歳
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,,1,,,,,ウィゾマニア,,牡,3,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,2,,,,,シルバーアックス,,牡,3,9,2,7,東京,D,1300,良,13,3,未勝利,39.7,先行,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,3,,,,,エコロアビス,,牝,3,9,2,8,小倉,T,1200,良,10,4,未勝利・牝,35.9,先行,2,1,25,小倉,T,1200,良,3,4,未勝利,34.5,先行,10,11,15,福島,T,1200,良,6,9,未勝利*,34.8,中団,3,10,26,新潟,T,1600,稍,4,9,新馬,34.5,差し,初,,,,,,,,,,,,
2,,4,,,,,シェイプオブユー,,牝,3,20,11,24,福島,D,1150,良,5,5,未勝利*,39.0,先行,5,10,18,京都,D,1400,稍,6,10,新馬,38.7,逃げ,連,10,11,京都,T,1400,良,消,--,新馬・牝,----,,初,,,,,,,,,,,,,,,,,,,,,,,,
3,B,5,,,,,メイショウテンジン,,牡,3,3,3,22,阪神,D,1200,良,4,1,未勝利,37.0,先行,3,2,28,阪神,D,1200,良,4,6,未勝利,37.8,先行,12,12,7,阪神,D,1400,良,10,9,未勝利*,39.8,中団,11,9,20,阪神,D,1200,良,8,6,新馬,38.5,後方,初,,,,,,,,,,,,
3,,6,,,,,モズタイシソウシ,,牡,3,4,3,14,中京,D,1200,良,5,1,未勝利,37.9,先行,3,2,21,小倉,D,1000,良,3,5,未勝利,36.3,差し,10,12,14,阪神,D,1400,稍,7,15,未勝利*,39.3,先行,3,11,22,福島,D,1700,良,9,12,未勝利*,42.1,先行,5,10,18,京都,D,1400,稍,9,5,新馬,38.4,中団,初
4,,7,,,,,ヒューザー,,牡,3,13,1,12,京都,T,1400,良,18,18,未勝利,38.6,中団,18,9,6,阪神,D,1400,稍,13,6,新馬,47.8,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,8,,,,,マクタン,,牡,3,16,12,21,中山,T,1600,重,16,10,新馬,40.2,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,B,9,,,,,ディースカウ,,牡,3,10,1,31,京都,T,2000,良,8,5,新馬,36.2,逃げ,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,10,,,,,ジュニアスウィート,,牝,3,11,1,24,中山,D,1200,良,12,8,未勝利・牝,39.3,後方,6,12,14,中山,D,1200,稍,6,3,未勝利*,38.6,中団,5,11,8,東京,D,1300,良,6,3,新馬,37.3,中団,初,,,,,,,,,,,,,,,,,,,,,,,,
6,,11,,,,,ブラックゲイル,,牡,3,13,1,12,中山,D,1200,良,15,14,新馬,40.0,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,12,,,,,アッチョンブリケ,,牝,3,11,1,24,小倉,D,1000,良,8,8,未勝利,37.9,先行,8,11,30,京都,D,1200,良,11,9,未勝利*,39.9,逃げ,2,11,16,福島,D,1150,良,13,8,未勝利*,38.6,後方,19,7,5,函館,D,1000,重,3,3,新馬,37.1,先行,初,,,,,,,,,,,,
7,,13,,,,,ベルゼビュート,,牡,3,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,14,,,,,スマートイデアル,,牝,3,8,2,14,小倉,D,1000,良,10,7,未勝利,37.4,中団,3,1,24,小倉,D,1000,良,3,12,未勝利,36.4,差し,15,10,11,京都,D,1200,良,6,8,新馬,37.4,中団,初,,,,,,,,,,,,,,,,,,,,,,,,
8,,15,,,,,クロカミジョウ,,牝,3,3,3,21,中京,D,1200,良,2,1,未勝利・牝,37.9,先行,3,2,28,阪神,D,1200,良,2,3,未勝利,36.9,差し,6,1,18,京都,D,1200,良,2,2,未勝利・牝,36.8,先行,2,1,4,京都,D,1200,良,5,13,未勝利,36.1,後方,12,10,11,京都,D,1200,良,7,7,新馬,38.4,先行,初
8,B,16,,,,,セイウンヤオヨロズ,,牡,3,11,1,24,小倉,T,1800,良,13,14,未勝利,36.2,中団,6,12,14,中山,T,2000,稍,12,16,未勝利*,37.8,中団,3,11,22,福島,T,1800,良,9,14,未勝利*,35.5,後方,10,9,14,中山,T,1200,良,9,8,未勝利*,35.0,中団,8,7,20,福島,T,1200,良,4,4,未勝利*,35.7,追込,3
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026041103010105,2026.4.11,土,福島,1福1,5,,未勝利,芝,2000,A,4,良(暫定),曇(暫定),16,12:05,,馬齢,３歳
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,,1,,,,,メイショウハンター,,牡,3,3,3,22,中京,T,2000,良,5,8,未勝利,35.2,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,2,,,,,オービタルピリオド,,牡,3,14,1,4,中山,T,2000,良,7,2,新馬,34.6,中団,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,3,,,,,アラムシャピラス,,牡,3,3,3,21,中京,T,2000,良,2,1,未勝利,34.2,先行,13,12,20,阪神,T,2000,良,2,4,未勝利*,34.6,逃げ,2,12,6,阪神,T,2000,良,3,4,新馬,34.4,先行,初,,,,,,,,,,,,,,,,,,,,,,,,
2,,4,,,,,オートカリテ,,牝,3,16,12,20,中山,T,2000,良,7,13,新馬,36.1,中団,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,5,,,,,サンタカタリナ,,牝,3,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,6,,,,,マイネルリーヒム,,牡,3,4,3,15,中山,T,2000,良,4,4,未勝利,36.1,逃げ,4,2,14,京都,T,1800,良,4,9,未勝利,36.4,逃げ,6,1,5,中山,T,2000,良,16,12,未勝利,37.0,後方,14,9,28,中山,T,2000,良,9,3,未勝利*,35.4,先行,3,9,7,中山,T,2000,良,3,3,未勝利*,34.4,逃げ,4
4,B,7,,,,,ワイルドカイザー,,牡,3,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,8,,,,,ブランニューホーム,,牡,3,10,2,1,京都,T,2000,良,10,9,未勝利,35.9,後方,6,12,20,中京,T,2000,稍,11,8,未勝利*,35.4,後方,3,11,30,東京,T,2000,良,5,9,未勝利*,34.5,後方,2,11,15,福島,T,2000,良,16,11,未勝利*,36.2,後方,7,9,28,中山,T,2000,良,7,4,未勝利*,34.9,中団,2
5,,9,,,,,オグナ,,牡,3,28,9,27,阪神,T,2000,良,10,10,新馬,37.8,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,10,,,,,ブーケ,,牝,3,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,11,,,,,フライングビーナス,,牝,3,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,12,,,,,ルシアージュ,,牝,3,14,1,4,中山,T,2000,良,6,8,新馬,35.3,中団,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,13,,,,,ウインスターリング,,牡,3,24,10,26,東京,T,1800,稍,12,5,新馬,36.2,逃げ,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,14,,,,,クライングナウ,,牡,3,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,15,,,,,ナカラギ,,牝,3,11,1,25,京都,T,1600,良,17,16,新馬,35.8,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,16,,,,,ダイビングキャッチ,,セ,3,14,1,4,中山,T,2000,良,17,11,新馬,38.4,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026041103010106,2026.4.11,土,福島,1福1,6,,未勝利,芝,2600,A,6,良(暫定),曇(暫定),16,12:35,,馬齢,３歳
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,,1,,,,,メイショウシュハリ,,牝,3,6,3,1,小倉,T,2000,良,8,12,未勝利・牝,37.3,ﾏｸﾘ,4,1,31,小倉,T,1800,良,10,12,未勝利,36.1,後方,6,12,20,阪神,T,1600,良,11,16,新馬・牝,33.7,中団,初,,,,,,,,,,,,,,,,,,,,,,,,
2,,2,,,,,フォーチュンローズ,,牝,3,11,1,24,中山,T,2200,良,8,4,未勝利,36.6,中団,2,1,11,中山,T,2200,良,3,4,未勝利,36.1,先行,8,11,15,福島,T,2000,良,4,8,新馬,37.0,先行,初,,,,,,,,,,,,,,,,,,,,,,,,
2,,3,,,,,グロートカイザー,,牡,3,10,1,31,京都,T,2000,良,10,11,新馬,35.4,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,4,,,,,フレアオブセンス,,牡,3,2,3,29,阪神,T,2000,良,2,3,未勝利,35.3,逃げ,4,3,1,小倉,D,1700,稍,4,5,未勝利,39.2,差し,2,2,14,京都,T,1800,良,5,5,未勝利,36.1,中団,3,1,24,小倉,T,1800,良,6,11,未勝利,35.3,先行,8,11,29,京都,T,1600,良,9,3,新馬,35.2,中団,初
3,,5,,,,,ジェラルリスト,,牡,3,5,3,7,阪神,D,2000,稍,13,8,未勝利,43.7,後方,8,1,10,京都,T,2400,良,6,13,未勝利,35.7,中団,4,12,14,阪神,T,2000,良,5,5,新馬,35.3,後方,初,,,,,,,,,,,,,,,,,,,,,,,,
4,,6,,,,,テンバコウクウ,,牡,3,9,2,10,東京,T,2400,良,13,17,未勝利,35.8,後方,3,1,17,中山,D,1800,良,13,15,未勝利,42.2,後方,13,10,18,新潟,D,1800,良,13,13,未勝利*,42.3,後方,4,9,20,中山,D,1800,重,9,12,未勝利*,41.1,後方,2,9,6,札幌,D,1700,良,8,8,未勝利*,40.2,後方,10
