レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026053005021101,2026.5.30,土,東京,2東B,1,,未勝利,ダート,1400,,2,良(暫定),晴(暫定),16,09:50,,馬齢,３歳
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026053005021102,2026.5.30,土,東京,2東B,2,,未勝利,芝,2400,C,4,良(暫定),晴(暫定),18,10:20,,馬齢,３歳
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,,1,,,,,ジングアップ,,牡,3,20,1,11,中山,T,2200,良,6,7,未勝利,36.3,中団,11,10,25,東京,T,2000,良,7,8,新馬,34.3,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,2,,,,,ゴンファロニエーレ,,牡,3,3,5,10,東京,T,2000,良,4,2,未勝利,33.7,差し,6,3,29,中山,T,2200,良,3,1,未勝利,36.3,先行,9,1,25,中山,T,2000,良,10,1,新馬,34.4,中団,初,,,,,,,,,,,,,,,,,,,,,,,,
2,,3,,,,,ヒコボシ,,牡,3,6,4,19,中山,T,2000,良,13,12,未勝利,36.9,中団,4,3,22,中山,T,2000,良,11,15,未勝利,36.5,後方,15,12,7,中山,T,1800,良,16,11,未勝利*,37.0,先行,4,11,8,福島,T,1800,良,8,15,未勝利*,36.1,後方,10,8,31,新潟,T,1800,良,8,8,新馬,35.9,中団,初
2,,4,,,,,インタノン,,牡,3,16,2,10,東京,T,2400,良,4,3,未勝利,35.7,先行,4,1,10,中山,T,2000,良,2,2,新馬,34.8,逃げ,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,5,,,,,スーザンバローズ,,牝,3,7,4,11,中山,T,2000,良,14,15,未勝利・牝,36.1,後方,9,2,10,東京,T,2400,良,14,14,未勝利,35.4,後方,7,12,20,中山,T,2000,良,10,12,新馬,37.1,中団,初,,,,,,,,,,,,,,,,,,,,,,,,
3,,6,,,,,クリスタルドレス,,牝,3,2,5,17,東京,T,2400,良,2,11,未勝利,34.4,差し,10,3,7,中山,T,2200,稍,11,18,未勝利,36.9,中団,4,2,10,東京,T,2400,良,12,16,未勝利,36.1,中団,2,1,25,中山,T,1600,良,11,13,未勝利,36.8,中団,18,9,20,中山,T,1600,良,11,14,新馬,34.0,後方,初
4,,7,,,,,エコロゼット,,牡,3,2,5,16,新潟,T,1800,良,10,10,未勝利,34.7,中団,4,4,19,福島,T,2000,良,3,13,未勝利,36.0,差し,9,2,15,東京,T,1800,良,9,11,未勝利,35.3,先行,10,12,6,中山,T,2000,良,7,11,新馬,35.6,中団,初,,,,,,,,,,,,
4,,8,,,,,ファンシーシェイプ,,牝,3,2,5,16,東京,T,2000,良,10,10,未勝利・牝,33.8,後方,3,4,26,東京,T,1800,良,10,12,未勝利,33.9,後方,4,3,29,中京,T,2000,良,6,15,未勝利,33.9,後方,3,3,7,中山,T,2000,稍,12,16,未勝利・牝,36.3,後方,15,11,24,東京,T,1600,良,7,9,新馬・牝,34.3,中団,初
5,,9,,,,,コスモアマデウス,,牡,3,2,5,17,東京,T,2400,良,9,9,未勝利,35.5,後方,2,5,2,東京,T,2000,良,6,7,未勝利,34.7,中団,10,2,21,東京,T,2000,良,7,7,フリージ･1勝,35.5,先行,連,2,15,東京,T,1800,良,8,15,未勝利,34.6,中団,14,11,8,東京,T,2000,良,12,11,未勝利*,34.6,後方,2
5,,10,,,,,ミョンソクコムドリ,,牡,3,連,5,24,新潟,T,2000,稍,13,15,未勝利,37.5,後方,29,11,2,東京,T,2000,良,止,9,新馬,----,,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,11,,,,,フォンドルレール,,牡,3,3,5,9,東京,T,2400,良,4,5,未勝利,34.5,差し,4,4,12,中山,T,2200,良,6,8,未勝利,35.1,中団,6,2,28,中山,T,2000,良,9,5,未勝利,35.6,中団,4,2,1,東京,T,1800,良,5,9,未勝利,34.0,後方,12,11,8,東京,T,2000,良,7,4,未勝利*,33.8,中団,4
6,,12,,,,,マジックファイヤー,,牡,3,11,3,14,中京,T,2000,良,11,6,未勝利,35.6,中団,3,2,22,小倉,T,2000,良,3,7,未勝利,36.0,ﾏｸﾘ,3,1,31,京都,D,1800,良,5,3,未勝利,39.1,先行,12,11,9,京都,T,2000,稍,6,3,未勝利*,36.2,中団,3,10,19,京都,T,2000,良,2,7,新馬,35.7,先行,初
7,,13,,,,,トップオブザキング,,牡,3,4,5,2,東京,T,2000,良,7,9,未勝利,34.4,後方,連,4,25,福島,D,1700,良,13,15,未勝利,39.7,後方,11,2,7,東京,D,1600,良,13,15,未勝利,38.8,後方,2,1,25,中山,D,1800,良,12,13,新馬,40.6,後方,初,,,,,,,,,,,,
7,,14,,,,,ゴールドエンバー,,牡,3,4,5,2,新潟,T,2200,稍,8,13,未勝利,36.2,後方,11,2,15,東京,D,2100,良,9,11,未勝利,39.9,中団,2,2,1,東京,D,2100,良,6,5,未勝利,40.2,後方,3,1,11,中山,T,2200,良,7,13,未勝利,36.1,中団,12,10,19,新潟,T,2000,稍,8,11,未勝利*,36.3,後方,4
8,,15,,,,,ソナタムーンライト,,牡,3,連,5,23,東京,T,2000,良,13,13,未勝利,34.0,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
