騎手コード,jockey_fuku30,jockey_fuku90
409,0.041666666666666664,0.041666666666666664
422,0.13333333333333333,0.14444444444444443
426,0.0,0.0
629,0.13333333333333333,0.14444444444444443
635,0.16666666666666666,0.16666666666666666
637,0.125,0.125
641,0.2,0.15555555555555556
652,0.23333333333333334,0.25555555555555554
655,0.43333333333333335,0.32222222222222224
660,0.26666666666666666,0.25555555555555554
663,0.23333333333333334,0.2
666,0.3,0.3111111111111111
684,0.2,0.15555555555555556
689,0.1,0.12222222222222222
691,0.2,0.2777777777777778
695,0.16666666666666666,0.17777777777777778
700,0.2,0.25555555555555554
705,0.13333333333333333,0.13333333333333333
709,0.2,0.1
711,0.36666666666666664,0.34444444444444444
715,0.3333333333333333,0.2
718,0.18518518518518517,0.18518518518518517
722,0.0,0.05555555555555555
726,0.0,0.05555555555555555
727,0.26666666666666666,0.24444444444444444
732,0.1,0.2111111111111111
733,0.1,0.07777777777777778
815,0.13333333333333333,0.10909090909090909
817,0.14285714285714285,0.14285714285714285
837,0.1,0.1
843,0.16666666666666666,0.16666666666666666
863,0.14285714285714285,0.14285714285714285
875,0.5,0.5
878,0.0,0.0
890,0.375,0.375
894,0.03333333333333333,0.03333333333333333
897,0.25,0.25
1004,0.1,0.06666666666666667
1005,0.36666666666666664,0.36666666666666664
1008,0.2,0.26666666666666666
1009,0.1,0.03333333333333333
1010,0.0,0.022222222222222223
1014,0.2,0.4111111111111111
1015,0.16666666666666666,0.13333333333333333
1018,0.23333333333333334,0.17777777777777778
1019,0.16666666666666666,0.17777777777777778
1023,0.1,0.15555555555555556
1025,0.2,0.14444444444444443
1026,0.13333333333333333,0.15555555555555556
1029,0.06666666666666667,0.07777777777777778
1030,0.23333333333333334,0.18888888888888888
1031,0.06666666666666667,0.044444444444444446
1032,0.23333333333333334,0.23333333333333334
1033,0.0,0.0
1034,0.06666666666666667,0.13333333333333333
1035,0.23333333333333334,0.26666666666666666
1036,0.06666666666666667,0.13333333333333333
1037,0.2,0.2222222222222222
1038,0.16666666666666666,0.13333333333333333
1043,0.1,0.14444444444444443
1046,0.5,0.4888888888888889
1049,0.03333333333333333,0.03333333333333333
1050,0.06666666666666667,0.1206896551724138
1051,0.03333333333333333,0.044444444444444446
1052,0.2,0.2111111111111111
1057,0.2,0.15555555555555556
1059,0.16666666666666666,0.2
1061,0.1,0.05555555555555555
1062,0.13333333333333333,0.13333333333333333
1063,0.43333333333333335,0.4111111111111111
1066,0.3,0.2222222222222222
1067,0.4,0.3111111111111111
1068,0.16666666666666666,0.25555555555555554
1069,0.3333333333333333,0.2777777777777778
1072,0.16666666666666666,0.1111111111111111
1075,0.4,0.28888888888888886
1077,0.26666666666666666,0.14444444444444443
1080,0.23333333333333334,0.2777777777777778
1082,0.03333333333333333,0.12222222222222222
1085,0.13333333333333333,0.06666666666666667
1087,0.26666666666666666,0.2777777777777778
1088,0.36666666666666664,0.4777777777777778
1089,0.03333333333333333,0.03333333333333333
1091,0.2,0.18888888888888888
1092,0.26666666666666666,0.17777777777777778
1093,0.4,0.32222222222222224
1095,0.16666666666666666,0.2222222222222222
1096,0.3333333333333333,0.18888888888888888
1097,0.16666666666666666,0.07777777777777778
1099,0.13333333333333333,0.13333333333333333
1101,0.13333333333333333,0.18888888888888888
1102,0.2,0.18888888888888888
1104,0.0,0.03333333333333333
1105,0.06666666666666667,0.1
1108,0.03333333333333333,0.022222222222222223
1109,0.06666666666666667,0.08888888888888889
1111,0.03333333333333333,0.05555555555555555
1112,0.13333333333333333,0.06666666666666667
1113,0.3,0.26666666666666666
1114,0.06666666666666667,0.12222222222222222
1115,0.2,0.3111111111111111
1116,0.3,0.35555555555555557
1117,0.06666666666666667,0.1
1118,0.03333333333333333,0.07777777777777778
1119,0.2,0.13333333333333333
1120,0.3333333333333333,0.25555555555555554
1122,0.2,0.3111111111111111
1123,0.26666666666666666,0.24444444444444444
1124,0.23333333333333334,0.3
1125,0.13333333333333333,0.1111111111111111
1126,0.4,0.32222222222222224
1127,0.26666666666666666,0.2777777777777778
1128,0.1,0.08888888888888889
1129,0.0,0.044444444444444446
1130,0.1,0.16666666666666666
1131,0.13333333333333333,0.13333333333333333
1132,0.03333333333333333,0.03333333333333333
1133,0.13333333333333333,0.1
1134,0.1,0.14444444444444443
1135,0.1,0.12222222222222222
1136,0.14285714285714285,0.14285714285714285
1137,0.06666666666666667,0.05555555555555555
1138,0.16666666666666666,0.06666666666666667
1139,0.3333333333333333,0.32222222222222224
1140,0.26666666666666666,0.3
1141,0.06666666666666667,0.1111111111111111
1142,0.16666666666666666,0.1111111111111111
1143,0.16666666666666666,0.07777777777777778
1144,0.06666666666666667,0.1111111111111111
1145,0.03333333333333333,0.05555555555555555
1146,0.0,0.044444444444444446
1147,0.03333333333333333,0.05555555555555555
1148,0.03333333333333333,0.08888888888888889
1149,0.16666666666666666,0.18888888888888888
1150,0.2,0.24444444444444444
1151,0.03333333333333333,0.1111111111111111
1152,0.13333333333333333,0.13333333333333333
1153,0.16666666666666666,0.12222222222222222
1154,0.16666666666666666,0.16666666666666666
1155,0.13333333333333333,0.2
1156,0.06666666666666667,0.1111111111111111
1157,0.3333333333333333,0.26666666666666666
1158,0.0,0.05555555555555555
1159,0.2,0.16666666666666666
1160,0.3,0.3111111111111111
1161,0.13333333333333333,0.13333333333333333
1162,0.13333333333333333,0.13333333333333333
1163,0.3,0.28888888888888886
1164,0.13333333333333333,0.15555555555555556
1165,0.06666666666666667,0.05555555555555555
1166,0.13333333333333333,0.1111111111111111
1167,0.06666666666666667,0.044444444444444446
1168,0.3,0.2
1169,0.03333333333333333,0.07777777777777778
1170,0.3,0.3333333333333333
1171,0.3333333333333333,0.2777777777777778
1172,0.0,0.06666666666666667
1173,0.03333333333333333,0.05555555555555555
1174,0.23333333333333334,0.28888888888888886
1175,0.06666666666666667,0.08888888888888889
1176,0.23333333333333334,0.16666666666666666
1177,0.13333333333333333,0.08888888888888889
1178,0.23333333333333334,0.2
1179,0.3333333333333333,0.23333333333333334
1180,0.26666666666666666,0.2777777777777778
1181,0.03333333333333333,0.044444444444444446
