レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026041803010301,2026.4.18,土,福島,1福3,1,,未勝利,ダート,1150,,2,良(暫定),晴(暫定),16,09:45,,馬齢,３歳
枠番,B,番,馬名S,性別,年齢,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,サノノキャニオン,牡,3,1,2.7, ,114,3,54,▲,*,小林美駒,(美),栗田徹,ヘニーヒューズ,キングヘイロー,,ニアークティック系,1,25,1中9,2,未勝利,ダ,1200,良,,横山,57.0,,3,4.2,4,0.4,2,,,1,1,34.40,38.9,7,アンプイットアップ
1,,2,サンライズロイ,牡,3,8,41.5, ,102,6,57,,*,国分恭介,(栗),牧浦充徳,フォーウィールドライブ,ブライアンズタイム,,ロイヤルチャージャー系,2,22,1阪2,3,未勝利,ダ,1200,良,,小崎,57.0,,7,44.6,7,1.7,5,,,8,8,36.70,37.5,10,ゼンノフォトン
2,,3,ポッドシャンク,牡,3,14,96.8, , 81,16,54,▲,*,大久保友,(美),武市康男,ミスチヴィアスアレックス,ゴールドアリュール,,ロイヤルチャージャー系,2,7,1東3,17,未勝利,ダ,1300,良,,荻野,57.0,,16,124.4,16,4.2,15,,,13,14,37.97,40.2,15,ジャスフォール
2,,4,オニノウタゲ,牝,3,12,83.9, , 89,13,53,△,*,舟山瑠泉,(美),尾関知人,キセキ,ゴールドアリュール,,ロイヤルチャージャー系,2,7,2京3,2,未勝利,ダ,1400,良,,三浦,55.0,,11,81.8,12,1.9,9,,,11,9,37.13,38.4,13,フリッシュ
3,,5,ビップブレット,牡,3,16,145.3, , 86,15,54,▲,*,和田陽希,(美),田島俊明,アルアイン,クロフネ,,ニアークティック系,2,14,1東5,10,未勝利,ダ,1400,良,,木幡,57.0,,16,570.8,15,3.8,15,,,8,7,37.28,39.9,15,トウカイレオ
3,,6,エリースノー,牝,3,10,55.9, , 98,7,51,★,*,河原田菜,(美),武市康男,サンダースノー,ケイムホーム,,ネイティヴダンサー系,2,21,1小9,15,未勝利・牝,芝,1200,良,,小林,52.0,▲,14,172.4,11,1.1,13,,,9,4,34.50,35.4,12,ムーンリットアイル
4,,7,ノーブルガイザー,牡,3,9,43.8, , 95,9,57,,*,荻野琢真,(栗),宮本博,ミッキーアイル,ジャスタウェイ,,,2,15,2京6,初,新馬,ダ,1200,良,,中井,57.0,,9,38.4,7,1.2,9,,,7,7,38.20,38.5,6,ハノハノ
4,,8,セランディア,牝,3,15,129.5, , 88,14,55,,,中井裕二,(美),小野次郎,ベンバトル,ダイワメジャー,,ロイヤルチャージャー系,2,21,1小9,初,未勝利・牝,芝,1200,良,,中井,55.0,,17,328.3,15,1.4,15,,,11,10,34.70,35.5,13,ムーンリットアイル
5,B,9,マクアケ,牡,3,4,9.7, ,115,2,57,,*,小沢大仁,(栗),杉山佳明,エスポワールシチー,"El Corredor",,ネイティヴダンサー系,3,22,1阪A,連,未勝利,ダ,1200,良,B,鮫島,57.0,,3,3.9,3,0.3,3,,,8,7,36.90,36.3,1,ヴォンドゥ
