レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026051004010401,2026.5.10,日,新潟,1新4,1,,未勝利,ダート,1800,,4,稍(暫定),晴(暫定),15,09:45,牝,馬齢,３歳
枠番,B,番,馬名S,性別,年齢,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,タマモトップハット,牡,3,11,32.4, , 87,14,54,▲,*,石田拓郎,(美),水野貴広,オルフェーヴル,ダンカーク,,,2,14,1東5,初,未勝利,ダ,1400,良,,長浜,55.0,△,14,228.8,14,3.3,9,,,16,16,38.40,37.9,7,トウカイレオ
2,,2,エルヴィッタ,牝,3,3,6.6, , 95,11,55,,*,ゴンサル,(栗),武英智,ロードカナロア,"Broken Vow",,ネイティヴダンサー系,2,21,1阪1,11,未勝利,芝,1600,良,,武豊,55.0,,7,26.0,18,3.0,14,,,9,9,36.06,37.1,18,ナムラヒナギク
2,,3,ベセル,牡,3,6,11.6, ,115,2,57,,,菊沢一樹,(美),蛯名正義,シャンハイボビー,"Indygo Shiner",,ナスルーラ系,1,4,1中1,初,新馬,ダ,1200,稍,,菊沢,57.0,,5,12.8,2,1.1,3,,,3,3,35.70,38.6,4,エアサロメ
3,B,4,セイウンヤオヨロズ,牡,3,2,6.2, ,117,1,57,,,野中悠太,(美),上原博之,セイウンコウセイ,Congrats,,ナスルーラ系,4,25,1福5,2,未勝利,ダ,1150,良,B,野中,57.0,,5,13.9,2,0.3,4,,,1,1,34.80,37.4,6,ブレイヴソルジャー
3,,5,ドリームガッサン,牝,3,4,7.8, ,111,4,52,▲,,小林美駒,(美),鈴木伸尋,キャプテンキング,エイシンフラッシュ,,,4,26,1福6,8,未勝利・牝,ダ,1150,良,,小林,52.0,▲,5,14.1,2,0.7,4,,,4,3,35.45,36.9,2,モズオウンゴール
4,,6,セントリアン,牝,3,12,34.2, ,105,6,51,★,*,河原田菜,(美),萱野浩二,アジアエクスプレス,オルフェーヴル,,,4,18,3中7,4,未勝利・牝,ダ,1200,良,,原優,55.0,,7,65.7,5,0.7,7,,,3,2,35.10,37.7,8,クアロアランチ
4,B,7,カワキタベレッタ,牝,3,15,97.3, , 90,13,53,△,*,柴田裕一,(栗),角田晃一,マインドユアビスケッツ,ゴールドアリュール,,ロイヤルチャージャー系,2,25,佐賀,6,グリー,ダ,1400,不,,飛田,54.0,,4,,4,0.4,,8,6,5,7,,----,,サイオウガウマ
5,,8,ハルカオル,牝,3,10,22.3, , 99,9,55,,*,原田和真,(美),千葉直人,ミスチヴィアスアレックス,サクラバクシンオー,,ナスルーラ系,2,21,1阪1,2,未勝利,ダ,1400,良,,木幡,55.0,,7,43.4,12,2.3,9,,,9,7,37.58,38.7,14,オプティモ
5,B,9,ラインメテオラ,牡,3,8,21.1, ,105,6,57,,,富田暁,(栗),長谷川浩,リオンディーズ,"Cape Cross",,ニアークティック系,2,21,1小9,10,未勝利,ダ,1700,良,,富田,57.0,,7,16.8,7,2.6,2,1,1,1,3,37.47,40.8,11,ジャイアンバローズ
6,,10,エコログロウ,牡,3,5,9.4, ,114,3,55,△,*,舟山瑠泉,(栗),牧浦充徳,ドレフォン,ダイワメジャー,,ロイヤルチャージャー系,4,18,3中7,3,未勝利,ダ,1200,良,,ディ,57.0,,6,22.9,3,0.4,3,,,1,1,35.40,37.3,5,ベアゴーフォー
6,,11,ホウオウチャールズ,牡,3,13,35.2, , 93,12,57,,*,丸田恭介,(美),池上昌和,スワーヴリチャード,ロージズインメイ,,ロイヤルチャージャー系,1,31,2京1,6,未勝利,芝,1600,良,,原優,57.0,,12,145.0,15,3.0,16,,,2,2,35.46,39.0,15,ペイシャシス
