レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026042603010601,2026.4.26,日,福島,1福6,1,,未勝利,ダート,1150,,2,良,晴,16,09:45,牝,馬齢,３歳
枠番,B,番,馬名S,性別,年齢,馬体重,増減,馬体重増減,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,シェイプオブユー,牝,3,474,+ 6,+ 6,2,3.0, ,115,1,55,,,川又賢治,(栗),吉村圭司,タワーオブロンドン,"Broken Vow",,ネイティヴダンサー系,4,11,1福1,20,未勝利,ダ,1150,良,,川又,55.0,,7,22.2,2,0.1,13,,,1,1,34.58,37.8,9,ベルゼビュート
1,,2,ヤスナ,牝,3,426,-28,-28,16,248.3, , 89,13,52,▲,*,和田陽希,(栗),飯田祐史,ロジャーバローズ,アグネスデジタル,,ネイティヴダンサー系,1,5,1京2,初,新馬,ダ,1200,良,,菱田,55.0,,11,106.5,14,4.0,14,,,6,6,37.70,39.8,14,マナボニート
2,,3,メインテーマ,牝,3,478,-10,-10,7,27.9, ,102,5,51,★,*,河原田菜,(美),小手川準,サートゥルナーリア,ダイワメジャー,,ロイヤルチャージャー系,1,4,1中1,2,未勝利・牝,ダ,1200,稍,,内田,55.0,,8,43.3,9,1.7,11,,,1,2,33.80,40.6,12,フュルスティン
2,,4,ジューンミレニアム,牝,3,482,,,13,126.3, ,  0,,52,▲,,石田拓郎,(美),鈴木慎太,キセキ,ハービンジャー,,ニアークティック系,,,,,,,,,,,,,,,,,,,,,,,,,
3,,5,カッサンドラ,牝,3,430,+ 2,+ 2,4,12.6, , 99,9,55,,,横山琉人,(栗),高橋義忠,インディチャンプ,ファンタスティックライト,,ナスルーラ系,2,14,1小7,3,未勝利,ダ,1000,良,,横山,55.0,,8,16.1,6,0.6,11,,,9,8,35.25,36.5,2,ミヤフロント
3,,6,ペイシャクロス,牝,3,454,,,10,61.4, ,  0,,55,,,柴田大知,(美),粕谷昌央,ニシケンモノノフ,ノヴェリスト,,その他のエクリプス系,,,,,,,,,,,,,,,,,,,,,,,,,
4,,7,ドリームガッサン,牝,3,434,+ 6,+ 6,5,14.1, ,103,4,52,▲,*,小林美駒,(美),鈴木伸尋,キャプテンキング,エイシンフラッシュ,,,2,28,2中1,8,未勝利,ダ,1200,重,,横山,55.0,,6,17.2,7,1.3,5,,,3,4,34.50,37.7,10,リゾートライン
4,,8,フレンドリーエール,牝,3,420,- 4,- 4,8,30.5, , 97,12,52,▲,*,上里直汰,(美),村田一誠,スマートファルコン,ストリートセンス,ロイヤルチャージャー系,ネイティヴダンサー系,3,15,2中6,12,未勝利,ダ,1200,良,,遠藤,52.0,▲,7,29.0,14,2.7,15,,,1,1,34.70,40.8,16,モズタンケ
5,,9,ブロンディ,牝,3,422,- 6,- 6,15,218.0, , 99,9,53,◇,*,古川奈穂,(栗),牧浦充徳,レイデオロ,"Scat Daddy",,ニアークティック系,1,25,1小2,初,新馬,芝,1200,良,,柴田,53.0,△,8,27.0,15,2.4,1,,,3,4,34.50,36.3,17,エンプレスケー
5,,10,トゥレイス,牝,3,420,- 4,- 4,11,76.1, ,100,7,53,△,*,舟山瑠泉,(美),高柳瑞樹,カリフォルニアクローム,ダイワメジャー,,ロイヤルチャージャー系,3,21,1名3,22,未勝利・牝,ダ,1200,良,,今村,53.0,◇,7,35.3,11,1.9,11,,,2,2,35.60,39.5,14,ヴェルジーネ
6,,11,トモジャカトゥーラ,牝,3,476,+12,+12,12,88.1, , 88,14,55,,*,幸英明,(栗),大根田裕,クリソベリル,エンパイアメーカー,,ネイティヴダンサー系,3,29,2阪2,3,未勝利,ダ,1400,良,,国分,55.0,,12,58.0,16,2.4,12,,,8,8,36.30,40.1,16,シャープインサイト
6,,12,モズオウンゴール,牝,3,448,+10,+10,1,2.2, ,101,6,53,◇,*,永島まな,(栗),松下武士,モズアスコット,"Cape Blanco",,ニアークティック系,2,28,1阪3,3,未勝利・牝,ダ,1400,良,,坂井,55.0,,4,7.5,7,1.0,8,,,2,1,35.33,39.5,10,ジャンヌドゥレーヴ
