レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026021005010401,2026.2.10,火,東京,1東4,1,,未勝利,ダート,1400,,2,稍,晴,16,10:05,,馬齢,３歳
枠番,B,番,馬名S,性別,年齢,馬体重,増減,馬体重増減,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,シュートザムーン,牡,3,418,+ 4,+ 4,11,135.0, , 85,11,57,,*,原優介,(美),伊藤伸一,サトノジェネシス,クリーンエコロジー,,,12,20,5名5,4,未勝利*,芝,2000,稍,,鮫島,56.0,,16,414.5,16,1.9,17,13,12,14,16,37.93,35.9,11,ロードメルヴェイユ
1,,2,センノウィン,セ,3,444,-16,-16,14,302.6, , 82,13,54,▲,,佐藤翔馬,(美),南田美知,アルアイン,サウスヴィグラス,,ネイティヴダンサー系,10,19,4東7,初,新馬,芝,1800,良,,佐藤,53.0,▲,18,325.4,18,4.6,18,,18,18,18,39.05,36.7,18,ブラウンバナナ
2,,3,マジンタクシー,牝,3,506,+20,+20,10,107.0, , 92,9,55,,*,木幡初也,(美),深山雅史,マテラスカイ,エンパイアメーカー,,ネイティヴダンサー系,11,23,5東5,2,未勝利*,ダ,1300,良,,吉田,55.0,,13,158.7,10,1.3,11,,,10,10,37.71,37.6,9,ロードストラダーレ
2,,4,ナンヨーロイヤル,牡,3,462,+ 4,+ 4,4,9.6, , 98,6,57,,*,田辺裕信,(美),中舘英二,キタサンブラック,"Smart Strike",,ネイティヴダンサー系,11,29,5東7,2,未勝利*,芝,1800,良,,佐々,56.0,,4,8.7,10,1.3,3,,4,4,5,37.00,35.2,11,ブリガンティン
3,,5,ジョイグリーン,セ,3,494,,,12,154.7, ,  0,,57,,,小林脩斗,(美),青木孝文,ルヴァンスレーヴ,ダンスインザダーク,,ロイヤルチャージャー系,,,,,,,,,,,,,,,,,,,,,,,,,
3,,6,アツンケル,牝,3,560,+12,+12,13,295.9, , 82,13,55,,*,柴田大知,(美),深山雅史,タニノフランケル,ワークフォース,,ネイティヴダンサー系,12,21,5中6,初,新馬,ダ,1200,重,,木幡,55.0,,16,158.9,15,4.4,2,,,15,15,38.90,37.8,7,ファンシーズ
4,,7,ドレドレ,牝,3,448,- 6,- 6,6,14.2, , 97,7,55,,,津村明秀,(美),矢嶋大樹,ドレフォン,ネオユニヴァース,,ロイヤルチャージャー系,12,27,5中7,11,未勝利・牝*,ダ,1200,稍,,津村,55.0,,10,46.7,6,0.7,7,,,15,15,36.30,36.9,1,コウジハラ
4,,8,ヌクレオチド,牡,3,488,+ 4,+ 4,3,6.8, ,114,1,57,,,柴田善臣,(美),粕谷昌央,モズアスコット,エピファネイア,,,1,17,1中6,10,未勝利,ダ,1200,良,,柴田,57.0,,6,11.9,3,0.2,7,,,2,2,34.50,38.7,4,サントマーレ
5,,9,ジュピターテソーロ,牡,3,482,,,5,13.4, ,  0,,57,,,菅原明良,(美),高木登,キタサンブラック,"Rip Van Winkle",,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,10,ベアハンドキャッチ,牡,3,496,+ 8,+ 8,2,5.0, ,105,3,57,,*,キング,(美),池上昌和,ミスターメロディ,ネオユニヴァース,,ロイヤルチャージャー系,12,20,5中5,2,未勝利*,ダ,1200,良,,荻野,56.0,,5,12.1,5,0.7,9,,,13,12,35.50,37.7,1,シュピラー
6,,11,オセアフェアモント,牡,3,470,  0,0,,取消し, , 99,5,57,,,佐々木大,(美),菊川正達,オルフェーヴル,リアルインパクト,,,12,13,5中3,9,未勝利*,ダ,1800,良,,佐々,56.0,,6,24.5,11,4.8,11,2,2,3,5,38.65,43.0,13,イッテラッシャイ
6,,12,カンノンミッキー,牡,3,488,+ 4,+ 4,7,25.9, ,101,4,57,,,木幡巧也,(美),小西一男,ミッキーロケット,フサイチリシャール,,ニアークティック系,1,12,1中5,初,新馬,ダ,1200,良,,木幡,57.0,,12,54.8,4,0.7,4,,,5,6,36.60,38.0,5,スローモーション
7,,13,マランドロ,牡,3,462,- 8,- 8,15,442.4, , 85,11,54,▲,*,遠藤汰月,(美),奥平雅士,ダノンキングリー,"Pour Moi",,,12,28,5中8,27,未勝利*,ダ,1800,良,,原優,56.0,,11,126.4,16,8.0,16,8,6,14,16,39.30,46.3,16,タイセツナヒ
7,,14,ロザヴィータ,牝,3,398,- 2,- 2,9,88.8, , 94,8,53,△,*,長浜鴻緒,(美),矢嶋大樹,サンダースノー,キングカメハメハ,,ネイティヴダンサー系,12,21,5中6,初,新馬,ダ,1200,重,,嶋田,55.0,,12,111.7,7,1.6,15,,,10,9,36.40,37.5,4,ファンシーズ
8,,15,ウェスケンジントン,牡,3,490,+ 8,+ 8,8,26.9, , 92,9,57,,*,大野拓弥,(美),小野次郎,タワーオブロンドン,ファルブラヴ,,ニアークティック系,11,9,5東2,2,未勝利*,芝,1400,良,,石橋,56.0,,18,350.6,8,1.0,8,,,15,16,36.23,34.2,2,シャルトル
8,,16,レピュニット,牡,3,478,+ 2,+ 2,1,1.8, ,111,2,57,,*,戸崎圭太,(美),宮田敬介,モズアスコット,フジキセキ,,ロイヤルチャージャー系,12,21,5中6,3,未勝利*,ダ,1800,不,,マー,56.0,,2,3.0,7,0.7,1,3,3,5,5,37.70,39.2,9,ヘルメスギャング
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026021005010402,2026.2.10,火,東京,1東4,2,,未勝利,ダート,2100,,4,稍,晴,16,10:35,,馬齢,３歳
枠番,B,番,馬名S,性別,年齢,馬体重,増減,馬体重増減,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,ユイアンゴロー,牡,3,488,+ 6,+ 6,9,29.2, , 88,13,57,,,原田和真,(美),栗田徹,サトノダイヤモンド,ノヴェリスト,,その他のエクリプス系,11,15,5東3,2,未勝利*,芝,2000,良,,原田,56.0,,13,324.9,13,1.5,7,,3,3,4,37.24,35.4,13,オルフセン
2,B,2,バッハ,牡,3,466,  0,0,5,13.4, , 98,6,57,,*,佐々木大,(美),中舘英二,ホッコータルマエ,クロフネ,,ニアークティック系,12,7,5中2,初,新馬,ダ,1800,良,B,横山,56.0,,5,8.8,9,3.3,1,11,12,13,13,39.75,39.5,7,ユアフェリシティ
3,,3,モロノカガヤキ,牡,3,484,  0,0,2,3.8, ,118,1,57,,,津村明秀,(美),林徹,ゴールドドリーム,カレンブラックヒル,,,1,17,1中6,初,新馬,ダ,1800,良,,津村,57.0,,4,11.3,3,0.1,6,5,5,7,6,38.75,39.5,3,ガムラスタン
4,,4,オンザギャラクシー,牡,3,526,+ 2,+ 2,10,51.8, , 98,6,57,,,木幡巧也,(美),大和田成,レイデオロ,トーセンラー,,,1,10,1中3,初,新馬,芝,2000,良,,木幡,57.0,,12,90.4,9,2.1,10,8,10,10,9,37.76,36.2,10,ランザワールド
4,,5,タケルムサシ,牡,3,490,+ 8,+ 8,3,5.7, , 96,8,57,,,岩田康誠,(美),斎藤誠,ルヴァンスレーヴ,ダイワメジャー,,ロイヤルチャージャー系,12,7,5名2,3,未勝利*,ダ,1800,良,,岩田,56.0,,11,91.8,6,2.1,6,11,11,11,9,38.65,38.6,4,リベッチオ
5,,6,ブラックパロット,牡,3,526,+ 2,+ 2,7,19.7, ,111,3,55,△,*,長浜鴻緒,(美),国枝栄,アドマイヤマーズ,"Rockport Harbor",,ネイティヴダンサー系,1,17,1中6,9,未勝利,ダ,1800,良,,内田,57.0,,4,18.0,5,2.5,4,12,12,12,11,38.85,40.3,3,ウリズンベー
5,,7,ブルースパーダ,牡,3,486,- 2,- 2,6,16.2, , 96,8,57,,,原優介,(美),矢野英一,ゴールドドリーム,ボーナスフィーバー,,ネイティヴダンサー系,11,1,4東A,3,未勝利*,ダ,1600,不,,原優,56.0,,13,234.0,9,1.7,14,,,7,7,35.82,38.0,10,アルカディアカフェ
6,,8,コスモラムバック,牡,3,506,+ 2,+ 2,12,124.0, , 92,11,57,,*,武藤雅,(美),水野貴広,ゴールドシップ,Giacomo,,その他のエクリプス系,1,4,1中1,3,未勝利,ダ,1800,稍,,丹内,57.0,,10,72.9,8,2.5,8,12,12,12,12,38.30,41.1,5,サトノリシャール
6,,9,ボンボンベイビー,牡,3,454,+ 4,+ 4,4,9.2, ,101,5,57,,*,菅原明良,(栗),矢作芳人,コントレイル,Galileo,,ニアークティック系,1,25,1京9,2,未勝利,ダ,1900,良,,高杉,57.0,,7,20.0,9,1.1,4,11,11,12,10,39.09,38.8,4,ドメイン
7,,10,ロイヤルドリーム,牡,3,498,- 8,- 8,13,311.8, , 91,12,54,▲,*,上里直汰,(美),西田雄一,ヴァンゴッホ,ディープインパクト,,ロイヤルチャージャー系,1,25,1中9,初,新馬,ダ,1800,良,,木幡,57.0,,10,58.7,14,4.0,11,15,15,15,15,40.35,41.9,10,トーアエレクトラム
7,,11,ジーティーブラック,牡,3,522,+ 4,+ 4,1,2.4, ,112,2,57,,*,横山武史,(美),菊沢隆徳,キタサンブラック,ロードカナロア,,,1,17,1中6,初,新馬,ダ,1800,良,,菊沢,57.0,,5,14.0,5,0.3,9,10,9,10,10,39.15,38.9,1,ガムラスタン
8,,12,リーピングサイン,牝,3,508,+ 8,+ 8,8,24.4, ,109,4,55,,,岩田望来,(美),武藤善則,ハービンジャー,クロフネ,ニアークティック系,ニアークティック系,1,25,1中9,5,未勝利・牝,ダ,1800,良,,岩田,55.0,,5,16.2,5,2.2,5,12,12,12,11,39.55,41.0,4,プレイメイカー
8,,13,キョウエイアート,牡,3,536,  0,0,11,122.9, , 94,10,57,,*,石川裕紀,(美),萱野浩二,オルフェーヴル,シンボリクリスエス,,ロイヤルチャージャー系,1,24,1中8,2,未勝利,ダ,1800,良,,原優,57.0,,13,493.6,11,2.4,15,11,11,13,11,38.80,40.2,9,テイクオンミー
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026021005010403,2026.2.10,火,東京,1東4,3,,未勝利,ダート,1600,,2,稍,晴,16,11:05,牝,馬齢,３歳
枠番,B,番,馬名S,性別,年齢,馬体重,増減,馬体重増減,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,コスモカノーネ,牝,3,522,+ 4,+ 4,4,12.7, ,108,4,55,,,柴田大知,(美),田島俊明,エピファネイア,"Broken Vow",,ネイティヴダンサー系,1,25,1中9,初,新馬,芝,2000,良,,柴田,55.0,,12,85.9,4,0.5,15,5,5,4,4,38.23,34.7,7,ヤマニンヘルシェ
1,,2,スティルアイライズ,牝,3,424,+ 4,+ 4,13,143.5, , 84,14,52,▲,*,遠藤汰月,(美),加藤和宏,タニノフランケル,ハービンジャー,,ニアークティック系,12,28,5中8,10,未勝利*,芝,1200,良,,上里,52.0,▲,11,100.3,16,2.5,12,,,16,16,35.90,35.7,12,ニシノセイドウ
2,,3,カラクリスピリッツ,牝,3,462,- 2,- 2,12,109.6, , 90,11,55,,*,岩田康誠,(美),斎藤誠,モーリス,ローエングリン,,ニアークティック系,9,27,4中8,初,新馬,ダ,1800,良,,津村,55.0,,14,96.3,11,3.6,12,10,9,10,9,39.40,40.4,11,ケントン
2,,4,ホテルストリート,牝,3,490,  0,0,3,11.6, ,100,7,55,,,横山武史,(美),伊藤大士,オルフェーヴル,ヨハネスブルグ,,ニアークティック系,11,2,4東B,2,未勝利*,ダ,1400,重,,横山,55.0,,6,46.2,8,2.2,7,,,13,14,37.13,36.7,3,ヘリテージブルーム
3,,5,セントポールヒロ,牝,3,480,+ 6,+ 6,16,353.3, , 92,10,55,,*,大野拓弥,(美),田島俊明,ストロングリターン,ヘクタープロテクター,,ネイティヴダンサー系,11,24,5東6,連,未勝利*,ダ,1600,良,,長浜,53.0,△,14,601.9,9,2.9,12,,,8,9,36.96,39.0,8,カレイジャスビート
3,,6,グラスベリー,牝,3,460,+10,+10,11,104.9, , 87,12,55,,*,野中悠太,(美),佐藤吉勝,シニスターミニスター,ヴァーミリアン,ナスルーラ系,ネイティヴダンサー系,12,6,5中1,3,未勝利・牝*,ダ,1800,良,,木幡,55.0,,11,190.8,10,2.4,11,13,13,12,13,38.65,41.5,10,ハニーオーケストラ
4,,7,キタノエピックアン,牝,3,452,  0,0,6,31.0, ,104,6,52,▲,,上里直汰,(美),萱野浩二,ベストウォーリア,ハービンジャー,,ニアークティック系,1,25,1中9,4,未勝利・牝,ダ,1800,良,,上里,52.0,▲,10,114.9,2,0.7,11,9,8,7,4,39.25,40.1,1,プレイメイカー
4,,8,サラサチャチャチャ,牝,3,468,+ 2,+ 2,5,20.2, ,110,3,55,,,江田照男,(美),田中剛,ダノンスマッシュ,"High Yield",,ニアークティック系,1,18,1中7,3,未勝利・牝,ダ,1800,良,,江田,55.0,,10,51.1,2,0.1,10,7,6,5,5,38.25,41.0,3,デルマホダカ
5,,9,ダイユウアドバンス,牝,3,504,,,14,258.4, ,  0,,52,▲,,佐藤翔馬,(美),松永康利,クリソベリル,ディープスカイ,,ロイヤルチャージャー系,,,,,,,,,,,,,,,,,,,,,,,,,
5,,10,エアトベーレ,牝,3,408,+ 6,+ 6,2,2.6, ,123,1,55,,*,キング,(美),手塚貴久,レイデオロ,ディープインパクト,,ロイヤルチャージャー系,1,25,1小2,6,未勝利・牝,ダ,1700,良,,嶋田,55.0,,2,4.0,2,0.0,3,9,7,2,2,37.91,38.8,1,ドウカキミニトドケ
