レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026071202011001,2026.7.12,日,函館,1函A,1,,未勝利,ダート,1000,,2,重(暫定),曇(暫定),12,09:50,,馬齢,３歳
枠番,B,番,馬名S,性別,年齢,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,ニシノギャルズ,牝,3,7,48.1, , 96,9,55,,*,横山琉人,(美),水野貴広,セイウンコウセイ,コロナドズクエスト,,ネイティヴダンサー系,6,7,3東2,10,未勝利,ダ,1300,良,,今村,53.0,◇,8,41.1,13,3.4,12,,,6,7,36.51,39.1,14,フィールマイプラン
2,,2,クリコイーコ,牝,3,10,67.0, ,102,5,51,★,*,河原田菜,(栗),荒川義之,ディーマジェスティ,キングカメハメハ,,ネイティヴダンサー系,5,31,3京C,5,未勝利,ダ,1200,良,,団野,55.0,,9,93.4,7,1.4,7,,,6,6,36.80,36.8,11,カーリキュー
3,,3,トリアングルレディ,牝,3,12,137.3, , 95,11,54,☆,*,長浜鴻緒,(美),尾関知人,ダノンバラード,アグネスデジタル,,ネイティヴダンサー系,6,21,1函4,21,未勝利・牝,芝,1200,良,,岩田,55.0,,11,78.3,10,1.3,7,,,6,6,33.60,36.0,13,ファインコンダクト
4,,4,ビタミンドロップ,牡,3,2,5.3, ,121,1,57,,,丹内祐次,(美),松山将樹,エスポワールシチー,スターリングローズ,,ネイティヴダンサー系,6,28,1函6,2,未勝利,ダ,1000,稍,,丹内,57.0,,2,4.9,2,0.5,3,,,2,2,34.65,36.0,5,イングラム
5,,5,ヒューザー,牡,3,9,54.7, , 99,7,55,◇,,古川奈穂,(栗),小林真也,ヘニーヒューズ,アイルハヴアナザー,,ネイティヴダンサー系,6,14,1函2,9,未勝利,ダ,1000,良,,古川,55.0,◇,8,43.9,5,0.9,8,,,6,4,35.25,36.0,5,ライトニングロッド
5,,6,スイーヴル,牝,3,1,1.6, ,120,2,55,,*,武豊,(栗),小椋研介,タワーオブロンドン,Pivotal,,ニアークティック系,6,27,1函5,2,未勝利・牝,ダ,1000,不,,岩田,55.0,,2,4.1,2,0.1,1,,,5,3,34.95,34.6,1,マリブサーフ
6,B,7,マーゴットオネイロ,牡,3,3,6.7, ,117,3,57,,,横山武史,(栗),小林真也,ゴールドドリーム,トワイニング,,ネイティヴダンサー系,6,13,1函1,15,未勝利,ダ,1000,稍,,横山,57.0,,1,2.2,4,1.1,1,,,5,5,34.95,35.6,7,クロナ
6,,8,アジーザム,牝,3,11,104.7, , 96,9,55,,*,北村友一,(美),松尾卓哉,ドレフォン,ディープインパクト,,ロイヤルチャージャー系,6,28,1函6,3,未勝利,ダ,1000,稍,,岩田,55.0,,10,132.2,5,1.2,9,,,9,7,36.75,35.3,1,イングラム
7,,9,ホワイトラバーズ,牝,3,8,51.7, , 99,7,55,,,古川吉洋,(栗),大根田裕,ディーマジェスティ,クロフネ,,ニアークティック系,6,28,1函6,2,未勝利,ダ,1000,稍,,古川,55.0,,9,87.4,4,0.8,4,,,6,5,36.00,35.4,2,イングラム
7,B,10,スプリングドリーム,牝,3,5,14.2, , 95,11,55,,*,黛弘人,(美),加藤士津,モズアスコット,クロフネ,,ニアークティック系,6,21,1函4,9,未勝利・牝,芝,1200,良,,佐々,55.0,,5,15.4,15,1.8,11,,,12,11,34.10,36.0,13,ファインコンダクト
8,,11,ホウオウワイズ,牝,3,6,42.3, ,101,6,55,,*,佐々木大,(栗),吉岡辰弥,"Bolt d'Oro",Dunkirk,,ネイティヴダンサー系,6,14,3阪4,初,未勝利,ダ,1400,良,,田山,53.0,△,10,96.7,8,1.7,11,,,1,1,36.00,39.1,9,モズジェネラル
8,B,12,サンライズロイ,牡,3,4,7.8, ,109,4,56,☆,*,舟山瑠泉,(栗),牧浦充徳,フォーウィールドライブ,ブライアンズタイム,,ロイヤルチャージャー系,6,20,3阪5,4,未勝利,ダ,1200,稍,,岩田,57.0,,6,16.2,4,0.6,3,,,4,4,36.00,37.3,8,マリリンバローズ
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026071202011002,2026.7.12,日,函館,1函A,2,,未勝利,芝,2000,B,4,稍(暫定),曇(暫定),16,10:20,牝,馬齢,３歳
枠番,B,番,馬名S,性別,年齢,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,フィエスタ,牝,3,6,20.5, ,100,5,55,,*,斎藤新,(栗),西村真幸,キタサンブラック,ヴィクトワールピサ,,ロイヤルチャージャー系,5,24,3京A,22,未勝利,芝,1600,良,,田山,53.0,△,7,26.9,12,1.2,2,,,10,9,34.98,35.8,12,ハヤブササキチャン
2,B,2,ボーントゥラブユー,牝,3,4,10.2, ,109,3,55,,*,鮫島克駿,(美),小笠倫弘,コントレイル,"Street Cry",,ネイティヴダンサー系,7,4,1函7,3,未勝利,芝,1800,良,B,横山,55.0,,7,17.2,6,0.3,3,3,3,3,3,36.70,35.1,11,ニシノマルガリート
3,,3,ダンツアラーム,牝,3,5,19.9, , 97,6,52,▲,,遠藤汰月,(栗),本田優,リアルスティール,ノヴェリスト,,その他のエクリプス系,6,27,1函5,2,未勝利,芝,1800,稍,,遠藤,52.0,▲,12,60.3,8,0.4,16,14,14,12,13,36.70,35.0,3,アイムイン
4,,4,スリールーディカ,牝,3,9,30.5, , 88,13,55,,*,丹内祐次,(栗),橋田宜長,"Saxon Warrior","Due Diligence",,,6,20,1函3,6,未勝利,芝,2000,良,,柴田,53.0,△,16,223.9,11,2.1,16,8,9,11,12,36.73,35.9,8,ジャケットポケット
4,,5,ビアーレ,牝,3,12,78.7, , 96,8,55,,*,横山琉人,(美),林徹,ミスチヴィアスアレックス,カンパニー,,ナスルーラ系,6,27,1函5,9,未勝利,芝,1200,重,B,小林,52.0,▲,9,28.7,11,1.1,9,,,7,5,34.80,35.5,11,スイープセレニティ
5,B,6,プリュイドール,牝,3,3,6.1, , 96,8,53,◇,*,古川奈穂,(栗),矢作芳人,オルフェーヴル,Frankel,,ニアークティック系,6,7,3阪2,2,未勝利,芝,2000,稍,,西村,55.0,,6,26.1,13,2.0,11,11,11,12,15,36.86,36.0,6,エースフライト
5,,7,ベネディクション,牝,3,2,5.5, ,117,1,55,,*,横山武史,(栗),矢作芳人,エピファネイア,ディープインパクト,,ロイヤルチャージャー系,6,28,1函6,連,未勝利,芝,2000,良,,古川,53.0,◇,6,17.8,2,0.0,12,8,9,10,8,36.43,35.8,2,マテンロウオリジン
6,,8,アルケミラモリス,牝,3,8,22.7, ,107,4,52,▲,,大久保友,(美),粕谷昌央,ロジャーバローズ,マリエンバード,,ニアークティック系,6,27,1函5,2,未勝利,芝,1800,稍,,大久,52.0,▲,11,41.7,6,0.2,11,3,3,2,2,36.25,35.7,9,アイムイン
6,,9,エアヴァイブス,牝,3,1,1.9, ,117,1,55,,,武豊,(栗),福永祐一,コントレイル,ハービンジャー,,ニアークティック系,6,27,1函5,4,未勝利,芝,1800,稍,,武豊,55.0,,1,4.3,7,0.3,1,5,6,4,4,36.40,35.5,7,アイムイン
7,,10,アーミル,牝,3,7,21.0, , 89,12,55,,*,小沢大仁,(栗),高柳大輔,シルバーステート,キングカメハメハ,,ネイティヴダンサー系,6,20,1函3,13,未勝利・牝,芝,1800,良,,舟山,53.0,△,11,50.0,15,2.9,6,4,5,7,8,35.85,38.4,15,ダーリンダーリン
7,,11,サウンドファミリエ,牝,3,10,33.5, , 95,10,51,★,*,河原田菜,(美),和田正一,シルバーステート,トビーズコーナー,,その他のエクリプス系,6,20,1函3,7,未勝利・牝,芝,1800,良,,小林,52.0,▲,15,82.3,7,0.7,10,16,15,7,2,35.85,36.2,8,ダーリンダーリン
8,,12,ワンダージェム,牝,3,13,106.7, , 97,6,55,,*,佐々木大,(栗),石坂公一,ワールドエース,エンパイアメーカー,,ネイティヴダンサー系,6,6,3阪1,12,未勝利・牝,ダ,1800,良,,西村,55.0,,10,36.4,10,2.6,7,13,13,13,9,38.80,39.6,9,ドリームキャリー
8,,13,ヴィンテール,牝,3,11,35.0, , 90,11,53,△,*,鷲頭虎太,(栗),池江泰寿,エピファネイア,ディープインパクト,,ロイヤルチャージャー系,6,20,1函3,9,未勝利・牝,芝,1800,良,,河原,51.0,★,14,81.8,11,1.3,7,14,14,14,15,36.10,36.3,10,ダーリンダーリン
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026071202011003,2026.7.12,日,函館,1函A,3,,未勝利,ダート,1700,,4,重(暫定),曇(暫定),14,10:50,,馬齢,３歳
枠番,B,番,馬名S,性別,年齢,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,ファントムグレース,牝,3,14,58.4, , 86,14,55,,*,小沢大仁,(栗),本田優,サトノダイヤモンド,"Empire Maker",,ネイティヴダンサー系,6,27,1函5,3,未勝利・牝,ダ,1700,重,,遠藤,52.0,▲,11,231.2,9,2.1,8,5,5,10,11,37.09,38.3,9,プリンセスアツコ
2,B,2,サクセスゴールド,牡,3,6,16.9, ,109,3,57,,*,吉田隼人,(美),久保田貴,ルヴァンスレーヴ,アグネスタキオン,,ロイヤルチャージャー系,6,14,3東4,5,未勝利,ダ,2100,稍,B,原優,57.0,,2,6.7,11,3.4,4,2,2,2,2,37.72,41.6,14,モデレートゲイル
3,,3,コーリンクレア,牝,3,7,19.9, , 94,8,55,,,横山和生,(美),小野次郎,マテラスカイ,トーセンダンス,,ロイヤルチャージャー系,6,27,1函5,3,未勝利・牝,ダ,1700,重,,横山,55.0,,8,35.3,7,1.2,5,11,11,11,10,37.31,37.0,2,プリンセスアツコ
3,,4,ジャストアダッシュ,牡,3,10,32.1, , 98,6,54,▲,*,和田陽希,(栗),藤野健太,サンライズソア,マジェスティックウォリアー,,,6,20,3阪5,6,未勝利,ダ,1200,稍,,松若,57.0,,8,24.7,7,1.0,8,,,11,11,36.90,36.8,2,マリリンバローズ
4,,5,セラサイト,牝,3,3,8.2, , 90,11,55,,*,斎藤新,(栗),茶木太樹,クリソベリル,Ghostzapper,,ニアークティック系,6,27,1函5,2,未勝利・牝,ダ,1000,不,,河原,51.0,★,7,19.5,10,1.7,3,,,11,11,36.00,35.5,6,マリブサーフ
4,,6,ゴーントゥファー,セ,3,13,57.1, , 88,12,56,☆,*,長浜鴻緒,(美),小島茂之,ドレフォン,キズナ,,,6,28,2福2,12,未勝利,ダ,1700,良,,荻野,57.0,,--,,外,----,,,,,,,----,,ウインビギニング
5,,7,ロスニーニョス,牡,3,11,36.2, , 98,6,57,,,古川吉洋,(栗),大根田裕,レイデオロ,アグネスタキオン,,ロイヤルチャージャー系,6,28,1函6,3,未勝利,ダ,1700,稍,,古川,57.0,,9,37.7,8,1.5,3,12,11,7,7,37.47,38.8,10,ライカ
5,,8,ハイテイラオユエ,牡,3,5,13.4, ,106,5,57,,*,横山武史,(美),辻哲英,クリソベリル,キングカメハメハ,,ネイティヴダンサー系,6,14,3東4,3,未勝利,ダ,2100,稍,,大野,57.0,,7,35.5,4,1.0,3,3,3,3,3,37.84,38.9,4,モデレートゲイル
