レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026022105010701,2026.2.21,土,東京,1東7,1,,未勝利,ダート,1400,,2,良,晴,16,10:05,牝,馬齢,３歳
枠番,B,番,馬名S,性別,年齢,馬体重,増減,馬体重増減,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,スーパーガール,牝,3,492,  0,0,4,7.2, ,106,5,52,▲,*,佐藤翔馬,(美),伊藤圭三,ドレフォン,スズカマンボ,,ロイヤルチャージャー系,2,7,1東3,2,未勝利・牝,ダ,1400,良,,キン,55.0,,4,7.3,4,0.9,6,,,8,9,37.20,38.0,3,チームユートピア
1,,2,メビウスロマンス,牝,3,460,  0,0,1,2.9, ,115,1,55,,,戸崎圭太,(美),矢嶋大樹,ニューイヤーズデイ,ダイワメジャー,,ロイヤルチャージャー系,1,31,1東1,13,未勝利・牝,ダ,1400,良,,戸崎,55.0,,1,2.3,4,0.7,1,,,2,2,36.75,38.2,10,マカイゾウ
2,,3,ギルランダ,牝,3,416,  0,0,12,42.3, ,100,8,55,,*,石川裕紀,(美),中舘英二,サトノクラウン,ネオユニヴァース,,ロイヤルチャージャー系,11,24,5東6,初,新馬・牝,芝,1600,良,,プー,55.0,,6,20.1,6,1.1,10,,,9,9,36.96,33.9,5,フェルミアーク
2,,4,ミエスタ,牝,3,484,+ 4,+ 4,10,31.4, ,101,7,55,,*,吉村誠之,(美),加藤征弘,スワーヴリチャード,"Oasis Dream",,ニアークティック系,11,15,5東3,初,新馬・牝,芝,1600,良,,マー,55.0,,6,22.9,10,1.8,5,,,4,4,36.84,35.2,12,マスターソアラ
3,,5,マジェステラ,牝,3,476,+ 8,+ 8,9,30.2, , 91,11,55,,*,津村明秀,(美),千葉直人,ディーマジェスティ,Henrythenavigator,,ネイティヴダンサー系,12,7,5名2,2,未勝利*,芝,1600,良,,佐々,55.0,,9,29.5,13,1.6,8,,8,8,8,36.12,35.5,12,トライアンフパス
3,,6,コパノキャメロン,牝,3,494,+12,+12,6,19.0, ,109,3,55,,*,武藤雅,(美),手塚貴久,シャンハイボビー,ゴールドアリュール,,ロイヤルチャージャー系,9,27,4中8,4,未勝利*,ダ,1200,良,,長浜,53.0,△,4,19.9,4,1.3,6,,,7,6,35.40,37.7,8,コパノトーマス
4,,7,ハウスオンファイア,牝,3,508,+14,+14,15,311.1, , 87,14,55,,*,杉原誠人,(美),岩戸孝樹,パイロ,アドマイヤムーン,ナスルーラ系,ネイティヴダンサー系,12,6,5中1,13,未勝利・牝*,ダ,1800,良,,丹内,55.0,,12,207.6,12,3.7,13,5,4,4,8,38.20,43.7,12,ハニーオーケストラ
4,,8,グラスハーティー,牝,3,496,+ 2,+ 2,3,5.5, ,112,2,55,,,大野拓弥,(美),松山将樹,ダノンプレミアム,キングカメハメハ,,ネイティヴダンサー系,2,1,1東2,3,未勝利・牝,ダ,1600,良,,大野,55.0,,5,12.6,2,1.1,1,,,10,10,37.32,37.9,2,ジュワネング
5,,9,イアム,牝,3,404,+ 8,+ 8,16,572.8, , 83,15,52,▲,*,遠藤汰月,(美),加藤和宏,サトノジェネシス,スズカマンボ,,ロイヤルチャージャー系,12,7,5中2,7,未勝利*,芝,1800,良,,上里,52.0,▲,15,623.5,13,1.9,16,16,16,16,16,38.25,34.3,2,テルケンレンスキー
