レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026092206040701,2026.9.22,火,中山,4中7,1,,未勝利,障害(直線ダ),2880,,,不(暫定),雨(暫定),14,09:45,,定量,３上
枠番,B,番,馬名S,性別,年齢,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,アドアプローズ,牡,5,8,19.1, , 95,11,60,,,上野翔,(美),小手川準,ジャングルポケット,キングカメハメハ,ナスルーラ系,ネイティヴダンサー系,7,18,2小7,2,障害未勝利,障芝,2860,稍,,上野,60.0,,11,77.0,6,1.3,10,9,8,6,6,,13.7,,セイウンパシュート
2,B,2,カルマンフィルター,牡,5,4,8.6, ,102,5,60,,,草野太郎,(美),戸田博文,スワーヴリチャード,シンボリクリスエス,,ロイヤルチャージャー系,4,12,3中6,3,障害未勝利,障ダ,2880,良,B,草野,60.0,,6,18.0,9,3.3,4,5,4,5,6,,13.9,,マオノアラシ
3,,3,コトブキヘスペラス,牡,6,14,61.3, , 93,12,60,,*,小野寺祐,(美),金成貴史,ハーツクライ,"Lemon Drop Kid",ロイヤルチャージャー系,ネイティヴダンサー系,7,26,2新2,7,障害未勝利,障芝,2850,不,,金子,60.0,,14,255.8,8,2.6,13,4,4,6,6,,13.3,,キャネル
3,,4,テンプーシャオン,牡,6,13,50.8, , 99,8,60,,*,金子光希,(美),和田勇介,ドレフォン,クロフネ,,ニアークティック系,6,27,2福1,10,１勝ｸﾗｽ,芝,1200,良,,ゴン,58.0,,10,33.8,10,0.7,6,,,2,2,33.20,35.4,13,デアリングエア
4,,5,ゴーツウキリシマ,牝,6,7,13.2, ,106,3,58,,*,黒岩悠,(栗),牧田和弥,ナムラタイタン,グラスワンダー,,ロイヤルチャージャー系,7,16,佐賀,2,霧島賞,ダ,1400,良,,團野,54.0,,2,,3,0.7,,2,2,1,2,,----,,アイタカ
4,B,6,シュハリ,牡,6,11,25.8, ,101,6,60,,*,大江原圭,(美),粕谷昌央,カレンブラックヒル,Kris,,ネイティヴダンサー系,6,28,2福2,18,障害未勝利,障芝,2750,良,B,江田,60.0,,10,78.5,6,1.6,6,3,4,3,3,,13.1,,ポワンキュルミナン
5,,7,アルシミスト,セ,5,10,22.6, , 98,10,58,△,,坂口智康,(美),浅利英明,オルフェーヴル,Tapizar,,ナスルーラ系,6,21,3東6,11,障害未勝利,障ダ,3000,稍,,坂口,57.0,▲,11,47.2,8,2.7,9,3,3,4,4,,13.9,,ブライトマン
5,B,8,バンデルオーラ,牡,7,5,12.5, ,100,7,60,,,伴啓太,(美),岩戸孝樹,トーセンラー,サクラバクシンオー,,ナスルーラ系,7,26,2新2,9,障害未勝利,障芝,2850,不,,伴啓,60.0,,7,18.9,10,3.7,8,6,6,7,7,,13.4,,キャネル
6,B,9,アバットゥータ,牡,4,3,7.0, ,103,4,57,▲,,井上敏樹,(栗),中竹和也,ハービンジャー,キングカメハメハ,ニアークティック系,ネイティヴダンサー系,8,1,2名3,4,障害未勝利,障芝,3000,良,,井上,57.0,▲,1,3.0,9,17.3,3,10,10,10,10,,14.4,,ソレルビュレット
6,,10,ブランフォルテ,牡,4,2,4.9, ,116,1,57,▲,,水沼元輝,(美),辻哲英,シルバーステート,ブライアンズタイム,,ロイヤルチャージャー系,7,19,2小8,3,障害未勝利,障芝,2860,良,,水沼,57.0,▲,4,15.6,2,0.1,4,6,6,4,4,,13.4,,バニーラビット
7,,11,ロイガヴェーグル,牡,6,12,48.6, , 99,8,60,,,中村将之,(栗),浜田多実,サトノアラジン,フレンチデピュティ,,ニアークティック系,5,30,2東B,3,障害未勝利,障ダ,3000,良,,中村,60.0,,7,25.6,9,10.1,7,10,9,9,9,,14.3,,モンツァフレイバー
7,,12,ニシノブレイゼスト,牡,4,6,12.7, , 91,14,60,,*,五十嵐雄,(美),高木登,シルバーステート,グランデラ,,ニアークティック系,7,26,2新2,16,障害未勝利,障芝,2850,不,,中村,60.0,,11,82.8,11,5.1,11,12,13,13,11,,13.5,,キャネル
8,,13,サトノドルチェ,セ,7,9,19.2, , 93,12,60,,*,江田勇亮,(美),蛯名利弘,オルフェーヴル,"Danehill Dancer",,ニアークティック系,8,23,3名2,3,障害未勝利,障芝,3000,良,,大江,60.0,,8,71.5,4,3.1,8,2,2,3,4,,13.5,,アルヴィア
8,B,14,グランナヴィール,牡,5,1,3.1, ,111,2,60,,,難波剛健,(美),堀内岳志,ゴールドシップ,クロフネ,,ニアークティック系,4,12,3中6,連,障害未勝利,障ダ,2880,良,B,難波,60.0,,7,37.6,2,0.6,7,10,10,7,4,,13.7,,マオノアラシ
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026092206040702,2026.9.22,火,中山,4中7,2,,未勝利,芝,1200,C,2,不(暫定),雨(暫定),16,10:20,,馬齢,２歳
枠番,B,番,馬名S,性別,年齢,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,スノーキャップ,牡,2,13,49.8, , 88,13,55,,,柴田大知,(美),嘉藤貴行,フィレンツェファイア,ブラックタイド,,ロイヤルチャージャー系,9,6,4中2,2,未勝利*,芝,1200,稍,,柴田,55.0,,13,382.8,10,0.8,7,,,9,9,35.60,35.5,5,セイウンリリーナ
2,,2,ゴータマ,牡,2,7,18.4, , 93,12,55,,*,丹内祐次,(美),池上昌和,ディスクリートキャット,パイロ,,ナスルーラ系,8,9,2新6,初,新馬,芝,1200,良,,原優,55.0,,9,74.8,9,1.4,11,,,4,5,35.10,35.8,11,イスクメル
3,,3,ナナレイ,牝,2,10,28.4, , 87,14,55,,,丸山元気,(美),小野次郎,カリフォルニアクローム,ドリームジャーニー,,ロイヤルチャージャー系,6,20,3東5,初,新馬,芝,1600,稍,,丸山,55.0,,8,140.9,9,2.1,8,,,8,8,38.16,35.3,8,レッチュベルク
3,,4,スペシャルサンクス,牝,2,2,4.8, ,108,2,55,,,嶋田純次,(美),矢嶋大樹,フィレンツェファイア,フレンチデピュティ,,ニアークティック系,9,6,4中2,5,未勝利*,芝,1200,稍,,嶋田,55.0,,6,18.2,4,0.4,5,,,2,3,35.00,35.7,8,セイウンリリーナ
4,,5,ナリタライズ,牡,2,8,18.5, , 98,9,53,△,*,石田拓郎,(栗),高橋亮,イスラボニータ,ローエングリン,,ニアークティック系,9,5,4阪1,初,新馬,ダ,1400,稍,,田山,54.0,☆,3,6.6,12,4.6,8,,,9,8,36.38,41.3,11,デザートキャンドル
4,,6,ニシノタカオ,牡,2,12,37.0, ,101,7,55,,,野中悠太,(美),堀内岳志,セイウンコウセイ,ベーカバド,,ニアークティック系,8,1,2新3,初,新馬,芝,1400,良,,野中,55.0,,13,96.7,10,1.9,17,,,3,4,35.40,36.3,16,ボーデコール
5,,7,シジマ,牝,2,5,11.8, ,102,6,55,,*,石橋脩,(美),池上昌和,アメリカンペイトリオット,コマンズ,,ニアークティック系,8,9,2新6,初,新馬,芝,1200,良,,岩田,55.0,,4,6.9,6,0.8,6,,,2,3,34.90,35.4,9,イスクメル
5,,8,バタフライ,牝,2,1,4.3, ,109,1,55,,,原田和真,(美),松山将樹,タワーオブロンドン,"Intense Focus",,ニアークティック系,8,29,2札3,3,未勝利・牝*,芝,1500,稍,,原田,55.0,,7,18.1,2,0.5,8,,1,1,1,35.73,36.9,4,タプティ
6,,9,ニシノムホウモノ,牡,2,4,5.5, ,101,7,55,,*,横山和生,(美),村田一誠,ビッグアーサー,ディープインパクト,,ロイヤルチャージャー系,8,29,3新3,初,新馬,芝,1400,良,,ミシ,55.0,,7,22.5,12,2.0,8,,,14,14,37.28,35.4,1,エクラドリオン
6,,10,ニシノアトール,牡,2,6,17.0, ,106,3,55,,,杉原誠人,(美),武市康男,ネロ,オルフェーヴル,,,8,1,2新3,初,新馬,芝,1400,良,,杉原,55.0,,6,14.0,12,2.1,11,,,1,1,35.03,37.0,18,ボーデコール
7,,11,ハミングリップス,牝,2,14,56.3, , 94,10,55,,*,菊沢一樹,(美),青木孝文,タワーオブロンドン,ディープインパクト,,ロイヤルチャージャー系,9,5,2札5,3,未勝利*,芝,1200,稍,,藤懸,55.0,,9,47.5,8,2.3,9,,,2,5,34.60,38.1,10,ミハテヌユメ
7,,12,ダンシングアワー,牝,2,9,19.6, , 94,10,55,,,小林脩斗,(美),室井潔,ディーマジェスティ,スマートボーイ,,ニアークティック系,7,5,2福4,初,新馬,芝,1200,良,,小林,55.0,,13,190.4,6,0.4,12,,,8,8,35.60,35.0,2,ピクニックマーチ
8,,13,トーセンルルド,牝,2,3,5.0, ,105,4,55,,*,佐々木大,(美),杉浦宏昭,ハイランドリール,"Red Runner",,,8,30,2札4,5,未勝利*,芝,1200,良,,武豊,55.0,,4,9.1,6,0.7,2,,,6,6,35.40,35.4,6,ギャルズマインド
8,,14,タワーウマザンマイ,牡,2,11,30.6, ,103,5,55,,,原優介,(美),青木孝文,タワーオブロンドン,ダイワメジャー,,ロイヤルチャージャー系,8,29,3新3,初,新馬,芝,1400,良,,原優,55.0,,8,40.2,15,2.6,5,,,2,2,35.55,38.3,18,エクラドリオン
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026092206040703,2026.9.22,火,中山,4中7,3,,未勝利,ダート,1200,,2,不(暫定),雨(暫定),16,10:50,,馬齢,２歳
枠番,B,番,馬名S,性別,年齢,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,ビスクヴィート,牡,2,8,29.5, , 92,9,55,,,内田博幸,(美),中舘英二,マインドユアビスケッツ,ダイワメジャー,,ロイヤルチャージャー系,8,29,3新3,4,未勝利*,芝,1600,良,,内田,55.0,,10,211.2,7,2.4,7,,,9,9,36.54,36.4,6,キムケンシーサー
2,,2,モミスケ,牡,2,11,38.3, , 90,10,54,☆,*,長浜鴻緒,(美),水野貴広,ビッグアーサー,ゼンノロブロイ,,ロイヤルチャージャー系,8,16,1札8,3,未勝利*,芝,1200,良,,小林,52.0,▲,4,8.1,8,5.9,1,,,8,8,36.60,39.7,8,タイフーンナイン
3,,3,ソウラスフロス,牡,2,4,16.4, ,107,3,55,,*,丹内祐次,(美),金成貴史,フォーウィールドライブ,ディープインパクト,,ロイヤルチャージャー系,9,5,4中1,初,新馬,ダ,1200,重,,三浦,55.0,,4,8.0,9,2.9,7,,,2,3,34.00,40.2,14,ポッドビート
4,,4,シュアシング,牝,2,6,20.8, , 99,6,55,,,武藤雅,(美),相沢郁,ジャンダルム,ジョーカプチーノ,ロイヤルチャージャー系,ロイヤルチャージャー系,8,23,3新2,2,未勝利*,芝,1400,良,,武藤,55.0,,11,265.6,6,1.5,6,,,2,2,35.25,36.2,11,ノーセット
5,,5,ドナビッグベン,牝,2,1,2.3, ,110,2,55,,*,佐々木大,(美),秋本大介,タワーオブロンドン,ルーラーシップ,,ネイティヴダンサー系,7,19,2福8,3,未勝利*,ダ,1150,良,,荻野,55.0,,5,34.2,2,0.4,4,,,3,2,35.35,37.6,2,ムーンベリル
6,,6,ベアアミーチ,牝,2,2,3.3, , 97,8,55,,*,松岡正海,(美),杉浦宏昭,ミスチヴィアスアレックス,スウェプトオーヴァーボード,,ネイティヴダンサー系,6,28,2福2,3,未勝利*,芝,1200,良,,上里,52.0,▲,4,17.9,4,1.7,4,,,2,2,33.80,36.3,5,オオセイケイ
6,,7,スウィット,牡,2,5,17.3, ,104,4,55,,,木幡巧也,(美),牧光二,エイシンフラッシュ,キングカメハメハ,,ネイティヴダンサー系,7,19,2福8,3,未勝利*,ダ,1150,良,,木幡,55.0,,4,31.1,5,2.5,2,,,7,6,36.00,39.1,4,ムーンベリル
7,,8,ギムナシオン,牡,2,3,4.8, ,114,1,55,,,横山武史,(美),嘉藤貴行,マテラスカイ,ダイワメジャー,,ロイヤルチャージャー系,9,5,4中1,初,新馬,ダ,1200,重,,横山,55.0,,2,5.1,5,2.4,6,,,8,8,35.50,38.2,7,ポッドビート
7,,9,ヤマニンスペッキオ,牡,2,9,31.6, , 98,7,55,,,江田照男,(美),田中勝春,シュヴァルグラン,シンボリクリスエス,,ロイヤルチャージャー系,9,5,4中1,初,新馬,ダ,1200,重,,江田,55.0,,9,65.5,10,3.0,4,,,11,11,36.60,37.7,4,ポッドビート
8,,10,ダンシングリリー,牝,2,7,28.9, ,100,5,55,,*,原優介,(美),佐藤吉勝,マクフィ,ヨハネスブルグ,,ニアークティック系,9,5,4中1,初,新馬,ダ,1200,重,,小崎,55.0,,10,110.2,7,2.6,14,,,7,7,35.30,38.6,9,ポッドビート
8,,11,ヒーローシー,牝,2,10,33.9, , 89,11,55,,,丸田恭介,(美),石栗龍彦,マクフィ,トウカイテイオー,,トゥルビヨン系,9,6,4中2,2,未勝利*,芝,1200,稍,,丸田,55.0,,11,191.4,13,1.8,12,,,13,13,36.40,35.7,8,セイウンリリーナ
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026092206040704,2026.9.22,火,中山,4中7,4,,未勝利,芝,1800,C,4,不(暫定),雨(暫定),14,11:20,,馬齢,２歳
枠番,B,番,馬名S,性別,年齢,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,サンアンドスターズ,牝,2,5,8.2, , 91,8,53,◇,,小林美駒,(美),畠山吉宏,モーニン,ハービンジャー,,ニアークティック系,9,13,4中4,3,未勝利*,ダ,1200,重,,小林,53.0,◇,13,96.1,11,2.3,12,,,15,14,35.80,38.1,6,アレックスケー
2,,2,マイネルアルディ,牡,2,9,38.0, , 84,10,55,,*,佐々木大,(美),菊川正達,ブリックスアンドモルタル,ディープインパクト,,ロイヤルチャージャー系,6,21,3東6,初,新馬,芝,1800,稍,,石神,52.0,▲,13,180.7,13,1.8,7,,12,12,13,38.85,34.6,9,アヴィアトーレ
3,,3,アニエーネ,牝,2,3,5.8, ,116,2,55,,,柴田大知,(美),和田勇介,ベンバトル,ネオユニヴァース,,ロイヤルチャージャー系,8,22,3新1,3,未勝利*,芝,1800,良,,柴田,55.0,,2,6.0,2,0.2,3,,,2,2,38.00,33.1,3,コスモイェーガー
4,,4,キャピタルストーン,牡,2,1,3.1, ,125,1,55,,,大野拓弥,(美),久保田貴,サートゥルナーリア,ディープインパクト,,ロイヤルチャージャー系,7,11,2福5,3,未勝利*,芝,1800,良,,大野,55.0,,3,5.9,2,0.2,4,2,4,4,2,36.10,35.6,4,レオンティウス
5,,5,トーセンシントラ,牡,2,6,10.5, ,108,5,55,,*,丹内祐次,(美),中舘英二,ハイランドリール,タイキシャトル,,ロイヤルチャージャー系,8,22,3新1,初,新馬,芝,1600,良,,三浦,55.0,,6,25.6,6,0.5,12,,,1,1,37.20,34.5,9,ジップスパーク
6,,6,クシェドゥソレイユ,牝,2,2,4.7, ,112,4,55,,,横山武史,(美),辻哲英,エフフォーリア,"Pioneerof the Nile",,ネイティヴダンサー系,6,6,3東1,初,新馬,芝,1600,良,,横山,55.0,,2,4.9,3,0.7,8,,,2,2,36.48,34.2,5,フィリオソラーレ
7,,7,ドナリー,牝,2,4,6.0, ,116,2,53,△,,石神深道,(美),林徹,ルーラーシップ,ディープインパクト,ネイティヴダンサー系,ロイヤルチャージャー系,7,18,2福7,初,新馬・牝,芝,1800,良,,石神,53.0,△,6,13.7,2,0.1,6,1,1,1,1,36.95,35.6,4,シルクドマルス
7,,8,エレスレイプニル,牡,2,8,25.1, , 95,7,55,,*,木幡巧也,(美),杉浦宏昭,ハイランドリール,"Flower Alley",,ネイティヴダンサー系,8,23,3新2,3,新潟２歳G3,芝,1600,良,,木幡,55.0,,9,113.4,7,1.8,10,,,3,3,37.14,34.6,9,レッチュベルク
8,,9,コスモバルムンク,牡,2,7,12.3, , 96,6,55,,,菊沢一樹,(美),小手川準,ダノンバラード,レッドスパーダ,,,7,25,2新1,3,未勝利*,芝,1800,良,,菊沢,55.0,,5,11.4,6,0.9,2,,,7,7,37.65,33.5,6,レゾルーティオ
8,,10,キャッチアップ,牝,2,10,47.4, , 90,9,55,,*,武藤雅,(美),小野次郎,ベンバトル,アグネスデジタル,,ネイティヴダンサー系,8,30,3新4,初,新馬,芝,1800,良,,菊沢,55.0,,7,65.4,11,3.4,5,,,11,11,38.35,35.7,7,チェスティーノ
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026092206040705,2026.9.22,火,中山,4中7,5,,新馬,芝,1600,C,3,不(暫定),雨(暫定),16,12:10,牝,馬齢,２歳
枠番,B,番,馬名S,性別,年齢,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,ビーハッピーデイ,牝,2,4,8.4, ,  0,,55,,,ミシェル,(美),西田雄一,サートゥルナーリア,"American Post",,ネイティヴダンサー系,,,,,,,,,,,,,,,,,,,,,,,,,
2,,2,ローズサルーテ,牝,2,2,6.0, ,  0,,53,◇,,小林美駒,(美),松永康利,ロジャーバローズ,クロフネ,,ニアークティック系,,,,,,,,,,,,,,,,,,,,,,,,,
