レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026092606040801,2026.9.26,土,中山,4中8,1,,未勝利,ダート,1200,,2,良(暫定),曇(暫定),16,09:45,,馬齢,２歳
枠番,B,番,馬名S,性別,年齢,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,アルビオンライズ,牡,2,1,2.4, ,118,1,55,,,ミシェル,(美),和田正一,ミッキーアイル,"Lord of England",,ナスルーラ系,9,5,4中1,初,新馬,ダ,1200,重,,ミシ,55.0,,3,5.5,2,1.6,11,,,2,2,34.00,38.9,10,ポッドビート
2,,2,トパーズヘッド,牡,2,12,115.8, , 89,9,55,,,菅原隆一,(美),佐藤吉勝,クリソベリル,"Giant's Causeway",,ニアークティック系,9,12,4中3,初,新馬,ダ,1200,不,,菅原,55.0,,12,124.3,11,2.0,11,,,6,6,35.60,38.3,12,ナイトパイロット
3,B,3,アンミツ,牝,2,4,7.3, , 97,7,53,◇,*,小林美駒,(栗),杉山佳明,タリスマニック,サウスヴィグラス,,ネイティヴダンサー系,9,5,2札5,初,新馬,芝,1500,稍,,和田,52.0,▲,10,70.3,10,1.5,14,,2,2,2,36.93,37.6,11,シュヴァルツペルレ
4,B,4,リコルディオーロ,牡,2,3,7.2, ,109,2,52,▲,,佐藤翔馬,(美),伊藤圭三,ゴールドドリーム,タイキシャトル,,ロイヤルチャージャー系,8,16,2新8,3,未勝利*,ダ,1200,良,,佐藤,52.0,▲,4,7.6,7,1.4,6,,,14,13,36.40,37.3,1,ラキアーヴェ
4,,5,コウソクレムリア,牝,2,6,15.0, ,100,5,55,,*,黛弘人,(美),武藤善則,ジャンダルム,"Catcher In The Rye",ロイヤルチャージャー系,,8,8,2新5,9,未勝利*,芝,1400,良,,武藤,55.0,,7,18.5,6,0.5,7,,,8,8,35.33,35.1,2,グルーヴェンス
5,B,6,クリアマインド,牝,2,11,58.4, , 84,13,55,,,原優介,(美),高柳瑞樹,ディーマジェスティ,ファスリエフ,,ニアークティック系,9,12,4中3,初,新馬,ダ,1200,不,,原優,55.0,,11,104.0,12,4.0,8,,,12,12,38.00,37.9,11,ナイトパイロット
5,,7,ヴァンデエス,牝,2,13,115.8, , 89,9,55,,,杉原誠人,(美),中舘英二,ミッキーアイル,Dubawi,,ネイティヴダンサー系,9,13,4中4,8,未勝利*,ダ,1200,重,,杉原,55.0,,15,111.9,12,2.6,15,,,8,11,34.80,39.4,12,アレックスケー
6,,8,スヴァラ,牝,2,10,46.7, , 86,11,55,,*,原田和真,(美),栗田徹,マテラスカイ,ディープブリランテ,,ロイヤルチャージャー系,9,19,4中5,初,新馬,芝,1200,良,,江田,55.0,,13,94.6,15,3.0,2,,,16,16,38.10,34.5,7,シルバーノリダー
6,,9,アイビーカイロス,牝,2,5,8.4, ,104,4,55,,,木幡巧也,(美),牧光二,"Maximus Mischief",Munnings,,ネイティヴダンサー系,8,8,2新5,初,新馬,ダ,1200,良,,木幡,55.0,,3,5.5,5,2.1,5,,,6,6,36.50,38.7,6,ジャスパートレノ
7,,10,ハイトラクション,牡,2,8,26.0, ,100,5,54,☆,,長浜鴻緒,(美),中舘英二,フォーウィールドライブ,ディープインパクト,,ロイヤルチャージャー系,9,12,4中3,13,未勝利*,ダ,1800,不,,長浜,54.0,☆,5,12.8,9,2.7,10,3,3,6,6,37.55,41.8,9,サクセスボーイ
