レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026012506010901,2026.1.25,日,中山,1中9,1,,未勝利,ダート,1200,,2,良,晴,16,10:05,,馬齢,３歳
枠番,B,番,馬名S,性別,年齢,馬体重,増減,馬体重増減,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,トントンビョウシ,牝,3,494,+ 6,+ 6,11,206.1, , 92,11,55,,*,佐々木大,(美),伊坂重信,マテラスカイ,ゴールドアリュール,,ロイヤルチャージャー系,12,27,5中7,12,未勝利・牝*,ダ,1200,稍,,嶋田,55.0,,12,95.6,15,2.6,1,,,3,4,34.40,40.7,15,コウジハラ
1,,2,エスシーケイミー,牝,3,454,+ 2,+ 2,13,299.7, , 84,13,55,,,大野拓弥,(美),松山将樹,マジェスティックウォリアー,ダイワメジャー,,ロイヤルチャージャー系,1,5,1中2,初,新馬,芝,1600,良,,大野,55.0,,14,135.4,15,3.1,6,,7,8,11,36.36,37.8,14,デイトナチャンプ
2,,3,キタノドンカルロ,牡,3,446,+ 2,+ 2,7,33.5, ,  0,,57,,*,江田照男,(美),粕谷昌央,タワーオブロンドン,マンハッタンカフェ,,ロイヤルチャージャー系,11,16,5東4,3,未勝利*,ダ,1400,良,,柴田,56.0,,6,16.8,止,----,2,,,,,,----,,ランニングビーチ
2,,4,ミツカネメルクリオ,牡,3,448,+ 2,+ 2,4,10.2, ,107,5,57,,*,キング,(美),清水英克,サトノアラジン,キングズベスト,,ネイティヴダンサー系,12,28,5中8,3,未勝利*,ダ,1200,良,,丹内,56.0,,1,3.1,13,1.8,4,,,2,2,34.10,40.8,15,ピュール
3,,5,サノノキャニオン,牡,3,508,- 2,- 2,3,4.2, ,115,2,57,,,横山武史,(美),栗田徹,ヘニーヒューズ,キングヘイロー,,ニアークティック系,1,10,1中3,3,未勝利,ダ,1200,良,,横山,57.0,,1,2.4,3,0.8,2,,,4,3,36.00,37.5,6,コックピットサイト
3,,6,アンプイットアップ,牡,3,500,  0,0,2,4.0, ,127,1,57,,*,岩田望来,(美),岩戸孝樹,ディスクリートキャット,ハードスパン,,,1,11,1中4,14,未勝利,ダ,1200,良,,丹内,57.0,,1,2.6,2,0.2,3,,,1,1,35.80,38.3,5,ゼファーテソーロ
4,,7,トヨサカエ,牡,3,468,,,9,121.2, ,  0,,57,,,吉田豊,(美),高橋文雅,ディーマジェスティ,アルデバラン2,,ネイティヴダンサー系,,,,,,,,,,,,,,,,,,,,,,,,,
4,,8,イセッセイ,牝,3,436,  0,0,16,696.6, , 93,9,52,▲,,遠藤汰月,(美),伊藤伸一,エスポワールシチー,ハービンジャー,,ニアークティック系,1,4,1中1,初,新馬,ダ,1200,稍,,遠藤,52.0,▲,15,118.5,9,2.8,14,,,7,7,36.30,39.7,11,エアサロメ
5,,9,キタノモテック,牝,3,432,,,15,474.7, ,  0,,55,,,野中悠太,(美),小西一男,ヘンリーバローズ,ヴィクトワールピサ,,ロイヤルチャージャー系,,,,,,,,,,,,,,,,,,,,,,,,,
5,,10,カンフーヒーロー,牡,3,486,+ 8,+ 8,14,381.7, , 91,12,57,,*,木幡巧也,(美),的場均,ストロングリターン,"Fusaichi Pegasus",,ネイティヴダンサー系,12,27,5阪7,連,未勝利*,ダ,1200,稍,,橋木,53.0,▲,14,393.5,10,2.1,14,,,15,15,37.20,37.7,5,ファイブタンゴ
