レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026012506010901,2026.1.25,日,中山,1中9,1,,未勝利,ダート,1200,,2,良,晴,16,10:05,,馬齢,３歳
6,,11,ジャックナダル,牡,3,528,+ 2,+ 2,1,2.3, ,103,6,57,,,荻野極,(美),伊坂重信,ナダル,"New Approach",,ニアークティック系,11,9,5東2,3,未勝利*,ダ,1600,稍,,荻野,56.0,,4,9.1,9,2.5,3,,,9,10,36.90,38.6,9,サンラザール
6,,12,フェスティヴハート,牝,3,498,+ 2,+ 2,6,13.7, ,110,3,55,,,柴田大知,(美),畠山吉宏,アジアエクスプレス,オルフェーヴル,,,12,7,5中2,3,未勝利*,ダ,1200,良,,柴田,55.0,,7,30.1,3,0.4,7,,,9,9,35.10,38.2,4,ドナソール
7,,13,スーパーガール,牝,3,488,- 8,- 8,5,11.3, ,108,4,52,▲,*,佐藤翔馬,(美),伊藤圭三,ドレフォン,スズカマンボ,,ロイヤルチャージャー系,12,27,5中7,3,未勝利・牝*,ダ,1200,稍,,丹内,55.0,,3,5.3,7,0.7,2,,,1,2,34.10,39.1,12,コウジハラ
7,,14,ベンガルボダイジュ,牡,3,434,  0,0,12,277.7, , 93,9,54,▲,*,上里直汰,(美),杉浦宏昭,ルーラーシップ,ハーツクライ,ネイティヴダンサー系,ロイヤルチャージャー系,12,27,5中7,3,未勝利*,ダ,1200,稍,,水沼,53.0,▲,14,512.2,8,1.7,11,,,10,13,35.30,38.1,4,パータリプトラ
8,,15,シンクシビリティ,牝,3,430,- 2,- 2,8,86.2, ,100,7,55,,,原優介,(美),青木孝文,ミスチヴィアスアレックス,クロフネ,,ニアークティック系,1,4,1中1,初,新馬,ダ,1200,稍,,原優,55.0,,13,103.3,4,2.1,13,,,6,5,36.20,39.1,6,エアサロメ
8,,16,ステラゲイル,牡,3,472,+ 4,+ 4,10,186.1, ,100,7,57,,,丸田恭介,(美),石栗龍彦,インカンテーション,カジノドライヴ,,ナスルーラ系,12,14,5中4,初,新馬,ダ,1200,稍,,丸田,56.0,,10,59.3,8,1.7,9,,,4,4,35.90,39.0,12,ルクスポップスター
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026012506010902,2026.1.25,日,中山,1中9,2,,未勝利,ダート,1800,,4,良,晴,16,10:35,牝,馬齢,３歳
枠番,B,番,馬名S,性別,年齢,馬体重,増減,馬体重増減,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,マスカルポーネ,牝,3,440,- 2,- 2,4,15.7, ,102,4,53,△,*,長浜鴻緒,(美),水野貴広,リオンディーズ,キズナ,,,1,12,1中5,3,未勝利・牝,ダ,1800,良,,武藤,55.0,,13,162.0,4,1.1,11,6,6,7,7,39.15,39.5,4,ホールドザデイ
2,,2,レヴェンドール,牝,3,452,- 2,- 2,8,66.6, ,108,2,55,,,野中悠太,(美),柄崎将寿,カレンブラックヒル,ハードスパン,,,1,18,1中7,15,未勝利・牝,ダ,1800,良,,野中,55.0,,5,11.6,6,1.5,7,9,9,9,8,38.45,42.0,6,デルマホダカ
3,,3,ゲンパチミスティ,牝,3,466,  0,0,14,442.1, , 91,12,52,▲,*,遠藤汰月,(美),西田雄一,コントレイル,"Into Mischief",,,1,18,1中7,12,未勝利・牝,ダ,1800,良,,水沼,52.0,▲,15,192.6,11,2.6,14,14,14,14,13,38.80,42.4,8,デルマホダカ
3,B,4,ウインベルチェーロ,牝,3,458,+ 2,+ 2,6,32.5, , 93,9,55,,*,原優介,(美),手塚貴久,エピファネイア,"Fusaichi Pegasus",,ネイティヴダンサー系,1,12,1中5,20,未勝利,芝,2000,良,,長浜,53.0,△,12,54.5,13,1.8,12,14,14,17,18,36.64,36.3,6,サトノマティーニ
4,,5,エコロストーム,牝,3,456,- 6,- 6,3,12.7, ,104,3,55,,*,菅原明良,(美),千葉直人,ロージズインメイ,デュランダル,ロイヤルチャージャー系,ロイヤルチャージャー系,1,10,1中3,初,新馬・牝,ダ,1800,良,,丹内,55.0,,10,72.1,4,0.1,6,11,10,9,8,39.60,40.0,2,ガーヴィ
4,,6,キタノエピックアン,牝,3,452,  0,0,10,114.9, , 99,5,52,▲,*,上里直汰,(美),萱野浩二,ベストウォーリア,ハービンジャー,,ニアークティック系,12,28,5中8,初,新馬,ダ,1800,良,,舟山,52.0,▲,15,184.7,6,3.4,16,7,7,7,6,38.75,41.6,8,クラウトロック
5,,7,ラスターヴァース,牝,3,474,+ 4,+ 4,2,8.2, , 97,6,55,,,木幡巧也,(美),牧光二,サトノダイヤモンド,シンボリクリスエス,,ロイヤルチャージャー系,1,5,1中2,6,未勝利,芝,2000,良,,木幡,55.0,,13,117.2,8,0.9,11,13,13,12,14,36.90,35.9,4,イモータリス
5,,8,リーピングサイン,牝,3,500,+10,+10,5,16.2, , 96,8,55,,*,岩田望来,(美),武藤善則,ハービンジャー,クロフネ,ニアークティック系,ニアークティック系,12,21,5中6,10,未勝利・牝*,芝,1800,重,,石川,55.0,,8,28.0,13,1.8,6,13,13,12,11,39.10,35.8,13,ロンギングセリーヌ
6,B,9,ニケフェリーチェ,牝,3,450,- 2,- 2,13,441.8, , 92,11,55,,,柴田大知,(美),菊川正達,アジアエクスプレス,クロフネ,,ニアークティック系,1,11,1中4,2,未勝利・牝,ダ,1800,良,B,柴田,55.0,,15,366.1,11,2.8,15,8,8,9,8,39.20,41.3,10,ノーブルクラウド
6,,10,ティンブロポップ,牝,3,440,+ 2,+ 2,12,206.5, , 97,6,55,,*,岩田康誠,(美),和田勇介,ジャスタウェイ,アイルハヴアナザー,,ネイティヴダンサー系,1,12,1中5,13,未勝利・牝,ダ,1800,良,,横山,55.0,,9,51.4,12,2.9,8,15,14,10,8,39.30,41.0,12,ホールドザデイ
7,,11,ジェイエルグリーン,牝,3,458,,,7,34.5, ,  0,,55,,,佐々木大,(美),小西一男,アニマルキングダム,バゴ,,ナスルーラ系,,,,,,,,,,,,,,,,,,,,,,,,,
7,,12,プレイメイカー,牝,3,458,  0,0,1,1.2, ,119,1,55,,,横山武史,(美),栗田徹,ベンバトル,ダイワメジャー,,ロイヤルチャージャー系,1,11,1中4,8,未勝利・牝,ダ,1800,良,,横山,55.0,,5,13.7,2,0.0,5,1,1,1,1,38.85,39.2,2,ノーブルクラウド
8,,13,アンデルストープ,牝,3,468,+ 6,+ 6,11,172.7, , 93,9,55,,*,杉原誠人,(美),宮田敬介,インディチャンプ,"Giant's Causeway",,ニアークティック系,1,12,1中5,7,未勝利・牝,ダ,1800,良,,丹内,55.0,,11,63.1,14,3.6,9,10,10,10,10,39.30,41.7,14,ホールドザデイ
8,,14,ユニベールクイーン,牝,3,484,,,9,101.1, ,  0,,55,,,丸田恭介,(美),武市康男,ミスターメロディ,ストロングリターン,,,,,,,,,,,,,,,,,,,,,,,,,,,
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026012506010903,2026.1.25,日,中山,1中9,3,,未勝利,ダート,1200,,2,良,晴,16,11:05,,馬齢,３歳
枠番,B,番,馬名S,性別,年齢,馬体重,増減,馬体重増減,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,イトハマー,牡,3,516,+ 6,+ 6,11,73.5, , 92,14,57,,,木幡巧也,(美),牧光二,モーリス,バブルガムフェロー,,ロイヤルチャージャー系,6,22,3東6,初,新馬,芝,1400,良,,木幡,55.0,,14,102.4,13,5.0,9,,,1,1,35.55,40.7,14,ランドスター
1,,2,セイカユウヒ,牡,3,410,- 2,- 2,5,19.6, , 99,6,57,,,丸田恭介,(美),南田美知,グレーターロンドン,グラスワンダー,,ロイヤルチャージャー系,1,12,1中5,4,未勝利,ダ,1200,良,,丸田,57.0,,12,129.1,5,0.6,9,,,9,10,35.80,37.6,3,アイスメルティング
2,,3,ボビネット,牝,3,442,+ 4,+ 4,15,299.8, , 93,13,55,,,吉田豊,(美),和田雄二,イスラボニータ,フレンチデピュティ,,ニアークティック系,1,4,1中1,初,新馬,ダ,1200,稍,,吉田,55.0,,12,102.0,10,2.8,12,,,14,14,37.80,38.2,3,エアサロメ
2,,4,シューペルブリアン,牝,3,456,  0,0,14,257.9, , 89,15,55,,,江田照男,(美),佐藤吉勝,ダノンレジェンド,モーリス,,,12,27,5中7,初,新馬,ダ,1200,稍,,江田,55.0,,13,161.7,11,2.5,11,,,7,8,36.10,38.3,8,ジェラートキティ
3,,5,ドラリズム,牡,3,482,+ 2,+ 2,8,38.6, ,105,3,57,,,津村明秀,(美),武藤善則,コパノリッキー,ネオユニヴァース,,ロイヤルチャージャー系,11,30,5東8,初,新馬,ダ,1600,良,,津村,56.0,,5,7.4,8,1.8,3,,,4,4,36.78,39.8,13,エジプシャンマウ
3,,6,エクスプレスナイト,牡,3,470,  0,0,13,123.7, ,100,5,57,,,原優介,(美),青木孝文,アジアエクスプレス,ロードカナロア,,,1,5,1中2,9,未勝利,ダ,1200,稍,,原優,57.0,,11,44.4,7,1.3,10,,,5,6,35.20,38.5,8,ヴァイオスペース
4,,7,ビリージェイ,牡,3,454,- 4,- 4,12,108.6, , 95,12,57,,,大野拓弥,(美),高柳瑞樹,ロードカナロア,Anabaa,,ニアークティック系,1,10,1中3,9,未勝利,ダ,1800,良,,大野,57.0,,11,81.1,9,2.3,8,7,8,8,10,38.65,41.4,11,ベルウッドピース
4,,8,フェルアフリーゼ,牝,3,444,- 2,- 2,2,9.8, ,107,2,53,△,,長浜鴻緒,(美),深山雅史,ドレフォン,クロフネ,,ニアークティック系,1,10,1中3,11,未勝利・牝,ダ,1200,良,,長浜,53.0,△,5,27.8,3,0.9,6,,,5,6,35.10,38.4,7,ライヴレッドアイ
5,,9,キングスメッセージ,牡,3,474,+ 2,+ 2,6,23.5, , 98,8,57,,*,岩田康誠,(美),尾関知人,ダノンキングリー,タイキシャトル,,ロイヤルチャージャー系,11,24,5東6,初,新馬,芝,1400,良,,菅原,56.0,,4,9.1,13,2.4,6,,,6,6,37.43,35.3,13,カフェラバー
5,,10,バル,牡,3,512,+ 4,+ 4,3,15.3, ,102,4,57,,,柴田大知,(美),武市康男,マテラスカイ,スペシャルウィーク,,ロイヤルチャージャー系,1,5,1中2,3,未勝利,ダ,1200,稍,,柴田,57.0,,10,35.3,5,0.8,4,,,3,3,35.00,38.2,6,ヴァイオスペース
6,,11,キタノローズ,牝,3,472,- 4,- 4,16,442.5, , 88,16,55,,*,野中悠太,(美),小西一男,サンダースノー,アドマイヤムーン,,ネイティヴダンサー系,12,27,5中7,初,新馬,ダ,1200,稍,,小林,55.0,,12,139.4,13,3.0,4,,,12,11,36.60,38.3,8,ジェラートキティ
6,,12,サトノエスケープ,牡,3,484,- 2,- 2,1,1.2, ,123,1,57,,,横山武史,(美),久保田貴,ジャスタウェイ,"Adios Charlie",,,1,5,1中2,4,未勝利,ダ,1200,稍,,横山,57.0,,1,2.9,2,0.1,2,,,5,5,35.20,37.3,1,ヴァイオスペース
7,,13,リオクリスハーレー,牝,3,452,+ 6,+ 6,9,58.4, , 97,10,55,,*,荻野極,(美),矢野英一,タニノフランケル,シニスターミニスター,,ナスルーラ系,12,27,5中7,19,未勝利・牝*,ダ,1200,稍,,松山,55.0,,5,9.7,12,1.3,8,,,14,14,36.00,37.8,2,コウジハラ
7,,14,マイネルテオドロス,牡,3,456,- 4,- 4,4,15.6, , 99,6,57,,,佐々木大,(美),菊川正達,ダノンバラード,アグネスデジタル,,ネイティヴダンサー系,11,30,5東8,4,未勝利*,ダ,1400,良,,佐々,56.0,,10,29.6,7,1.2,6,,,5,5,36.90,38.8,11,ヒナノムサシ
8,,15,キョウエイハル,牝,3,454,+ 4,+ 4,7,35.4, , 98,8,52,▲,*,上里直汰,(美),伊坂重信,トランセンド,オレハマッテルゼ,ニアークティック系,ロイヤルチャージャー系,1,10,1中3,11,未勝利・牝,ダ,1200,良,,嶋田,55.0,,12,111.4,6,1.3,9,,,9,9,35.40,38.5,8,ライヴレッドアイ
8,,16,アレステソーロ,牡,3,480,+14,+14,10,73.3, , 97,10,57,,*,石橋脩,(美),田中剛,ロゴタイプ,Acclamation,,,11,16,3福4,20,未勝利*,ダ,1150,良,,菊沢,56.0,,10,87.6,8,2.8,4,,,7,8,35.78,38.8,9,ドナシェーン
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026012506010904,2026.1.25,日,中山,1中9,4,,新馬,ダート,1800,,4,良,晴,16,11:35,,馬齢,３歳
枠番,B,番,馬名S,性別,年齢,馬体重,増減,馬体重増減,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,トップオブザキング,牡,3,488,,,13,109.0, ,  0,,57,,,丸田恭介,(美),蛯名利弘,ワールドプレミア,ブライアンズタイム,,ロイヤルチャージャー系,,,,,,,,,,,,,,,,,,,,,,,,,
1,,2,ラウターユーベル,牡,3,524,,,2,3.9, ,  0,,57,,,原優介,(美),青木孝文,ミッキーグローリー,Stroll,,ナスルーラ系,,,,,,,,,,,,,,,,,,,,,,,,,
2,,3,トーセンアミューズ,牡,3,454,,,15,147.9, ,  0,,57,,,西村太一,(美),加藤征弘,ダイワメジャー,"Dubai Destination",ロイヤルチャージャー系,ネイティヴダンサー系,,,,,,,,,,,,,,,,,,,,,,,,,
2,,4,トーアエレクトラム,牝,3,484,,,9,41.8, ,  0,,55,,,菅原明良,(美),小島茂之,オルフェーヴル,アグネスデジタル,,ネイティヴダンサー系,,,,,,,,,,,,,,,,,,,,,,,,,
3,,5,デルマカイモン,牡,3,500,,,11,68.9, ,  0,,57,,,江田照男,(美),高柳瑞樹,エイシンフラッシュ,ヴィクトワールピサ,,ロイヤルチャージャー系,,,,,,,,,,,,,,,,,,,,,,,,,
3,,6,ローレルクラウン,牡,3,514,,,6,14.2, ,  0,,57,,,横山武史,(美),国枝栄,ミッキーアイル,アドマイヤムーン,,ネイティヴダンサー系,,,,,,,,,,,,,,,,,,,,,,,,,
4,,7,レイズテンペスト,牡,3,494,,,3,4.6, ,  0,,57,,,三浦皇成,(美),田村康仁,カリフォルニアクローム,エンパイアメーカー,,ネイティヴダンサー系,,,,,,,,,,,,,,,,,,,,,,,,,
4,,8,エクセルクラウン,牡,3,482,,,7,20.7, ,  0,,57,,,横山典弘,(美),菊沢隆徳,サトノアラジン,"Super Saver",,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,9,ロイヤルドリーム,牡,3,506,,,10,58.7, ,  0,,57,,,木幡巧也,(美),西田雄一,ヴァンゴッホ,ディープインパクト,,ロイヤルチャージャー系,,,,,,,,,,,,,,,,,,,,,,,,,
5,,10,ニューロスパーク,牡,3,478,,,8,41.1, ,  0,,57,,,柴田善臣,(美),和田勇介,ジャスタウェイ,"Scat Daddy",,ニアークティック系,,,,,,,,,,,,,,,,,,,,,,,,,
6,,11,カーニバルウェイ,牝,3,438,,,16,168.5, ,  0,,52,▲,,遠藤汰月,(美),清水英克,イスラボニータ,マツリダゴッホ,,ロイヤルチャージャー系,,,,,,,,,,,,,,,,,,,,,,,,,
6,,12,スカイレックス,牡,3,492,,,4,7.2, ,  0,,57,,,杉原誠人,(美),斎藤誠,ヴァンゴッホ,スペシャルウィーク,,ロイヤルチャージャー系,,,,,,,,,,,,,,,,,,,,,,,,,
7,,13,レディソフィア,牝,3,452,,,12,103.2, ,  0,,55,,,石橋脩,(美),小笠倫弘,ニューイヤーズデイ,タニノギムレット,,ロイヤルチャージャー系,,,,,,,,,,,,,,,,,,,,,,,,,
7,,14,アンミックス,牝,3,444,,,1,3.5, ,  0,,55,,,川田将雅,(栗),高柳大輔,パイロ,ヨハネスブルグ,ナスルーラ系,ニアークティック系,,,,,,,,,,,,,,,,,,,,,,,,,
8,,15,エターナルホープ,牡,3,516,,,14,113.2, ,  0,,55,△,,長浜鴻緒,(美),鈴木慎太,エピカリス,サウスヴィグラス,,ネイティヴダンサー系,,,,,,,,,,,,,,,,,,,,,,,,,
8,,16,ハツアカネ,牝,3,482,,,5,8.0, ,  0,,55,,,岩田望来,(栗),小崎憲,ニューイヤーズデイ,ダイワメジャー,,ロイヤルチャージャー系,,,,,,,,,,,,,,,,,,,,,,,,,
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026012506010905,2026.1.25,日,中山,1中9,5,,新馬,芝,2000,C,4,良,晴,18,12:25,,馬齢,３歳
枠番,B,番,馬名S,性別,年齢,馬体重,増減,馬体重増減,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,ルージュダズリング,牝,3,436,,,6,41.6, ,  0,,55,,,丸田恭介,(美),斎藤誠,キタサンブラック,ルーラーシップ,,ネイティヴダンサー系,,,,,,,,,,,,,,,,,,,,,,,,,
1,,2,ゴンファロニエーレ,牡,3,452,,,1,2.0, ,  0,,57,,,ルメール,(美),田中博康,エピファネイア,ディープインパクト,,ロイヤルチャージャー系,,,,,,,,,,,,,,,,,,,,,,,,,
2,,3,エースオブゴールド,牡,3,488,,,13,117.7, ,  0,,57,,,松岡正海,(美),堀内岳志,ブラックタイド,ワイルドラッシュ,ロイヤルチャージャー系,ニアークティック系,,,,,,,,,,,,,,,,,,,,,,,,,
2,,4,サトノスターライト,牝,3,438,,,3,7.6, ,  0,,55,,,大野拓弥,(美),森一誠,サトノジェネシス,"Distorted Humor",,ネイティヴダンサー系,,,,,,,,,,,,,,,,,,,,,,,,,
3,,5,エイシンニラク,牡,3,472,,,8,64.1, ,  0,,57,,,石橋脩,(美),勢司和浩,サトノクラウン,エイシンアポロン,,ニアークティック系,,,,,,,,,,,,,,,,,,,,,,,,,
3,,6,ミズノミヤコ,牝,3,424,,,15,190.2, ,  0,,55,,,原優介,(美),青木孝文,シルバーステート,キングカメハメハ,,ネイティヴダンサー系,,,,,,,,,,,,,,,,,,,,,,,,,
4,,7,カキュウ,牝,3,434,,,18,372.4, ,  0,,55,,,野中悠太,(美),佐藤吉勝,フィエールマン,アグネスデジタル,,ネイティヴダンサー系,,,,,,,,,,,,,,,,,,,,,,,,,
4,,8,ダノンアクション,牡,3,488,,,4,8.3, ,  0,,57,,,戸崎圭太,(栗),安田翔伍,エピファネイア,ワークフォース,,ネイティヴダンサー系,,,,,,,,,,,,,,,,,,,,,,,,,
5,,9,グレイスルーラー,牝,3,462,,,17,301.9, ,  0,,52,▲,,佐藤翔馬,(美),尾形和幸,ルーラーシップ,ダイワメジャー,ネイティヴダンサー系,ロイヤルチャージャー系,,,,,,,,,,,,,,,,,,,,,,,,,
5,,10,コスモカノーネ,牝,3,518,,,12,85.9, ,  0,,55,,,柴田大知,(美),田島俊明,エピファネイア,"Broken Vow",,ネイティヴダンサー系,,,,,,,,,,,,,,,,,,,,,,,,,
6,,11,キタサンフジヤマ,牡,3,468,,,5,31.8, ,  0,,57,,,岩田康誠,(美),奥村武,キタサンブラック,Violence,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,12,ヤマニンヘルシェ,牡,3,476,,,16,198.2, ,  0,,57,,,石川裕紀,(美),辻哲英,レッドファルクス,ディープインパクト,,ロイヤルチャージャー系,,,,,,,,,,,,,,,,,,,,,,,,,
7,,13,ジワタネホ,牝,3,430,,,11,78.4, ,  0,,55,,,三浦皇成,(美),田村康仁,サートゥルナーリア,ディープインパクト,,ロイヤルチャージャー系,,,,,,,,,,,,,,,,,,,,,,,,,
7,,14,ウィズアバウンス,牝,3,396,,,9,68.7, ,  0,,52,▲,,上里直汰,(美),武藤善則,フィエールマン,タニノギムレット,,ロイヤルチャージャー系,,,,,,,,,,,,,,,,,,,,,,,,,
7,,15,プロミスライン,牝,3,450,,,10,72.1, ,  0,,55,,,杉原誠人,(美),森一誠,キズナ,キングカメハメハ,,ネイティヴダンサー系,,,,,,,,,,,,,,,,,,,,,,,,,
8,,16,アナザーフェイス,牡,3,482,,,2,3.0, ,  0,,57,,,キング,(美),鹿戸雄一,エピファネイア,ディープインパクト,,ロイヤルチャージャー系,,,,,,,,,,,,,,,,,,,,,,,,,
8,,17,アルティマローネ,牝,3,392,,,7,49.7, ,  0,,55,,,津村明秀,(美),武市康男,マインドユアビスケッツ,オルフェーヴル,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,18,ロードプレリュード,牡,3,494,,,14,163.7, ,  0,,55,△,,長浜鴻緒,(美),稲垣幸雄,ダノンプレミアム,ロードカナロア,,,,,,,,,,,,,,,,,,,,,,,,,,,
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026012506010906,2026.1.25,日,中山,1中9,6,,1勝,ダート,1800,,4,良,晴,16,12:55,,定量,４上
枠番,B,番,馬名S,性別,年齢,馬体重,増減,馬体重増減,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,ブレゲアン,牡,4,474,  0,0,3,7.1, ,109,5,57,,,三浦皇成,(美),田村康仁,シルバーステート,キングヘイロー,,ニアークティック系,1,4,1中1,16,１勝ｸﾗｽ,ダ,1800,稍,,三浦,57.0,,3,10.5,7,1.1,6,16,15,15,14,37.95,39.0,1,バタール
2,B,2,サカイシューター,牡,4,510,- 4,- 4,14,401.0, , 85,14,57,,,木幡育也,(美),松永康利,"Vino Rosso","Touch Gold",,ニアークティック系,1,11,1中4,19,１勝ｸﾗｽ,ダ,1800,良,B,木幡,57.0,,16,416.5,15,3.6,15,10,10,16,16,39.25,40.2,12,サトミノエンジェル
2,,3,パルヴェニュー,牡,4,448,- 1,- 1,15,622.3, , 85,14,54,▲,*,佐藤翔馬,(美),和田雄二,ディープブリランテ,マヤノトップガン,ロイヤルチャージャー系,ロイヤルチャージャー系,12,9,園田,16,Ｃ２一,ダ,1400,良,,鴨宮,57.0,,8,,10,3.7,,4,5,7,8,,----,,エムティエスターテ
