レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026072601010201,2026.7.26,日,札幌,1札2,1,,未勝利,ダート,1000,,2,,,12,10:00,,馬齢,２歳
枠番,B,番,馬名S,性別,年齢,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,シンゼンノト,牡,2,6,17.5, ,100,6,52,▲,*,遠藤汰月,(栗),荒川義之,ヴァンゴッホ,オレハマッテルゼ,,ロイヤルチャージャー系,7,11,1函9,初,新馬,芝,1200,稍,,吉田,55.0,,7,24.9,7,2.0,3,,,5,5,35.50,35.8,9,フレイコン
2,,2,イリスロッソ,牝,2,5,10.1, ,100,6,53,◇,,古川奈穂,(美),伊坂重信,フィレンツェファイア,スターリングローズ,,ネイティヴダンサー系,7,11,1函9,初,新馬,芝,1200,稍,,古川,53.0,◇,5,24.1,8,2.1,8,,,3,3,35.30,36.1,11,フレイコン
3,,3,サンクレセント,牝,2,4,9.6, ,110,2,55,,,丹内祐次,(美),伊藤圭三,ディスクリートキャット,サウスヴィグラス,,ネイティヴダンサー系,6,20,1函3,初,新馬,ダ,1000,良,,丹内,55.0,,3,4.7,5,1.8,1,,,3,3,36.15,36.9,5,ノリヤンモーニン
4,,4,サウンドエフォート,牡,2,7,18.9, , 83,12,55,,,吉田隼人,(栗),安達昭夫,ヘニーヒューズ,ハーツクライ,,ロイヤルチャージャー系,6,27,1函5,初,新馬,芝,1200,稍,,吉田,55.0,,8,54.6,8,2.3,8,,,7,8,35.30,36.8,8,アゴルディーノ
5,,5,ラストモーメント,牡,2,12,59.8, ,101,5,52,▲,*,大久保友,(栗),北出成人,ゴールドドリーム,タイキシャトル,,ロイヤルチャージャー系,7,11,1函9,3,未勝利*,ダ,1000,稍,,古川,55.0,,6,33.2,6,1.4,5,,,5,5,35.70,36.7,7,ラピッドテソーロ
5,,6,ワイドウィンザー,牡,2,2,3.8, ,110,2,52,▲,*,小林美駒,(栗),西園翔太,ワイドファラオ,アドマイヤマックス,,ロイヤルチャージャー系,7,11,1函9,3,未勝利*,ダ,1000,稍,,斎藤,55.0,,4,9.7,3,0.7,4,,,2,2,35.25,36.3,5,ラピッドテソーロ
6,,7,リアルクウカイ,牡,2,9,32.8, ,104,4,55,,,原田和真,(美),萱野浩二,シャンハイボビー,リアルインパクト,,,7,4,1函7,初,新馬,ダ,1000,良,,原田,55.0,,5,33.7,2,0.4,3,,,1,1,37.05,37.1,2,ダマスク
6,,8,グランモンターナ,牡,2,10,48.6, , 93,10,55,,,古川吉洋,(栗),井上智史,ミスチヴィアスアレックス,エピファネイア,,,6,13,1函1,初,新馬,芝,1200,稍,,古川,55.0,,10,74.4,10,1.4,9,,,2,2,34.10,36.7,11,ダイメイビッグボス
7,,9,タイガーストリート,牝,2,8,28.4, ,100,6,55,,,小沢大仁,(栗),大橋勇樹,フィレンツェファイア,ストリートセンス,,ネイティヴダンサー系,7,11,1函9,3,未勝利*,ダ,1000,稍,,小沢,55.0,,7,42.2,4,0.9,6,,,3,3,35.40,36.4,6,ラピッドテソーロ
7,,10,クラウスーラ,牝,2,1,2.5, ,124,1,55,,*,西村淳也,(栗),小栗実,ニューイヤーズデイ,スクリーンヒーロー,,ロイヤルチャージャー系,7,11,1函9,3,未勝利*,ダ,1000,稍,,横山,55.0,,1,1.9,2,0.3,1,,,3,4,35.55,35.7,1,ラピッドテソーロ
8,,11,パンジャケリー,牡,2,3,6.1, , 97,9,55,,*,横山和生,(栗),橋田宜長,ディスクリートキャット,アサクサキングス,,ニアークティック系,6,28,1函6,2,未勝利*,芝,1200,良,,岩田,55.0,,4,5.2,8,1.8,6,,,2,2,34.60,37.4,8,ダイシンドラゴン
8,,12,レジェンドヴァーサ,牡,2,11,49.6, , 84,11,55,,,横山琉人,(美),相沢郁,ミッキーアイル,Teofilo,,ニアークティック系,7,11,1函9,初,新馬,芝,1200,稍,,横山,55.0,,11,187.2,11,3.0,6,,,10,10,36.70,35.6,7,フレイコン
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026072601010202,2026.7.26,日,札幌,1札2,2,,未勝利,ダート,1700,,4,,,14,10:30,牝,馬齢,３歳
枠番,B,番,馬名S,性別,年齢,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,ラストシャイニー,牝,3,9,25.4, , 85,10,55,,*,松本大輝,(美),千葉直人,ダノンプレミアム,フジキセキ,,ロイヤルチャージャー系,7,5,1函8,8,未勝利・牝,芝,1200,良,B,小沢,55.0,,11,78.7,14,1.0,10,,,11,11,34.80,35.0,10,バレンタインビスタ
2,B,2,ビレッジルイーザ,牝,3,1,3.6, ,115,2,52,▲,*,小林美駒,(美),伊藤圭三,ノーブルミッション,"Street Cry",,ネイティヴダンサー系,7,11,2福5,5,未勝利・牝,ダ,1700,良,B,佐藤,52.0,▲,4,7.7,2,0.7,5,1,1,1,1,37.04,38.5,4,サイモンセレーノ
3,,3,チカマヨルキーナ,牝,3,10,27.7, , 89,9,55,,*,横山琉人,(栗),藤岡健一,ナダル,ハーツクライ,,ロイヤルチャージャー系,7,11,1函9,11,未勝利・牝,ダ,1700,重,,長浜,54.0,☆,12,138.8,12,3.0,9,12,13,13,13,36.98,38.1,6,サラサチャチャチャ
4,,4,ハスカップジャム,牝,3,7,21.9, ,101,7,54,☆,,長浜鴻緒,(美),中舘英二,フィエールマン,"Fusaichi Pegasus",,ネイティヴダンサー系,7,4,1函7,4,未勝利・牝,ダ,1700,良,,長浜,54.0,☆,9,67.4,7,2.0,11,1,1,1,2,37.04,40.8,8,ギンケイ
5,,5,ルージュボニート,牝,3,4,7.8, ,104,5,55,,,丹内祐次,(美),高柳瑞樹,キズナ,キングカメハメハ,,ネイティヴダンサー系,7,4,1函7,3,未勝利・牝,ダ,1700,良,,丹内,55.0,,5,20.5,5,1.0,9,3,3,3,2,37.15,39.6,5,ギンケイ
6,,6,プルーフリーディン,牝,3,2,3.9, ,119,1,55,,*,鮫島克駿,(栗),小林真也,ジャスタウェイ,ノヴェリスト,,その他のエクリプス系,6,27,1函5,4,未勝利・牝,ダ,1700,重,,斎藤,55.0,,5,15.7,2,0.2,7,9,8,1,1,36.60,37.3,6,プリンセスアツコ
7,,7,サマースプラッシュ,牝,3,8,24.4, , 94,8,53,◇,,古川奈穂,(美),石栗龍彦,アポロケンタッキー,アポロキングダム,,ネイティヴダンサー系,7,11,1函9,3,未勝利・牝,ダ,1700,重,,古川,53.0,◇,13,224.3,9,1.7,13,8,9,10,10,36.60,37.5,3,サラサチャチャチャ
7,,8,ルパピヨンブラン,牝,3,6,9.6, ,111,3,55,,*,西村淳也,(栗),杉山佳明,ゴールドドリーム,"Discreet Cat",,ニアークティック系,7,11,2小5,8,未勝利,ダ,1700,良,,長岡,55.0,,3,6.1,6,1.3,2,6,5,6,6,37.25,39.9,10,ダイメイクマモト
8,,9,スリーケイ,牝,3,3,4.7, ,108,4,55,,*,佐々木大,(栗),高橋一哉,クリソベリル,ワイルドラッシュ,,ニアークティック系,7,12,1函A,5,未勝利,ダ,1700,不,,鮫島,55.0,,8,27.3,6,1.3,6,1,1,1,1,36.33,39.0,12,ビンバラ
8,B,10,ワイルドカグラ,牝,3,5,8.2, ,104,5,51,★,*,河原田菜,(栗),渡辺薫彦,シニスターミニスター,ワイルドラッシュ,ナスルーラ系,ニアークティック系,6,14,3阪4,4,未勝利・牝,ダ,1800,良,B,高倉,55.0,,10,41.4,6,0.5,13,5,3,2,2,38.60,39.2,7,アルビオン
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026072601010203,2026.7.26,日,札幌,1札2,3,,未勝利,芝,1200,A,2,,,16,11:00,,馬齢,３歳
枠番,B,番,馬名S,性別,年齢,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
