レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026081501010701,2026.8.15,土,札幌,1札7,1,,未勝利,ダート,1700,,4,良(暫定),晴(暫定),14,10:00,,馬齢,３歳
枠番,B,番,馬名S,性別,年齢,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,ジャストグレース,牡,3,12,39.8, , 98,9,57,,,古川吉洋,(栗),大根田裕,ホッコータルマエ,ダイワメジャー,,ロイヤルチャージャー系,7,18,1函B,2,未勝利,ダ,2400,良,,古川,57.0,,8,19.7,8,2.3,7,7,7,2,5,38.20,42.7,12,リバーソニック
2,B,2,リベンジャー,牡,3,10,28.5, , 88,14,57,,*,石川倭,(栗),柴田卓,シニスターミニスター,マジェスティックウォリアー,ナスルーラ系,,7,18,1函B,4,未勝利,ダ,2400,良,,斎藤,57.0,,9,30.2,12,3.8,10,10,10,11,11,38.73,42.6,11,リバーソニック
3,B,3,クルビデンス,牡,3,1,3.4, ,111,1,57,,,佐々木大,(美),菊川正達,アメリカンペイトリオット,アグネスタキオン,,ロイヤルチャージャー系,7,26,1札2,6,未勝利,ダ,1700,良,B,佐々,57.0,,8,37.2,2,0.1,9,3,3,2,1,37.64,37.5,2,タイセイルビー
3,,4,マーゴットデウス,セ,3,13,51.3, ,106,4,57,,,小沢大仁,(栗),今野貞一,ドレフォン,ゼンノロブロイ,,ロイヤルチャージャー系,7,18,1函B,4,未勝利,ダ,2400,良,,小沢,57.0,,6,16.4,6,1.2,5,3,3,2,2,38.17,41.7,7,リバーソニック
4,,5,メイショウシンガン,牡,3,8,21.6, , 97,11,57,,,横山琉人,(栗),高橋義忠,ニューイヤーズデイ,アイルハヴアナザー,,ネイティヴダンサー系,7,25,1札1,39,未勝利,ダ,1700,良,,横山,57.0,,4,8.9,10,2.6,3,2,1,3,5,37.58,40.3,10,ヤマメイッカ
4,,6,フレンチブラッサム,牝,3,3,6.1, ,111,1,55,,*,横山典弘,(美),柄崎将寿,ホッコータルマエ,ゴールドアリュール,,ロイヤルチャージャー系,8,2,1札4,3,未勝利・牝,ダ,1700,良,,横山,55.0,,3,4.6,4,1.1,3,11,11,8,6,37.31,38.5,2,ローゾフィア
5,,7,ショウナンタヅナ,牡,3,6,12.2, ,102,5,57,,,池添謙一,(美),武市康男,ドレフォン,フジキセキ,,ロイヤルチャージャー系,7,26,1札2,3,未勝利,ダ,1700,良,,池添,57.0,,6,9.0,5,0.7,1,7,7,4,5,37.75,37.9,6,タイセイルビー
5,,8,ニットウエース,牡,3,5,9.7, , 99,6,57,,*,浜中俊,(美),稲垣幸雄,モズアスコット,ケイムホーム,,ネイティヴダンサー系,6,28,2福2,20,未勝利,芝,1200,良,,武藤,57.0,,10,77.9,6,0.8,12,,,9,7,34.50,34.7,5,アイアンパイク
6,,9,ロードクローザー,牡,3,2,5.1, ,111,1,57,,,横山和生,(美),中舘英二,ナダル,シンボリクリスエス,,ロイヤルチャージャー系,5,17,2東8,3,未勝利,ダ,1400,良,,横山,57.0,,3,5.3,6,1.7,2,,,11,8,37.65,37.7,8,デスサイズ
