レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026021405010501,2026.2.14,土,東京,1東5,1,,未勝利,ダート,1400,,2,良,晴,16,10:05,,馬齢,３歳
8,,16,パンパネイラ,セ,3,452,+ 6,+ 6,12,140.7, , 85,14,57,,*,吉田豊,(美),高橋文雅,ドレフォン,ダイワメジャー,,ロイヤルチャージャー系,10,19,3京7,3,未勝利*,芝,1800,良,,岩田,56.0,,6,23.3,6,6.3,4,,,4,5,36.55,40.6,6,サーディンラン
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026021405010502,2026.2.14,土,東京,1東5,2,,1勝,ダート,2100,,4,良,晴,16,10:35,,定量,４上
枠番,B,番,馬名S,性別,年齢,馬体重,増減,馬体重増減,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,オウケンシルヴァー,牡,5,500,- 2,- 2,2,5.4, ,120,1,58,,,木幡育也,(美),松永康利,ニューイヤーズデイ,キャプテンスティーヴ,,その他のエクリプス系,1,31,1東1,7,１勝ｸﾗｽ,ダ,2100,良,,木幡,58.0,,2,4.3,3,0.5,8,6,6,7,6,38.20,37.9,3,ダブルメッセージ
1,,2,メイショウコウベ,牡,4,482,+ 6,+ 6,13,125.5, , 96,12,55,△,*,長浜鴻緒,(美),和田勇介,サトノアラジン,アイルハヴアナザー,,ネイティヴダンサー系,12,21,5名6,17,１勝ｸﾗｽ,ダ,1800,稍,B,松本,56.0,☆,9,32.6,14,3.3,12,6,6,8,8,37.75,40.9,15,ゼンエスポワール
2,,3,ベネスピラ,牡,4,454,+ 4,+ 4,7,18.6, ,105,9,57,,,三浦皇成,(美),鹿戸雄一,レイデオロ,ディープインパクト,,ロイヤルチャージャー系,11,22,3福5,19,１勝ｸﾗｽ,ダ,1700,良,,三浦,56.0,,3,6.0,12,2.2,5,2,3,3,2,36.82,40.8,13,マテンロウブレイブ
2,B,4,カイトヴィント,牡,4,508,+ 2,+ 2,14,160.5, , 95,13,57,,*,丸田恭介,(美),和田雄二,ルヴァンスレーヴ,キングカメハメハ,,ネイティヴダンサー系,1,31,1東1,4,１勝ｸﾗｽ,ダ,2100,良,B,上里,54.0,▲,14,114.5,8,1.8,9,11,11,14,16,38.60,38.2,5,ダブルメッセージ
3,,5,ライノ,セ,4,518,- 2,- 2,1,2.2, ,119,2,57,,*,川田将雅,(栗),高野友和,"Into Mischief","Not This Time",,,6,29,2小2,3,１勝ｸﾗｽ,ダ,1700,良,,団野,55.0,,1,2.6,3,0.5,1,7,8,7,6,36.55,39.2,4,オンザムーブ
3,,6,タケルゴールド,牡,5,474,+ 4,+ 4,5,11.3, ,111,4,58,,*,岩田康誠,(美),加藤征弘,モーニン,ダイワメジャー,,ロイヤルチャージャー系,11,23,5東5,6,１勝ｸﾗｽ,ダ,2100,良,,三浦,58.0,,3,8.5,4,0.7,3,5,4,4,4,38.36,37.4,8,タイキインドラ
4,B,7,スマートクオーレ,牡,4,506,- 2,- 2,6,12.8, ,111,4,57,,,柴田大知,(美),粕谷昌央,オルフェーヴル,ファルブラヴ,,ニアークティック系,1,31,1東1,4,１勝ｸﾗｽ,ダ,2100,良,B,柴田,57.0,,3,8.6,4,0.7,4,8,8,11,10,38.32,37.8,2,ダブルメッセージ
4,B,8,アルカナエ,セ,4,486,- 7,- 7,16,241.4, ,  0,,54,▲,*,上里直汰,(美),上原佑紀,カリフォルニアクローム,クロフネ,,ニアークティック系,12,16,水沢,2,Ｃ２四,ダ,1400,重,,鈴木,56.0,,1,,1,-0.0,,11,8,4,2,,----,,(キャスパインパクト)
5,B,9,ブレイヴアロウ,牡,6,506,+12,+12,9,35.5, ,110,6,58,,*,大野拓弥,(美),辻哲英,ハーツクライ,"After Market",ロイヤルチャージャー系,ニアークティック系,5,4,2東4,7,１勝ｸﾗｽ,ダ,2100,稍,B,木幡,58.0,,8,26.4,2,0.1,7,3,2,3,3,38.56,36.7,4,セイウンガレオン
5,,10,メイショウアゴナス,牡,4,468,-10,-10,3,6.4, ,118,3,57,,*,柴田善臣,(栗),本田優,スワーヴリチャード,フレンチデピュティ,,ニアークティック系,2,1,2京2,6,１勝ｸﾗｽ,ダ,1800,良,,高杉,57.0,,2,6.8,2,0.5,7,2,2,2,2,38.75,36.5,3,ドラゴン
6,,11,ソリッドベーシス,セ,4,498,+ 8,+ 8,12,99.9,>, 65,15,57,,*,木幡巧也,(美),大和田成,ブリックスアンドモルタル,ダイワメジャー,,ロイヤルチャージャー系,10,9,門別,3,グラン,ダ,2000,良,,亀井,57.0,,1,,1,-0.0,,2,2,3,4,,----,,(アイルヴィータ)
6,B,12,ディースプレマシー,牡,4,458,+ 4,+ 4,10,59.6, ,107,7,57,,,石橋脩,(美),牧光二,ディーマジェスティ,"Proudest Romeo",,,1,18,1中7,2,１勝ｸﾗｽ,ダ,1800,良,B,石橋,57.0,,5,26.9,5,1.1,3,13,12,8,9,38.90,38.9,4,リラゲイル
7,,13,トレインザマインド,セ,4,548,+ 4,+ 4,4,9.8, ,102,10,57,,*,荻野極,(美),中舘英二,マインドユアビスケッツ,フジキセキ,,ロイヤルチャージャー系,12,11,船橋,6,フェイ,ダ,1800,良,,御神,57.0,,1,,2,0.0,,4,4,3,2,,----,,セザンワールド
7,,14,ロードインフェルノ,牡,5,498,+ 2,+ 2,11,81.8, ,100,11,58,,,田辺裕信,(美),尾形和幸,サトノアラジン,フレンチデピュティ,,ニアークティック系,1,31,1東1,2,１勝ｸﾗｽ,ダ,2100,良,,田辺,58.0,,15,143.5,5,1.2,15,14,14,14,12,38.40,38.1,4,ダブルメッセージ
8,,15,チュラビックタイム,牡,4,504,+18,+18,15,202.9, , 95,13,57,,*,原優介,(美),斎藤誠,ビッグアーサー,ブライアンズタイム,,ロイヤルチャージャー系,7,20,2福8,8,１勝ｸﾗｽ,ダ,1700,良,,横山,55.0,,11,49.8,10,2.1,7,11,11,10,10,37.80,38.2,8,ブルータス
8,B,16,カージオイド,牡,4,530,  0,0,8,21.3, ,107,7,57,,*,佐々木大,(美),黒岩陽一,サトノダイヤモンド,"Sea The Stars",,ニアークティック系,1,31,1東1,4,１勝ｸﾗｽ,ダ,2100,良,B,ハマ,57.0,,1,2.8,15,2.4,1,5,5,5,3,38.08,40.1,14,ダブルメッセージ
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026021405010503,2026.2.14,土,東京,1東5,3,,未勝利,ダート,1600,,2,良,晴,16,11:05,,馬齢,３歳
枠番,B,番,馬名S,性別,年齢,馬体重,増減,馬体重増減,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,ピードモント,セ,3,476,- 6,- 6,6,34.2, ,104,8,57,,*,岩田康誠,(美),武井亮,キズナ,"American Pharoah",,,11,1,4東A,7,未勝利*,ダ,1600,不,,内田,56.0,,6,25.0,8,1.1,8,,,6,5,35.58,37.8,8,アルカディアカフェ
1,,2,ホウオウファラオ,牡,3,488,+10,+10,10,161.8, , 99,11,57,,,石川裕紀,(美),奥村武,"American Pharoah","The Gurkha",,,12,13,5中3,初,新馬,ダ,1800,良,,石川,56.0,,5,8.4,10,4.7,6,15,15,11,11,40.15,40.7,4,タイセイエムロード
2,B,3,タニセンローマ,牡,3,464,  0,0,8,130.2, , 97,13,57,,*,北村友一,(美),斎藤誠,シャンハイボビー,シンボリクリスエス,,ロイヤルチャージャー系,1,4,1中1,2,未勝利,ダ,1800,稍,,岩田,57.0,,7,51.3,9,4.3,8,3,3,4,9,38.65,41.5,10,フィンガー
2,,4,フクノエルデ,セ,3,460,  0,0,13,326.9, , 98,12,57,,,江田照男,(美),田中剛,スマートファルコン,ロードカナロア,ロイヤルチャージャー系,,1,5,1中2,3,未勝利,ダ,1200,稍,,江田,57.0,,5,9.8,11,1.9,5,,,12,11,35.80,38.5,8,ヴァイオスペース
3,,5,ロードトライデント,牡,3,488,+ 6,+ 6,3,8.2, ,115,4,57,,,横山武史,(美),千葉直人,ダノンスマッシュ,ハーツクライ,,ロイヤルチャージャー系,12,28,5中8,初,新馬,ダ,1800,良,,横山,56.0,,2,3.6,3,1.6,3,4,6,5,2,38.70,39.9,3,クラウトロック
3,,6,ニシノヒンメル,牝,3,420,+ 4,+ 4,14,380.2, , 92,15,55,,*,池添謙一,(美),竹内正洋,セイウンコウセイ,ルーラーシップ,,ネイティヴダンサー系,11,23,5東5,連,未勝利・牝*,芝,1800,良,,野中,55.0,,15,334.5,14,1.4,13,,8,7,7,36.70,35.2,12,リスレジャンデール
4,,7,ポッドスモーカー,牡,3,516,  0,0,15,762.9, , 89,16,54,▲,*,大久保友,(美),小野次郎,トランセンド,キングカメハメハ,ニアークティック系,ネイティヴダンサー系,10,25,4東8,初,新馬,ダ,1600,稍,,吉田,56.0,,15,201.7,13,3.0,12,,,10,9,37.50,38.1,13,ホウオウルクソール
4,,8,イナズマダイモン,牡,3,518,- 2,- 2,1,1.3, ,134,1,57,,,川田将雅,(美),宮田敬介,クリソベリル,Bernardini,,ナスルーラ系,11,24,5東6,4,未勝利*,ダ,1600,良,,川田,56.0,,1,1.1,2,0.0,1,,,6,6,36.66,36.6,1,カレイジャスビート
5,,9,アスクホープマン,牡,3,470,  0,0,12,271.5, ,100,10,57,,*,木幡巧也,(美),久保田貴,オルフェーヴル,ジャングルポケット,,ナスルーラ系,1,4,1中1,初,新馬,ダ,1200,稍,,大久,54.0,▲,6,24.4,8,2.8,4,,,15,15,38.50,37.5,1,エアサロメ
5,,10,ドゥーニ,牡,3,502,+30,+30,7,104.1, ,103,9,57,,,津村明秀,(美),矢嶋大樹,マテラスカイ,ネオユニヴァース,,ロイヤルチャージャー系,10,25,4東8,2,未勝利*,ダ,1600,稍,,津村,56.0,,7,41.7,8,1.5,7,,,4,4,37.26,37.5,8,ケイアイアギト
6,,11,トルネードアイル,牡,3,506,+ 8,+ 8,2,5.1, ,116,2,57,,,ルメール,(美),鹿戸雄一,ミッキーアイル,Congrats,,ナスルーラ系,12,6,5中1,3,未勝利*,ダ,1800,良,,ルメ,56.0,,2,3.5,4,0.3,2,2,2,2,2,38.00,38.9,7,ショウナンパトス
6,,12,スカイレックス,牡,3,492,  0,0,9,154.4, ,109,5,57,,*,菅原明良,(美),斎藤誠,ヴァンゴッホ,スペシャルウィーク,,ロイヤルチャージャー系,1,25,1中9,初,新馬,ダ,1800,良,,杉原,57.0,,4,7.2,5,1.3,6,5,6,6,5,39.35,41.2,9,トーアエレクトラム
7,,13,ニシノナスタチウム,牝,3,454,-12,-12,16,772.8, , 94,14,55,,*,原田和真,(美),武市康男,ダンカーク,モーリス,,,11,15,5東3,2,未勝利*,ダ,1600,良,,内田,55.0,,12,172.2,10,2.1,9,,,14,14,38.04,38.4,4,ムーランオランジュ
7,,14,ワルキューレキング,牡,3,496,- 4,- 4,11,204.9, ,105,6,57,,*,佐々木大,(美),伊藤大士,サートゥルナーリア,ゴールドアリュール,,ロイヤルチャージャー系,12,27,5中7,11,未勝利*,ダ,1200,稍,,プー,56.0,,7,20.5,6,1.5,4,,,5,4,34.40,38.8,11,パータリプトラ
8,,15,レイズテンペスト,牡,3,494,  0,0,5,18.7, ,116,2,57,,,三浦皇成,(美),田村康仁,カリフォルニアクローム,エンパイアメーカー,,ネイティヴダンサー系,1,25,1中9,初,新馬,ダ,1800,良,,三浦,57.0,,3,4.6,2,0.4,1,7,7,4,4,39.30,40.4,4,トーアエレクトラム
8,,16,リアライズタキオン,牡,3,478,+14,+14,4,11.8, ,105,6,57,,*,キング,(美),手塚貴久,ルヴァンスレーヴ,ディープブリランテ,,ロイヤルチャージャー系,11,29,5東7,4,未勝利*,ダ,1600,良,B,津村,56.0,,2,4.1,6,1.0,1,,,4,4,37.08,38.6,6,セントゴーデンス
