レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026052404010801,2026.5.24,日,新潟,1新8,1,,未勝利,芝,1200,B,2,稍(暫定),晴(暫定),16,09:45,,馬齢,３歳
枠番,B,番,馬名S,性別,年齢,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,ジュディーイメル,牝,3,2,4.2, ,121,1,52,▲,,小林美駒,(栗),武英智,アドマイヤマーズ,ロードカナロア,,,5,2,1新1,7,未勝利・若,ダ,1200,不,,小林,52.0,▲,3,4.8,2,0.1,4,,,1,1,33.90,38.1,3,アンバサダネージュ
2,,2,メイワメジェール,牝,3,6,13.8, , 96,10,52,▲,*,大久保友,(栗),茶木太樹,コントレイル,"Offlee Wild",,,3,14,1阪7,8,未勝利,芝,1400,良,,北村,55.0,,11,54.0,14,1.3,12,,,9,9,35.25,35.3,15,メランコリニスタ
2,B,3,アーガイルショア,牝,3,1,4.1, ,116,2,55,,*,斎藤新,(栗),安田翔伍,ナダル,キングカメハメハ,,ネイティヴダンサー系,5,9,3京5,10,未勝利,ダ,1400,良,,西村,55.0,,2,4.5,5,0.5,5,,,7,8,35.85,37.4,3,オウケンブラッド
3,,4,ジョリュウジャンシ,牝,3,10,33.9, , 90,13,55,,*,菊沢一樹,(美),石栗龍彦,セイウンコウセイ,ハービンジャー,,ニアークティック系,1,10,1中3,3,未勝利・牝,ダ,1200,良,,石神,52.0,▲,15,394.5,11,2.3,15,,,8,7,35.30,39.6,15,ライヴレッドアイ
3,,5,ジュエルサンライズ,牝,3,9,29.8, , 99,7,53,◇,,古川奈穂,(栗),東田明士,ロジャーバローズ,アドマイヤコジーン,,ナスルーラ系,5,2,1新1,4,未勝利・若,ダ,1200,不,,古川,53.0,◇,9,74.7,5,1.0,7,,,9,9,34.60,38.3,5,アンバサダネージュ
4,,6,キタノオンザバス,牝,3,15,162.4, , 94,12,52,▲,,上里直汰,(美),蛯名利弘,シュヴァルグラン,Singspiel,,ニアークティック系,2,7,1東3,初,未勝利・牝,ダ,1400,良,,上里,52.0,▲,11,232.4,12,3.2,11,,,10,10,37.28,40.2,11,チームユートピア
4,,7,ヘヴンズドライブ,牝,3,7,15.9, ,108,5,55,,,ゴンサル,(美),和田勇介,ダノンスマッシュ,ジャングルポケット,,ナスルーラ系,5,3,1新2,9,未勝利,ダ,1200,稍,,ゴン,55.0,,7,60.5,3,0.5,8,,,1,1,35.00,38.1,6,エコロボルト
5,,8,ミヤカグラ,牝,3,13,81.2, , 99,7,52,▲,*,石田拓郎,(美),田村康仁,イスラボニータ,Singspiel,,ニアークティック系,2,26,浦和,12,ツイン,ダ,1400,不,,矢野,54.0,,5,,7,2.6,,6,5,6,7,,----,,タイセイエキサイト
5,,9,オダイ,牝,3,12,61.2, , 95,11,55,,,野中悠太,(美),秋本大介,フォーウィールドライブ,ネオユニヴァース,,ロイヤルチャージャー系,2,28,2中1,4,未勝利,ダ,1800,重,,野中,55.0,,12,170.3,8,5.6,13,1,1,2,5,37.70,42.8,12,パラダイスフェイス
6,,10,プラチナムディスク,牝,3,5,8.6, ,111,3,53,△,,舟山瑠泉,(美),小笠倫弘,ゴールドドリーム,アグネスデジタル,,ネイティヴダンサー系,5,9,1新3,4,未勝利・牝,ダ,1200,稍,,舟山,53.0,△,5,9.0,3,1.2,4,,,1,1,33.90,40.2,10,フレンズプラス
