レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026032906030201,2026.3.29,日,中山,3中2,1,,未勝利,ダート,1800,,4,稍,晴,16,09:55,牝,馬齢,３歳
枠番,B,番,馬名S,性別,年齢,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,サラサチャチャチャ,牝,3,1,2.0, ,126,1,55,,,江田照男,(美),田中剛,ダノンスマッシュ,"High Yield",,ニアークティック系,3,1,2中2,3,未勝利・牝,ダ,1800,稍,,江田,55.0,,1,3.9,2,0.1,1,7,7,3,3,37.55,40.2,2,ピュアエンブレム
1,,2,シルブプレ,牝,3,11,232.3, ,  0,,55,,,黛弘人,(美),奥平雅士,ラニ,ゴールドプルーフ,,その他のエクリプス系,,,,,,,,,,,,,,,,,,,,,,,,,
2,,3,リケアマカロニ,牝,3,6,13.2, ,108,6,55,,,横山和生,(美),小野次郎,ニューイヤーズデイ,"Kitten's Joy",,ニアークティック系,2,28,2中1,12,未勝利,ダ,1800,重,,横山,55.0,,3,6.2,5,1.3,3,10,10,7,6,38.10,39.9,4,インディヴァイン
2,,4,ニケフェリーチェ,牝,3,15,428.4, , 89,9,55,,,柴田大知,(美),秋本大介,アジアエクスプレス,クロフネ,,ニアークティック系,1,25,1中9,2,未勝利・牝,ダ,1800,良,B,柴田,55.0,,13,441.8,11,3.6,10,7,8,9,9,39.35,42.8,11,プレイメイカー
3,B,5,ギャニミード,牝,3,2,5.0, ,113,2,55,,*,ディー,(美),木村哲也,ドレフォン,キングカメハメハ,,ネイティヴダンサー系,1,10,1中3,初,新馬・牝,ダ,1800,良,,内田,55.0,,3,7.0,5,0.1,2,5,5,6,5,39.20,40.8,3,ガーヴィ
3,,6,マスカルポーネ,牝,3,9,51.4, ,102,7,55,,*,武藤雅,(美),水野貴広,リオンディーズ,キズナ,,,1,25,1中9,2,未勝利・牝,ダ,1800,良,,長浜,53.0,△,4,15.7,10,3.3,4,3,4,4,4,39.00,43.2,12,プレイメイカー
4,,7,バイアブランカ,牝,3,3,7.7, ,112,4,55,,,津村明秀,(美),古賀慎明,イスラボニータ,"Smart Strike",,ネイティヴダンサー系,3,1,2中2,4,未勝利・牝,ダ,1800,稍,,津村,55.0,,4,4.9,4,1.1,6,5,4,3,4,37.50,41.3,7,ピュアエンブレム
4,,8,クイーンズホリデー,牝,3,4,7.9, ,113,2,52,▲,*,舟山瑠泉,(美),林徹,オルフェーヴル,キングカメハメハ,,ネイティヴダンサー系,3,14,2中5,8,未勝利・牝,ダ,1800,良,,岩田,55.0,,4,6.2,3,0.5,3,2,2,2,2,38.50,40.1,8,エコロストーム
5,,9,パルフェ,牝,3,5,9.3, ,110,5,55,,*,横山武史,(美),高柳瑞樹,ルヴァンスレーヴ,エンパイアメーカー,,ネイティヴダンサー系,1,10,1中3,初,新馬・牝,ダ,1800,良,,菅原,55.0,,1,2.0,7,0.6,3,3,3,3,3,39.05,41.6,8,ガーヴィ
5,,10,オルナータス,牝,3,12,265.2, , 85,13,55,,,原田和真,(美),上原博之,サトノダイヤモンド,"Kitten's Joy",,ニアークティック系,1,31,1東1,初,未勝利・牝,ダ,1400,良,,原田,55.0,,15,356.0,15,3.9,8,,,10,10,38.03,39.7,16,マカイゾウ
6,,11,ジーティーフクフク,牝,3,8,38.6, ,  0,,52,▲,,上里直汰,(美),西田雄一,リオンディーズ,フジキセキ,,ロイヤルチャージャー系,,,,,,,,,,,,,,,,,,,,,,,,,
6,,12,ニューハイ,牝,3,14,403.0, , 87,10,55,,*,西村太一,(美),堀内岳志,ナカヤマフェスタ,Siyouni,ロイヤルチャージャー系,ニアークティック系,1,10,1中3,初,新馬・牝,ダ,1800,良,,遠藤,52.0,▲,11,125.1,9,1.3,12,8,9,8,9,39.35,41.7,9,ガーヴィ
7,,13,アルバニクス,牝,3,16,587.9, , 87,10,55,,*,杉原誠人,(美),田村康仁,ダノンバラード,キングカメハメハ,,ネイティヴダンサー系,12,6,5中1,13,未勝利*,ダ,1200,良,,舟山,52.0,▲,15,585.3,11,3.1,14,,,13,13,36.60,38.7,8,ビップムーラン
7,,14,ノーブルスアーク,牝,3,10,116.9, , 86,12,52,▲,*,石田拓郎,(美),尾形和幸,シルバーステート,シンボリクリスエス,,ロイヤルチャージャー系,1,24,1中8,7,未勝利,芝,2200,良,,田辺,55.0,,14,148.4,17,3.7,5,6,7,11,17,36.38,38.7,18,ミッキーファルコン
