レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026062102010401,2026.6.21,日,函館,1函4,1,,未勝利,芝,1200,A,2,良(暫定),曇(暫定),16,09:50,牝,馬齢,３歳
枠番,B,番,馬名S,性別,年齢,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,ハイドパーク,牡,3,5,8.3, ,110,2,57,,*,国分恭介,(栗),田中克典,クリソベリル,"Hard Spun",,ニアークティック系,5,10,3京6,7,未勝利,ダ,1900,良,,藤懸,57.0,,2,3.5,6,0.7,2,6,5,4,4,38.35,38.7,6,カイラーサ
2,B,2,ポップアップ,セ,3,6,9.1, ,102,4,57,,*,佐々木大,(栗),寺島良,ロジャーバローズ,ルーラーシップ,,ネイティヴダンサー系,5,3,3京4,2,未勝利,ダ,1900,稍,B,吉村,57.0,,7,20.6,5,0.6,5,8,8,7,7,38.17,38.1,4,メイショウサッソウ
3,B,3,ウインモンクール,牡,3,4,6.1, ,105,3,57,,*,丹内祐次,(栗),新谷功一,ルヴァンスレーヴ,スペシャルウィーク,,ロイヤルチャージャー系,5,24,3京A,5,未勝利,ダ,1900,良,B,松若,57.0,,7,15.1,5,0.7,6,4,4,3,3,38.95,39.2,7,ピエナブラック
4,,4,キヨタリート,牡,3,2,4.3, , 94,8,55,△,*,舟山瑠泉,(栗),小崎憲,キズナ,エンパイアメーカー,,ネイティヴダンサー系,6,14,1函2,20,未勝利,芝,1800,良,,小崎,57.0,,4,8.8,15,0.8,4,13,13,14,13,37.20,35.0,3,ブランヴァンダイク
5,,5,ラヴィニアパーク,牡,3,3,5.1, , 99,6,57,,*,岩田康誠,(美),大竹正博,ハービンジャー,ホワイトマズル,ニアークティック系,ニアークティック系,5,3,2東4,6,未勝利,芝,1800,良,,高杉,57.0,,7,11.4,11,1.3,14,,14,14,14,37.30,34.2,3,オメガディコン
6,,6,マーゴットデウス,セ,3,9,32.4, ,100,5,57,,,小沢大仁,(栗),今野貞一,ドレフォン,ゼンノロブロイ,,ロイヤルチャージャー系,6,7,3阪2,3,未勝利,ダ,1800,良,,小沢,57.0,,9,72.9,10,2.7,7,10,12,8,8,38.60,39.7,11,ロードヴェリタス
6,,7,テンカフブ,牡,3,10,58.4, , 93,9,57,,*,川又賢治,(栗),吉村圭司,ニューイヤーズデイ,アイルハヴアナザー,,ネイティヴダンサー系,5,23,3京9,2,未勝利,ダ,1800,稍,,田山,55.0,△,10,109.4,11,2.5,5,8,7,9,10,38.35,40.0,7,フォーオール
7,,8,ロードステラート,牡,3,1,3.5, ,115,1,57,,*,横山武史,(栗),武英智,キタサンブラック,ダイワメジャー,,ロイヤルチャージャー系,5,23,3京9,2,未勝利,ダ,1800,稍,,西村,57.0,,3,5.6,5,1.6,2,3,3,2,2,37.65,40.5,10,フォーオール
7,,9,ジャストグレース,牡,3,8,29.7, , 99,6,57,,*,古川吉洋,(栗),大根田裕,ホッコータルマエ,ダイワメジャー,,ロイヤルチャージャー系,5,17,3京8,2,未勝利,ダ,1900,良,,国分,57.0,,11,139.1,5,1.3,11,9,9,9,9,38.86,38.3,2,ヒラボクソライア
8,B,10,トーセンアミューズ,牡,3,11,64.9, , 90,11,56,☆,*,長浜鴻緒,(美),加藤征弘,ダイワメジャー,"Dubai Destination",ロイヤルチャージャー系,ネイティヴダンサー系,6,13,1函1,3,未勝利,ダ,1700,稍,B,小崎,57.0,,11,124.1,9,4.2,6,6,6,10,11,36.93,40.0,9,オンザムービー
8,,11,フクチャンブラック,牡,3,7,18.4, , 92,10,57,,*,松本大輝,(栗),高橋康之,キタサンブラック,Teofilo,,ニアークティック系,4,18,3中7,2,未勝利,ダ,1800,良,,津村,57.0,,8,30.2,9,1.6,9,9,10,7,8,38.85,38.7,8,サウジバラード
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026062102010403,2026.6.21,日,函館,1函4,3,,未勝利,ダート,1000,,2,良(暫定),曇(暫定),12,10:50,,馬齢,３歳
枠番,B,番,馬名S,性別,年齢,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,ステキサプライズ,牡,3,9,39.1, , 96,7,56,☆,*,長浜鴻緒,(美),粕谷昌央,ゴールドシップ,ショウナンカンプ,,ナスルーラ系,4,19,3中8,10,未勝利,ダ,1200,良,,原優,57.0,,8,42.7,12,2.3,15,,,8,8,34.90,38.4,12,ソニックブレイカー
2,,2,ユーベルジーク,牝,3,7,28.6, , 96,7,51,★,*,河原田菜,(美),辻哲英,タワーオブロンドン,プリサイスエンド,,ネイティヴダンサー系,5,24,2東A,6,未勝利,ダ,1300,稍,,今村,53.0,◇,10,124.8,11,2.1,7,,,6,7,35.74,39.4,12,アイムインディ
3,,3,エコロデュラン,牡,3,8,36.6, , 95,10,55,◇,*,古川奈穂,(栗),矢作芳人,Caravaggio,"Lizard Island",,,5,23,3京9,10,未勝利,芝,1200,良,,坂井,57.0,,12,56.5,9,0.6,14,,,7,7,34.50,34.5,8,ヤマニンフェイエル
4,B,4,マーマレードスカイ,牝,3,2,3.3, ,100,6,55,,*,佐々木大,(美),堀内岳志,レッドファルクス,オルフェーヴル,,,5,2,2東3,4,未勝利・牝,ダ,1400,重,,松岡,55.0,,3,8.2,16,2.4,8,,,2,2,35.18,40.2,16,ミヤエスケープ
5,,5,ソパデアホ,牡,3,12,75.6, , 93,12,57,,*,岩田康誠,(美),小島茂之,イスラボニータ,シンボリクリスエス,,ロイヤルチャージャー系,5,10,2東6,6,未勝利,ダ,1400,良,,田辺,57.0,,12,163.2,12,2.1,10,,,14,12,37.58,38.3,11,フルールサシェ
5,,6,シェイプオブユー,牝,3,4,7.9, ,116,2,55,,,川又賢治,(栗),吉村圭司,タワーオブロンドン,"Broken Vow",,ネイティヴダンサー系,4,26,1福6,2,未勝利・牝,ダ,1150,良,,川又,55.0,,2,3.0,4,2.1,8,,,1,1,35.02,38.7,12,モズオウンゴール
6,,7,カッサンドラ,牝,3,10,47.8, ,108,4,55,,,横山琉人,(栗),高橋義忠,インディチャンプ,ファンタスティックライト,,ナスルーラ系,4,26,1福6,10,未勝利・牝,ダ,1150,良,,横山,55.0,,4,12.6,6,2.8,6,,,5,5,35.78,38.7,12,モズオウンゴール
6,,8,コウユーネロガ,牝,3,5,12.4, ,109,3,52,▲,*,小林美駒,(美),秋本大介,ネロ,キンシャサノキセキ,,ロイヤルチャージャー系,5,10,1新4,11,未勝利,芝,1000,良,,森田,52.0,▲,7,18.6,4,0.4,11,,,,5,33.90,33.6,4,オタルイーグル
7,,9,ライトオブジアース,牝,3,6,19.7, ,105,5,55,,*,丹内祐次,(栗),松永幹夫,ロードカナロア,"Into Mischief",,,5,17,1新6,21,未勝利・牝,ダ,1800,良,,永島,53.0,◇,2,4.7,12,3.6,8,1,1,1,1,37.80,43.6,12,オーケーリアン
7,B,10,ワイドアルバ,牡,3,11,71.1, , 95,10,57,,*,古川吉洋,(栗),藤野健太,タワーオブロンドン,"Street Cry",,ネイティヴダンサー系,6,13,1函1,8,未勝利,ダ,1000,稍,B,鮫島,57.0,,8,49.5,9,1.8,6,,,12,11,36.75,35.1,2,クロナ
8,,11,ラブデウザ,牝,3,3,6.9, , 96,7,52,▲,*,遠藤汰月,(美),加藤和宏,リアルスティール,キングカメハメハ,,ネイティヴダンサー系,4,26,1福6,5,未勝利・牝,ダ,1150,良,,鷲頭,53.0,△,9,60.4,9,2.9,7,,,12,10,37.20,37.5,3,モズオウンゴール
8,,12,グレイトソン,牡,3,1,2.3, ,128,1,54,▲,*,和田陽希,(栗),鈴木孝志,カリフォルニアクローム,フジキセキ,,ロイヤルチャージャー系,5,2,3京3,2,未勝利,ダ,1200,重,,松山,57.0,,1,1.9,2,0.2,2,,,1,1,35.90,35.8,4,スターフュージョン
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026062102010404,2026.6.21,日,函館,1函4,4,,未勝利,芝,1800,A,4,良(暫定),曇(暫定),16,11:20,,馬齢,３歳
枠番,B,番,馬名S,性別,年齢,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,ベアサナエチャン,牝,3,3,6.6, ,119,2,55,,*,横山武史,(美),杉浦宏昭,レイデオロ,マンハッタンカフェ,,ロイヤルチャージャー系,5,24,2東A,3,未勝利・牝,芝,1600,良,,松山,55.0,,4,6.3,3,0.0,15,,,10,10,35.40,34.0,2,ダイヤテソーロ
1,,2,ワダツミ,牝,3,15,78.5, , 92,13,55,,*,川又賢治,(栗),笹田和秀,セイウンコウセイ,"Sadler's Wells",,ニアークティック系,5,17,3京8,18,未勝利・牝,芝,1600,良,,角田,55.0,,16,267.1,10,0.5,14,,,15,16,35.64,34.5,1,ペプチドブッドレア
2,B,3,コスモクラシック,牡,3,10,15.9, ,102,9,54,▲,*,和田陽希,(美),嘉藤貴行,ダノンバラード,タイキシャトル,,ロイヤルチャージャー系,4,12,1福2,20,未勝利,芝,1800,良,,丹内,57.0,,3,7.1,15,1.4,1,5,2,2,3,37.05,36.8,16,マイネルクオリア
2,,4,エイシンインアウト,牡,3,6,11.7, ,113,4,57,,*,横山琉人,(栗),中尾秀正,サトノダイヤモンド,Whipper,,ネイティヴダンサー系,2,21,1阪1,3,未勝利,ダ,1800,良,,団野,57.0,,2,3.5,5,1.3,2,8,8,4,5,39.10,37.9,4,チェリヴェント
3,,5,チリンドリ,牡,3,12,41.6, ,  0,,57,,,古川吉洋,(栗),昆貢,シュウジ,Bernardini,,ナスルーラ系,,,,,,,,,,,,,,,,,,,,,,,,,
